date,open,high,low,close,volume
2025-05-07,76.24,77.1,74.7,75.51,5011969.0
2025-05-08,75.91,78.7,75.655,77.92,4855811.0
2025-05-09,78.32,79.02,77.91,78.34,3409720.0
2025-05-12,79.16,79.56,77.93,78.88,3471387.0
2025-05-13,78.93,78.98,77.31,77.68,3655648.0
2025-05-14,77.62,78.39,76.98,78.05,4415021.0
2025-05-15,77.98,78.8,77.798,78.71,4284630.0
2025-05-16,78.74,79.88,78.53,79.86,4884639.0
2025-05-19,79.27,81.31,79.15,80.98,3139130.0
2025-05-20,80.68,81.26,80.08,80.6,2990187.0
2025-05-21,79.93,80.7,79.13,79.17,2827474.0
2025-05-22,78.87,79.14,77.51,78.34,2642865.0
2025-05-23,77.82,78.56,77.21,78.22,1696779.0
2025-05-27,78.18,79.98,78.005,79.96,2605914.0
2025-05-28,80.01,80.46,79.825,79.97,2609912.0
2025-05-29,79.97,79.97,77.6,78.27,3602324.0
2025-05-30,78.17,79.64,77.5,79.61,5576856.0
2025-06-02,78.72,79.49,77.92,79.09,3950664.0
2025-06-03,78.32,80.31,78.3,80.14,4555578.0
2025-06-04,80.33,81.06,80.13,80.34,2457739.0
2025-06-05,80.34,80.985,80.02,80.54,2229621.0
2025-06-06,81.33,81.71,80.91,81.23,2450858.0
2025-06-09,81.15,81.99,80.5,81.69,2213175.0
2025-06-10,81.77,81.965,80.71,81.1,2520349.0
2025-06-11,81.44,81.59,80.52,81.06,2221039.0
2025-06-12,80.76,81.04,80.03,80.82,2502249.0
2025-06-13,79.88,80.01,78.94,79.35,2953022.0
2025-06-16,79.91,80.99,79.685,80.94,2575979.0
2025-06-17,80.78,81.18,80.305,80.44,2053897.0
2025-06-18,80.5,81.73,80.27,80.44,3023854.0
2025-06-20,80.46,80.94,79.85,80.17,4369350.0
2025-06-23,80.01,80.86,79.4503,80.5,3233012.0
2025-06-24,81.49,82.365,81.0093,82.13,3580316.0
2025-06-25,82.13,82.22,80.66,80.73,2700268.0
2025-06-26,80.8,80.925,79.24,80.0,4049719.0
2025-06-27,80.26,80.92,79.48,80.8,4300734.0
2025-06-30,80.87,81.5,80.62,81.41,2356172.0
2025-07-01,81.25,82.74,80.885,82.35,3001395.0
2025-07-02,82.3,82.41,80.58,81.27,3393051.0
2025-07-03,81.35,81.98,81.3,81.77,1293048.0
2025-07-07,81.86,82.02,80.53,80.84,2245845.0
2025-07-08,80.66,81.14,79.8,79.85,2323792.0
2025-07-09,79.96,80.25,79.42,80.02,2364758.0
2025-07-10,79.87,80.975,79.66,80.22,2700188.0
2025-07-11,79.61,79.6395,78.13,78.65,3054739.0
2025-07-14,79.05,80.24,78.7,79.5,2148364.0
2025-07-15,79.29,79.71,78.7,78.7,1678807.0
2025-07-16,79.03,79.42,78.4,79.35,2504218.0
2025-07-17,80.0,80.95,79.39,80.74,2238840.0
2025-07-18,81.05,81.15,80.06,80.33,2382449.0
2025-07-21,80.36,80.79,79.71,80.08,1298341.0
2025-07-22,80.21,81.699,80.08,81.64,1645882.0
2025-07-23,81.43,81.83,79.665,81.58,2406817.0
2025-07-24,81.42,81.755,80.38,80.41,2276501.0
2025-07-25,80.42,82.055,79.86,81.94,2694237.0
2025-07-28,81.41,82.17,81.08,81.83,1540448.0
2025-07-29,82.11,82.62,81.425,81.62,1829154.0
2025-07-30,81.66,82.07,80.495,80.64,1873223.0
2025-07-31,80.2,80.99,79.271,79.41,2870128.0
2025-08-01,79.35,79.45,77.8606,78.36,2786830.0
2025-08-04,78.84,79.32,78.43,78.96,2877707.0
2025-08-05,74.8,76.49,70.86,72.22,11722385.0
2025-08-06,72.23,72.64,69.79,69.9,6490132.0
2025-08-07,70.16,71.94,69.83,70.07,5346204.0
2025-08-08,70.08,71.19,69.31,71.16,4362339.0
2025-08-11,71.25,71.87,69.175,69.87,3363014.0
2025-08-12,70.15,71.86,69.925,71.76,3035048.0
2025-08-13,71.31,72.91,70.98,72.77,5230124.0
2025-08-14,72.5,72.675,71.52,71.58,3490268.0
2025-08-15,71.54,71.99,70.71,70.83,3952946.0
2025-08-18,70.71,71.08,69.73,69.73,3912005.0
2025-08-19,69.72,70.15,69.18,69.33,3623840.0
2025-08-20,69.31,70.32,69.07,69.76,3180109.0
2025-08-21,69.54,69.82,68.81,69.55,3826984.0
2025-08-22,70.04,71.9,69.925,71.76,3012720.0
2025-08-25,71.67,71.67,70.63,71.08,2389924.0
2025-08-26,71.08,71.57,69.69,70.0,4437725.0
2025-08-27,69.95,70.78,69.74,69.75,3637171.0
2025-08-28,69.79,69.98,69.33,69.75,2895799.0
2025-08-29,69.95,70.38,69.39,69.81,4449818.0
2025-09-02,69.78,69.88,67.91,68.31,3556905.0
2025-09-03,67.91,68.47,67.6,68.19,2738056.0
2025-09-04,68.88,69.36,68.251,68.71,3002487.0
2025-09-05,68.92,69.885,68.2609,68.74,3308825.0
2025-09-08,68.49,69.06,67.59,68.96,3953533.0
2025-09-09,68.83,70.27,68.48,68.64,5646298.0
2025-09-10,67.81,68.66,65.965,66.37,9947082.0
2025-09-11,66.52,67.74,65.82,67.71,6465922.0
2025-09-12,67.42,67.52,66.45,66.84,4107080.0
2025-09-15,67.27,67.43,66.52,66.93,5085132.0
2025-09-16,66.73,66.95,65.66,66.44,2989661.0
2025-09-17,66.54,68.1535,66.32,67.15,4000830.0
2025-09-18,67.25,67.32,66.06,66.24,3720902.0
2025-09-19,66.6,66.96,65.03,65.11,6951562.0
2025-09-22,64.9,65.075,64.26,64.65,5800005.0
2025-09-23,64.58,64.65,63.195,63.37,4738102.0
2025-09-24,63.21,64.295,63.0,64.13,4875264.0
2025-09-25,64.12,65.0,63.65,63.79,4264887.0
2025-09-26,63.89,64.34,63.6601,64.24,4640514.0
2025-09-29,64.48,66.0,64.105,65.78,4817989.0
2025-09-30,66.685,67.13,65.33,65.94,4396551.0
2025-10-01,65.87,66.54,65.37,66.51,3969927.0
2025-10-02,66.33,67.25,66.12,66.45,4130360.0
2025-10-03,66.42,67.46,66.18,66.71,2715919.0
2025-10-06,66.8,67.297,66.1801,67.15,3527136.0
2025-10-07,67.8,69.135,67.46,68.51,3789375.0
2025-10-08,68.54,68.68,67.69,68.13,3515650.0
2025-10-09,68.53,68.82,67.94,68.57,2828145.0
2025-10-10,68.68,69.04,66.835,66.87,3158776.0
2025-10-13,67.03,67.47,66.23,67.31,2734508.0
2025-10-14,67.07,68.5,67.06,67.74,3666322.0
2025-10-15,67.66,67.78,66.34,66.56,2608677.0
2025-10-16,66.59,66.99,65.54,65.81,3215383.0
2025-10-17,65.99,66.985,65.78,66.85,2724539.0
2025-10-20,67.26,68.07,67.14,67.94,1878970.0
2025-10-21,67.71,68.47,66.94,67.7,4143716.0
2025-10-22,68.0,68.915,67.375,67.88,3781699.0
2025-10-23,67.5,68.0524,67.07,67.52,3417892.0
2025-10-24,68.35,68.98,67.58,67.79,3800611.0
2025-10-27,67.84,68.0,66.36,66.53,4025633.0
2025-10-28,66.29,66.835,65.723,65.93,3886140.0
2025-10-29,61.18,62.89,59.51,61.5,15316350.0
2025-10-30,62.12,63.28,61.77,62.39,5024588.0
2025-10-31,61.52,62.61,61.18,62.52,3074190.0
2025-11-03,62.14,62.435,61.08,62.2,4051339.0
2025-11-04,62.46,63.48,61.55,63.15,5557685.0
2025-11-05,63.72,65.0,62.45,64.75,7694399.0
2025-11-06,65.08,66.0,63.4528,64.68,3468858.0
2025-11-07,64.01,65.28,63.86,64.78,3601388.0
2025-11-10,64.71,65.61,64.05,65.44,2479400.0
2025-11-11,65.56,66.52,65.3,66.38,3175619.0
2025-11-12,65.86,66.385,65.22,66.23,3258557.0
2025-11-13,66.04,66.45,65.39,66.26,3739539.0
2025-11-14,65.98,66.37,63.97,64.24,3551487.0
2025-11-17,64.32,64.88,63.8201,63.93,2822171.0
2025-11-18,63.89,64.185,63.01,63.15,3144517.0
2025-11-19,63.2,63.39,62.45,62.66,2937810.0
2025-11-20,62.79,63.67,62.28,62.38,2256139.0
2025-11-21,62.67,64.81,62.67,64.07,3291700.0
2025-11-24,64.09,64.89,63.81,64.41,6173315.0
2025-11-25,65.0,66.28,64.555,65.65,2313344.0
2025-11-26,65.14,66.1,64.91,65.38,2180269.0
2025-11-28,65.59,66.1699,65.24,65.77,990908.0
2025-12-01,64.91,66.84,64.91,66.2,2801687.0
2025-12-02,66.39,67.31,65.71,66.8,3180776.0
2025-12-03,66.95,67.48,65.41,65.66,4215127.0
2025-12-04,65.7,66.25,64.91,65.56,2841900.0
2025-12-05,65.6,66.93,65.3375,66.66,2777117.0
2025-12-08,66.44,66.47,65.555,65.88,2317417.0
2025-12-09,65.41,65.912,64.983,65.17,2191086.0
2025-12-10,65.21,66.73,65.21,66.6,2523603.0
2025-12-11,66.68,67.5299,66.44,67.24,4095691.0
2025-12-12,67.815,68.175,66.91,67.11,2877655.0
2025-12-15,67.25,67.68,66.36,66.61,3180450.0
2025-12-16,66.92,67.31,66.19,66.62,2260562.0
2025-12-17,66.32,67.15,66.08,66.3,2952925.0
2025-12-18,66.52,66.665,65.36,65.9,3229932.0
2025-12-19,65.91,66.38,65.62,66.05,4824701.0
2025-12-22,65.96,67.44,65.96,66.89,2441410.0
2025-12-23,66.97,67.335,66.44,66.8,2452827.0
2025-12-24,67.0,67.55,66.84,67.17,925135.0
2025-12-26,66.9,67.35,66.8674,67.19,1037806.0
2025-12-29,67.18,67.915,66.9,67.45,1890510.0
2025-12-30,67.28,67.6173,67.0,67.17,1477042.0
2025-12-31,67.02,67.17,66.41,66.46,1718922.0
2026-01-02,66.5,66.59,65.42,65.62,1817183.0
2026-01-05,65.11,67.45,65.09,66.37,3031709.0
2026-01-06,65.65,67.3,65.485,67.05,2044040.0
2026-01-07,67.25,67.32,66.55,66.73,1970071.0
2026-01-08,66.36,68.368,66.36,67.54,2422602.0
2026-01-09,67.84,68.215,66.4,66.84,3015349.0
2026-01-12,64.665,66.64,63.8,66.24,4213143.0
2026-01-13,65.99,66.73,63.85,64.23,3401713.0
2026-01-14,64.06,64.5401,63.48,63.98,2608573.0
2026-01-15,64.11,64.11,62.7,63.45,3397577.0
2026-01-16,63.46,63.695,62.475,63.35,2435818.0
2026-01-20,62.18,62.91,59.95,60.07,5110788.0
2026-01-21,60.8,61.81,60.555,60.58,3804163.0
2026-01-22,60.6,61.535,60.37,61.3,3760007.0
2026-01-23,60.95,61.431,60.13,60.5,2875436.0
2026-01-26,60.71,60.81,58.75,59.1,5228185.0
2026-01-27,59.33,59.41,57.78,58.06,4755810.0
2026-01-28,57.94,58.37,56.02,56.19,4833333.0
2026-01-29,56.45,56.49,54.65,55.2,8202187.0
2026-01-30,55.17,55.33,54.4,55.25,5853569.0
2026-02-02,55.62,56.29,55.04,56.08,4247350.0
2026-02-03,55.54,55.54,50.85,50.94,7935895.0
2026-02-04,50.9,52.49,50.74,51.57,7909670.0
2026-02-05,51.91,52.73,50.48,50.82,5462624.0
2026-02-06,50.91,51.9898,50.53,51.93,7750209.0
