date,open,high,low,close,volume
2025-04-10,339.44,349.71,325.58,337.4,591657.0
2025-04-11,337.4,349.38,331.97,348.77,330178.0
2025-04-14,353.26,362.11,344.61,351.6,308679.0
2025-04-15,354.55,363.09,352.755,356.21,291584.0
2025-04-16,348.18,354.295,341.0,349.16,289704.0
2025-04-17,350.42,354.9899,341.3,347.95,336315.0
2025-04-21,345.09,350.02,321.945,328.17,351815.0
2025-04-22,334.0,345.2,333.6,340.33,409793.0
2025-04-23,365.74,372.72,353.58,355.7,361087.0
2025-04-24,355.0,378.91,355.0,376.21,481508.0
2025-04-25,385.0,412.5,384.0,397.43,1315739.0
2025-04-28,395.08,404.78,386.46,394.4,529587.0
2025-04-29,394.31,398.74,388.09,397.54,449348.0
2025-04-30,382.07,397.92,380.0,397.55,416064.0
2025-05-01,410.31,429.35,408.957,418.05,640263.0
2025-05-02,420.88,439.33,420.88,432.1,444577.0
2025-05-05,428.56,438.4,428.56,435.29,318049.0
2025-05-06,430.47,435.275,426.965,428.97,213430.0
2025-05-07,428.97,433.6724,422.53,432.16,336096.0
2025-05-08,439.11,449.5666,435.2682,439.15,369073.0
2025-05-09,441.7,443.21,430.785,434.88,286289.0
2025-05-12,455.85,458.85,446.775,451.86,246487.0
2025-05-13,455.41,471.74,453.44,465.23,557902.0
2025-05-14,474.36,475.0,465.29,467.51,527783.0
2025-05-15,464.0,470.01,460.94,463.37,445480.0
2025-05-16,466.91,472.9745,461.7101,471.97,316405.0
2025-05-19,462.455,471.68,461.33,470.24,241820.0
2025-05-20,467.98,475.67,467.98,472.57,287855.0
2025-05-21,465.13,476.72,462.4266,465.25,243802.0
2025-05-22,461.47,468.015,452.04,462.24,306398.0
2025-05-23,452.68,475.0,452.65,471.5,261780.0
2025-05-27,483.43,490.36,473.58,485.4,462589.0
2025-05-28,486.52,488.13,474.22,476.92,431196.0
2025-05-29,482.55,487.16,470.68,478.83,255050.0
2025-05-30,478.0,480.6699,466.8902,478.23,322393.0
2025-06-02,474.8,478.21,465.05,477.08,325238.0
2025-06-03,480.31,498.86,480.31,496.78,426308.0
2025-06-04,495.89,502.6999,493.585,498.63,271282.0
2025-06-05,501.0,504.49,491.81,499.13,248839.0
2025-06-06,505.67,511.28,500.17,510.52,340977.0
2025-06-09,509.14,509.91,497.22,501.33,502863.0
2025-06-10,501.29,502.4892,469.16,487.71,506501.0
2025-06-11,490.5,499.775,486.73,496.7,244711.0
2025-06-12,491.75,501.64,491.75,501.25,188086.0
2025-06-13,495.83,499.4,489.54,492.72,335648.0
2025-06-16,497.89,511.09,497.1404,500.91,258761.0
2025-06-17,496.21,504.3,493.105,495.37,356775.0
2025-06-18,495.25,508.71,495.25,499.02,465409.0
2025-06-20,500.57,503.47,491.5,500.02,770925.0
2025-06-23,497.57,504.16,489.9825,502.98,291786.0
2025-06-24,509.28,516.285,504.75,513.32,317192.0
2025-06-25,516.96,520.23,507.57,507.6,222816.0
2025-06-26,513.77,517.915,512.18,516.08,246458.0
2025-06-27,520.42,536.44,517.2801,535.0,503137.0
2025-06-30,535.1,541.545,530.6643,536.21,424600.0
2025-07-01,531.33,536.12,510.0,521.66,365873.0
2025-07-02,518.74,531.48,517.5824,529.9,284108.0
2025-07-03,529.07,543.7356,529.07,540.98,162349.0
2025-07-07,541.25,549.22,536.185,541.48,280769.0
2025-07-08,540.9,544.0,519.99,527.42,382595.0
2025-07-09,535.67,541.265,529.235,535.02,407367.0
2025-07-10,535.0,539.4636,517.0282,533.77,359088.0
2025-07-11,532.6,543.035,530.02,539.5,263895.0
2025-07-14,539.5,549.2,534.48,542.95,316756.0
2025-07-15,550.31,550.31,535.0,539.02,241739.0
2025-07-16,541.75,549.83,535.6178,546.63,303210.0
2025-07-17,549.27,555.25,544.44,550.5,326423.0
2025-07-18,552.84,559.36,547.99,554.18,227173.0
2025-07-21,553.37,556.1799,543.48,544.95,205246.0
2025-07-22,544.25,544.25,513.99,532.14,385702.0
2025-07-23,538.73,554.96,538.26,547.91,340745.0
2025-07-24,551.75,565.02,543.245,562.83,511007.0
2025-07-25,665.3,699.39,648.23,688.74,1254317.0
2025-07-28,697.0,709.3999,677.62,692.97,736593.0
2025-07-29,698.35,708.57,683.0,687.67,469503.0
2025-07-30,693.95,705.075,687.6001,702.97,433747.0
2025-07-31,711.12,718.4,698.425,703.3,686604.0
2025-08-01,681.23,705.945,667.01,695.3,552425.0
2025-08-04,706.72,706.72,684.69,699.16,412788.0
2025-08-05,705.0,711.0,682.495,691.45,354064.0
2025-08-06,691.45,694.68,680.28,690.45,301794.0
2025-08-07,697.77,700.0,685.0,694.43,256878.0
2025-08-08,699.51,708.73,684.07,691.76,376166.0
2025-08-11,694.06,695.3,687.4,693.31,251884.0
2025-08-12,696.81,720.0,689.3301,718.61,379798.0
2025-08-13,725.21,733.245,682.66,702.1,662209.0
2025-08-14,693.31,708.2199,688.25,689.86,432748.0
2025-08-15,689.32,701.9999,671.7,680.86,408945.0
2025-08-18,680.86,695.76,678.4,695.76,266828.0
2025-08-19,692.82,694.39,681.575,683.93,372522.0
2025-08-20,674.67,685.07,655.9629,681.08,418878.0
2025-08-21,679.78,695.17,678.4,694.0,311834.0
2025-08-22,695.96,716.894,688.405,689.48,526212.0
2025-08-25,690.97,699.9999,684.36,691.18,219063.0
2025-08-26,692.53,708.9973,691.265,707.39,430206.0
2025-08-27,704.5,717.235,703.0,709.83,388109.0
2025-08-28,713.97,732.795,710.07,730.01,366394.0
2025-08-29,729.06,729.06,691.45,703.38,375267.0
2025-09-02,687.0,700.23,670.19,698.61,363101.0
2025-09-03,701.19,705.9199,696.3901,700.69,320666.0
2025-09-04,706.95,724.585,701.88,723.95,343835.0
2025-09-05,721.34,727.0,682.0,706.31,523759.0
2025-09-08,712.0,718.3899,703.75,715.87,337916.0
2025-09-09,717.15,717.5,698.0564,709.53,311850.0
2025-09-10,726.79,757.12,721.87,752.1,616802.0
2025-09-11,763.68,772.22,755.0,764.91,559842.0
2025-09-12,762.48,770.18,751.85,753.69,301670.0
2025-09-15,758.0,782.46,755.0,782.05,397385.0
2025-09-16,780.52,785.23,768.9199,777.18,406094.0
2025-09-17,781.1,782.7,757.875,762.91,533169.0
2025-09-18,768.09,806.58,767.33,799.38,366279.0
2025-09-19,798.9,802.63,782.86,797.71,685944.0
2025-09-22,792.53,824.29,791.205,821.62,424599.0
2025-09-23,818.43,825.0,795.05,804.24,333074.0
2025-09-24,811.19,817.3364,787.87,791.46,284447.0
2025-09-25,776.29,789.67,757.0,781.88,469681.0
2025-09-26,784.61,807.97,780.0,804.36,287867.0
2025-09-29,814.59,823.5,799.42,801.8,300314.0
2025-09-30,807.84,827.965,805.26,825.18,309489.0
2025-10-01,813.07,843.8,811.745,834.33,296665.0
2025-10-02,835.89,852.3099,820.0,832.98,304981.0
2025-10-03,838.1,840.7809,816.0,818.01,285378.0
2025-10-06,829.72,842.96,823.25,825.42,245898.0
2025-10-07,832.85,836.885,796.0,816.53,349423.0
2025-10-08,824.96,851.64,816.94,844.62,244320.0
2025-10-09,844.62,846.8875,821.55,834.7,240653.0
2025-10-10,839.72,858.55,815.11,816.07,312486.0
2025-10-13,843.86,861.77,832.4,845.99,240298.0
2025-10-14,829.71,851.5,813.7,831.89,338541.0
2025-10-15,850.0,850.59,827.18,837.11,480719.0
2025-10-16,846.79,849.23,827.64,838.78,316698.0
2025-10-17,827.98,841.9,810.0,827.92,388740.0
2025-10-20,842.49,854.46,832.26,836.75,259282.0
2025-10-21,832.12,835.0,812.09,829.36,331685.0
2025-10-22,839.24,847.6762,770.47,790.72,685169.0
2025-10-23,791.36,836.3233,791.36,825.0,652993.0
2025-10-24,955.0,1002.64,950.0,981.66,1052128.0
2025-10-27,998.76,1007.67,965.75,976.45,484950.0
2025-10-28,975.0,989.24,966.435,980.97,357242.0
2025-10-29,990.99,1019.73,990.99,1010.64,383332.0
2025-10-30,994.44,1020.26,957.16,963.3,509288.0
2025-10-31,969.3,987.1996,951.18,965.58,313447.0
2025-11-03,975.94,982.69,960.3001,977.67,235822.0
2025-11-04,956.99,967.38,925.05,955.96,398049.0
2025-11-05,963.33,997.31,956.06,987.78,319258.0
2025-11-06,986.34,992.0143,948.0101,957.78,305494.0
2025-11-07,937.44,956.85,910.1,955.26,488573.0
2025-11-10,978.11,994.0,965.05,974.14,279905.0
2025-11-11,957.88,974.95,942.0,954.53,223349.0
2025-11-12,961.69,981.0,957.79,973.18,309918.0
2025-11-13,963.47,974.75,892.35,897.52,654855.0
2025-11-14,861.505,931.385,841.66,909.6,589449.0
2025-11-17,914.8,937.78,905.05,919.82,401631.0
2025-11-18,901.44,936.91,895.78,920.99,353835.0
2025-11-19,929.74,949.95,911.0001,930.5,348644.0
2025-11-20,954.86,975.56,869.88,876.19,650447.0
2025-11-21,878.96,896.515,850.0,894.08,535390.0
2025-11-24,923.89,958.83,910.09,945.07,3206195.0
2025-11-25,936.78,957.26,910.0167,957.04,377741.0
2025-11-26,962.0,982.92,960.27,970.95,342429.0
2025-11-28,979.65,980.92,965.05,976.94,172479.0
2025-12-01,961.01,964.95,946.5,961.2,402502.0
2025-12-02,972.59,988.68,934.95,935.78,465932.0
2025-12-03,935.0,953.49,910.05,949.3,300466.0
2025-12-04,950.0,1006.6,940.0,1004.65,518454.0
2025-12-05,1008.08,1014.78,977.1742,1001.48,381358.0
2025-12-08,1008.65,1036.665,986.11,989.48,647827.0
2025-12-09,983.9,997.83,978.0,983.61,345201.0
2025-12-10,993.41,1028.95,968.3,1021.36,401795.0
2025-12-11,1016.395,1025.4,975.05,1024.92,438865.0
2025-12-12,1011.69,1023.87,912.4,967.95,869453.0
2025-12-15,962.86,986.2,961.4,968.48,400289.0
2025-12-16,985.1,985.1,953.135,968.5,428441.0
2025-12-17,970.3,976.62,878.59,883.79,800096.0
2025-12-18,908.0,926.475,896.19,918.54,512532.0
2025-12-19,929.05,952.839,922.05,940.74,8010017.0
2025-12-22,955.1,974.345,943.87,950.79,452041.0
2025-12-23,948.33,970.0,946.23,965.37,327851.0
2025-12-24,964.03,964.7199,953.0,958.07,155010.0
2025-12-26,961.66,967.08,953.3,963.83,170536.0
2025-12-29,953.94,964.68,943.5,950.67,259472.0
2025-12-30,950.67,958.06,944.23,946.93,216200.0
2025-12-31,950.51,954.9499,932.33,933.29,192798.0
2026-01-02,938.4,1004.96,938.4,1003.64,395974.0
2026-01-05,1020.51,1050.45,1020.51,1032.31,435117.0
2026-01-06,1024.73,1035.11,952.739,1035.11,648393.0
2026-01-07,1028.69,1048.43,1005.68,1035.12,441748.0
2026-01-08,1035.12,1040.0,959.8,971.49,512852.0
2026-01-09,977.97,1022.11,977.6725,1010.41,363196.0
2026-01-12,1010.0,1046.0,1000.0,1038.18,528262.0
2026-01-13,1039.12,1078.7,1039.12,1073.14,378741.0
2026-01-14,1065.04,1079.2683,1024.121,1053.1,404012.0
2026-01-15,1090.25,1114.61,1075.0,1091.04,408186.0
2026-01-16,1107.0,1147.03,1103.055,1119.98,507535.0
2026-01-20,1098.84,1140.68,1092.0,1134.75,545071.0
2026-01-21,1141.12,1158.3516,1115.0,1148.0,414877.0
2026-01-22,1170.0,1177.87,1101.1,1131.7,368353.0
2026-01-23,1131.7,1136.9,1105.39,1121.44,271899.0
2026-01-26,1126.51,1148.24,1117.83,1127.55,272062.0
2026-01-27,1138.85,1167.99,1123.48,1160.38,268204.0
2026-01-28,1165.38,1179.0,1147.6301,1169.05,299186.0
2026-01-29,1180.19,1200.325,1145.0,1171.46,306142.0
2026-01-30,1155.7,1186.15,1131.22,1142.1,312126.0
2026-02-02,1142.78,1178.43,1138.06,1176.26,329691.0
2026-02-03,1195.0,1220.0,1174.85,1209.97,357386.0
2026-02-04,1200.0,1214.42,1075.3619,1119.81,625942.0
2026-02-05,1119.8,1162.345,1097.41,1147.97,462843.0
2026-02-06,1175.0,1230.49,1175.0,1230.26,279177.0
2026-02-09,1228.85,1299.94,1219.05,1283.65,356265.0
2026-02-10,1280.12,1295.0,1250.0001,1269.63,308593.0
2026-02-11,1314.3,1364.9499,1306.78,1338.65,461795.0
2026-02-12,1346.25,1399.0,1298.97,1300.02,505807.0
2026-02-13,1313.0,1355.0,1276.87,1337.95,297778.0
2026-02-17,1317.89,1364.88,1307.645,1337.75,425280.0
2026-02-18,1344.04,1372.0,1314.22,1319.47,458518.0
2026-02-19,1322.9,1377.5,1302.0,1373.52,696527.0
2026-02-20,1414.51,1476.94,1390.0,1462.23,923639.0
2026-02-23,1463.0,1465.49,1387.54,1413.57,734712.147248
2026-02-24,1410.17,1480.97,1375.0,1468.58,507477.236946
2026-02-25,1468.0,1500.0,1442.5101,1450.6,406229.954071
2026-02-26,1453.29,1457.755,1377.6,1438.23,456339.20594
2026-02-27,1418.71,1441.62,1395.84,1429.37,489674.062451
2026-03-02,1405.52,1439.12,1389.54,1438.24,388421.91475
2026-03-03,1412.0,1412.0,1344.03,1391.16,614997.456753
2026-03-04,1407.61,1441.0,1380.22,1430.38,390634.166594
2026-03-05,1408.85,1415.99,1287.91,1348.22,554172.218029
2026-03-06,1290.0,1327.68,1270.69,1279.06,557235.406011
2026-03-09,1246.74,1373.65,1225.24,1372.4,600531.450703
2026-03-10,1384.99,1409.99,1372.4,1383.62,390098.606408
2026-03-11,1384.42,1436.07,1362.01,1407.32,319160.035591
2026-03-12,1390.84,1405.8599,1353.82,1373.76,301534.906762
2026-03-13,1396.02,1418.0,1358.0,1365.34,280196.655103
2026-03-16,1392.05,1421.08,1391.07,1414.1,289033.881993
2026-03-17,1410.1,1432.79,1397.02,1424.46,238672.293041
2026-03-18,1438.71,1462.0,1422.92,1423.0,425405.759419
2026-03-19,1384.6,1463.166,1371.15,1444.6,415640.283164
2026-03-20,1425.42,1450.05,1346.07,1356.75,933571.423304
2026-03-23,1367.54,1456.0,1358.86,1408.25,574241.68289
2026-03-24,1412.07,1472.42,1387.5701,1461.52,572359.645652
2026-03-25,1479.15,1495.46,1461.52,1470.64,279973.644498
