date,open,high,low,close,volume
2025-05-07,36.82,38.55,34.9403,37.95,8632788.0
2025-05-08,38.48,39.39,37.93,38.52,5252998.0
2025-05-09,38.78,39.28,38.3,38.48,3689306.0
2025-05-12,40.005,41.5,39.82,40.88,8575157.0
2025-05-13,41.04,42.34,41.0,41.85,5016367.0
2025-05-14,41.85,42.49,41.76,42.06,3629241.0
2025-05-15,41.55,42.07,41.323,41.95,3044412.0
2025-05-16,41.675,42.07,41.46,42.02,2713481.0
2025-05-19,41.16,42.09,41.0006,41.75,2595006.0
2025-05-20,41.75,42.5,41.75,42.27,3833492.0
2025-05-21,41.98,42.47,41.04,41.18,3769369.0
2025-05-22,41.06,41.8,40.945,41.44,3590371.0
2025-05-23,40.65,41.53,40.1513,41.48,2822073.0
2025-05-27,42.01,42.61,41.7,42.48,4008769.0
2025-05-28,42.55,42.61,41.94,42.08,2639128.0
2025-05-29,42.61,42.7,41.54,41.94,3631705.0
2025-05-30,41.57,42.495,41.55,42.3,4449216.0
2025-06-02,42.215,42.44,41.43,42.38,2670754.0
2025-06-03,42.38,43.25,42.33,43.22,3175091.0
2025-06-04,43.38,43.4,42.56,42.77,2612496.0
2025-06-05,42.99,43.25,42.31,42.56,2961882.0
2025-06-06,43.0,43.345,42.6,43.07,2356314.0
2025-06-09,43.14,43.76,42.89,43.72,3827879.0
2025-06-10,44.22,44.27,43.09,43.86,3697978.0
2025-06-11,43.76,44.03,43.0648,43.64,4102991.0
2025-06-12,43.18,44.1,43.05,43.57,4152488.0
2025-06-13,42.91,43.84,42.8255,43.13,3086569.0
2025-06-16,43.36,44.205,43.15,43.91,3015987.0
2025-06-17,43.7,45.84,43.62,45.27,6489494.0
2025-06-18,45.33,46.9,45.33,46.18,5224171.0
2025-06-20,46.5,46.73,45.6,46.03,6065267.0
2025-06-23,45.59,46.48,45.31,46.35,2758589.0
2025-06-24,46.78,48.025,46.64,47.91,3862965.0
2025-06-25,48.375,49.435,48.09,49.02,4233297.0
2025-06-26,49.41,50.61,49.1101,50.09,5116269.0
2025-06-27,50.46,50.62,49.38,49.89,31082311.0
2025-06-30,49.96,50.15,49.31,49.92,4147130.0
2025-07-01,49.625,49.95,48.155,48.49,5248916.0
2025-07-02,48.71,50.77,48.51,50.74,4663449.0
2025-07-03,50.72,52.17,50.72,51.69,2764362.0
2025-07-07,51.06,51.81,50.81,51.46,3221211.0
2025-07-08,51.73,51.9987,50.83,51.27,3470921.0
2025-07-09,51.48,52.17,51.34,51.68,3943862.0
2025-07-10,52.19,52.2,51.06,51.93,4424597.0
2025-07-11,51.85,52.54,51.8,52.19,2903561.0
2025-07-14,52.05,52.47,51.6,51.96,2888413.0
2025-07-15,52.45,52.45,51.53,51.56,3004736.0
2025-07-16,51.54,51.91,50.89,51.85,3178591.0
2025-07-17,51.95,53.43,51.945,53.18,3331877.0
2025-07-18,53.29,53.75,52.9,53.06,3853146.0
2025-07-21,53.13,53.91,52.72,53.29,4429760.0
2025-07-22,53.24,53.48,51.4,52.45,4624740.0
2025-07-23,53.0,53.97,53.0,53.8,5876607.0
2025-07-24,50.525,51.7,48.95,49.67,8669574.0
2025-07-25,49.67,50.04,49.19,49.99,3987830.0
2025-07-28,50.18,50.73,49.905,50.49,3292998.0
2025-07-29,50.71,52.36,50.7,51.8,6359075.0
2025-07-30,51.89,52.66,50.91,51.07,4413543.0
2025-07-31,51.32,51.76,49.76,49.87,5060053.0
2025-08-01,48.695,50.0301,48.29,49.52,3800806.0
2025-08-04,50.39,51.04,49.61,50.94,3357603.0
2025-08-05,51.26,51.75,49.8881,50.54,2679393.0
2025-08-06,50.54,50.66,49.67,49.86,3809645.0
2025-08-07,50.38,50.4343,49.02,49.71,5029790.0
2025-08-08,50.23,51.07,49.95,50.34,3401174.0
2025-08-11,50.42,51.195,50.03,50.16,2862261.0
2025-08-12,50.66,51.88,50.6,51.84,2282719.0
2025-08-13,52.05,52.37,49.7,50.35,3618617.0
2025-08-14,49.66,50.0,49.205,49.44,3099744.0
2025-08-15,49.29,49.4,48.2001,49.0,4663528.0
2025-08-18,48.98,49.92,48.9787,49.77,3075028.0
2025-08-19,52.52,52.97,49.44,49.77,5321087.0
2025-08-20,49.68,49.74,47.83,49.1,3319917.0
2025-08-21,49.06,49.5999,48.98,49.41,2652589.0
2025-08-22,49.58,51.99,49.36,51.92,3242085.0
2025-08-25,51.89,53.52,51.765,52.98,4024623.0
2025-08-26,53.07,54.14,53.01,53.48,4163743.0
2025-08-27,53.48,54.1763,53.3,53.73,3995126.0
2025-08-28,53.97,54.83,53.82,54.76,3353341.0
2025-08-29,54.49,54.8,53.15,53.62,3153900.0
2025-09-02,52.445,53.68,51.755,53.65,3131015.0
2025-09-03,53.95,54.19,53.48,53.68,3550766.0
2025-09-04,53.99,55.56,53.81,55.17,3643466.0
2025-09-05,55.522,56.58,54.845,55.66,3408817.0
2025-09-08,55.95,56.85,55.56,55.84,3031472.0
2025-09-09,55.84,56.5,55.35,56.2,3106377.0
2025-09-10,56.66,58.215,56.585,58.05,4458391.0
2025-09-11,57.59,58.595,57.435,57.73,4082912.0
2025-09-12,57.66,57.88,57.195,57.29,2259705.0
2025-09-15,57.4,58.3,57.37,57.76,2214432.0
2025-09-16,57.94,57.94,56.69,57.2,3103155.0
2025-09-17,57.2,57.2,55.35,56.46,3436595.0
2025-09-18,57.36,58.24,56.955,58.13,3164941.0
2025-09-19,58.12,58.8,57.69,58.65,7986899.0
2025-09-22,58.35,59.2,58.26,59.01,3176901.0
2025-09-23,59.06,59.76,58.9,59.33,4038282.0
2025-09-24,59.62,59.62,57.25,57.58,4550920.0
2025-09-25,55.84,56.605,54.5,56.5,5292886.0
2025-09-26,56.65,57.09,56.305,56.85,2647836.0
2025-09-29,57.71,58.25,57.23,57.55,3072519.0
2025-09-30,57.45,58.05,57.125,57.97,2958932.0
2025-10-01,57.25,58.36,56.9014,58.01,2936077.0
2025-10-02,58.82,59.33,57.63,58.09,2272588.0
2025-10-03,58.58,58.67,55.85,56.13,4324567.0
2025-10-06,57.72,58.33,56.785,57.28,3909730.0
2025-10-07,57.94,58.585,55.89,57.25,3268783.0
2025-10-08,57.46,60.05,57.2,59.84,3668644.0
2025-10-09,59.7,59.995,58.35,59.63,3435635.0
2025-10-10,59.8,60.0,56.53,56.59,2747761.0
2025-10-13,58.44,58.925,57.56,58.83,2130743.0
2025-10-14,57.63,60.49,57.23,59.6,3123896.0
2025-10-15,60.43,63.65,60.345,63.6,4655824.0
2025-10-16,63.75,64.29,62.42,63.34,3004883.0
2025-10-17,62.99,63.94,61.52,62.14,3447003.0
2025-10-20,63.02,63.19,62.075,62.75,2600286.0
2025-10-21,62.54,63.02,61.91,62.32,3427403.0
2025-10-22,62.8,63.69,60.08,61.33,6444827.0
2025-10-23,61.72,64.52,61.72,63.89,2807448.0
2025-10-24,64.94,65.59,64.11,64.28,4843801.0
2025-10-27,65.52,65.879,64.315,64.66,4351754.0
2025-10-28,65.51,65.95,63.23,64.26,5495977.0
2025-10-29,59.49,67.0,58.95,66.1,6978811.0
2025-10-30,65.78,66.89,63.25,63.99,4546503.0
2025-10-31,64.8,65.29,61.87,62.52,4988318.0
2025-11-03,63.4,64.13,62.52,63.9,5035751.0
2025-11-04,62.57,63.33,61.5,61.81,3543474.0
2025-11-05,62.35,65.44,62.205,65.26,4877513.0
2025-11-06,65.78,66.05,62.8,63.31,3757195.0
2025-11-07,62.29,62.71,60.79,62.64,4796809.0
2025-11-10,64.3,64.98,63.155,63.64,3148232.0
2025-11-11,63.48,63.58,61.465,61.52,3806444.0
2025-11-12,62.14,64.0494,62.14,62.92,2965638.0
2025-11-13,62.2,62.22,58.97,59.53,3345164.0
2025-11-14,57.61,61.15,57.41,59.99,2549636.0
2025-11-17,59.9,60.71,58.12,58.75,2170902.0
2025-11-18,57.92,58.75,57.34,57.57,5946686.0
2025-11-19,57.675,59.43,57.66,58.3,2984864.0
2025-11-20,60.43,60.58,54.02,54.505,3889803.0
2025-11-21,54.54,55.38,53.07,55.29,4984073.0
2025-11-24,55.83,57.28,55.47,56.95,27537788.0
2025-11-25,56.95,57.73,56.04,57.35,4112956.0
2025-11-26,57.4,59.57,57.35,58.4,3331893.0
2025-11-28,59.03,59.13,57.84,59.11,1876681.0
2025-12-01,58.42,58.94,56.48,56.55,5113274.0
2025-12-02,57.31,57.93,56.1701,57.42,4269505.0
2025-12-03,57.51,59.085,56.76,58.77,3014281.0
2025-12-04,58.77,61.98,58.5,61.19,4045132.0
2025-12-05,61.37,62.72,61.25,62.41,4751439.0
2025-12-08,65.83,69.25,65.34,67.54,13053382.0
2025-12-09,67.345,70.37,66.61,68.5,8715093.0
2025-12-10,68.23,72.22,67.09,72.08,7171095.0
2025-12-11,71.97,72.08,69.38,71.01,6157834.0
2025-12-12,71.34,71.73,67.5,68.8,6871621.0
2025-12-15,69.4,70.18,67.54,67.81,11294463.0
2025-12-16,67.27,67.78,64.65,65.01,11953843.0
2025-12-17,65.95,67.07,62.48,62.85,12879152.0
2025-12-18,64.24,65.2,62.63,63.04,10521002.0
2025-12-19,63.23,65.3,63.11,64.24,16005780.0
2025-12-22,65.2,65.46,62.65,63.78,3763214.0
2025-12-23,63.32,64.1,62.8,63.74,3089578.0
2025-12-24,63.65,64.07,63.17,63.55,1243029.0
2025-12-26,63.77,63.83,63.02,63.33,1552955.0
2025-12-29,63.04,63.65,62.26,62.56,1994584.0
2025-12-30,62.75,62.79,61.56,61.67,1614657.0
2025-12-31,61.87,62.2686,60.35,60.42,2018508.0
2026-01-02,61.44,63.72,61.39,63.68,2661094.0
2026-01-05,64.59,65.28,61.35,61.75,3390286.0
2026-01-06,61.75,62.14,58.945,62.045,2911460.0
2026-01-07,62.0,62.03,60.57,61.36,3400526.0
2026-01-08,61.38,61.38,59.13,60.38,4301322.0
2026-01-09,60.45,62.0913,60.35,61.5,2761237.0
2026-01-12,61.02,62.485,60.74,62.14,2772497.0
2026-01-13,62.18,65.0,62.15,64.27,3099750.0
2026-01-14,65.65,66.187,63.12,63.83,3613151.0
2026-01-15,64.995,67.08,64.895,66.59,4259359.0
2026-01-16,66.92,67.04,64.615,64.83,2549880.0
2026-01-20,62.7,67.0995,62.56,64.405,4328686.0
2026-01-21,65.22,67.49,63.96,66.6,2877164.0
2026-01-22,67.65,67.93,63.25,64.72,2976012.0
2026-01-23,64.62,64.75,62.8,63.775,2015111.0
2026-01-26,63.76,64.78,63.01,63.75,2751000.0
2026-01-27,63.8,65.1,62.6,65.1,2584812.0
2026-01-28,65.55,66.89,64.76,66.27,2663852.0
2026-01-29,66.66,67.43,64.05,65.47,4077648.0
2026-01-30,65.0,66.64,62.34,63.04,3793319.0
2026-02-02,62.69,65.9,62.67,64.68,3298490.0
2026-02-03,65.16,66.185,62.86,65.99,6518811.0
2026-02-04,62.9,65.115,55.1601,58.83,10057625.0
2026-02-05,59.01,60.34,57.74,60.145,6506337.0
2026-02-06,61.96,65.98,61.0,63.98,5504558.0
2026-02-09,63.85,66.78,63.03,66.07,3250401.0
2026-02-10,65.89,66.7,63.39,64.29,5399476.0
2026-02-11,65.23,66.41,63.5461,64.84,3843649.0
2026-02-12,66.3,67.5,62.02,62.6,5075413.0
2026-02-13,63.12,64.795,61.54,64.24,4208399.0
2026-02-17,64.31,65.515,62.72,64.42,3273184.0
2026-02-18,64.34,66.93,63.62,65.82,3819901.0
2026-02-19,65.36,65.72,64.22,65.11,2957545.0
2026-02-20,64.56,67.71,64.51,65.68,4125623.0
2026-02-23,65.25,65.67,62.47,63.3,3440782.334828
2026-02-24,63.92,65.8783,63.58,64.92,3223854.701726
2026-02-25,65.795,66.66,64.94,65.67,3161026.917203
2026-02-26,65.9,66.065,62.6,63.21,2944177.403737
2026-02-27,62.16,63.08,61.58,63.02,4003892.2368
2026-03-02,61.37,65.58,61.03,65.49,3550044.634762
2026-03-03,63.07,64.1,60.7174,63.08,3409334.071719
2026-03-04,64.08,64.84,63.2,63.94,2388158.808366
2026-03-05,63.34,64.195,60.59,63.51,4061356.753598
2026-03-06,61.15,61.87,59.54,59.91,2982612.214617
2026-03-09,58.87,61.4799,58.53,61.33,4021941.91905
2026-03-10,61.42,62.95,60.68,60.91,2883647.69358
2026-03-11,60.75,63.46,60.75,63.39,4012399.559659
2026-03-12,62.83,64.48,61.43,63.295,4627172.620193
2026-03-13,63.3,64.17,61.81,63.445,2632922.56785
