date,open,high,low,close,volume
2025-04-10,125.0,125.7,117.6501,122.19,3736936.0
2025-04-11,122.97,126.33,120.15,125.93,2690306.0
2025-04-14,129.11,133.143,126.45,131.26,2705648.0
2025-04-15,131.21,134.03,126.0047,126.82,2570795.0
2025-04-16,126.06,128.7,121.83,124.38,2417159.0
2025-04-17,124.59,128.38,123.2,127.98,2279782.0
2025-04-21,126.455,126.505,120.43,122.45,1930927.0
2025-04-22,131.5,141.46,129.3303,135.35,8077916.0
2025-04-23,138.07,138.11,129.94,131.1,3722502.0
2025-04-24,133.0,137.7,131.8401,136.44,3242837.0
2025-04-25,135.01,142.2,134.92,141.86,2702960.0
2025-04-28,143.645,144.63,138.565,140.73,2755871.0
2025-04-29,140.72,144.0,136.82,137.24,5607263.0
2025-04-30,120.755,127.6,119.0901,125.82,13743678.0
2025-05-01,127.94,130.07,126.32,126.57,4499389.0
2025-05-02,127.68,132.27,125.55,130.54,3395992.0
2025-05-05,128.65,129.23,122.475,127.16,3736753.0
2025-05-06,127.0,130.79,126.23,126.76,2703101.0
2025-05-07,125.98,130.0,125.8,129.78,2067711.0
2025-05-08,130.34,135.3,127.325,133.76,4269547.0
2025-05-09,134.115,143.61,133.75,140.68,5430363.0
2025-05-12,148.94,156.89,142.57,156.21,12000791.0
2025-05-13,176.12,195.44,175.24,191.6,20211151.0
2025-05-14,190.475,198.87,186.8466,192.98,8542887.0
2025-05-15,190.5,190.825,180.92,186.18,5979083.0
2025-05-16,187.3,188.0,175.57,178.46,5256289.0
2025-05-19,171.4,174.0799,160.775,164.92,10873011.0
2025-05-20,165.37,172.89,164.7,167.22,6089860.0
2025-05-21,161.645,164.82,159.61,163.37,4896034.0
2025-05-22,159.95,161.0,152.72,156.35,7911866.0
2025-05-23,154.01,161.62,152.59,158.38,3562490.0
2025-05-27,158.55,158.69,153.78,155.73,3835182.0
2025-05-28,155.505,157.33,153.865,156.45,2221570.0
2025-05-29,158.0,159.38,153.77,155.95,2514501.0
2025-05-30,155.75,160.64,154.195,158.08,5258066.0
2025-06-02,158.21,158.815,148.8,149.65,4165230.0
2025-06-03,149.08,159.65,145.8935,159.37,4474557.0
2025-06-04,159.9,163.165,156.25,159.81,3033834.0
2025-06-05,160.65,167.2,157.7601,163.84,3608242.0
2025-06-06,165.14,166.92,162.5,166.35,2121552.0
2025-06-09,167.85,168.63,160.09,160.16,2601396.0
2025-06-10,162.47,164.935,159.85,164.62,3025610.0
2025-06-11,170.0,174.4308,166.72,167.86,3617612.0
2025-06-12,167.52,168.94,163.76,167.83,2120753.0
2025-06-13,164.63,179.5,164.1,175.2,4466846.0
2025-06-16,176.32,177.63,169.63,175.25,4928925.0
2025-06-17,137.95,146.93,135.5,143.9,20640041.0
2025-06-18,143.71,150.75,141.5,143.67,7610683.0
2025-06-20,144.0,147.73,143.8,145.0,5074257.0
2025-06-23,144.3,146.999,139.2604,144.67,3708193.0
2025-06-24,145.94,153.49,142.8355,151.18,5149077.0
2025-06-25,152.0,152.97,147.3,152.7,3386661.0
2025-06-26,156.81,158.99,154.0,155.63,4127883.0
2025-06-27,156.37,158.19,149.54,152.14,4371571.0
2025-06-30,161.625,167.79,159.52,165.54,7938454.0
2025-07-01,165.02,169.63,158.81,162.96,6575502.0
2025-07-02,165.0,178.31,164.71,170.52,6332265.0
2025-07-03,178.0,189.5,177.85,185.03,6399688.0
2025-07-07,183.0,183.8799,175.35,177.06,3697401.0
2025-07-08,168.315,172.62,165.15,165.48,4965767.0
2025-07-09,165.3,167.24,163.19,165.99,2979067.0
2025-07-10,166.59,168.48,164.6,165.09,3019514.0
2025-07-11,163.6,165.64,161.76,162.44,2137112.0
2025-07-14,162.5,165.15,159.851,160.84,1911465.0
2025-07-15,167.34,172.8,165.8931,171.93,4188748.0
2025-07-16,172.1,173.37,165.5701,166.82,3211757.0
2025-07-17,167.74,175.847,167.595,173.54,3650247.0
2025-07-18,173.4,177.23,171.86,175.85,2611576.0
2025-07-21,176.93,181.2499,175.2044,178.33,2298184.0
2025-07-22,178.335,181.0577,175.53,179.99,1944880.0
2025-07-23,180.68,181.8813,176.88,179.77,1894373.0
2025-07-24,180.29,181.99,177.06,180.72,2046923.0
2025-07-25,180.05,186.81,179.32,185.32,2048033.0
2025-07-28,183.75,184.8899,180.315,183.58,2622123.0
2025-07-29,183.58,184.51,180.93,181.82,1584755.0
2025-07-30,181.99,183.0,176.62,179.13,2300757.0
2025-07-31,179.89,179.89,171.99,174.73,3571172.0
2025-08-01,186.34,189.6299,179.0,183.97,5804788.0
2025-08-04,184.295,186.25,181.47,183.42,2150491.0
2025-08-05,183.06,188.8299,181.3,186.84,2510823.0
2025-08-06,186.72,190.0,183.5,185.01,1758636.0
2025-08-07,187.57,190.66,185.22,185.6,2216257.0
2025-08-08,187.39,188.5,183.78,184.65,1631088.0
2025-08-11,184.28,187.52,181.52,182.13,1508792.0
2025-08-12,184.29,187.77,181.52,184.73,2018994.0
2025-08-13,185.36,192.54,183.2,184.84,2838169.0
2025-08-14,182.19,183.04,176.47,180.05,2514632.0
2025-08-15,182.12,206.6,179.06,199.95,10932463.0
2025-08-18,209.68,221.5,209.5,219.33,9507067.0
2025-08-19,215.33,219.65,208.514,210.96,4568599.0
2025-08-20,208.67,212.99,205.26,206.44,3045755.0
2025-08-21,204.595,204.595,191.4,192.0,5222728.0
2025-08-22,194.15,203.1575,191.1,202.28,4433064.0
2025-08-25,200.0,201.5,195.12,199.44,1937648.0
2025-08-26,198.97,201.0,195.79,196.72,2297175.0
2025-08-27,195.09,196.7144,191.05,191.23,2030778.0
2025-08-28,193.75,199.7786,192.93,197.02,2017154.0
2025-08-29,197.15,199.8,195.04,195.19,1397739.0
2025-09-02,190.15,196.25,187.64,195.78,1935216.0
2025-09-03,195.83,203.03,194.3,201.49,2546786.0
2025-09-04,202.4,204.2,197.5,201.87,1741250.0
2025-09-05,206.265,213.25,199.3,205.14,3066253.0
2025-09-08,206.25,206.64,198.9478,203.21,2450265.0
2025-09-09,204.1,207.23,197.8,203.06,1846820.0
2025-09-10,203.75,209.131,201.25,203.79,1692095.0
2025-09-11,204.36,208.8,202.58,203.31,1653088.0
2025-09-12,203.54,205.44,201.59,201.7,1239356.0
2025-09-15,201.81,207.79,196.8,207.0,1925619.0
2025-09-16,207.375,208.435,203.99,205.25,1847144.0
2025-09-17,205.97,215.25,204.25,210.71,2656801.0
2025-09-18,211.0,212.6635,206.93,209.63,2331219.0
2025-09-19,211.01,216.7,209.12,212.49,3860634.0
2025-09-22,213.23,219.84,211.5001,219.2,2692520.0
2025-09-23,220.0,223.49,215.3901,215.73,2479479.0
2025-09-24,217.5,228.335,217.5,219.17,2818787.0
2025-09-25,214.69,225.32,211.01,223.05,2051682.0
2025-09-26,221.25,223.39,218.6637,220.02,1880606.0
2025-09-29,222.11,226.93,221.7451,223.53,1886375.0
2025-09-30,223.69,224.32,218.03,220.53,1707221.0
2025-10-01,221.78,229.11,221.41,224.82,2626018.0
2025-10-02,230.02,234.01,227.5003,232.13,2773138.0
2025-10-03,232.25,235.87,226.72,230.13,2191298.0
2025-10-06,231.515,235.58,227.77,229.57,2030601.0
2025-10-07,229.57,230.9999,225.5,227.89,1416907.0
2025-10-08,229.31,232.9999,227.909,231.37,1128220.0
2025-10-09,231.17,237.1999,228.9,234.3,1517629.0
2025-10-10,232.9,234.42,224.0001,225.91,2180578.0
2025-10-13,227.885,235.88,224.16,226.15,2278352.0
2025-10-14,224.26,230.9574,220.1,224.43,2191769.0
2025-10-15,231.69,248.04,229.0823,244.4,4617494.0
2025-10-16,242.1,245.36,236.64,237.79,2294203.0
2025-10-17,235.46,237.3099,229.83,231.85,2327967.0
2025-10-20,234.52,238.0,228.39,229.0,1422549.0
2025-10-21,230.365,230.41,224.16,226.85,1304855.0
2025-10-22,227.19,231.5502,216.6301,223.36,2379854.0
2025-10-23,222.8,230.835,222.63,229.0,1681141.0
2025-10-24,239.68,244.0,234.0,241.41,2595487.0
2025-10-27,243.605,249.56,241.41,247.69,2068947.0
2025-10-28,246.07,249.27,236.841,239.6,2552517.0
2025-10-29,240.0,246.1,236.0,241.71,2331260.0
2025-10-30,237.14,242.52,232.77,233.58,2529272.0
2025-10-31,249.13,269.672,246.16,266.94,6158718.0
2025-11-03,265.93,275.08,261.0,265.705,2707585.0
2025-11-04,256.78,269.7899,253.78,262.7,2575518.0
2025-11-05,262.4,281.55,261.0274,277.39,3644340.0
2025-11-06,278.4,279.96,270.62,271.98,2338799.0
2025-11-07,262.08,268.356,254.51,267.64,2513339.0
2025-11-10,273.07,278.8099,268.06,272.64,2141236.0
2025-11-11,268.97,272.9999,261.06,264.15,1922221.0
2025-11-12,268.11,270.37,261.77,267.52,1503412.0
2025-11-13,267.52,269.77,255.84,256.59,2351467.0
2025-11-14,244.41,257.7,243.75,253.08,2816398.0
2025-11-17,251.35,258.0,250.25,253.54,1484467.0
2025-11-18,247.0,257.38,244.42,252.19,1760492.0
2025-11-19,252.19,257.83,249.3001,251.87,1514666.0
2025-11-20,258.04,264.79,244.22,245.84,2300693.0
2025-11-21,244.64,254.0,241.0,249.91,1923029.0
2025-11-24,250.0,261.45,249.0,259.85,2094054.0
2025-11-25,261.53,261.91,253.53,260.36,1571218.0
2025-11-26,263.5,274.62,262.69,272.21,1903802.0
2025-11-28,274.08,276.14,270.51,272.92,1091176.0
2025-12-01,269.27,272.205,262.69,263.54,2049905.0
2025-12-02,264.39,265.941,260.0,262.56,1573322.0
2025-12-03,263.0,263.0,252.31,256.06,1862924.0
2025-12-04,255.44,260.5,254.7,257.28,1365390.0
2025-12-05,258.0,264.0,255.12,257.61,1911217.0
2025-12-08,257.13,258.71,251.32,255.88,1825433.0
2025-12-09,253.81,261.2699,252.4,253.42,1998859.0
2025-12-10,252.15,266.25,251.3,262.23,1825835.0
2025-12-11,261.11,273.459,253.87,272.83,2315848.0
2025-12-12,273.0,273.8,249.0,254.8,2969086.0
2025-12-15,253.51,257.25,249.761,255.89,1564447.0
2025-12-16,255.25,260.34,252.0,258.51,1489382.0
2025-12-17,260.0,264.0,251.7,254.03,1750928.0
2025-12-18,258.89,266.72,255.5,261.79,1873889.0
2025-12-19,263.47,268.9,261.79,266.98,2708101.0
2025-12-22,269.19,285.99,265.6453,284.59,3478951.0
2025-12-23,282.0,283.3675,262.0,269.39,3848528.0
2025-12-24,270.03,273.5,267.2695,272.21,849828.0
2025-12-26,271.59,271.735,267.0,269.69,822563.0
2025-12-29,267.99,275.0,266.05,268.25,1060648.0
2025-12-30,268.25,269.4299,263.75,264.3,817907.0
2025-12-31,264.3,266.3,260.5,261.23,1081961.0
2026-01-02,265.86,277.5699,265.86,274.34,1476805.0
2026-01-05,278.39,280.5,263.23,272.0,2006817.0
2026-01-06,273.0,277.6799,266.28,268.78,1620652.0
2026-01-07,254.02,255.92,239.975,241.11,6207863.0
2026-01-08,239.66,247.25,238.52,246.26,2301263.0
2026-01-09,248.02,248.04,235.12,238.66,3712047.0
2026-01-12,235.53,244.35,233.0,237.83,2116431.0
2026-01-13,238.5,244.215,237.06,241.36,2063634.0
