date,open,high,low,close,volume
2025-04-10,97.26,98.19,93.58,96.32,6807685.0
2025-04-11,96.01,98.18,94.97,97.73,5503251.0
2025-04-14,99.89,100.5,95.36,96.85,4616038.0
2025-04-15,97.39,99.24,97.195,99.2,3584029.0
2025-04-16,97.2,98.6,94.8,96.07,5678499.0
2025-04-17,96.825,97.35,95.8,96.13,2979241.0
2025-04-21,94.87,95.71,91.33,92.72,3071546.0
2025-04-22,93.51,95.06,91.24,94.37,4621048.0
2025-04-23,97.45,99.54,96.29,97.0,4330101.0
2025-04-24,96.99,101.19,96.75,100.72,4087897.0
2025-04-25,100.27,101.92,99.9927,101.8,3350024.0
2025-04-28,102.39,103.08,100.94,102.64,3079459.0
2025-04-29,102.02,104.535,101.97,104.21,3128882.0
2025-04-30,101.86,103.98,100.34,103.76,5456902.0
2025-05-01,104.875,106.41,104.14,104.21,4088319.0
2025-05-02,105.705,106.65,104.63,106.18,3795580.0
2025-05-05,104.57,109.33,104.46,108.69,5447124.0
2025-05-06,105.985,108.51,105.43,107.14,4775150.0
2025-05-07,106.04,107.44,105.47,106.72,6913469.0
2025-05-08,97.6,99.27,93.2501,97.74,15635131.0
2025-05-09,98.33,98.38,95.42,97.42,5721214.0
2025-05-12,99.85,102.13,99.19,102.04,6251519.0
2025-05-13,101.485,105.5,101.28,105.05,5890029.0
2025-05-14,105.1,105.97,102.68,103.23,4513852.0
2025-05-15,102.5,103.395,101.34,102.56,4680209.0
2025-05-16,103.23,105.11,102.69,104.59,4510482.0
2025-05-19,103.555,104.95,103.5,104.75,3562604.0
2025-05-20,104.89,104.89,103.2,104.79,3958293.0
2025-05-21,103.695,104.78,102.75,102.84,4423738.0
2025-05-22,103.33,104.69,103.08,103.62,3655115.0
2025-05-23,102.16,103.53,101.58,103.16,3769215.0
2025-05-27,104.2,106.06,104.165,104.74,4249484.0
2025-05-28,104.74,105.58,104.22,104.51,3740068.0
2025-05-29,105.22,105.5,100.895,102.04,4731952.0
2025-05-30,102.2,102.48,100.535,101.78,17092973.0
2025-06-02,101.1,102.52,99.85,102.47,5242986.0
2025-06-03,102.26,103.17,102.06,102.88,3789923.0
2025-06-04,102.5,102.84,101.32,101.62,3393049.0
2025-06-05,102.07,103.98,101.75,103.5,3368327.0
2025-06-06,104.32,105.2,103.725,104.94,3296652.0
2025-06-09,104.73,105.0,101.94,102.08,3904754.0
2025-06-10,102.325,102.9,101.07,101.63,3789499.0
2025-06-11,101.42,104.01,100.14,102.02,4220252.0
2025-06-12,101.835,102.79,101.47,101.66,2946595.0
2025-06-13,100.78,103.34,100.31,100.83,3425248.0
2025-06-16,101.1,103.234,101.1,101.95,3519799.0
2025-06-17,101.53,104.4991,101.3,102.88,4095961.0
2025-06-18,103.255,103.4,99.84,100.82,4337319.0
2025-06-20,101.32,101.99,98.86,99.85,6944097.0
2025-06-23,99.775,103.46,98.6,103.15,4523473.0
2025-06-24,104.32,104.99,103.39,104.42,3540704.0
2025-06-25,104.87,105.79,103.52,103.69,2792178.0
2025-06-26,103.73,104.74,103.1,103.86,2816254.0
2025-06-27,103.92,104.47,102.94,103.11,5706052.0
2025-06-30,103.9,105.955,103.405,105.72,4095413.0
2025-07-01,105.355,105.85,100.91,102.43,6138018.0
2025-07-02,101.81,102.65,100.91,102.21,3749274.0
2025-07-03,102.68,106.115,102.62,105.66,2864114.0
2025-07-07,105.595,107.56,105.0202,106.65,4762596.0
2025-07-08,106.97,107.825,103.36,107.54,5288539.0
2025-07-09,108.65,108.77,105.62,107.65,4442491.0
2025-07-10,107.71,108.09,99.91,100.2,5975009.0
2025-07-11,100.0,100.6181,98.7,99.06,4131965.0
2025-07-14,99.36,103.56,99.25,102.97,6019608.0
2025-07-15,103.405,105.44,103.38,104.93,4172835.0
2025-07-16,104.93,105.19,101.55,103.44,3509647.0
2025-07-17,103.5,105.46,103.35,104.92,3480861.0
2025-07-18,105.71,106.57,104.7245,105.42,3640786.0
2025-07-21,105.16,107.52,104.355,106.94,3533822.0
2025-07-22,106.93,107.4,104.64,104.81,2951433.0
2025-07-23,104.91,105.145,103.14,105.06,2582740.0
2025-07-24,105.31,106.19,104.03,104.77,2440045.0
2025-07-25,105.23,105.85,104.72,104.82,2088028.0
2025-07-28,104.98,106.21,104.12,104.88,2129027.0
2025-07-29,105.63,106.95,103.21,104.77,3246943.0
2025-07-30,104.88,104.88,99.78,101.71,5326217.0
2025-07-31,102.265,102.6,99.67,99.9,4311894.0
2025-08-01,99.38,99.38,96.825,97.36,4709352.0
2025-08-04,97.815,99.345,96.54,98.55,5382976.0
2025-08-05,98.45,99.4,96.12,96.21,4034156.0
2025-08-06,96.99,97.589,96.3,96.58,8765691.0
2025-08-07,74.3,75.35,70.12,75.3,47432964.0
2025-08-08,76.105,76.71,72.83,74.39,17024496.0
2025-08-11,74.02,76.9,73.81,74.57,13429556.0
2025-08-12,75.0,78.99,74.98,78.47,15499403.0
2025-08-13,79.88,80.1,78.05,79.33,14129022.0
2025-08-14,78.05,78.595,76.82,77.25,11823147.0
2025-08-15,77.68,79.82,77.04,79.11,10868808.0
2025-08-18,79.57,81.2,78.9439,80.76,12268351.0
2025-08-19,81.28,81.28,77.1017,78.09,15012629.0
2025-08-20,78.09,80.3,77.3,79.61,12247330.0
2025-08-21,78.91,79.11,76.86,77.75,9966843.0
2025-08-22,78.31,80.62,78.21,80.02,6175766.0
2025-08-25,79.9,79.99,77.61,77.64,7269015.0
2025-08-26,77.95,78.33,77.21,77.65,6114272.0
2025-08-27,78.035,78.34,77.51,78.13,5710969.0
2025-08-28,78.18,79.41,77.94,79.29,4929692.0
2025-08-29,79.17,79.515,78.32,78.77,4458230.0
2025-09-02,75.235,77.26,75.0,76.925,7353513.0
