date,open,high,low,close,volume
2025-05-07,51.0475,51.8312,50.9043,51.266,5373859.01
2025-05-08,51.7182,53.0821,51.7182,52.6225,4459067.674
2025-05-09,52.8259,53.3459,52.6466,53.1424,4586920.143
2025-05-12,55.0716,55.9834,55.0716,55.569,5561341.551
2025-05-13,55.5011,56.2698,55.3956,55.5011,4503662.836
2025-05-14,55.2901,55.6217,54.7702,54.7852,3661248.734
2025-05-15,54.6647,54.9962,54.3971,54.6194,5357016.726
2025-05-16,54.5365,55.2223,54.3029,55.1545,4280101.819
2025-05-19,54.2803,54.8531,54.2803,54.7249,5534928.943
2025-05-20,54.4763,54.7099,54.0934,54.22,4786097.535
2025-05-21,53.8282,54.0543,52.8033,52.8259,4222605.563
2025-05-22,52.6526,53.2705,52.5772,52.8636,3277455.121
2025-05-23,51.9593,52.8165,51.9593,52.5019,4597029.229
2025-05-27,53.1801,53.4062,52.728,53.3986,7068817.532
2025-05-28,54.3783,54.6722,53.6549,53.8885,7102334.898
2025-05-29,54.2653,54.2879,53.2027,53.5569,3221551.265
2025-05-30,53.3384,53.4891,52.4906,52.8937,5682517.883
2025-06-02,52.5546,53.0445,51.6767,52.9465,4266973.808
2025-06-03,53.1047,55.2222,53.1047,54.3632,6049248.93
2025-06-04,54.4989,54.642,54.168,54.1974,2644526.547
2025-06-05,54.4386,54.5441,53.847,54.0769,2530770.799
2025-06-06,54.8907,55.4258,54.7928,55.0339,2810901.826
2025-06-09,55.1922,55.5915,55.049,55.1696,3799930.85
2025-06-10,55.0113,55.3203,53.3534,54.7551,5016033.46
2025-06-11,54.8003,55.1093,53.572,53.7302,3931282.618
2025-06-12,53.2781,53.6737,52.9465,53.4589,2574098.676
2025-06-13,52.7054,53.0746,51.997,52.321,5475466.073
2025-06-16,53.0746,53.7001,52.8561,53.3233,2596494.455
2025-06-17,52.939,53.2856,52.3436,52.4491,2648672.095
2025-06-18,52.4567,53.1876,52.3988,52.6225,2433008.055
2025-06-20,52.9616,53.2404,52.2946,52.4868,4334660.097
2025-06-23,52.3662,53.003,51.899,52.9917,3949893.793
2025-06-24,53.2329,53.5041,52.9917,53.2555,3721201.267
2025-06-25,53.3157,53.3233,52.6752,52.8109,3552579.377
2025-06-26,53.1198,53.798,52.8033,53.6699,2323120.512
2025-06-27,53.7905,54.1447,53.6172,53.9563,3958772.75
2025-06-30,52.05,52.39,50.0,52.13,10877160.0
2025-07-01,52.07,54.24,51.25,53.16,6551319.0
2025-07-02,53.26,53.56,52.945,53.34,5891286.0
2025-07-03,53.5,53.75,52.83,53.05,2484750.0
2025-07-07,52.79,53.28,52.61,53.0,6797719.0
2025-07-08,53.17,53.51,52.68,52.8,3623605.0
2025-07-09,52.8,53.03,52.4,52.99,3079508.0
2025-07-10,53.13,53.5,52.8305,53.06,4938463.0
2025-07-11,52.59,52.81,52.4,52.69,3543700.0
2025-07-14,52.27,52.5,51.86,52.17,2607593.0
2025-07-15,51.76,52.32,51.09,51.15,4430711.0
2025-07-16,51.17,51.44,50.065,50.32,5005683.0
2025-07-17,50.5,51.305,50.34,51.27,4664980.0
2025-07-18,51.47,51.5,50.23,50.53,2749234.0
2025-07-21,50.72,50.91,50.06,50.14,3630690.0
2025-07-22,50.13,51.1,50.015,51.08,2760407.0
2025-07-23,51.43,51.43,50.95,51.11,2928924.0
2025-07-24,51.0,51.47,49.6625,51.06,2452195.0
2025-07-25,51.15,51.54,50.82,51.52,2939423.0
2025-07-28,51.56,51.9,51.09,51.26,3206042.0
2025-07-29,51.41,51.54,50.5,50.92,3950426.0
2025-07-30,52.86,52.86,49.26,49.65,9711907.0
2025-07-31,48.99,49.3099,47.831,47.93,4957200.0
2025-08-01,47.03,47.3,46.47,46.55,4974305.0
2025-08-04,46.73,47.31,46.345,47.22,5443879.0
2025-08-05,48.215,48.96,47.85,48.4,8108259.0
2025-08-06,48.53,48.66,47.4602,47.59,5499515.0
2025-08-07,48.15,48.28,47.33,47.45,3207737.0
2025-08-08,47.46,47.71,46.99,47.1,3774302.0
2025-08-11,47.19,47.41,46.34,46.72,3920235.0
2025-08-12,47.05,47.795,46.9,47.65,5826372.0
2025-08-13,47.86,48.865,47.61,48.73,6250902.0
2025-08-14,47.94,48.22,47.585,47.8,4464345.0
2025-08-15,48.01,48.37,47.775,48.16,5626837.0
2025-08-18,48.13,48.42,47.75,47.75,3454238.0
2025-08-19,47.97,48.73,47.795,48.16,2665828.0
2025-08-20,48.2,48.505,47.68,48.04,7630290.0
2025-08-21,48.0,48.71,47.62,47.76,4113589.0
2025-08-22,48.18,49.52,47.98,49.31,3749734.0
2025-08-25,49.13,49.25,48.47,48.51,2753748.0
2025-08-26,48.48,48.65,48.11,48.51,5215430.0
2025-08-27,48.39,48.93,48.28,48.57,2315633.0
2025-08-28,48.8,48.8,47.68,48.01,4023191.0
2025-08-29,47.98,48.41,47.69,47.86,2948741.0
2025-09-02,47.12,47.36,46.54,47.36,4128205.0
2025-09-03,47.22,47.44,46.655,47.03,2848614.0
2025-09-04,47.06,47.605,46.75,47.58,2766854.0
2025-09-05,47.77,48.395,47.41,47.87,3314857.0
2025-09-08,47.7,48.04,47.03,47.98,3201594.0
2025-09-09,47.8,47.905,47.01,47.71,3538187.0
2025-09-10,47.5,48.1816,47.425,47.75,4051433.0
2025-09-11,47.94,49.745,47.7,49.57,6155300.0
2025-09-12,49.31,49.41,48.78,48.83,4988352.0
2025-09-15,49.04,49.105,48.48,48.56,3455224.0
2025-09-16,48.43,49.005,48.065,48.75,2968666.0
2025-09-17,48.94,49.745,47.85,48.03,4800227.0
2025-09-18,48.42,49.39,48.32,48.83,2886798.0
2025-09-19,49.06,49.06,48.12,48.63,9949870.0
2025-09-22,47.93,48.56,47.88,48.32,2731816.0
2025-09-23,48.465,49.26,48.11,48.44,2940203.0
2025-09-24,48.39,48.81,47.67,48.16,2802313.0
2025-09-25,47.94,47.94,47.31,47.67,3422103.0
2025-09-26,48.0,48.56,47.765,48.53,2141195.0
2025-09-29,48.78,49.26,48.545,48.91,3322600.0
2025-09-30,48.81,49.01,48.175,48.99,3202614.0
2025-10-01,48.9,50.22,48.69,50.08,4234612.0
2025-10-02,50.08,50.79,49.55,49.78,3007704.0
2025-10-03,49.82,50.715,49.795,50.41,3435982.0
2025-10-06,50.59,50.84,50.02,50.03,2622387.0
2025-10-07,50.25,50.29,49.31,49.61,1829059.0
2025-10-08,49.91,50.15,49.3215,49.84,1852401.0
2025-10-09,50.02,50.02,49.16,49.3,1958021.0
2025-10-10,49.51,49.64,47.71,47.8,2453390.0
2025-10-13,48.24,48.86,48.03,48.58,1888519.0
2025-10-14,47.95,49.31,47.95,49.03,1375359.0
2025-10-15,48.44,49.55,48.1,48.49,3537520.0
2025-10-16,48.89,48.94,48.28,48.69,1809980.0
2025-10-17,48.39,48.86,48.29,48.66,1796960.0
2025-10-20,48.97,49.5,48.77,49.28,1504184.0
2025-10-21,49.17,50.16,49.105,49.78,1503485.0
2025-10-22,49.74,49.94,48.995,49.08,1966704.0
2025-10-23,49.18,49.75,48.88,49.62,1467689.0
2025-10-24,49.98,50.05,49.16,49.47,1679561.0
2025-10-27,49.81,49.95,49.26,49.47,2263939.0
2025-10-28,49.53,49.58,48.975,49.16,4205490.0
2025-10-29,54.92,55.93,49.77,50.34,9478977.0
2025-10-30,50.71,52.83,50.24,51.25,4907940.0
2025-10-31,50.86,50.97,49.95,50.34,3578922.0
2025-11-03,50.16,50.16,49.03,50.1,3374449.0
2025-11-04,49.82,50.39,49.63,50.34,2569750.0
2025-11-05,50.36,50.94,50.055,50.23,2853019.0
2025-11-06,50.71,51.36,50.52,51.08,3692574.0
2025-11-07,50.89,51.5417,49.985,51.23,3262904.0
2025-11-10,51.35,51.58,50.87,51.33,2547860.0
2025-11-11,51.33,51.91,51.1,51.88,2213710.0
2025-11-12,51.85,52.525,51.8,52.03,2894383.0
2025-11-13,52.05,52.655,51.87,51.96,3905539.0
2025-11-14,51.48,51.965,51.47,51.59,4473435.0
2025-11-17,51.49,51.83,50.44,50.52,4358517.0
2025-11-18,50.31,50.81,50.1,50.38,2638349.0
2025-11-19,50.34,50.99,50.09,50.42,2716914.0
2025-11-20,50.91,51.66,50.37,50.84,3644550.0
2025-11-21,50.99,53.325,50.92,52.82,4152330.0
2025-11-24,52.86,53.15,52.45,52.46,4210535.0
2025-11-25,53.14,53.525,52.7,53.28,3143658.0
2025-11-26,53.11,53.5452,53.0,53.23,2171944.0
2025-11-28,53.36,53.54,53.01,53.48,1317176.0
2025-12-01,53.06,53.52,52.74,52.77,2493108.0
2025-12-02,52.77,53.355,52.57,53.14,1911961.0
2025-12-03,53.25,53.6,53.05,53.45,2063632.0
2025-12-04,53.26,53.82,53.1,53.38,2570386.0
2025-12-05,53.24,54.09,53.13,53.75,2461547.0
2025-12-08,53.61,54.15,53.38,54.13,3674257.0
2025-12-09,54.06,54.38,53.62,53.67,2119394.0
2025-12-10,53.72,55.035,53.66,54.8,2106492.0
2025-12-11,54.7,55.525,54.64,55.46,2410402.0
2025-12-12,55.69,55.75,54.692,54.93,3049417.0
2025-12-15,55.3,55.475,54.76,55.35,3388541.0
2025-12-16,55.55,55.6699,54.57,54.66,2821823.0
2025-12-17,54.53,55.73,54.465,55.24,3801585.0
2025-12-18,55.44,55.67,54.48,54.67,3477167.0
2025-12-19,54.49,55.01,54.44,54.91,12085492.0
2025-12-22,55.0,55.765,54.78,55.68,2599607.0
2025-12-23,55.77,55.9136,55.285,55.64,1612663.0
2025-12-24,55.5,55.74,55.44,55.46,972566.0
2025-12-26,55.4,55.74,55.39,55.69,1380192.0
2025-12-29,55.58,56.18,55.47,56.15,2452254.0
2025-12-30,56.08,56.19,55.89,55.94,2068871.0
2025-12-31,55.94,56.12,55.18,55.21,1612545.0
2026-01-02,55.33,55.695,55.0034,55.39,2691267.0
2026-01-05,54.725,55.05,52.65,53.81,6408657.0
2026-01-06,53.48,55.555,53.41,55.45,5328045.0
2026-01-07,55.41,55.63,54.085,54.14,2793906.0
2026-01-08,53.88,55.8897,53.88,55.21,3740436.0
2026-01-09,55.24,55.65,54.27,55.0,2916868.0
2026-01-12,54.87,55.64,54.655,55.51,2348131.0
2026-01-13,55.67,55.91,54.13,54.68,3536956.0
2026-01-14,54.7,55.77,54.7,55.76,2828261.0
2026-01-15,55.98,56.03,55.32,55.51,2666013.0
2026-01-16,54.78,55.19,54.345,54.96,3207910.0
2026-01-20,54.37,54.59,52.63,52.7,3501852.0
2026-01-21,53.23,54.94,52.74,54.44,4564575.0
2026-01-22,54.93,55.08,54.36,54.72,2076550.0
2026-01-23,54.6,54.8,53.93,54.59,3540818.0
2026-01-26,54.78,55.13,54.47,54.75,2135338.0
2026-01-27,54.65,54.65,53.08,53.15,4674498.0
2026-01-28,53.12,53.53,52.785,52.8,2910293.0
2026-01-29,53.35,53.71,52.53,53.08,2670629.0
2026-01-30,52.78,53.29,52.43,52.81,4329982.0
2026-02-02,52.75,53.9,52.75,53.7,3170066.0
2026-02-03,53.87,54.74,53.13,54.35,5669636.0
2026-02-04,54.5,61.15,54.5,60.13,12979227.0
2026-02-05,60.73,61.15,58.56,60.2,5890183.0
2026-02-06,61.0,61.0,58.44,60.12,6733570.0
2026-02-09,60.14,60.715,59.69,60.7,3345454.0
2026-02-10,60.8,61.96,60.58,61.92,3182199.0
2026-02-11,62.0,62.42,57.71,58.71,8939553.0
2026-02-12,59.0,59.67,54.97,56.0,12572709.0
2026-02-13,56.1,57.37,56.03,56.9,5692030.0
2026-02-17,56.98,57.65,56.28,56.81,4195154.0
2026-02-18,56.99,58.79,56.79,58.33,3760942.0
2026-02-19,57.98,58.46,57.48,57.86,2361226.0
2026-02-20,57.65,58.765,57.44,58.28,2946920.0
2026-02-23,58.1,58.53,56.49,57.18,3531393.767696
2026-02-24,57.29,58.79,57.18,57.68,2498821.907191
2026-02-25,57.82,58.655,57.21,58.32,2983296.156488
2026-02-26,58.72,60.37,58.39,59.8,4306610.686043
2026-02-27,59.12,59.72,58.35,59.2,4964144.050077
2026-03-02,58.43,58.92,57.94,58.58,2503424.801063
2026-03-03,57.62,58.49,56.82,58.03,2582091.71358
2026-03-04,58.19,58.395,57.58,58.0,1903811.465209
2026-03-05,57.5,58.22,57.01,58.03,4120918.946832
2026-03-06,57.25,57.4,55.6,57.39,4414969.009659
2026-03-09,56.43,56.915,55.41,56.35,4668443.544747
2026-03-10,56.57,56.66,55.69,55.82,2506465.779696
2026-03-11,55.6,56.55,55.31,56.31,3074707.625608
