date,open,high,low,close,volume
2025-04-24,264.93,272.27,262.84,271.71,1835079.0
2025-04-25,273.33,273.52,268.1833,271.97,947680.0
2025-04-28,272.93,275.1,269.63,271.94,1031061.0
2025-04-29,272.0,273.3954,270.92,272.08,1002088.0
2025-04-30,272.85,273.03,268.2896,272.12,1388940.0
2025-05-01,271.51,273.28,269.2401,271.51,1319923.0
2025-05-02,275.0,276.24,266.98,273.03,1637835.0
2025-05-05,273.7,274.16,271.67,272.14,1156608.0
2025-05-06,271.235,272.0,268.45,270.61,994505.0
2025-05-07,270.1,271.48,268.22,269.45,861660.0
2025-05-08,269.93,274.57,269.93,271.98,1339521.0
2025-05-09,273.35,273.67,269.41,271.56,1029203.0
2025-05-12,274.1,276.48,269.5,276.24,1158919.0
2025-05-13,275.96,277.0,272.97,273.02,1100842.0
2025-05-14,272.6,273.22,267.39,270.69,1000919.0
2025-05-15,272.55,278.89,271.295,278.51,1396795.0
2025-05-16,280.16,280.72,278.3539,280.71,1173839.0
2025-05-19,280.72,282.91,279.3001,281.37,802139.0
2025-05-20,280.17,282.88,280.17,281.57,734745.0
2025-05-21,281.01,281.955,276.9,277.7,997231.0
2025-05-22,276.97,278.79,275.205,277.03,1034898.0
2025-05-23,274.75,275.625,273.2601,274.75,835881.0
2025-05-27,277.05,279.82,276.31,279.23,1053318.0
2025-05-28,279.65,280.0,273.215,273.64,1006335.0
2025-05-29,272.95,275.4547,271.19,275.2,992226.0
2025-05-30,275.56,278.95,274.12,278.49,1657667.0
2025-06-02,277.84,277.84,273.855,275.71,1001790.0
2025-06-03,275.76,276.86,273.58,276.04,1051028.0
2025-06-04,276.55,277.32,274.81,275.03,772728.0
2025-06-05,275.97,275.97,272.6456,274.42,871030.0
2025-06-06,275.48,278.07,275.19,276.48,647079.0
2025-06-09,276.23,278.07,273.81,277.31,789562.0
2025-06-10,277.73,278.85,276.17,277.37,1008350.0
2025-06-11,276.46,277.01,268.1,275.83,969986.0
2025-06-12,275.22,279.96,274.88,279.93,753684.0
2025-06-13,284.5,286.8,281.86,283.0,1649343.0
2025-06-16,283.23,283.99,278.23,279.29,927511.0
2025-06-17,280.08,281.8315,277.355,281.3,984518.0
2025-06-18,281.3,283.87,278.26,278.53,731930.0
2025-06-20,279.45,280.08,275.49,278.78,1518769.0
2025-06-23,280.08,283.38,279.6401,282.32,1205558.0
2025-06-24,280.53,281.97,278.23,281.05,1127373.0
2025-06-25,283.55,287.25,281.13,285.91,2206095.0
2025-06-26,287.49,292.91,286.355,291.39,1857895.0
2025-06-27,289.83,291.6,288.62,290.74,2268340.0
2025-06-30,291.57,293.14,290.645,291.66,1184183.0
2025-07-01,291.63,294.4,289.4,294.38,1468842.0
2025-07-02,294.115,294.33,290.3,293.92,1086664.0
2025-07-03,293.07,295.43,292.34,294.76,646635.0
2025-07-07,295.01,297.72,293.7201,294.65,979110.0
2025-07-08,296.87,301.55,295.495,296.65,1427226.0
2025-07-09,297.93,300.0,296.84,299.96,1134634.0
2025-07-10,299.93,304.22,298.9202,303.38,1362953.0
2025-07-11,302.905,303.367,301.21,302.2,952711.0
2025-07-14,302.1,305.73,301.435,304.85,1147148.0
2025-07-15,304.4,305.3339,300.72,300.85,1147170.0
2025-07-16,301.14,302.0,297.89,300.0,1142951.0
2025-07-17,300.0,301.5417,298.505,300.09,1227409.0
2025-07-18,300.6,301.51,297.77,298.98,1636211.0
2025-07-21,298.97,300.0,296.96,297.05,1065755.0
2025-07-22,295.18,298.91,293.95,297.6,1597411.0
2025-07-23,310.0,318.77,308.63,316.94,2415764.0
2025-07-24,319.0,322.5,314.0,314.24,1641529.0
2025-07-25,314.04,314.975,311.0001,314.02,1218178.0
2025-07-28,313.67,313.67,311.08,313.1,1153627.0
2025-07-29,316.0,316.96,313.425,314.7,1140810.0
2025-07-30,315.1,315.3699,310.472,312.18,1518230.0
2025-07-31,311.35,313.31,310.3,311.61,1647998.0
2025-08-01,309.65,311.35,306.0268,310.74,891169.0
2025-08-04,311.03,313.2,310.325,312.78,852490.0
2025-08-05,312.195,314.665,311.975,313.76,1017686.0
2025-08-06,314.98,317.0,313.0,314.99,893434.0
2025-08-07,314.0,314.695,309.73,312.73,954373.0
2025-08-08,312.98,315.81,312.82,314.13,1157316.0
2025-08-11,313.99,315.1,313.2,314.93,1004690.0
2025-08-12,314.48,315.355,312.21,314.01,1034393.0
2025-08-13,314.75,317.73,313.915,317.49,813511.0
2025-08-14,319.63,321.0,315.84,315.84,843155.0
2025-08-15,315.965,315.965,313.31,313.69,900721.0
2025-08-18,313.75,316.12,313.15,313.58,818379.0
2025-08-19,312.68,316.47,312.66,316.4,748586.0
2025-08-20,317.4,318.64,316.44,317.48,798878.0
2025-08-21,316.87,318.1,315.84,316.53,717462.0
2025-08-22,318.22,320.88,317.61,319.61,917339.0
2025-08-25,319.84,322.2,319.83,319.89,804081.0
2025-08-26,319.0,322.85,319.0,322.18,952345.0
2025-08-27,322.81,325.8187,322.81,325.46,847229.0
2025-08-28,325.52,326.025,323.13,324.91,801158.0
2025-08-29,325.15,326.0,323.71,324.57,670208.0
2025-09-02,324.38,324.875,322.02,324.39,874265.0
2025-09-03,324.16,324.44,321.1616,322.81,658019.0
2025-09-04,323.27,323.755,320.91,322.44,943865.0
2025-09-05,324.0,324.205,320.36,322.86,860975.0
2025-09-08,322.5,323.14,319.73,322.72,810345.0
2025-09-09,321.9,322.4,318.81,321.33,789833.0
2025-09-10,320.78,323.77,320.645,323.05,709159.0
2025-09-11,322.93,330.0,322.105,329.62,834086.0
2025-09-12,330.0,330.18,325.772,326.15,578818.0
2025-09-15,326.5,328.27,325.6801,326.98,694860.0
2025-09-16,327.85,329.4599,325.96,326.4,1350682.0
2025-09-17,326.78,328.47,324.54,325.28,1343906.0
2025-09-18,323.97,325.42,322.48,324.57,1096263.0
2025-09-19,325.36,325.715,321.92,324.08,2654675.0
2025-09-22,323.0,324.28,320.91,322.66,1354971.0
2025-09-23,322.61,325.7366,321.12,323.2,1251008.0
2025-09-24,321.87,325.45,321.26,323.62,1452719.0
2025-09-25,325.32,328.52,322.5,324.43,1014071.0
2025-09-26,326.43,330.63,326.21,330.34,1043599.0
2025-09-29,335.0,337.52,331.33,332.17,1693329.0
2025-09-30,332.13,341.02,332.13,341.0,1622883.0
2025-10-01,337.9,341.19,336.31,340.75,1162604.0
2025-10-02,339.56,341.68,338.0682,341.05,943173.0
2025-10-03,341.97,345.22,341.25,343.62,710634.0
2025-10-06,344.52,347.365,343.39,346.5,886010.0
2025-10-07,344.56,347.37,342.85,343.43,740654.0
2025-10-08,345.22,347.2407,343.43,346.44,774259.0
2025-10-09,346.28,347.315,342.23,342.77,798406.0
2025-10-10,340.86,342.0,332.8,332.94,927300.0
2025-10-13,333.1,336.7967,332.24,334.39,839500.0
2025-10-14,333.63,338.78,333.0,335.5,862654.0
2025-10-15,335.93,339.99,327.33,332.04,1018373.0
2025-10-16,332.44,333.38,329.51,330.59,787852.0
2025-10-17,328.92,332.16,328.21,331.15,916715.0
2025-10-20,333.0,337.9361,331.755,337.19,823620.0
2025-10-21,337.91,341.77,337.91,340.69,946569.0
2025-10-22,341.24,342.28,338.09,338.24,1171945.0
2025-10-23,339.56,342.7,339.25,341.5,1198935.0
2025-10-24,357.0,360.5,343.52,350.77,2098198.0
2025-10-27,353.78,355.84,346.33,353.77,1675124.0
2025-10-28,352.03,352.65,346.6,346.68,926792.0
2025-10-29,345.26,346.08,339.78,343.48,1712479.0
2025-10-30,344.1,349.25,343.86,344.66,1304200.0
2025-10-31,344.56,345.43,341.345,344.9,1520430.0
2025-11-03,344.0,344.05,339.44,341.87,1352621.0
2025-11-04,340.79,345.23,339.0001,343.47,1254771.0
2025-11-05,342.375,346.535,341.05,342.91,1088686.0
2025-11-06,343.11,344.29,339.74,340.3,899002.0
2025-11-07,341.81,347.15,338.815,346.34,1209005.0
2025-11-10,345.91,349.98,344.3401,349.49,924141.0
