date,open,high,low,close,volume
2025-04-10,120.18,121.0,115.08,118.6,746814.0
2025-04-11,118.29,120.245,115.87,119.5,534995.0
2025-04-14,121.2,123.26,120.27,121.23,523507.0
2025-04-15,122.97,123.78,121.5615,122.79,456047.0
2025-04-16,122.83,123.39,120.14,121.22,553062.0
2025-04-17,121.64,122.71,120.28,121.25,563075.0
2025-04-21,120.44,121.0,115.87,117.17,763398.0
2025-04-22,118.775,121.68,118.775,121.68,483499.0
2025-04-23,122.89,126.0109,122.175,122.79,432978.0
2025-04-24,121.92,124.72,121.54,123.92,631696.0
2025-04-25,123.88,123.975,121.8,122.96,353906.0
2025-04-28,123.58,124.755,122.29,123.6,487292.0
2025-04-29,122.55,124.24,121.42,123.97,568528.0
2025-04-30,121.87,123.555,119.57,123.34,1377157.0
2025-05-01,111.13,119.42,111.13,117.72,1549193.0
2025-05-02,119.23,123.91,116.97,121.83,793105.0
2025-05-05,121.19,122.65,121.14,121.49,524391.0
2025-05-06,120.74,122.24,119.835,120.34,657074.0
2025-05-07,121.08,122.39,120.66,120.96,768444.0
2025-05-08,121.9,122.87,120.6,121.23,604656.0
2025-05-09,121.59,122.54,121.28,121.94,436110.0
2025-05-12,123.44,124.22,119.93,120.72,566694.0
2025-05-13,120.79,121.69,119.99,120.09,746850.0
2025-05-14,120.18,120.325,117.6,119.28,959646.0
2025-05-15,119.29,121.12,118.91,120.57,615189.0
2025-05-16,120.4,122.145,120.4,122.07,706010.0
2025-05-19,121.93,122.74,121.04,122.21,554169.0
2025-05-20,122.03,122.82,121.82,122.19,463975.0
2025-05-21,121.87,122.39,120.03,120.2,890333.0
2025-05-22,120.48,121.01,118.82,119.56,523342.0
2025-05-23,118.55,120.14,118.405,119.41,385967.0
2025-05-27,120.48,122.35,119.32,122.26,565796.0
2025-05-28,122.06,123.03,119.935,120.05,582052.0
2025-05-29,120.17,121.18,119.67,120.97,580913.0
2025-05-30,120.85,122.225,120.69,121.87,616736.0
2025-06-02,121.12,122.29,119.8601,122.24,502390.0
2025-06-03,121.76,123.6399,120.56,122.8,524658.0
2025-06-04,123.2,123.2,120.23,120.29,424446.0
2025-06-05,120.39,121.07,119.255,119.77,487134.0
2025-06-06,121.19,121.79,120.36,121.7,336225.0
2025-06-09,121.38,122.12,118.75,120.66,385682.0
2025-06-10,119.9,120.82,119.61,120.09,417991.0
2025-06-11,120.1,120.775,119.46,119.78,403627.0
2025-06-12,119.0,120.945,118.5468,120.77,346433.0
2025-06-13,120.16,120.93,119.335,119.79,485391.0
2025-06-16,120.2,121.13,119.9,120.63,556812.0
2025-06-17,119.99,120.27,118.34,119.41,553693.0
2025-06-18,119.7,120.9715,119.5,119.71,538369.0
2025-06-20,120.18,121.21,119.65,120.59,888981.0
2025-06-23,120.66,122.17,119.67,122.11,535033.0
2025-06-24,122.49,123.69,121.8355,122.91,459232.0
2025-06-25,122.61,122.61,121.175,121.42,345827.0
2025-06-26,121.62,123.23,121.39,123.04,387750.0
2025-06-27,123.16,124.33,122.57,123.89,652075.0
2025-06-30,123.82,124.56,123.39,124.29,505173.0
2025-07-01,123.78,125.1899,123.78,124.9,508372.0
2025-07-02,124.84,125.185,119.94,120.29,1011229.0
2025-07-03,121.27,121.92,120.67,121.2,564077.0
2025-07-07,121.26,122.28,120.53,121.21,957501.0
2025-07-08,120.78,121.78,120.105,121.09,931730.0
2025-07-09,121.77,121.77,117.365,117.6,947480.0
2025-07-10,117.89,119.18,116.73,119.13,789911.0
2025-07-11,118.275,119.09,117.46,118.13,496967.0
2025-07-14,117.83,120.79,117.3,120.69,457218.0
2025-07-15,120.46,120.96,117.74,117.74,443065.0
2025-07-16,118.07,120.05,117.96,119.9,404700.0
2025-07-17,119.16,121.84,119.16,121.6,541834.0
2025-07-18,121.73,122.375,120.83,122.09,591766.0
2025-07-21,122.14,122.465,120.16,120.29,505992.0
2025-07-22,120.18,123.04,120.05,122.83,440949.0
2025-07-23,123.67,125.18,122.48,124.81,788711.0
2025-07-24,124.81,132.81,123.0,131.52,1541638.0
2025-07-25,133.91,138.41,133.28,135.13,1363188.0
2025-07-28,134.76,135.23,133.23,134.16,743883.0
2025-07-29,138.6,143.84,136.75,143.27,1762293.0
2025-07-30,142.6,143.15,140.27,141.05,824230.0
2025-07-31,142.32,144.0,139.95,140.47,617849.0
2025-08-01,139.58,139.58,135.31,137.24,756646.0
2025-08-04,137.8,139.45,137.185,139.34,491881.0
2025-08-05,141.57,141.67,139.425,139.51,840107.0
2025-08-06,140.28,142.07,138.955,141.23,762207.0
2025-08-07,141.39,142.21,139.85,140.5,709300.0
