date,open,high,low,close,volume
2025-05-07,44.92,45.035,44.325,44.85,2929409.0
2025-05-08,45.38,45.77,45.01,45.05,3357893.0
2025-05-09,45.41,45.57,44.825,45.08,2571360.0
2025-05-12,46.97,47.315,46.34,46.97,4921014.0
2025-05-13,47.1,48.145,46.85,47.62,5427835.0
2025-05-14,47.73,47.86,46.77,47.01,4898592.0
2025-05-15,46.97,47.65,46.835,47.6,4752091.0
2025-05-16,47.7,48.26,47.42,48.22,4643771.0
2025-05-19,47.4,48.17,47.4,48.13,5601071.0
2025-05-20,47.86,48.07,47.5725,47.98,5586158.0
2025-05-21,47.7,49.225,47.68,48.18,9062916.0
2025-05-22,48.17,48.91,47.94,48.55,7648697.0
2025-05-23,47.85,48.485,47.67,48.36,4889958.0
2025-05-27,49.0,49.95,48.62,49.92,5720997.0
2025-05-28,50.0,50.05,49.22,49.45,4834237.0
2025-05-29,50.09,50.185,49.46,49.96,5307878.0
2025-05-30,49.35,49.775,48.88,49.59,12837108.0
2025-06-02,49.18,50.06,49.095,50.04,5081841.0
2025-06-03,50.14,51.1,50.08,50.78,5172613.0
2025-06-04,51.1,51.47,50.72,50.76,4505293.0
2025-06-05,50.83,51.17,50.51,50.86,3484833.0
2025-06-06,51.31,51.54,50.695,50.71,3639042.0
2025-06-09,50.84,51.24,50.315,50.89,4037536.0
2025-06-10,50.99,51.18,50.21,50.61,2811035.0
2025-06-11,50.77,50.77,50.255,50.45,2962679.0
2025-06-12,50.08,50.84,49.94,50.82,4355382.0
2025-06-13,50.09,50.55,49.47,49.6,3578535.0
2025-06-16,50.14,50.815,49.81,50.78,4299281.0
2025-06-17,50.56,51.1,50.35,50.48,2983731.0
2025-06-18,50.6,50.845,50.24,50.49,3129991.0
2025-06-20,50.8,50.8,49.97,50.42,4933573.0
2025-06-23,50.42,51.845,50.2622,51.8,4234350.0
2025-06-24,52.16,52.32,51.3,51.42,4998180.0
2025-06-25,51.58,51.66,51.09,51.39,4268428.0
2025-06-26,51.6,51.85,51.375,51.7,2828743.0
2025-06-27,51.71,52.28,51.52,51.82,5295532.0
2025-06-30,51.99,52.86,51.99,52.59,5414449.0
2025-07-01,52.44,52.715,51.99,52.59,5817611.0
2025-07-02,52.55,52.75,52.13,52.72,3142086.0
2025-07-03,53.0,53.275,52.83,53.04,2066077.0
2025-07-07,52.94,53.205,52.31,52.38,3233689.0
2025-07-08,53.03,53.13,52.49,52.73,4314382.0
2025-07-09,53.16,53.16,52.325,52.57,3088210.0
2025-07-10,52.67,52.7,51.985,52.26,4345097.0
2025-07-11,52.0,52.11,51.47,51.6,4098495.0
2025-07-14,51.54,54.0,51.32,53.12,4899255.0
2025-07-15,53.61,53.63,52.485,52.52,3781034.0
2025-07-16,52.7,53.015,52.19,52.97,3345088.0
2025-07-17,53.19,54.32,53.18,54.2,3898597.0
2025-07-18,54.29,54.44,53.78,54.01,2502233.0
2025-07-21,54.0,54.42,53.68,53.9,2993864.0
2025-07-22,53.77,54.13,53.29,54.02,3865523.0
2025-07-23,54.4,56.25,54.365,55.8,8080936.0
2025-07-24,55.65,56.07,55.5,55.72,5254729.0
2025-07-25,56.0,56.0,54.89,55.36,4718119.0
2025-07-28,55.55,55.5699,54.92,55.41,5979218.0
2025-07-29,58.87,62.98,57.93,61.98,17713548.0
2025-07-30,61.8,63.2,61.7,62.61,7927989.0
2025-07-31,63.08,63.91,62.3601,63.24,7360134.0
2025-08-01,62.0,62.43,61.44,62.05,5845644.0
2025-08-04,62.98,63.54,62.65,63.49,5088394.0
2025-08-05,63.76,64.41,63.0725,63.17,5389768.0
2025-08-06,63.9,64.19,63.145,63.98,5825223.0
2025-08-07,66.49,66.5,64.22,64.76,9632821.0
2025-08-08,64.98,66.01,64.76,65.77,4374691.0
2025-08-11,65.87,65.87,64.82,64.98,5694880.0
2025-08-12,65.3,66.09,65.25,65.75,5193898.0
2025-08-13,66.02,66.26,64.95,65.74,4295349.0
2025-08-14,65.315,66.055,64.8809,65.76,3608881.0
2025-08-15,65.92,65.92,64.82,65.44,3054880.0
2025-08-18,65.23,65.95,65.15,65.52,3084849.0
2025-08-19,65.16,65.37,64.235,64.52,5814734.0
2025-08-20,64.11,64.67,63.37,64.6,5299634.0
2025-08-21,64.51,65.115,64.335,64.89,3574275.0
2025-08-22,65.22,66.1499,65.09,65.77,3436536.0
2025-08-25,65.75,67.32,65.75,66.78,5824116.0
2025-08-26,66.74,67.68,66.725,67.4,5420990.0
2025-08-27,67.37,67.765,67.09,67.25,4234105.0
2025-08-28,67.39,69.2901,67.32,68.93,7266908.0
2025-08-29,68.36,68.67,66.74,67.03,6191533.0
2025-09-02,67.0,68.58,66.14,68.47,9109084.0
2025-09-03,68.7,69.79,66.4,69.34,13308912.0
2025-09-04,69.59,70.64,69.39,69.72,7104888.0
2025-09-05,70.275,71.4,70.06,71.19,9078054.0
2025-09-08,71.49,72.54,71.44,72.15,13643510.0
2025-09-09,72.0,72.935,71.75,72.39,10646825.0
2025-09-10,73.17,75.05,72.72,74.93,16600753.0
2025-09-11,75.18,77.08,74.6,75.47,13968315.0
2025-09-12,76.91,77.87,75.77,77.04,14826119.0
2025-09-15,77.75,78.325,76.78,77.98,8835050.0
2025-09-16,78.28,78.805,77.3171,78.7,12936731.0
2025-09-17,78.42,78.68,76.15,76.88,10590687.0
2025-09-18,77.45,79.65,77.19,79.62,10372486.0
2025-09-19,79.62,79.98,78.57,79.56,10764954.0
2025-09-22,79.4,79.8399,78.1,79.16,7314157.0
2025-09-23,79.2,81.02,79.02,81.0,8654169.0
2025-09-24,81.29,81.585,79.06,79.91,8648928.0
2025-09-25,78.08,79.47,77.05,79.13,8518744.0
2025-09-26,79.15,79.4799,78.69,79.35,4483983.0
2025-09-29,79.9,80.73,79.6,80.26,8204641.0
2025-09-30,80.26,82.21,80.19,82.03,6300274.0
2025-10-01,81.46,83.75,80.8824,83.12,9010012.0
2025-10-02,83.8,84.35,81.91,82.52,7207059.0
2025-10-03,83.03,84.18,82.6109,83.56,7739175.0
2025-10-06,84.11,86.095,83.81,85.34,8678038.0
2025-10-07,85.47,86.23,83.81,85.06,6732986.0
2025-10-08,85.27,87.07,84.76,87.07,6088091.0
2025-10-09,87.15,87.75,86.1301,87.19,4536585.0
2025-10-10,87.39,87.78,82.96,82.98,7898543.0
2025-10-13,85.11,86.63,84.8,85.5,4957772.0
2025-10-14,84.28,85.91,83.61,84.61,5195001.0
2025-10-15,86.06,87.43,85.465,86.62,6427627.0
2025-10-16,86.87,87.41,85.34,86.72,6501302.0
2025-10-17,86.25,86.54,83.6901,84.49,5940460.0
2025-10-20,85.23,86.025,84.83,85.28,4859744.0
2025-10-21,85.6,86.45,84.59,86.05,4992264.0
2025-10-22,86.07,87.34,83.08,84.14,8440434.0
2025-10-23,84.0,86.38,83.92,85.84,5404581.0
2025-10-24,87.0,87.76,86.44,87.41,7284530.0
2025-10-27,88.63,89.77,88.15,89.37,11801933.0
2025-10-28,84.31,87.25,83.11,86.43,14455280.0
2025-10-29,87.35,91.925,86.5,90.29,13122978.0
2025-10-30,88.81,91.79,88.5,90.28,5411430.0
2025-10-31,91.25,92.57,87.91,89.08,7547623.0
2025-11-03,89.66,89.89,87.191,87.5,4938599.0
2025-11-04,85.5,86.08,84.72,85.21,5601891.0
2025-11-05,85.54,88.12,85.5,87.1,5915264.0
2025-11-06,87.25,88.615,86.34,87.86,6659900.0
2025-11-07,85.9,86.44,83.33,85.48,7430009.0
2025-11-10,87.85,88.82,86.8,88.56,6733849.0
2025-11-11,87.61,88.47,86.95,87.93,4083927.0
2025-11-12,88.9,90.615,88.39,89.01,6927767.0
2025-11-13,88.4,88.73,81.33,82.36,11373713.0
2025-11-14,80.65,83.9199,79.57,82.06,9792209.0
2025-11-17,81.61,82.8,80.22,81.06,7248013.0
2025-11-18,80.46,81.07,78.87,80.12,6889693.0
2025-11-19,80.25,82.83,80.01,81.69,5412614.0
2025-11-20,84.25,84.59,77.485,78.03,8332229.0
2025-11-21,78.56,80.06,77.39,79.46,7037507.0
2025-11-24,80.05,82.75,80.02,82.6,12117378.0
2025-11-25,82.38,83.34,80.2712,82.95,4467525.0
2025-11-26,83.62,84.35,82.82,83.6,3515851.0
2025-11-28,83.96,84.34,83.5301,84.2,1847543.0
2025-12-01,83.35,83.49,82.55,82.9,3601265.0
2025-12-02,84.02,85.4498,83.22,83.71,4654753.0
2025-12-03,83.12,84.055,81.67,83.55,4686188.0
2025-12-04,83.14,87.29,83.14,85.45,8201900.0
2025-12-05,85.49,86.7,84.93,85.97,5341123.0
2025-12-08,87.18,89.77,86.62,88.27,6331866.0
2025-12-09,87.76,91.36,87.76,91.11,7681619.0
2025-12-10,90.97,95.19,90.1601,94.2,11260852.0
2025-12-11,93.66,96.64,92.0,95.97,8895177.0
2025-12-12,95.45,95.955,87.91,88.32,9693447.0
2025-12-15,89.22,91.06,87.95,88.11,6265758.0
2025-12-16,87.52,87.7,85.57,86.29,4836122.0
2025-12-17,87.44,88.905,84.8201,85.42,6778931.0
2025-12-18,87.4,88.55,86.14,86.88,5951629.0
2025-12-19,87.08,89.13,87.08,87.86,14214802.0
2025-12-22,89.8,89.98,87.73,88.4,4301270.0
2025-12-23,88.08,89.74,87.8399,89.34,3397491.0
2025-12-24,89.47,89.97,89.09,89.66,1666586.0
2025-12-26,89.95,90.136,89.175,89.57,2203586.0
2025-12-29,88.79,89.78,88.29,89.0,2580840.0
2025-12-30,89.29,89.31,88.45,88.86,2043936.0
2025-12-31,89.155,89.1599,87.52,87.56,3333971.0
2026-01-02,88.91,90.72,88.14,90.67,4586987.0
2026-01-05,92.04,93.58,86.665,88.69,9762245.0
2026-01-06,88.18,89.5,84.325,89.25,6351538.0
2026-01-07,88.7,88.95,86.62,87.99,4070328.0
2026-01-08,87.69,87.69,83.95,85.33,5137691.0
2026-01-09,85.33,86.645,85.02,85.23,6113283.0
2026-01-12,84.8,87.88,84.45,87.88,5583884.0
2026-01-13,88.0,90.93,88.0,89.88,4272327.0
2026-01-14,89.97,90.7999,88.4101,90.21,4446024.0
2026-01-15,92.0,94.98,91.8,93.49,5501335.0
2026-01-16,93.84,94.61,92.13,94.2,7146569.0
2026-01-20,91.39,93.48,91.27,92.57,4574643.0
2026-01-21,93.13,94.455,91.5547,93.52,3860999.0
2026-01-22,95.0,95.6496,92.635,94.28,5764137.0
2026-01-23,93.21,93.89,91.01,93.3,4246805.0
2026-01-26,93.12,95.55,92.3,94.95,5586167.0
2026-01-27,102.07,113.99,100.97,109.74,25446523.0
2026-01-28,107.89,112.9,103.77,104.28,18534418.0
2026-01-29,104.98,105.48,99.5,103.0,11681791.0
2026-01-30,103.61,107.64,101.86,103.25,13378658.0
2026-02-02,103.25,110.86,103.05,110.36,11926271.0
2026-02-03,117.3,117.3,109.6,112.79,11596887.0
2026-02-04,113.57,116.3,107.8,109.69,12468260.0
2026-02-05,107.55,113.44,105.65,112.79,9929662.0
2026-02-06,114.9,122.555,113.33,122.16,12151233.0
2026-02-09,124.0,132.32,123.8,131.39,15696647.0
2026-02-10,129.01,132.5,127.79,128.1,12712184.0
2026-02-11,131.35,134.39,126.83,132.9,10030537.0
2026-02-12,133.31,136.825,131.4,131.5,12282813.0
2026-02-13,130.41,133.605,124.8,133.46,10952727.0
2026-02-17,131.87,133.78,128.4101,130.52,12102588.0
2026-02-18,131.53,135.91,131.31,132.01,8257480.0
2026-02-19,132.0,134.0,128.88,129.99,9169365.0
2026-02-20,129.94,140.27,129.79,139.51,10971190.0
2026-02-23,142.1,148.7,141.01,145.25,18558802.418433
2026-02-24,148.0,152.91,145.75,151.59,15041575.264137
2026-02-25,153.88,162.0999,152.65,160.43,17977195.412366
2026-02-26,158.36,158.88,148.4,150.3,17594673.570617
2026-02-27,148.99,154.5,146.61,150.38,14555439.196554
2026-03-02,153.45,160.45,152.765,157.86,15338455.046773
2026-03-03,151.75,152.0,141.395,147.57,14816814.315017
2026-03-04,151.0,153.44,143.34,144.84,12683886.611381
2026-03-05,136.16,143.35,131.71,134.74,18285523.876229
2026-03-06,129.44,132.08,122.38,123.29,19123550.547569
2026-03-09,121.0,129.6136,120.01,129.05,15927632.376807
