date,open,high,low,close,volume
2025-07-14,150.29,151.2439,148.44,148.69,685339.0
2025-07-15,150.06,150.06,146.53,146.81,764600.0
2025-07-16,147.11,147.79,144.6201,146.72,755004.0
2025-07-17,147.65,150.85,147.08,149.74,592626.0
2025-07-18,150.77,153.89,149.57,153.11,836502.0
2025-07-21,154.28,154.77,150.2,150.25,861750.0
2025-07-22,149.0,151.3008,148.16,150.29,1179288.0
2025-07-23,151.54,153.675,150.6152,152.92,710424.0
2025-07-24,152.78,154.47,152.15,153.39,524449.0
2025-07-25,154.79,157.33,153.201,156.96,823754.0
2025-07-28,156.97,157.09,154.34,155.46,994822.0
2025-07-29,157.33,157.585,150.67,151.32,1721224.0
2025-07-30,165.0,181.9,154.49,181.0,4934687.0
2025-07-31,181.0,197.175,179.26,194.69,3479323.0
2025-08-01,189.35,195.42,186.53,193.63,2059159.0
2025-08-04,195.34,196.57,192.4452,196.43,1211456.0
2025-08-05,196.4,199.89,194.8,197.28,984136.0
2025-08-06,195.24,195.6,192.81,193.91,745197.0
2025-08-07,196.13,197.96,192.22,193.52,790457.0
2025-08-08,194.2,196.86,193.54,196.25,719681.0
2025-08-11,199.49,200.405,194.67,196.52,833098.0
2025-08-12,196.8,199.7799,195.38,198.86,949709.0
2025-08-13,199.9,203.2499,197.33,202.85,974228.0
2025-08-14,200.38,202.365,196.82,198.97,789824.0
2025-08-15,199.72,201.705,197.0,198.8,1000835.0
2025-08-18,199.2,200.19,197.67,198.14,965047.0
2025-08-19,198.55,201.71,198.09,199.08,698911.0
2025-08-20,197.11,199.0799,188.28,189.65,1225062.0
2025-08-21,189.59,192.0,187.51,190.55,693669.0
2025-08-22,190.83,195.255,190.06,194.64,872697.0
2025-08-25,194.45,195.27,193.08,193.28,638172.0
2025-08-26,189.7,191.9699,187.01,189.32,855759.0
2025-08-27,187.66,190.3099,186.36,186.99,696705.0
2025-08-28,187.5,188.67,186.36,186.92,574553.0
2025-08-29,186.55,187.0775,183.42,185.25,831042.0
2025-09-02,181.21,182.57,177.46,179.51,994800.0
2025-09-03,178.76,179.13,174.88,175.14,793544.0
2025-09-04,175.46,178.38,174.02,178.18,745716.0
2025-09-05,179.24,181.605,176.66,181.3,642765.0
2025-09-08,181.22,185.37,179.8,183.97,894458.0
2025-09-09,183.98,184.57,179.69,181.8,763832.0
2025-09-10,183.09,186.22,182.98,185.01,813348.0
2025-09-11,185.34,192.715,184.85,187.86,1425421.0
2025-09-12,187.67,189.05,184.34,184.39,697918.0
2025-09-15,185.9,187.61,183.55,185.71,756302.0
2025-09-16,185.81,186.48,180.905,183.61,894669.0
2025-09-17,183.99,184.93,179.55,181.29,692102.0
2025-09-18,182.55,184.455,180.9,184.04,848983.0
2025-09-19,182.96,184.0,180.24,182.28,1594945.0
2025-09-22,181.75,186.19,180.59,185.86,1301955.0
2025-09-23,186.79,187.8148,166.17,166.77,2320338.0
2025-09-24,167.81,172.605,166.775,167.36,1360880.0
2025-09-25,163.62,165.51,161.68,164.26,1283899.0
2025-09-26,164.36,168.83,162.89,168.27,1038500.0
2025-09-29,169.14,169.14,164.8059,165.82,875135.0
2025-09-30,166.28,168.65,166.13,167.4,774112.0
2025-10-01,167.42,168.77,165.12,167.89,632632.0
2025-10-02,168.26,170.52,167.03,169.99,533161.0
