date,open,high,low,close,volume
2025-04-24,71.33,72.7,70.26,72.06,6357194.0
2025-04-25,71.13,72.86,70.89,72.48,3427393.0
2025-04-28,73.1,74.91,72.615,74.31,5080340.0
2025-04-29,74.82,76.78,74.03,76.63,3008328.0
2025-04-30,74.88,76.59,73.935,76.31,2969501.0
2025-05-01,76.14,77.22,75.57,76.58,2726489.0
2025-05-02,77.73,79.19,77.0519,78.85,2735270.0
2025-05-05,78.76,80.47,78.03,79.25,3532409.0
2025-05-06,78.43,79.68,77.01,79.28,3946150.0
2025-05-07,79.38,80.35,77.77,78.89,3119200.0
2025-05-08,80.68,81.02,78.71,79.57,5358159.0
2025-05-09,79.93,80.92,79.61,80.5,2434129.0
2025-05-12,83.54,85.0,82.35,83.14,3225273.0
2025-05-13,83.21,83.51,82.57,82.76,2493576.0
2025-05-14,82.71,83.18,82.2,83.16,2552754.0
2025-05-15,82.4,83.56,82.13,82.98,8022379.0
2025-05-16,82.86,82.86,81.23,82.37,3611090.0
2025-05-19,81.13,81.9,80.66,80.85,2686886.0
2025-05-20,80.48,80.985,79.65,79.73,2300676.0
2025-05-21,78.79,78.95,75.665,75.72,4451960.0
2025-05-22,75.59,76.36,74.87,75.72,2272169.0
2025-05-23,74.32,74.74,73.99,74.09,2199993.0
2025-05-27,75.01,75.9026,74.5001,75.75,2088623.0
2025-05-28,75.91,76.69,74.86,74.99,4762854.0
2025-05-29,75.67,75.93,74.68,75.85,2838462.0
2025-05-30,75.4,75.773,74.5125,75.61,4674141.0
2025-06-02,74.58,75.03,73.69,74.91,1800494.0
2025-06-03,74.98,75.99,73.82,75.78,1776273.0
2025-06-04,76.04,77.14,75.915,76.69,2271943.0
2025-06-05,76.4,77.05,75.4001,76.02,1606900.0
2025-06-06,77.73,77.73,76.1,76.87,3057864.0
2025-06-09,77.91,78.99,77.25,78.95,2369272.0
2025-06-10,79.05,80.81,78.86,80.73,1960722.0
2025-06-11,80.74,80.855,79.35,79.63,4869008.0
2025-06-12,78.97,79.335,77.99,78.28,2702427.0
2025-06-13,76.75,77.095,74.321,74.62,1990083.0
2025-06-16,75.72,77.07,75.08,76.83,6748323.0
2025-06-17,76.08,77.19,75.875,76.0,2110145.0
2025-06-18,75.95,76.765,75.33,76.16,4089048.0
2025-06-20,76.9,77.465,76.3,76.63,3271623.0
2025-06-23,76.495,77.21,74.855,76.35,3423635.0
2025-06-24,77.94,79.245,77.29,78.98,4397223.0
2025-06-25,78.43,78.91,77.39,77.72,3312061.0
2025-06-26,77.92,78.57,77.78,78.24,2125149.0
2025-06-27,79.01,79.82,77.93,78.72,2872798.0
2025-06-30,79.29,80.34,78.75,80.04,2779801.0
2025-07-01,79.78,82.94,79.725,81.97,2209433.0
2025-07-02,82.01,82.35,80.65,81.99,1639368.0
2025-07-03,82.22,82.515,81.46,81.85,1007563.0
2025-07-07,81.52,82.045,79.31,80.08,1470160.0
2025-07-08,80.5,82.0,80.34,80.66,1528161.0
2025-07-09,81.18,81.5,79.44,80.65,1316002.0
2025-07-10,80.11,82.0,79.84,81.22,2894977.0
2025-07-11,79.76,80.48,78.79,78.8,2334707.0
2025-07-14,79.85,80.49,79.0,79.49,1527694.0
2025-07-15,79.82,79.83,77.6,77.61,2407516.0
2025-07-16,82.25,83.18,79.71,82.66,3997417.0
2025-07-17,82.35,83.825,81.86,83.04,2697766.0
2025-07-18,82.89,83.255,81.335,81.93,2303935.0
2025-07-21,82.1,82.6038,81.05,81.15,2022933.0
2025-07-22,81.62,84.255,81.62,84.11,2380159.0
2025-07-23,84.01,84.665,83.1,83.9,2488961.0
2025-07-24,84.09,84.12,82.96,83.05,1243605.0
2025-07-25,85.26,86.21,83.31,85.76,3422448.0
