date,open,high,low,close,volume
2025-04-24,195.06,199.45,193.748,199.11,686628.0
2025-04-25,199.08,199.36,196.8322,198.96,561199.0
2025-04-28,199.29,201.6307,198.06,200.63,837367.0
2025-04-29,201.14,204.82,200.0777,204.1,1251337.0
2025-04-30,185.98,191.46,178.74,186.87,2913568.0
2025-05-01,185.9,189.5,183.64,186.78,1019654.0
2025-05-02,189.67,193.44,188.61,191.78,826687.0
2025-05-05,189.76,190.99,188.3,190.15,875519.0
2025-05-06,188.11,189.53,185.69,187.14,759832.0
2025-05-07,187.0,188.8,184.47,188.26,928414.0
2025-05-08,190.0,192.78,189.695,190.41,978022.0
2025-05-09,191.39,194.58,189.58,191.43,544644.0
2025-05-12,201.56,202.84,196.55,197.98,791599.0
2025-05-13,199.0,201.52,198.555,200.44,814979.0
2025-05-14,199.64,201.42,199.24,200.58,634681.0
2025-05-15,199.72,202.63,199.72,201.92,745327.0
2025-05-16,202.72,205.36,201.46,205.28,697110.0
2025-05-19,202.19,205.52,202.19,204.9,524716.0
2025-05-20,203.66,204.94,203.005,203.76,714044.0
2025-05-21,202.09,204.7448,200.25,200.74,720556.0
2025-05-22,199.85,202.82,199.485,201.58,730616.0
2025-05-23,197.55,201.9929,197.55,200.59,535860.0
2025-05-27,204.0,205.51,201.645,205.51,730842.0
2025-05-28,205.38,205.38,201.71,201.93,780235.0
2025-05-29,203.58,203.695,200.85,202.84,586417.0
2025-05-30,201.58,203.2,198.19,202.97,2404254.0
2025-06-02,202.56,202.97,199.26,202.95,663145.0
2025-06-03,201.99,205.2399,201.76,204.5,779614.0
2025-06-04,205.94,206.59,204.41,204.95,465746.0
2025-06-05,205.22,207.38,204.4,205.48,634395.0
2025-06-06,206.72,207.85,205.61,207.45,750749.0
2025-06-09,208.42,209.2586,207.0736,208.29,1183707.0
2025-06-10,208.52,210.2,208.2,210.12,683523.0
2025-06-11,210.55,211.56,208.887,209.13,926872.0
2025-06-12,208.4,209.6299,207.65,208.39,693294.0
2025-06-13,205.37,206.176,200.89,201.32,838366.0
2025-06-16,202.22,204.31,201.0,203.92,849818.0
2025-06-17,201.79,202.7,197.46,197.78,935244.0
2025-06-18,198.64,200.42,197.36,198.3,795752.0
2025-06-20,198.4,200.76,198.31,200.01,2155363.0
2025-06-23,198.96,201.92,198.05,201.74,871263.0
2025-06-24,204.24,205.82,202.71,205.08,919364.0
2025-06-25,206.25,206.25,202.665,203.54,650323.0
2025-06-26,203.55,206.055,203.05,205.15,781715.0
2025-06-27,205.0,209.47,204.435,208.36,1109864.0
2025-06-30,207.37,209.2755,206.3,208.72,1212531.0
2025-07-01,207.24,213.48,206.03,211.13,1047931.0
2025-07-02,210.55,213.47,209.46,213.39,676843.0
2025-07-03,214.17,216.37,214.035,214.77,496760.0
2025-07-07,215.01,216.89,213.605,214.43,917366.0
2025-07-08,214.42,215.77,212.91,213.41,798899.0
2025-07-09,214.7,217.64,213.95,217.11,1063719.0
2025-07-10,216.85,220.14,216.4928,217.8,768318.0
2025-07-11,216.19,216.982,214.08,215.92,652143.0
2025-07-14,216.09,217.41,215.16,217.41,540201.0
2025-07-15,217.96,217.96,215.7,216.14,513532.0
2025-07-16,216.95,220.92,214.91,220.8,829235.0
2025-07-17,220.42,225.62,220.285,225.4,874618.0
2025-07-18,226.14,228.405,225.115,227.89,807681.0
2025-07-21,227.68,228.86,226.15,226.15,770989.0
2025-07-22,226.37,227.9,225.415,227.71,591166.0
2025-07-23,229.0,232.11,228.89,232.0,555680.0
2025-07-24,231.86,232.36,230.25,231.71,591276.0
2025-07-25,234.2,235.91,232.31,235.63,596736.0
2025-07-28,236.83,237.64,234.74,236.36,742184.0
2025-07-29,237.22,239.47,236.08,239.3,1134228.0
2025-07-30,240.48,242.465,219.91,221.49,2778766.0
2025-07-31,219.45,222.31,217.57,218.76,1274852.0
2025-08-01,217.38,218.86,214.44,218.73,1324546.0
2025-08-04,220.13,225.72,219.34,225.53,725348.0
2025-08-05,226.73,228.55,224.96,228.25,877168.0
2025-08-06,229.61,231.65,227.64,230.08,847671.0
2025-08-07,233.28,234.1599,226.04,228.96,849807.0
2025-08-08,231.25,234.13,230.1838,232.38,631051.0
2025-08-11,232.42,233.18,228.29,228.99,765948.0
2025-08-12,229.88,233.14,228.6792,232.95,587207.0
2025-08-13,234.0,236.74,233.2,236.58,768144.0
2025-08-14,235.55,237.035,234.57,235.06,671188.0
2025-08-15,235.93,235.93,232.04,232.34,633827.0
2025-08-18,232.3,232.67,231.156,232.6,465667.0
2025-08-19,231.97,234.58,231.31,233.45,864247.0
2025-08-20,232.715,233.9282,229.29,230.15,607974.0
2025-08-21,228.77,230.27,226.93,229.59,575962.0
2025-08-22,231.26,236.55,229.83,235.92,498806.0
2025-08-25,236.03,236.03,232.62,232.72,532467.0
2025-08-26,232.71,233.31,231.4762,232.6,1224483.0
2025-08-27,231.49,235.895,231.49,235.53,602505.0
2025-08-28,236.43,241.8,235.82,241.05,1653125.0
2025-08-29,241.07,243.0002,240.49,241.82,1246430.0
2025-09-02,237.7,239.66,231.74,234.29,1259200.0
2025-09-03,234.24,238.09,233.415,236.91,907277.0
2025-09-04,238.19,240.97,236.53,237.66,965654.0
2025-09-05,238.48,239.91,235.705,237.39,871909.0
2025-09-08,237.71,240.51,236.47,239.51,919452.0
2025-09-09,239.01,239.01,237.33,238.5,547537.0
2025-09-10,238.33,238.995,235.32,235.96,853002.0
2025-09-11,237.41,241.84,237.265,241.18,728797.0
2025-09-12,239.13,240.58,237.71,238.08,528648.0
2025-09-15,238.81,239.75,235.44,235.83,696434.0
2025-09-16,234.84,237.1975,233.78,236.67,797186.0
2025-09-17,238.0,238.33,233.0172,234.18,622705.0
2025-09-18,235.74,238.31,234.0,237.25,920986.0
2025-09-19,238.28,238.5299,234.76,235.12,2865592.0
2025-09-22,234.68,236.76,233.76,236.38,869408.0
2025-09-23,236.05,239.325,235.29,237.39,587314.0
2025-09-24,237.23,238.12,235.4601,236.44,569132.0
2025-09-25,236.0,237.2899,235.0,236.7,535999.0
2025-09-26,238.0,240.77,237.56,240.48,469130.0
2025-09-29,242.48,245.65,241.75,245.53,759330.0
2025-09-30,244.91,246.65,243.25,246.22,752851.0
2025-10-01,247.65,255.62,246.505,255.18,1456112.0
2025-10-02,254.09,258.42,254.09,257.74,825747.0
2025-10-03,257.74,258.51,256.155,257.06,617604.0
2025-10-06,257.12,259.84,256.13,257.64,694931.0
2025-10-07,257.73,259.87,254.5,256.32,569117.0
2025-10-08,256.3,260.58,255.56,259.77,580782.0
2025-10-09,261.4,261.69,255.63,256.5,556532.0
2025-10-10,258.05,258.05,248.03,248.03,828907.0
2025-10-13,250.8,252.05,249.095,251.34,505555.0
2025-10-14,248.45,252.5099,247.5,249.33,672693.0
2025-10-15,250.65,253.915,248.54,249.43,551759.0
2025-10-16,250.38,251.05,246.03,246.74,454936.0
2025-10-17,246.49,249.87,244.9711,248.99,610593.0
2025-10-20,250.01,252.13,249.13,249.13,439903.0
2025-10-21,249.25,252.09,248.54,251.34,465137.0
2025-10-22,251.64,253.58,247.42,247.55,779489.0
2025-10-23,248.93,251.415,248.89,250.17,480245.0
2025-10-24,252.97,252.97,249.94,250.45,559035.0
2025-10-27,252.37,253.94,251.405,251.42,603586.0
2025-10-28,250.01,250.62,244.89,248.09,1123876.0
2025-10-29,220.67,227.29,213.36,219.61,2976133.0
2025-10-30,219.16,224.972,214.91,214.97,1401596.0
2025-10-31,214.9,216.06,212.37,213.94,1268842.0
2025-11-03,213.56,213.56,209.62,210.54,1056037.0
2025-11-04,208.97,209.08,203.63,205.45,1541268.0
2025-11-05,203.64,205.49,200.64,205.48,1366830.0
2025-11-06,205.19,206.451,201.93,203.98,894627.0
2025-11-07,203.75,203.75,198.2,201.16,1138530.0
2025-11-10,202.29,204.245,201.26,202.73,903504.0
2025-11-11,203.085,203.54,198.46,199.66,822776.0
2025-11-12,200.28,202.36,198.24,198.61,1228419.0
2025-11-13,199.45,199.95,194.72,195.06,1139667.0
2025-11-14,194.1,195.99,192.6,194.13,1575882.0
2025-11-17,193.0,193.7925,188.84,189.8,1305954.0
2025-11-18,189.42,191.48,187.53,189.85,1149316.0
2025-11-19,189.5,190.95,188.49,189.62,804964.0
2025-11-20,193.12,194.27,186.67,187.1,833603.0
2025-11-21,188.62,193.23,187.51,192.23,1517236.0
2025-11-24,192.71,193.7,191.425,192.4,2234449.0
2025-11-25,193.46,194.5,191.44,192.93,971382.0
2025-11-26,192.84,195.25,192.6,194.79,818425.0
2025-11-28,194.76,196.125,194.075,195.32,393413.0
2025-12-01,193.92,198.43,193.27,196.88,1077286.0
2025-12-02,197.47,198.5,196.14,197.18,1229062.0
2025-12-03,200.76,201.185,198.3,199.46,954166.0
2025-12-04,199.97,205.47,199.0,202.09,1392396.0
2025-12-05,202.0,204.48,201.0585,203.59,999827.0
2025-12-08,203.0,203.275,200.9,201.27,720943.0
2025-12-09,201.27,203.98,201.11,202.24,462542.0
2025-12-10,202.09,211.43,202.09,210.28,1102739.0
2025-12-11,211.21,211.74,208.75,210.79,913412.0
2025-12-12,210.69,211.0,207.2601,208.36,995369.0
2025-12-15,208.39,209.62,206.68,207.23,1480797.0
2025-12-16,206.71,207.7,205.0054,207.04,1474225.0
2025-12-17,205.57,209.5,201.26,201.47,1125421.0
2025-12-18,202.35,204.71,201.36,202.2,1247775.0
2025-12-19,202.27,203.245,200.53,201.62,3346929.0
2025-12-22,203.56,205.82,202.775,205.8,861847.0
2025-12-23,204.77,206.24,203.15,203.22,619554.0
2025-12-24,203.02,205.77,202.5985,205.0,288473.0
2025-12-26,204.9,205.77,203.99,205.51,415403.0
2025-12-29,205.0,206.405,205.0,205.6,498804.0
2025-12-30,205.41,205.705,204.55,205.09,464862.0
2025-12-31,204.9,204.9,202.5,202.85,675491.0
2026-01-02,203.67,204.55,199.2,202.44,915356.0
2026-01-05,201.47,206.07,201.47,203.76,946188.0
2026-01-06,205.57,209.91,204.57,209.35,807877.0
2026-01-07,210.0,211.27,208.09,210.68,992128.0
2026-01-08,209.0,214.23,208.62,213.46,1068276.0
2026-01-09,214.19,214.32,210.875,212.25,626068.0
2026-01-12,211.24,212.33,208.98,211.49,770332.0
2026-01-13,211.97,214.33,211.19,213.91,591532.0
2026-01-14,213.57,213.57,209.59,211.52,954316.0
2026-01-15,211.82,213.285,210.24,212.6,794869.0
2026-01-16,213.74,214.46,211.43,211.8,793123.0
2026-01-20,205.07,206.62,200.4,200.73,1335974.0
2026-01-21,202.1,206.3,201.18,204.57,1288129.0
2026-01-22,206.0,207.76,204.48,206.12,1098562.0
2026-01-23,205.2,208.65,205.0799,206.17,863900.0
2026-01-26,206.7,208.49,205.6,206.92,1093761.0
2026-01-27,206.81,208.6848,200.58,204.8,857391.0
2026-01-28,204.93,206.7299,203.89,204.48,495547.0
2026-01-29,204.78,205.2,200.5,204.65,990481.0
2026-01-30,202.41,203.37,201.14,201.64,866116.0
2026-02-02,201.5,207.43,201.5,206.92,786162.0
2026-02-03,204.9,206.25,198.27,201.22,1460735.0
2026-02-04,198.84,206.74,198.34,205.26,1309332.0
2026-02-05,205.24,205.43,197.61,198.69,1249796.0
2026-02-06,200.54,202.52,198.74,202.33,718937.0
2026-02-09,201.74,206.14,201.74,206.03,634493.0
2026-02-10,206.48,210.38,206.48,208.41,756871.0
2026-02-11,208.41,209.02,204.34,206.58,680309.0
2026-02-12,207.02,208.02,201.19,203.22,1110207.0
2026-02-13,205.02,216.335,204.43,214.74,1556667.0
2026-02-17,216.72,220.95,212.61,216.98,1849518.0
