date,open,high,low,close,volume
2025-05-07,126.7,128.535,126.32,127.78,1168865.0
2025-05-08,127.65,129.545,127.65,128.21,1484427.0
2025-05-09,128.1,128.4542,127.26,127.52,1350259.0
2025-05-12,128.31,128.65,125.217,128.64,1587966.0
2025-05-13,128.75,129.75,127.92,127.93,1955365.0
2025-05-14,127.94,128.01,125.82,126.14,1727568.0
2025-05-15,126.84,129.65,126.51,129.25,1805465.0
2025-05-16,129.27,131.26,129.08,131.12,1569462.0
2025-05-19,131.08,132.085,130.575,131.67,1205055.0
2025-05-20,130.99,131.9,130.88,131.21,1019238.0
2025-05-21,130.79,131.595,129.44,129.62,1681139.0
2025-05-22,129.76,130.085,128.1,129.05,1289616.0
2025-05-23,128.35,129.31,127.8545,128.92,1472582.0
2025-05-27,129.6,131.08,128.84,130.98,1787942.0
2025-05-28,130.49,131.24,129.05,129.22,1869151.0
2025-05-29,129.08,130.34,129.065,130.25,1288304.0
2025-05-30,129.95,130.77,129.47,129.84,4803047.0
2025-06-02,128.84,129.89,127.893,129.87,1265434.0
2025-06-03,129.42,130.325,126.8725,129.99,1347332.0
2025-06-04,129.99,130.045,127.9,127.94,1422547.0
2025-06-05,128.14,128.515,126.91,128.04,1052461.0
2025-06-06,129.39,129.71,128.4,129.33,1115182.0
2025-06-09,129.09,129.17,124.9322,126.87,1167712.0
2025-06-10,126.18,126.575,124.411,124.9,1244696.0
2025-06-11,124.62,125.12,123.79,124.37,1343115.0
2025-06-12,124.09,126.34,123.975,126.26,1124524.0
2025-06-13,125.96,126.4582,124.78,125.23,861947.0
2025-06-16,125.85,127.14,125.605,125.86,1541242.0
2025-06-17,125.13,125.8099,124.65,125.53,1322229.0
2025-06-18,125.38,126.29,124.73,124.9,1473424.0
2025-06-20,125.43,126.97,125.03,126.12,2967278.0
2025-06-23,126.24,127.53,125.41,127.43,1042737.0
2025-06-24,127.43,127.7,126.39,126.58,1417112.0
2025-06-25,126.18,126.44,123.88,124.0,1279940.0
2025-06-26,124.44,125.5,124.3,124.74,1912277.0
