date,open,high,low,close,volume
2025-05-07,231.61,234.2205,230.16,230.21,429008.0
2025-05-08,231.48,234.63,229.49,232.95,522325.0
2025-05-09,235.0,235.2699,230.22,231.63,329322.0
2025-05-12,235.0,235.5994,227.68,229.74,530135.0
2025-05-13,229.38,229.725,224.73,225.73,479292.0
2025-05-14,225.43,225.69,219.7119,223.11,522299.0
2025-05-15,227.36,229.04,224.316,228.16,385745.0
2025-05-16,229.01,230.44,227.0215,230.05,311397.0
2025-05-19,229.55,232.27,227.75,229.35,518393.0
2025-05-20,228.43,230.0,226.71,228.02,420442.0
2025-05-21,228.01,228.01,222.87,223.38,453286.0
2025-05-22,222.55,226.11,220.74,224.49,551601.0
2025-05-23,222.2,225.63,221.35,224.74,256873.0
2025-05-27,227.0,228.02,224.95,227.84,366230.0
2025-05-28,228.65,229.24,225.25,225.6,315844.0
2025-05-29,224.51,225.14,222.21,223.68,1057972.0
2025-05-30,221.74,223.9541,219.82,223.06,590940.0
2025-06-02,222.9,223.51,219.93,222.8,446351.0
2025-06-03,224.19,229.03,222.18,227.96,491599.0
2025-06-04,228.99,228.99,224.75,224.79,463467.0
2025-06-05,225.46,225.89,222.76,224.78,484341.0
2025-06-06,225.98,228.03,225.0,226.49,312982.0
2025-06-09,227.01,229.1,224.18,228.07,483389.0
2025-06-10,227.53,227.63,222.3159,223.3,443430.0
2025-06-11,222.77,226.28,215.045,226.15,548169.0
2025-06-12,224.81,229.3,223.49,229.12,329239.0
2025-06-13,233.15,235.89,230.0,232.73,455851.0
2025-06-16,234.74,234.74,226.75,229.26,546661.0
2025-06-17,230.0,234.47,227.0,234.08,544800.0
2025-06-18,236.435,239.29,233.13,234.21,524350.0
2025-06-20,234.8,235.78,230.72,234.54,1555744.0
2025-06-23,235.81,239.68,235.21,237.1,495988.0
2025-06-24,233.82,234.25,229.72,231.63,379798.0
2025-06-25,231.44,236.08,228.6901,235.12,612971.0
2025-06-26,236.73,241.86,236.19,239.83,292808.0
2025-06-27,238.32,239.49,236.655,238.65,515997.0
2025-06-30,239.21,242.04,237.165,241.46,315932.0
2025-07-01,239.68,247.75,239.55,246.31,521514.0
2025-07-02,244.61,250.57,242.62,250.15,446118.0
2025-07-03,248.27,253.08,247.64,252.08,304186.0
2025-07-07,253.64,256.6178,252.37,253.53,403229.0
2025-07-08,252.67,252.845,246.34,247.95,560252.0
2025-07-09,248.86,250.195,247.01,248.92,290347.0
2025-07-10,251.58,258.45,250.0,258.11,657065.0
2025-07-11,257.185,259.125,253.87,258.18,367526.0
2025-07-14,257.5,259.6,254.98,258.5,374686.0
2025-07-15,257.52,259.53,253.21,253.68,340635.0
2025-07-16,253.83,255.78,251.02,253.82,416140.0
2025-07-17,254.0,256.17,253.59,255.35,322823.0
2025-07-18,255.02,257.61,251.84,254.49,542989.0
2025-07-21,255.5,255.5,252.1,252.93,334217.0
2025-07-22,250.91,255.43,250.91,253.96,365207.0
2025-07-23,257.17,265.6,257.17,265.56,587253.0
2025-07-24,264.72,268.0,262.75,263.33,371758.0
2025-07-25,263.09,265.82,261.45,264.82,327592.0
2025-07-28,265.0,265.195,261.0,262.49,315614.0
2025-07-29,264.02,264.23,260.03,260.84,281021.0
2025-07-30,261.19,262.0,256.45,258.52,540357.0
2025-07-31,278.67,293.14,277.5739,278.86,2039009.0
2025-08-01,276.87,278.86,267.35,269.83,770095.0
2025-08-04,270.37,273.02,264.81,265.67,417624.0
2025-08-05,265.37,271.48,264.5377,270.92,591188.0
2025-08-06,272.0,272.926,267.09,267.49,403456.0
2025-08-07,268.415,268.415,259.0,266.45,476195.0
2025-08-08,267.59,271.9999,264.09,264.69,469116.0
2025-08-11,263.74,270.005,263.74,266.65,391285.0
2025-08-12,266.22,268.4299,264.79,268.0,351383.0
2025-08-13,269.85,271.47,265.71,269.43,337768.0
2025-08-14,269.06,271.67,267.14,267.46,236920.0
2025-08-15,266.44,267.0,265.33,266.25,346614.0
2025-08-18,266.86,269.62,266.02,267.6,328140.0
2025-08-19,265.96,267.86,263.09,265.4,629432.0
2025-08-20,265.0,267.93,262.66,267.09,433457.0
2025-08-21,266.52,267.535,264.55,266.48,242272.0
2025-08-22,267.96,271.625,267.96,269.98,358981.0
2025-08-25,270.53,271.63,269.73,270.72,342616.0
2025-08-26,270.1,273.7,269.135,271.74,432758.0
2025-08-27,271.56,276.91,271.3086,276.39,393304.0
2025-08-28,276.4,277.31,273.04,275.27,448136.0
2025-08-29,274.69,276.1889,270.37,270.79,363983.0
2025-09-02,269.64,272.26,267.51,269.71,453578.0
2025-09-03,270.29,270.32,266.6,269.33,456356.0
2025-09-04,268.5,270.53,267.1701,269.98,385876.0
2025-09-05,270.14,271.325,266.0,271.13,362738.0
2025-09-08,270.87,271.0225,265.435,269.94,399657.0
2025-09-09,269.3,269.715,264.0,267.07,431953.0
2025-09-10,267.52,273.7125,267.18,271.93,408576.0
2025-09-11,272.19,276.93,272.19,276.07,295167.0
2025-09-12,277.51,277.735,274.055,274.71,217121.0
2025-09-15,273.13,276.59,270.81,273.02,504624.0
2025-09-16,274.29,276.91,270.29,273.19,609440.0
2025-09-17,272.86,274.865,271.425,272.46,353738.0
2025-09-18,272.2,275.9,270.68,274.69,454729.0
2025-09-19,276.06,277.0,271.35,275.13,1344090.0
2025-09-22,273.88,276.86,273.68,276.16,497102.0
