date,open,high,low,close,volume
2025-04-10,213.69,214.13,204.26,209.92,3213944.0
2025-04-11,208.53,213.9,205.03,212.41,2751842.0
2025-04-14,211.75,213.24,206.66,210.13,2872636.0
2025-04-15,211.32,213.05,210.37,211.32,2606045.0
2025-04-16,209.27,213.03,206.86,209.09,2300003.0
2025-04-17,210.8,212.445,208.885,210.45,2144574.0
2025-04-21,209.0,209.1,201.15,204.59,2519364.0
2025-04-22,206.6,211.09,206.6,210.64,1683822.0
2025-04-23,217.165,221.99,213.82,215.36,2181162.0
2025-04-24,214.5,220.24,214.04,219.36,1786900.0
2025-04-25,219.56,221.27,217.24,219.62,1591648.0
2025-04-28,220.91,225.18,219.23,221.6,2705241.0
2025-04-29,224.6,227.64,221.595,226.41,3078966.0
2025-04-30,223.035,225.83,217.05,225.48,2455079.0
2025-05-01,226.905,235.79,226.905,234.09,3868928.0
2025-05-02,235.2,241.52,235.2,240.9,2992458.0
2025-05-05,238.41,241.37,237.535,238.96,1593221.0
2025-05-06,238.0,239.9321,235.985,236.59,1777567.0
2025-05-07,238.07,244.38,237.57,241.65,2099889.0
2025-05-08,242.9,246.1,241.49,243.18,1787831.0
2025-05-09,242.55,243.615,240.76,243.01,1300602.0
2025-05-12,256.01,259.56,249.8425,252.42,2988602.0
2025-05-13,253.92,258.21,253.105,256.01,2030893.0
2025-05-14,255.5,257.1594,252.78,253.0,2098117.0
2025-05-15,251.72,253.53,251.035,252.49,1550286.0
2025-05-16,252.35,255.87,250.47,255.77,1706368.0
2025-05-19,252.82,257.2399,252.0,256.45,1072812.0
2025-05-20,254.83,255.63,252.52,253.41,1627224.0
2025-05-21,250.11,251.24,246.49,246.76,2064978.0
2025-05-22,246.68,248.17,245.24,246.64,1463566.0
2025-05-23,243.12,245.77,243.07,244.77,1058296.0
2025-05-27,247.97,253.4709,247.97,253.08,2112410.0
2025-05-28,253.0,253.7799,250.295,250.78,1725342.0
2025-05-29,250.99,252.67,246.81,248.26,1501420.0
2025-05-30,247.76,249.47,246.15,248.44,2149710.0
2025-06-02,247.66,249.48,243.54,249.13,1878907.0
2025-06-03,248.82,252.79,248.795,251.1,1676179.0
2025-06-04,251.12,252.13,249.235,249.43,1255908.0
2025-06-05,249.0,250.91,247.275,248.47,1024425.0
2025-06-06,250.98,253.32,249.51,252.81,1708163.0
2025-06-09,252.82,254.12,251.28,252.07,1080980.0
2025-06-10,252.53,253.94,251.55,253.54,1503272.0
2025-06-11,254.32,256.66,252.34,253.54,1624516.0
2025-06-12,251.9,253.15,249.5,250.55,1609141.0
