date,open,high,low,close,volume
2025-04-24,185.9849,190.0047,184.9577,189.1989,3437352.469
2025-04-25,187.7474,189.0481,186.4185,187.7097,3861406.583
2025-04-28,188.0961,190.1225,186.607,189.1235,6037739.332
2025-04-29,195.5231,200.2168,194.967,199.3308,9278007.868
2025-04-30,198.9821,199.491,193.9585,198.3977,5338944.573
2025-05-01,198.3035,199.3685,197.7097,198.6239,3810689.722
2025-05-02,199.9811,202.5825,199.8256,201.819,4645775.236
2025-05-05,200.82,203.148,200.2545,201.9321,6668602.505
2025-05-06,200.4948,201.025,197.4411,197.8605,5442327.352
2025-05-07,201.6023,204.3073,200.8765,202.2714,4598542.699
2025-05-08,203.2988,204.2036,201.4892,202.2055,4139869.216
2025-05-09,202.2055,202.5212,200.443,200.7823,2540466.888
2025-05-12,205.4665,206.8426,204.0811,206.7295,4278523.879
2025-05-13,207.1254,207.7003,205.5231,205.6739,4093702.984
2025-05-14,203.9303,205.655,203.4119,204.6937,3432329.695
2025-05-15,205.1838,210.1602,205.1838,209.5099,4385316.712
2025-05-16,209.5193,210.1697,207.9378,210.066,3072619.926
2025-05-19,208.869,212.1583,207.9359,212.0075,3623532.505
2025-05-20,210.4241,212.3091,210.4241,212.1206,3537250.924
2025-05-21,211.5269,212.0264,208.7747,209.114,3831721.925
2025-05-22,208.6616,212.0924,208.4731,210.7729,3093321.097
2025-05-23,208.1244,210.1791,208.1244,209.2648,2692306.598
2025-05-27,211.5174,213.7229,209.5476,213.4402,3279572.22
2025-05-28,213.4402,214.7857,211.2912,211.6965,2740194.833
2025-05-29,212.573,212.9218,210.4053,212.2432,7151638.67
2025-05-30,213.6192,213.968,210.9001,213.6381,8805834.221
2025-06-02,212.0641,212.95,210.2074,212.5542,2686174.018
2025-06-03,212.0641,214.1565,212.0547,213.7323,2980773.4
2025-06-04,214.4015,215.6173,213.1857,214.3732,1944530.774
2025-06-05,214.3921,214.8162,213.1197,213.6381,3448387.93
2025-06-06,215.5938,217.2196,215.033,215.6268,2351032.765
2025-06-09,215.5419,215.5514,213.5061,214.0716,2717718.609
2025-06-10,214.0622,214.524,212.7521,213.2516,2828145.367
2025-06-11,212.9312,213.7606,208.9081,212.8369,2645762.65
2025-06-12,212.0924,213.6758,210.9048,213.0537,1696800.006
2025-06-13,211.9698,213.1291,210.6598,211.3949,2649395.514
2025-06-16,212.6013,213.3836,210.6786,211.2064,2587747.17
2025-06-17,210.7446,211.2394,208.7465,209.0386,3295111.626
2025-06-18,209.3874,210.7352,208.1889,209.114,3818083.831
2025-06-20,210.5467,210.5561,207.5401,209.0481,6233458.819
2025-06-23,210.4807,212.0641,208.9868,211.819,2737512.625
2025-06-24,212.6202,213.1103,210.7917,211.6871,3802538.059
2025-06-25,211.7625,211.7625,208.4354,209.0386,3187255.671
2025-06-26,210.0094,213.4637,209.3591,213.3648,2790289.948
2025-06-27,213.1668,215.7964,212.8086,215.6927,5299193.147
2025-06-30,215.6927,220.132,215.1932,219.491,4308868.479
2025-07-01,220.1508,225.1461,219.7854,225.0424,4160834.576
2025-07-02,224.4675,226.6918,223.2941,225.5042,4353597.056
2025-07-03,226.098,227.427,225.6268,226.5787,2019283.529
2025-07-07,226.0792,227.05,224.2601,225.5891,2875937.051
2025-07-08,225.5184,227.7568,225.2875,226.0132,2936872.403
2025-07-09,226.8615,227.8228,223.1103,224.9953,2309980.553
2025-07-10,224.147,225.6126,222.9123,223.1574,2402670.574
2025-07-11,220.8954,222.4788,220.5467,222.3657,2564968.561
2025-07-14,222.9029,225.0518,221.1404,224.3732,3089000.705
2025-07-15,223.5533,223.949,221.6682,221.7719,2498922.372
2025-07-16,221.9227,223.3742,219.6136,223.2611,2996953.65
2025-07-17,223.0066,224.967,222.5919,224.6654,2659661.75
2025-07-18,225.9378,225.9378,221.7154,222.9406,3834422.17
2025-07-21,222.9406,224.6456,221.6588,221.6965,3070747.261
2025-07-22,221.6211,223.4402,220.8577,222.9783,3617004.172
2025-07-23,223.9397,226.6824,223.591,225.5137,4062627.355
2025-07-24,213.1197,217.3327,210.9331,211.574,11877124.714
2025-07-25,213.3082,213.5721,209.5099,211.3478,6333177.965
2025-07-28,212.1819,214.656,211.8002,212.1395,5117293.185
2025-07-29,212.7144,213.0066,208.5203,208.9727,3994167.391
2025-07-30,209.6041,211.4892,208.5014,209.3874,5035586.636
2025-07-31,208.8219,210.8671,208.5768,209.5664,3241095.055
2025-08-01,208.6381,208.8926,204.6748,205.1932,4208958.353
2025-08-04,205.7681,208.115,205.278,208.0961,3662891.361
2025-08-05,207.3704,208.6428,206.8897,208.3506,2631108.118
2025-08-06,208.9067,209.1423,206.409,206.6258,2963282.815
2025-08-07,207.6155,207.8322,203.2139,204.1282,3079533.402
2025-08-08,204.3073,205.1838,203.5815,203.8737,3246323.663
