date,open,high,low,close,volume
2025-05-08,26.1,26.65,25.98,26.33,5941818.0
2025-05-09,26.67,26.92,26.405,26.46,7595730.0
2025-05-12,28.18,29.055,28.13,28.26,10453168.0
2025-05-13,28.245,28.95,28.14,28.78,7115815.0
2025-05-14,28.8,28.94,28.535,28.65,7216634.0
2025-05-15,28.38,28.97,28.35,28.78,7929205.0
2025-05-16,28.9,29.37,28.8804,29.32,7803067.0
2025-05-19,28.84,29.125,28.775,29.1,6836503.0
2025-05-20,29.1,29.48,28.8,28.98,7766981.0
2025-05-21,28.84,29.24,28.5537,28.61,7584751.0
2025-05-22,28.5,28.745,28.38,28.5,5729385.0
2025-05-23,27.68,28.13,27.56,27.98,7663119.0
2025-05-27,28.44,28.47,28.14,28.34,10305970.0
2025-05-28,28.15,28.35,27.2,27.2,17503383.0
2025-05-29,23.815,25.9,23.59,24.95,26469233.0
2025-05-30,24.76,25.03,24.4,24.9,16298104.0
2025-06-02,24.94,24.98,24.45,24.91,9587830.0
2025-06-03,24.82,25.47,24.51,25.38,8393505.0
2025-06-04,25.46,25.71,25.11,25.18,12721322.0
2025-06-05,25.18,25.38,24.61,24.7,12252719.0
2025-06-06,25.0,25.295,24.84,25.18,12430179.0
2025-06-09,25.51,25.58,25.0,25.12,11835726.0
2025-06-10,25.19,25.69,25.07,25.56,9364385.0
2025-06-11,25.46,25.46,24.71,24.82,6240419.0
2025-06-12,24.75,24.905,24.64,24.74,5665362.0
2025-06-13,24.4,24.59,23.76,23.84,7084708.0
2025-06-16,24.05,24.555,23.98,24.52,8030104.0
2025-06-17,24.36,24.705,24.2,24.29,5796913.0
2025-06-18,24.28,24.41,24.1,24.18,8659400.0
2025-06-20,24.46,24.75,24.085,24.11,19507251.0
2025-06-23,23.98,24.01,23.45,23.91,9454439.0
2025-06-24,24.25,24.595,24.15,24.54,7644277.0
2025-06-25,24.55,24.6,24.305,24.53,8128402.0
2025-06-26,24.81,24.84,24.47,24.71,6869102.0
2025-06-27,24.74,24.97,24.43,24.77,13832116.0
2025-06-30,24.91,24.95,24.3533,24.46,11117068.0
2025-07-01,24.31,25.82,24.3,25.5,13488137.0
2025-07-02,25.58,25.96,25.25,25.85,8496232.0
2025-07-03,26.08,26.255,25.98,26.0,4740176.0
2025-07-07,25.86,25.96,25.22,25.34,6716145.0
2025-07-08,25.52,26.015,25.2602,25.8,7987016.0
2025-07-09,25.82,25.95,25.275,25.62,6354204.0
2025-07-10,25.68,26.265,25.5904,25.73,7608216.0
2025-07-11,25.5,25.625,25.31,25.42,6169451.0
2025-07-14,25.2,25.38,24.655,24.83,9451834.0
2025-07-15,25.06,25.225,24.485,24.52,6753283.0
2025-07-16,24.54,24.63,24.105,24.56,5919412.0
2025-07-17,24.56,24.81,24.31,24.75,6757978.0
2025-07-18,24.96,25.11,24.72,25.06,7173831.0
2025-07-21,25.18,25.19,24.8,24.83,5068931.0
2025-07-22,24.95,25.415,24.83,25.41,7841342.0
2025-07-23,25.68,26.05,25.5,25.88,7219996.0
2025-07-24,25.72,25.92,25.56,25.69,6055301.0
2025-07-25,25.73,25.8,25.43,25.68,6327586.0
2025-07-28,25.74,25.945,25.485,25.85,5896511.0
2025-07-29,26.0,26.03,25.585,25.67,6551303.0
2025-07-30,25.75,25.8,24.93,25.1,7181369.0
2025-07-31,24.99,25.355,24.76,24.8,12646035.0
2025-08-01,24.52,24.635,24.105,24.45,7929495.0
2025-08-04,24.48,25.0,24.45,24.97,6201311.0
2025-08-05,25.25,25.36,24.915,25.05,6281175.0
2025-08-06,25.1,25.24,24.79,25.01,8133177.0
2025-08-07,25.43,25.525,25.03,25.35,8419455.0
2025-08-08,25.51,26.15,25.32,26.11,7075394.0
2025-08-11,26.16,26.365,25.46,25.51,7540216.0
2025-08-12,25.9,26.695,25.78,26.6,8844354.0
2025-08-13,26.57,27.325,26.57,27.14,9407784.0
2025-08-14,26.67,27.01,26.619,26.93,6544629.0
2025-08-15,27.09,27.1573,26.57,26.74,6974435.0
2025-08-18,26.71,27.02,26.69,26.83,5769826.0
2025-08-19,26.95,27.36,26.905,27.0,7144299.0
2025-08-20,26.8,26.9,26.355,26.47,6458925.0
2025-08-21,26.42,26.585,26.3,26.58,7326466.0
2025-08-22,26.76,27.75,26.67,27.74,6574155.0
2025-08-25,27.65,27.785,27.445,27.5,8250012.0
2025-08-26,27.35,27.52,26.925,27.01,11927922.0
2025-08-27,27.07,27.26,26.895,27.11,11705188.0
2025-08-28,28.38,28.92,27.0,28.35,20139860.0
2025-08-29,28.1,28.745,28.01,28.54,12745715.0
2025-09-02,28.05,28.97,27.7946,28.94,13262309.0
2025-09-03,29.0,29.2,28.51,28.7,8245497.0
2025-09-04,28.72,28.96,28.47,28.92,11584159.0
2025-09-05,29.05,29.45,28.895,29.34,8677808.0
2025-09-08,29.28,29.39,28.83,29.35,8064860.0
2025-09-09,29.21,29.55,28.915,29.04,9901720.0
2025-09-10,28.42,28.57,27.5901,28.37,9094835.0
2025-09-11,28.52,28.8,28.245,28.34,8055503.0
2025-09-12,28.24,28.485,27.93,27.97,8101374.0
2025-09-15,28.04,28.1,27.7,27.75,8790304.0
2025-09-16,27.82,28.17,27.62,27.72,6606566.0
2025-09-17,27.77,28.5,27.691,27.9,12909273.0
2025-09-18,28.21,28.3,27.85,28.24,7021548.0
2025-09-19,28.28,28.3,27.985,28.16,12697936.0
2025-09-22,28.12,28.3665,27.73,28.26,7248503.0
2025-09-23,28.36,28.855,28.36,28.53,7382767.0
2025-09-24,28.48,28.74,27.465,27.5,10197511.0
2025-09-25,27.07,27.14,26.73,26.85,10496619.0
2025-09-26,26.76,26.9,26.315,26.71,7872350.0
2025-09-29,26.89,27.045,26.68,26.89,9098433.0
2025-09-30,26.9,27.25,26.845,27.23,7986780.0
2025-10-01,27.19,27.22,26.4,26.7,14390508.0
2025-10-02,26.76,27.15,26.42,26.48,10975405.0
2025-10-03,26.61,27.29,26.505,26.64,10520683.0
2025-10-06,26.79,26.913,26.44,26.61,7705761.0
2025-10-07,26.78,26.84,26.2,26.55,14473011.0
2025-10-08,26.58,27.175,26.44,27.03,20463660.0
2025-10-09,27.16,27.34,26.73,26.97,10128342.0
2025-10-10,27.1,27.18,25.455,25.55,15792435.0
2025-10-13,26.03,27.38,26.01,27.35,14137521.0
2025-10-14,27.49,28.74,27.4,28.54,21556959.0
2025-10-15,28.86,28.985,28.39,28.61,18360292.0
2025-10-16,28.69,28.73,27.085,27.2,24747271.0
2025-10-17,27.1,27.61,27.0,27.37,10955846.0
2025-10-20,27.56,28.09,27.5,27.66,7049727.0
2025-10-21,27.73,28.5,27.6725,28.16,8330462.0
2025-10-22,27.2,27.965,26.97,27.66,8976844.0
2025-10-23,27.78,28.14,27.665,27.83,11798880.0
2025-10-24,28.26,28.43,27.635,27.66,8626493.0
2025-10-27,27.94,28.095,27.705,27.92,10867718.0
2025-10-28,27.8,28.1855,27.513,28.07,7421220.0
2025-10-29,27.88,28.25,27.57,27.7,8931507.0
2025-10-30,27.39,27.825,27.18,27.51,10356361.0
2025-10-31,27.52,27.88,27.29,27.67,14271801.0
2025-11-03,27.6,27.8,26.7,27.01,10354798.0
2025-11-04,26.52,26.715,25.91,25.94,10081520.0
2025-11-05,25.94,26.71,25.76,26.64,12247744.0
2025-11-06,26.67,26.69,26.1,26.17,9075827.0
2025-11-07,26.01,26.33,25.82,26.28,8710942.0
2025-11-10,26.57,26.58,25.18,25.29,16143198.0
2025-11-11,25.21,25.265,24.625,24.73,14505695.0
2025-11-12,24.85,25.32,24.85,25.21,10318411.0
2025-11-13,25.2,25.435,24.935,24.98,12224924.0
2025-11-14,24.7,25.0,24.47,24.53,9788745.0
2025-11-17,23.56,23.99,22.775,22.87,19877396.0
2025-11-18,22.71,23.0051,22.395,22.71,11853452.0
2025-11-19,22.66,22.785,22.44,22.47,9138793.0
2025-11-20,22.68,22.94,22.265,22.61,15566234.0
2025-11-21,22.8,24.26,22.765,23.96,19349532.0
2025-11-24,24.05,24.5,23.97,24.38,19135902.0
2025-11-25,24.4,25.05,24.195,24.32,22657486.0
2025-11-26,24.095,24.58,23.495,23.98,22163257.0
2025-11-28,24.15,24.43,23.835,24.42,6873063.0
2025-12-01,24.0,24.72,23.98,24.39,14182841.0
2025-12-02,24.75,25.45,24.43,25.15,15550889.0
2025-12-03,25.24,25.47,24.97,25.19,11971042.0
2025-12-04,25.195,25.93,25.11,25.9,11666133.0
2025-12-05,25.93,26.04,25.64,25.91,10225377.0
2025-12-08,25.74,25.765,24.91,25.07,15600427.0
2025-12-09,24.79,25.52,24.745,25.38,10451985.0
2025-12-10,25.34,25.58,25.13,25.49,11980376.0
2025-12-11,25.14,25.49,25.105,25.41,10515789.0
2025-12-12,25.39,25.47,24.67,24.74,9407456.0
2025-12-15,24.95,25.03,24.3824,24.49,12812122.0
2025-12-16,24.46,24.925,24.415,24.83,9995651.0
2025-12-17,24.77,24.89,24.215,24.43,12453987.0
2025-12-18,23.87,24.11,22.98,23.45,20895150.0
2025-12-19,23.39,23.53,23.065,23.26,28443646.0
2025-12-22,23.49,23.645,23.085,23.17,11198490.0
2025-12-23,23.15,23.39,22.78,22.93,10546644.0
2025-12-24,22.99,23.265,22.965,23.16,4190948.0
2025-12-26,23.18,23.305,23.13,23.26,6309412.0
2025-12-29,23.18,23.275,22.66,22.73,11566376.0
2025-12-30,22.68,22.975,22.66,22.9,10809260.0
2025-12-31,22.86,22.9,22.27,22.28,9723921.0
2026-01-02,22.54,22.6,22.01,22.12,19045388.0
2026-01-05,22.11,22.295,21.61,21.66,18710526.0
2026-01-06,21.62,22.37,21.3553,22.15,18039315.0
2026-01-07,22.14,22.16,20.9346,21.09,18867434.0
2026-01-08,20.91,21.895,20.65,21.39,24546270.0
2026-01-09,21.61,21.64,20.92,21.47,19442889.0
2026-01-12,21.48,21.62,21.13,21.18,12773864.0
2026-01-13,21.0,21.42,20.745,21.08,20012451.0
2026-01-14,21.01,21.59,20.7046,20.77,14343211.0
2026-01-15,20.87,21.02,20.505,20.61,14123903.0
2026-01-16,20.08,20.74,19.98,20.37,20501944.0
2026-01-20,20.01,20.28,19.5814,19.8,19624957.0
2026-01-21,19.87,19.99,19.275,19.53,18332535.0
2026-01-22,19.67,20.2,19.65,19.83,13934871.0
2026-01-23,19.7,19.71,19.2,19.43,17425142.0
2026-01-26,19.48,19.595,19.3,19.46,14451766.0
2026-01-27,19.5,19.52,19.15,19.37,15257180.0
2026-01-28,19.42,19.655,19.01,19.05,16930357.0
2026-01-29,19.07,19.625,18.935,19.39,18153930.0
2026-01-30,19.3,19.45,18.96,19.44,21546187.0
2026-02-02,19.48,19.93,19.4,19.81,28367051.0
2026-02-03,19.06,19.15,18.315,19.0,33138568.0
2026-02-04,19.34,20.545,19.31,19.82,31604998.0
2026-02-05,19.8,19.94,18.78,19.15,24443393.0
2026-02-06,19.14,19.9,19.14,19.65,14950584.0
2026-02-09,19.39,19.62,19.14,19.43,16673103.0
2026-02-10,19.6,20.42,19.6,19.81,16196407.0
2026-02-11,19.84,19.91,19.5,19.76,14736553.0
2026-02-12,19.0,19.26,18.26,18.87,26313953.0
2026-02-13,19.11,19.74,19.06,19.26,20576940.0
2026-02-17,19.17,19.37,18.49,18.49,20393566.0
2026-02-18,18.4,18.715,18.245,18.35,17989724.0
2026-02-19,18.3,18.62,18.255,18.34,10709753.0
2026-02-20,18.45,18.92,18.12,18.59,19197867.0
2026-02-23,18.47,18.66,18.13,18.35,17355261.540076
2026-02-24,18.39,18.81,18.0,18.2,27599409.721846
2026-02-25,17.7,19.2,17.56,18.21,48394435.002005
2026-02-26,18.6,19.175,18.56,18.81,26599552.522466
2026-02-27,18.6,19.04,18.41,18.99,23565378.697204
2026-03-02,18.72,18.965,18.54,18.7,18215050.014905
2026-03-03,18.475,19.055,18.46,19.01,14308930.280551
2026-03-04,19.01,19.32,18.67,19.18,13774212.907027
2026-03-05,19.25,19.575,19.105,19.34,16166708.407288
2026-03-06,19.15,19.49,18.885,19.46,14749902.554688
2026-03-09,19.17,19.19,18.495,18.93,21087637.860239
2026-03-10,18.91,19.185,18.47,18.79,18327404.423316
2026-03-11,18.7,19.035,18.255,18.46,13783440.62981
2026-03-12,18.55,19.18,18.445,18.95,26132044.174287
2026-03-13,19.1,19.16,18.615,18.93,12918911.670917
