date,open,high,low,close,volume
2025-04-24,30.63,30.71,30.085,30.19,1879705.0
2025-04-25,30.08,30.145,29.575,29.7,2383913.0
2025-04-28,29.64,29.79,29.37,29.52,2257408.0
2025-04-29,29.51,29.65,29.178,29.61,2341482.0
2025-04-30,29.88,30.04,29.35,29.9,3312014.0
2025-05-01,29.56,29.65,29.23,29.39,2391031.0
2025-05-02,29.54,29.64,29.2391,29.31,2964813.0
2025-05-05,29.29,29.305,28.82,29.21,2530603.0
2025-05-06,29.13,29.31,29.02,29.15,1759903.0
2025-05-07,29.18,29.35,28.975,29.11,2286409.0
2025-05-08,29.13,29.74,29.045,29.39,2614363.0
2025-05-09,29.25,29.52,29.18,29.21,1609351.0
2025-05-12,29.18,29.65,29.02,29.55,2999300.0
2025-05-13,29.44,29.55,28.99,29.27,2685945.0
2025-05-14,29.13,29.3,28.9,29.16,4189594.0
2025-05-15,29.34,30.2,29.34,30.16,2966375.0
2025-05-16,30.13,30.55,30.01,30.53,3068510.0
2025-05-19,30.5,30.5,30.055,30.12,2622264.0
2025-05-20,30.09,30.46,30.055,30.14,3773338.0
2025-05-21,30.07,30.13,29.38,29.42,3265830.0
2025-05-22,29.29,29.525,28.985,29.45,3261121.0
2025-05-23,29.45,29.56,29.0,29.44,2770830.0
2025-05-27,29.8,30.255,29.67,30.2,4867574.0
2025-05-28,30.32,30.45,29.81,30.04,4251516.0
2025-05-29,29.31,30.485,28.77,30.38,6055483.0
2025-05-30,30.52,30.86,30.35,30.68,4464431.0
2025-06-02,30.44,30.85,30.4,30.85,3431126.0
2025-06-03,30.71,31.18,30.58,30.85,2921304.0
2025-06-04,30.9,30.95,30.555,30.7,2566910.0
2025-06-05,30.68,30.92,30.52,30.71,2837967.0
2025-06-06,30.79,30.92,30.37,30.66,2049743.0
2025-06-09,30.53,31.22,30.52,31.19,2933143.0
2025-06-10,31.26,31.425,30.96,31.15,2371781.0
2025-06-11,31.17,31.17,30.79,30.93,2703210.0
2025-06-12,30.96,31.065,30.72,31.05,1766744.0
2025-06-13,31.0,31.18,30.5046,30.58,1980234.0
2025-06-16,30.7,30.81,30.08,30.28,2133306.0
2025-06-17,30.16,30.39,29.98,30.06,2140978.0
2025-06-18,30.05,30.26,29.88,30.16,2511478.0
2025-06-20,30.12,30.53,30.11,30.41,7404215.0
2025-06-23,30.76,31.11,30.63,30.85,3746038.0
2025-06-24,30.72,30.7932,30.36,30.4,3699295.0
2025-06-25,30.06,30.15,29.72,29.84,3790131.0
2025-06-26,29.96,30.38,29.96,30.25,2571142.0
2025-06-27,30.25,30.51,30.1934,30.47,3848846.0
2025-06-30,30.39,30.615,29.97,30.25,2979498.0
2025-07-01,30.25,31.1054,30.25,30.7,2830830.0
2025-07-02,30.66,30.915,30.56,30.81,2679910.0
2025-07-03,30.89,30.9,30.37,30.47,2548050.0
2025-07-07,30.41,30.55,30.14,30.51,2602282.0
2025-07-08,30.32,31.17,30.3,31.1,3261995.0
2025-07-09,31.1,31.36,30.89,31.27,3778295.0
2025-07-10,31.09,31.86,30.985,31.54,3102609.0
2025-07-11,31.54,31.54,29.83,30.51,8333564.0
2025-07-14,30.16,30.28,29.46,29.77,6466844.0
2025-07-15,29.75,29.8,29.2,29.21,3614933.0
2025-07-16,29.26,29.95,29.215,29.91,4336243.0
2025-07-17,30.0,30.09,29.315,29.68,3134202.0
2025-07-18,29.68,29.715,29.06,29.14,3128572.0
2025-07-21,29.16,29.3525,28.86,28.89,1954279.0
2025-07-22,28.99,29.535,28.91,29.45,1879472.0
2025-07-23,29.54,29.78,29.3935,29.52,2456942.0
2025-07-24,29.53,29.63,29.26,29.3,2040826.0
2025-07-25,29.3,29.33,29.07,29.24,1986397.0
2025-07-28,29.105,29.11,28.54,28.55,3198891.0
2025-07-29,28.6,28.9,28.49,28.7,2549278.0
2025-07-30,28.65,28.81,28.22,28.29,2907061.0
2025-07-31,28.05,28.3,27.95,28.09,4744475.0
2025-08-01,28.3,28.38,27.775,28.12,3709980.0
2025-08-04,28.19,28.3493,28.09,28.22,2445288.0
2025-08-05,28.28,28.41,28.11,28.3,3253084.0
2025-08-06,28.32,28.403,28.14,28.26,2527685.0
2025-08-07,28.37,28.555,27.9,28.55,3402491.0
2025-08-08,28.55,28.6485,28.38,28.48,1862647.0
2025-08-11,28.61,28.679,28.35,28.58,2436004.0
2025-08-12,28.49,28.93,28.49,28.76,3181266.0
2025-08-13,28.76,29.135,28.62,28.97,2638091.0
2025-08-14,28.88,28.96,28.295,28.3,3234256.0
2025-08-15,28.39,28.545,28.31,28.48,7569307.0
2025-08-18,28.49,28.49,28.175,28.28,3189226.0
2025-08-19,28.42,28.44,28.085,28.41,3777665.0
2025-08-20,29.0,29.325,28.595,28.64,3931534.0
2025-08-21,28.5,28.985,28.42,28.91,3262356.0
2025-08-22,29.03,29.345,28.985,29.25,2258824.0
2025-08-25,29.17,29.18,28.82,28.87,2896652.0
2025-08-26,28.8,28.85,28.605,28.76,2965871.0
2025-08-27,28.75,29.1,28.6428,29.02,4647965.0
2025-08-28,24.78,25.6,23.7087,25.22,17411444.0
2025-08-29,25.245,25.82,25.24,25.44,7784931.0
2025-09-02,25.47,25.77,24.9601,25.03,6862882.0
2025-09-03,25.0,25.465,24.95,25.35,5709247.0
2025-09-04,25.36,25.45,25.07,25.24,3889819.0
2025-09-05,25.26,25.77,25.22,25.66,3326098.0
2025-09-08,25.56,25.74,25.37,25.5,3758100.0
2025-09-09,25.43,25.585,25.351,25.52,2680348.0
2025-09-10,25.43,25.43,24.725,24.97,4482907.0
2025-09-11,24.93,25.48,24.9,25.42,3109482.0
2025-09-12,25.4,25.43,25.065,25.08,2397354.0
2025-09-15,25.12,25.22,24.665,24.73,4119311.0
2025-09-16,24.82,25.135,24.755,25.02,3511308.0
2025-09-17,24.96,25.22,24.87,24.89,4216891.0
2025-09-18,24.8,25.07,24.6901,24.96,3855512.0
2025-09-19,25.0,25.14,24.82,24.82,8505129.0
2025-09-22,24.81,24.81,24.31,24.31,5239850.0
2025-09-23,24.38,24.5398,24.265,24.44,4131993.0
2025-09-24,24.39,24.75,24.38,24.71,3666662.0
2025-09-25,24.86,24.86,24.325,24.41,2907396.0
2025-09-26,24.48,24.73,24.45,24.72,2715703.0
2025-09-29,24.85,24.85,24.425,24.64,4609324.0
2025-09-30,24.71,24.83,24.51,24.74,3466023.0
2025-10-01,24.84,24.93,24.53,24.8,3017878.0
2025-10-02,24.69,24.85,24.62,24.66,3243917.0
2025-10-03,24.68,24.7937,24.575,24.64,2838963.0
2025-10-06,24.6,24.67,24.3,24.31,4182958.0
2025-10-07,24.38,24.38,23.89,24.0,8872789.0
2025-10-08,24.01,24.01,23.8,23.89,3330375.0
2025-10-09,23.92,24.06,23.72,23.77,4172822.0
2025-10-10,23.88,24.05,23.685,23.73,4793414.0
2025-10-13,23.7,23.79,23.345,23.55,5650867.0
2025-10-14,23.2,23.95,23.1311,23.92,4775185.0
2025-10-15,23.92,24.13,23.59,23.65,3786844.0
2025-10-16,23.7,23.9477,23.665,23.75,4464321.0
2025-10-17,23.81,24.115,23.745,24.03,4006989.0
2025-10-20,24.05,24.08,23.775,23.96,4041065.0
2025-10-21,24.0,24.16,23.93,24.08,4258475.0
2025-10-22,24.06,24.46,23.915,24.15,4392045.0
2025-10-23,24.13,24.18,23.65,23.77,3760937.0
2025-10-24,23.935,23.935,23.6134,23.83,3197806.0
2025-10-27,23.74,23.81,23.37,23.74,5497763.0
2025-10-28,23.64,23.885,23.52,23.65,3370761.0
2025-10-29,22.91,23.04,21.46,21.49,12021637.0
2025-10-30,21.57,21.8,21.22,21.29,7752011.0
2025-10-31,21.21,21.685,21.03,21.59,8031409.0
2025-11-03,21.49,21.525,21.15,21.48,5120937.0
2025-11-04,21.49,21.64,21.24,21.58,3679568.0
2025-11-05,21.54,21.63,21.31,21.55,4197540.0
2025-11-06,21.58,21.845,21.4001,21.72,3820484.0
2025-11-07,21.91,22.11,21.68,22.03,6408054.0
2025-11-10,22.0,22.205,21.81,22.15,4559479.0
2025-11-11,22.31,22.55,22.225,22.51,4244241.0
2025-11-12,22.46,22.65,22.24,22.27,4164069.0
2025-11-13,22.21,22.83,22.21,22.66,6832912.0
2025-11-14,22.74,22.88,22.36,22.64,3823634.0
2025-11-17,22.62,22.65,22.195,22.28,4301552.0
2025-11-18,22.29,22.405,22.08,22.32,3513147.0
2025-11-19,22.25,22.265,22.03,22.19,3690246.0
2025-11-20,22.13,22.51,22.03,22.32,3743421.0
2025-11-21,22.47,23.005,22.33,22.69,9186681.0
2025-11-24,22.56,22.71,22.46,22.6,8567283.0
2025-11-25,22.98,23.05,22.82,22.98,4164754.0
2025-11-26,23.04,23.26,23.01,23.23,3109862.0
2025-11-28,23.3,23.37,23.175,23.21,2114312.0
2025-12-01,23.2,23.505,22.99,23.3,6675252.0
2025-12-02,23.24,23.29,22.845,23.09,6381028.0
2025-12-03,23.12,23.455,23.063,23.27,6891874.0
