date,open,high,low,close,volume
2025-05-08,14.68,15.0,14.65,14.85,6323228.0
2025-05-09,14.84,14.9,14.715,14.77,5600606.0
2025-05-12,15.46,16.12,15.36,15.7,15147082.0
2025-05-13,15.71,15.89,15.61,15.76,9309257.0
2025-05-14,15.74,15.78,15.465,15.5,10703941.0
2025-05-15,15.45,15.515,15.335,15.4,7154120.0
2025-05-16,15.43,15.59,15.34,15.56,5768478.0
2025-05-19,15.26,15.485,15.17,15.42,6071880.0
2025-05-20,15.31,15.39,15.1,15.14,8415770.0
2025-05-21,15.05,15.05,14.675,14.76,7872319.0
2025-05-22,14.74,14.87,14.545,14.83,9327597.0
2025-05-23,14.46,14.765,14.46,14.7,6820609.0
2025-05-27,14.85,15.495,14.85,15.47,12189867.0
2025-05-28,15.5,15.54,15.335,15.42,8737569.0
2025-05-29,15.49,15.61,15.345,15.48,12215297.0
2025-05-30,15.28,15.66,15.24,15.49,60055864.0
2025-06-02,15.42,15.485,15.2,15.44,9717111.0
2025-06-03,15.37,15.75,15.28,15.67,12882812.0
2025-06-04,15.66,15.77,15.41,15.47,8715151.0
2025-06-05,15.44,15.5699,15.275,15.37,7893458.0
2025-06-06,15.56,15.8,15.495,15.76,7344825.0
2025-06-09,15.85,16.09,15.74,15.92,9010393.0
2025-06-10,16.03,16.19,15.94,16.07,7747555.0
2025-06-11,16.17,16.305,15.91,15.97,9992015.0
2025-06-12,15.76,15.9,15.67,15.69,9235466.0
2025-06-13,15.47,15.51,15.07,15.22,10943655.0
2025-06-16,15.34,15.68,15.33,15.64,6359260.0
2025-06-17,15.55,15.7582,15.405,15.57,7169409.0
2025-06-18,15.58,16.005,15.55,15.73,12788886.0
2025-06-20,15.85,15.88,15.6101,15.67,13372650.0
2025-06-23,15.59,15.83,15.44,15.77,9113908.0
2025-06-24,15.85,15.98,15.65,15.67,10506357.0
2025-06-25,15.69,15.715,15.42,15.5,7372081.0
2025-06-26,15.6,15.73,15.535,15.71,7508448.0
2025-06-27,15.79,15.8499,15.59,15.76,11121265.0
2025-06-30,15.57,15.64,15.21,15.36,10300481.0
2025-07-01,15.36,16.06,15.31,15.87,11801509.0
2025-07-02,15.92,16.19,15.849,16.17,9975046.0
2025-07-03,16.29,16.42,16.14,16.21,5858876.0
2025-07-07,16.15,16.265,15.91,16.01,7934155.0
2025-07-08,16.09,16.355,16.01,16.18,5977345.0
2025-07-09,16.2,16.2711,16.025,16.15,6140067.0
2025-07-10,16.22,16.69,16.18,16.58,9509961.0
2025-07-11,16.52,16.58,16.315,16.52,7982531.0
2025-07-14,16.43,16.57,16.29,16.5,6553989.0
2025-07-15,16.6,16.61,16.31,16.33,8502201.0
2025-07-16,16.42,16.49,16.15,16.15,6679423.0
2025-07-17,16.19,16.3,15.97,16.06,7188744.0
