date,open,high,low,close,volume
2025-05-08,177.19,178.8,176.4,176.47,4378358.0
2025-05-09,176.88,179.435,176.78,178.33,3313538.0
2025-05-12,178.915,178.915,170.58,173.44,4617932.0
2025-05-13,173.52,174.8,172.78,172.84,2122959.0
2025-05-14,173.08,174.0,170.92,171.94,4025824.0
2025-05-15,172.23,175.22,171.86,174.85,2563607.0
2025-05-16,175.55,176.26,173.82,176.25,2330954.0
2025-05-19,175.0,177.41,174.56,176.75,2731511.0
2025-05-20,175.9,177.38,175.54,176.29,2150784.0
2025-05-21,175.85,177.17,174.19,174.72,4479607.0
2025-05-22,174.52,175.42,173.57,174.0,2896246.0
2025-05-23,173.5,176.785,172.905,176.12,2248077.0
2025-05-27,177.11,178.96,176.55,178.54,2831517.0
2025-05-28,177.62,178.64,177.58,177.8,2297962.0
2025-05-29,177.76,178.785,176.87,178.53,1789718.0
2025-05-30,178.45,180.6399,178.01,179.8,5439480.0
2025-06-02,178.75,180.34,177.6672,180.32,1854721.0
2025-06-03,180.24,180.89,177.8,179.34,2387667.0
2025-06-04,179.79,179.95,177.93,179.13,1869924.0
2025-06-05,179.57,179.68,177.66,178.56,2438361.0
2025-06-06,178.2,178.88,177.355,178.68,3245193.0
2025-06-09,177.8,178.83,174.785,175.97,2775968.0
2025-06-10,176.0,176.34,174.74,175.53,1898192.0
2025-06-11,176.01,177.56,174.95,177.5,1677272.0
2025-06-12,177.01,179.14,176.99,179.08,1841536.0
2025-06-13,179.08,179.95,177.45,178.44,2500290.0
2025-06-16,179.57,181.63,179.0,179.8,2150731.0
2025-06-17,179.2,181.65,178.7208,180.99,3230567.0
2025-06-18,180.99,181.33,179.51,179.76,2055314.0
2025-06-20,179.01,180.9,177.47,178.43,3910148.0
2025-06-23,178.85,179.96,178.2,179.73,2017412.0
2025-06-24,180.39,181.31,178.455,180.85,2101670.0
2025-06-25,180.31,181.454,179.64,180.53,1560748.0
2025-06-26,181.03,181.615,180.22,180.8,1504517.0
2025-06-27,180.71,182.61,180.42,181.75,2137145.0
2025-06-30,181.96,183.76,181.36,183.47,3214083.0
2025-07-01,183.3,183.73,179.31,181.86,2223840.0
2025-07-02,181.1,181.86,179.6,181.74,1631142.0
2025-07-03,182.0,183.11,181.79,183.11,1082826.0
2025-07-07,183.38,183.99,181.705,183.09,1634679.0
2025-07-08,182.31,182.995,180.61,180.98,1950615.0
2025-07-09,180.61,182.19,178.7301,182.16,1788992.0
2025-07-10,181.83,182.85,180.63,181.82,1894320.0
2025-07-11,181.2,182.06,180.18,180.51,1576930.0
2025-07-14,180.38,182.4,179.66,181.82,1773082.0
2025-07-15,181.61,181.82,179.28,179.79,1513364.0
2025-07-16,180.2,181.215,179.01,180.8,1629639.0
2025-07-17,180.33,182.15,180.0,181.94,1806780.0
2025-07-18,181.99,182.66,180.35,180.72,2482981.0
2025-07-21,180.9,182.16,180.44,180.81,1757909.0
2025-07-22,180.63,181.14,179.62,180.8,1952750.0
2025-07-23,180.63,181.59,179.73,181.0,1994138.0
2025-07-24,181.42,184.03,180.42,183.58,2981233.0
2025-07-25,183.31,185.295,183.26,184.44,2588779.0
2025-07-28,184.0,184.66,182.43,182.79,2353438.0
2025-07-29,183.94,184.8481,183.1,184.71,3035740.0
2025-07-30,184.95,187.375,184.37,185.74,3507680.0
2025-07-31,185.74,187.38,182.7,184.83,4429353.0
2025-08-01,182.11,185.21,182.0,184.6,3795759.0
2025-08-04,185.36,188.59,184.83,188.45,3777298.0
2025-08-05,189.16,189.23,186.72,187.4,2929462.0
2025-08-06,187.84,188.54,186.7869,188.05,2690527.0
2025-08-07,188.45,188.98,187.29,188.02,2697726.0
2025-08-08,188.55,189.35,186.38,186.4,2783636.0
2025-08-11,186.4,187.09,184.68,185.93,2036912.0
2025-08-12,186.2,186.2,181.48,182.74,3849139.0
2025-08-13,183.65,183.65,180.21,181.41,3723584.0
2025-08-14,181.61,183.13,180.965,182.68,6079985.0
2025-08-15,182.42,182.8553,180.8,181.2,2840984.0
2025-08-18,180.94,181.448,177.94,177.94,3606152.0
2025-08-19,178.13,178.6699,177.07,178.27,2586588.0
2025-08-20,178.45,181.72,177.96,181.3,2921710.0
2025-08-21,180.5,180.906,178.7,179.23,1973647.0
2025-08-22,179.76,180.96,179.25,180.67,2247812.0
2025-08-25,180.74,181.65,179.06,179.14,3101814.0
2025-08-26,178.33,178.89,177.75,178.74,2578960.0
2025-08-27,178.34,179.2,177.27,177.3,1933752.0
2025-08-28,177.02,177.7,176.11,177.14,2170883.0
2025-08-29,177.01,177.76,176.125,176.6,1775545.0
2025-09-02,175.56,177.0,173.66,175.09,3226405.0
2025-09-03,174.71,175.46,173.77,175.13,1903021.0
2025-09-04,175.91,176.05,173.22,174.52,2950100.0
2025-09-05,175.14,175.14,172.89,174.27,3104193.0
2025-09-08,173.39,174.14,172.0,173.89,2322618.0
2025-09-09,173.67,174.785,173.04,173.46,3466671.0
2025-09-10,173.5,173.99,171.33,172.23,2381031.0
