date,open,high,low,close,volume
2025-04-24,166.88,174.095,166.47,173.79,995409.0
2025-04-25,173.4,175.0,171.54,173.0,603239.0
2025-04-28,173.65,175.24,172.74,174.1,676662.0
2025-04-29,173.57,174.21,172.0,172.2,742619.0
2025-04-30,171.82,173.97,169.31,173.97,1082105.0
2025-05-01,184.0,184.0,172.565,175.25,914967.0
2025-05-02,179.36,182.605,176.6501,181.45,780131.0
2025-05-05,180.0,183.28,179.965,181.73,660831.0
2025-05-06,179.86,181.55,179.3,179.54,583139.0
2025-05-07,179.68,181.8,179.59,180.09,677403.0
2025-05-08,182.31,186.66,181.58,184.65,630905.0
2025-05-09,184.87,185.41,183.015,183.47,383459.0
2025-05-12,189.38,193.58,189.38,191.29,889006.0
2025-05-13,191.57,192.48,190.21,190.31,471418.0
2025-05-14,189.28,189.99,188.32,188.47,517542.0
2025-05-15,188.06,190.19,187.47,189.56,528980.0
2025-05-16,189.48,190.9,187.97,190.85,421473.0
2025-05-19,187.5,191.14,187.5,189.93,490691.0
2025-05-20,189.05,189.43,187.68,188.26,524538.0
2025-05-21,185.39,185.405,179.72,181.16,986316.0
2025-05-22,180.5,182.01,179.029,181.13,468920.0
2025-05-23,178.28,180.2484,178.205,179.6,421433.0
2025-05-27,181.95,183.47,180.3,183.45,500399.0
2025-05-28,183.89,184.46,180.35,180.7,419834.0
2025-05-29,182.56,182.56,179.66,182.14,551602.0
2025-05-30,182.14,183.3,179.42,180.91,834199.0
2025-06-02,179.77,179.77,176.77,179.17,557160.0
2025-06-03,179.2,182.205,178.56,182.04,464922.0
2025-06-04,182.7,182.8,180.87,180.89,389498.0
2025-06-05,181.1,181.61,179.53,180.28,683323.0
2025-06-06,182.68,183.6175,180.93,183.31,479634.0
2025-06-09,183.95,184.79,182.035,183.23,626567.0
2025-06-10,183.32,184.88,182.465,184.26,345085.0
2025-06-11,184.37,185.845,183.14,183.17,531985.0
2025-06-12,181.64,184.03,181.64,182.51,622239.0
2025-06-13,180.22,181.64,177.198,177.82,650936.0
2025-06-16,179.63,180.72,178.09,179.92,600527.0
2025-06-17,178.75,179.95,175.7,175.99,652104.0
2025-06-18,175.63,177.19,174.06,175.03,888840.0
2025-06-20,175.78,176.86,172.29,173.15,2463836.0
2025-06-23,173.19,173.92,170.26,172.72,965446.0
2025-06-24,174.14,175.91,172.54,174.88,501271.0
2025-06-25,175.36,175.36,172.76,174.5,551944.0
2025-06-26,175.38,177.11,174.98,176.35,608111.0
2025-06-27,177.17,178.18,175.42,176.32,788116.0
2025-06-30,175.94,177.02,173.7576,175.57,902706.0
2025-07-01,174.87,183.06,174.51,180.19,644030.0
2025-07-02,180.47,182.31,179.65,182.16,487975.0
2025-07-03,182.75,183.525,180.69,181.25,224051.0
2025-07-07,180.12,181.3799,178.27,179.33,802533.0
2025-07-08,179.46,184.03,178.44,182.47,911539.0
2025-07-09,183.52,184.89,181.72,184.38,1036169.0
2025-07-10,184.27,187.71,183.855,185.42,686179.0
2025-07-11,183.14,183.925,181.23,181.47,674892.0
2025-07-14,180.7,181.92,179.25,180.87,793534.0
2025-07-15,181.93,182.84,179.41,179.47,766765.0
2025-07-16,179.83,180.96,177.09,179.77,685680.0
2025-07-17,180.33,184.25,180.33,183.96,498614.0
2025-07-18,184.94,184.94,182.275,183.38,651955.0
2025-07-21,184.34,184.57,180.31,180.9,652523.0
2025-07-22,180.26,184.86,180.26,184.54,468405.0
2025-07-23,186.26,186.697,183.04,184.4,728997.0
2025-07-24,184.03,184.9,183.0,183.66,352308.0
2025-07-25,184.91,185.73,182.585,185.69,369257.0
2025-07-28,186.0,186.62,184.185,184.43,534869.0
2025-07-29,185.26,186.29,183.415,185.18,701892.0
2025-07-30,175.0,178.225,163.16,164.28,2650956.0
2025-07-31,162.5,165.42,161.28,163.51,1484848.0
2025-08-01,162.18,163.35,158.34,159.12,1320376.0
2025-08-04,159.03,160.315,157.46,158.25,1008866.0
2025-08-05,159.59,162.5099,159.19,161.84,695480.0
2025-08-06,161.85,163.015,158.9,159.72,1006935.0
2025-08-07,161.65,162.01,158.31,158.53,747653.0
2025-08-08,158.25,160.0,157.94,158.26,639114.0
2025-08-11,158.61,159.8013,157.25,157.53,765066.0
2025-08-12,159.67,163.64,158.875,163.32,657262.0
2025-08-13,164.11,169.8,163.73,169.5,1048047.0
2025-08-14,167.19,168.42,165.57,167.19,850787.0
2025-08-15,167.6,167.71,164.16,164.77,579229.0
