date,open,high,low,close,volume
2025-07-08,75.12,76.455,74.88,76.18,1417878.0
2025-07-09,76.44,76.77,75.71,76.55,1224709.0
2025-07-10,76.55,77.61,76.1,76.62,1114811.0
2025-07-11,75.48,76.19,74.95,75.95,1099346.0
2025-07-14,75.52,75.69,74.62,74.63,1320564.0
2025-07-15,75.1,75.1,73.58,73.65,1473114.0
2025-07-16,73.65,74.41,73.17,74.22,1065841.0
2025-07-17,74.14,75.07,73.935,75.03,1120464.0
2025-07-18,75.19,76.07,75.025,76.0,1531369.0
2025-07-21,76.5,76.78,75.99,76.25,2082892.0
2025-07-22,76.42,77.79,76.21,76.94,2882327.0
2025-07-23,77.56,77.925,76.95,77.46,1779286.0
2025-07-24,76.71,77.26,75.705,75.88,1756173.0
2025-07-25,76.0,77.0,75.285,76.63,1454271.0
2025-07-28,75.89,76.37,74.9275,75.23,1735633.0
2025-07-29,75.16,75.53,74.32,74.79,1229375.0
2025-07-30,74.28,74.43,71.215,71.77,3227642.0
2025-07-31,71.17,71.84,70.595,71.03,2483051.0
2025-08-01,70.69,70.71,69.11,69.48,1489313.0
2025-08-04,69.9,70.42,69.37,70.15,1483369.0
2025-08-05,70.73,71.0099,69.76,70.62,2207897.0
2025-08-06,73.94,74.575,63.71,66.16,5504093.0
2025-08-07,65.79,66.055,64.15,64.23,4933404.0
2025-08-08,64.5,64.8399,63.5,63.56,2913128.0
2025-08-11,63.73,63.91,62.98,63.46,4382525.0
2025-08-12,63.06,64.82,62.33,64.54,4273696.0
2025-08-13,64.59,66.53,63.95,66.51,2765349.0
2025-08-14,65.61,66.07,65.14,65.72,2029774.0
2025-08-15,66.17,66.4,65.49,65.82,1389255.0
2025-08-18,65.71,65.995,65.08,65.31,1713791.0
2025-08-19,65.71,66.64,65.36,65.83,1267047.0
2025-08-20,65.97,66.7,65.57,66.11,1900166.0
2025-08-21,65.67,66.41,65.54,66.13,1644101.0
2025-08-22,66.5,68.27,66.3184,67.98,2293779.0
2025-08-25,67.82,67.87,66.91,67.14,1198975.0
2025-08-26,67.11,67.48,66.44,66.72,2247662.0
2025-08-27,66.49,66.98,66.35,66.78,2018918.0
2025-08-28,67.0,67.34,66.16,67.1,1467571.0
2025-08-29,67.11,67.66,66.8,67.51,1521823.0
2025-09-02,66.94,67.5,65.36,66.55,2267208.0
2025-09-03,66.03,66.76,65.49,65.71,1815197.0
2025-09-04,65.79,65.875,64.84,65.53,1958663.0
2025-09-05,65.61,67.235,65.29,66.03,1872133.0
2025-09-08,67.03,67.03,65.52,66.17,1901824.0
2025-09-09,65.55,66.08,64.91,65.07,1677692.0
2025-09-10,64.85,65.21,63.97,64.48,1795807.0
2025-09-11,64.2,66.54,64.2,66.35,2419336.0
2025-09-12,65.98,66.355,65.415,65.62,1921162.0
2025-09-15,65.81,65.81,64.34,64.37,3081159.0
2025-09-16,64.72,64.8272,64.3,64.52,1712268.0
2025-09-17,64.48,65.255,63.25,63.34,2601730.0
2025-09-18,63.65,64.05,63.245,63.75,3083590.0
2025-09-19,63.92,64.53,63.1056,63.53,6765747.0
2025-09-22,63.33,63.33,62.17,62.2,2417531.0
2025-09-23,62.6,62.95,62.19,62.39,1673927.0
2025-09-24,62.29,62.845,62.13,62.54,1535791.0
2025-09-25,62.31,62.47,60.13,60.3,2428433.0
2025-09-26,60.56,60.99,60.35,60.72,1821622.0
2025-09-29,60.73,61.12,59.89,60.96,2386892.0
2025-09-30,60.88,61.79,60.4,61.54,2293814.0
2025-10-01,61.32,61.72,60.4,60.96,2569530.0
2025-10-02,60.87,62.01,60.77,61.51,1685189.0
2025-10-03,61.35,62.45,61.35,62.18,1542003.0
2025-10-06,62.05,62.375,61.47,61.5,1674137.0
2025-10-07,61.85,62.15,60.975,61.02,2988715.0
2025-10-08,61.49,61.65,60.7,61.3,1783818.0
2025-10-09,61.61,61.7799,59.9101,60.15,1410845.0
2025-10-10,60.39,60.587,59.14,59.55,4215506.0
2025-10-13,59.77,60.485,59.5,60.1,1385015.0
2025-10-14,60.0,61.71,59.75,61.67,1596545.0
2025-10-15,61.86,62.83,61.57,61.93,1482431.0
2025-10-16,62.28,63.19,62.13,62.6,1983064.0
2025-10-17,62.78,63.895,62.6,63.75,2751164.0
2025-10-20,64.03,64.785,63.91,64.64,1764752.0
2025-10-21,64.65,65.31,64.01,65.01,1660178.0
2025-10-22,65.28,65.76,64.785,64.82,2281247.0
2025-10-23,64.97,65.995,64.94,65.77,2072538.0
2025-10-24,66.27,66.485,65.5,65.91,1828857.0
2025-10-27,65.91,66.29,65.035,65.29,1846381.0
2025-10-28,65.04,65.489,64.48,64.88,2062620.0
2025-10-29,64.46,64.7,63.05,63.28,2377325.0
2025-10-30,63.02,63.955,62.5,63.13,2785042.0
2025-10-31,62.57,63.25,62.28,62.97,2487319.0
2025-11-03,62.41,62.83,61.645,62.08,4115964.0
2025-11-04,61.88,62.28,61.295,61.49,2875233.0
2025-11-05,62.72,65.88,62.72,64.0,4274830.0
2025-11-06,64.32,64.59,62.69,62.85,2243853.0
2025-11-07,63.16,63.39,61.79,62.0,3193427.0
2025-11-10,62.18,63.46,61.725,62.78,2207133.0
2025-11-11,63.19,65.32,63.19,65.31,2195877.0
2025-11-12,65.13,66.05,65.13,65.41,2210531.0
2025-11-13,65.32,67.75,65.04,67.43,3638860.0
2025-11-14,66.73,67.585,65.365,65.88,2221028.0
2025-11-17,65.61,66.365,65.11,65.13,2618930.0
2025-11-18,65.05,66.09,64.91,66.0,2272382.0
2025-11-19,65.91,66.33,64.97,65.13,1907071.0
2025-11-20,65.36,65.675,64.0,64.56,2668705.0
2025-11-21,64.95,68.07,64.785,67.45,2440347.0
2025-11-24,67.21,68.16,66.81,67.45,3210552.0
2025-11-25,68.13,70.11,67.675,69.2,3374984.0
2025-11-26,68.74,70.01,68.645,69.78,1351802.0
2025-11-28,69.73,70.099,69.43,69.48,877172.0
2025-12-01,69.28,69.98,69.1,69.27,1356073.0
2025-12-02,69.41,69.495,67.89,68.54,1829353.0
2025-12-03,68.73,69.1,67.065,67.12,1960063.0
2025-12-04,67.54,67.7,66.04,66.49,1807736.0
2025-12-05,66.47,67.945,66.3,67.18,2046881.0
2025-12-08,66.98,67.11,65.34,65.36,1663872.0
2025-12-09,65.33,66.07,64.24,64.54,1795989.0
2025-12-10,64.77,65.52,64.34,65.39,2909892.0
2025-12-11,63.5,64.04,62.06,63.25,4578675.0
2025-12-12,63.48,63.556,62.69,63.26,3276150.0
2025-12-15,63.69,64.28,62.9,64.17,2724829.0
2025-12-16,64.16,64.99,63.96,64.58,2525986.0
2025-12-17,64.37,66.275,64.26,65.62,2102621.0
2025-12-18,65.72,66.52,65.065,65.41,2421830.0
2025-12-19,64.81,66.17,64.4,65.77,6198768.0
2025-12-22,65.82,67.05,65.75,66.57,1883088.0
2025-12-23,67.0,67.0,66.165,66.37,1697556.0
2025-12-24,66.37,66.98,66.15,66.92,529202.0
2025-12-26,66.81,67.515,66.6001,67.47,1019331.0
2025-12-29,67.31,67.8899,67.02,67.76,1102070.0
2025-12-30,67.64,68.24,67.3201,67.93,1299953.0
