date,open,high,low,close,volume
2025-05-07,59.95,60.07,59.07,59.55,1865472.0
2025-05-08,58.8,59.99,57.77,59.73,2169682.0
2025-05-09,59.98,60.475,58.94,58.98,1252517.0
2025-05-12,60.03,61.405,59.29,60.85,2072024.0
2025-05-13,60.43,61.15,59.525,60.81,1548995.0
2025-05-14,60.58,62.5,59.15,61.16,2143866.0
2025-05-15,61.65,62.99,61.105,62.76,1643013.0
2025-05-16,63.18,63.48,62.73,63.31,1330221.0
2025-05-19,63.17,64.2996,62.84,63.81,1214339.0
2025-05-20,63.65,66.11,63.605,65.3,2059127.0
2025-05-21,64.74,65.46,64.4312,64.78,1965649.0
2025-05-22,64.73,65.33,64.05,64.51,1557150.0
2025-05-23,63.901,64.57,63.51,64.245,873888.0
2025-05-27,64.95,65.8,64.69,65.35,1266983.0
2025-05-28,65.18,65.61,64.85,64.93,1339522.0
2025-05-29,64.92,66.26,64.63,66.04,1614282.0
2025-05-30,65.71,65.77,63.93,65.06,3737619.0
2025-06-02,64.88,65.97,63.925,65.31,1882997.0
2025-06-03,65.12,70.97,64.72,67.11,5339068.0
2025-06-04,67.06,68.45,66.3,67.42,1577488.0
2025-06-05,67.5,67.87,66.84,67.24,1712763.0
2025-06-06,67.78,68.98,67.62,68.77,1719841.0
2025-06-09,68.89,69.96,68.11,69.89,2088696.0
2025-06-10,69.83,70.98,69.65,70.07,2109440.0
2025-06-11,70.12,70.36,68.79,68.85,2203581.0
2025-06-12,68.95,69.54,68.1,69.22,1217903.0
2025-06-13,68.07,68.96,67.565,67.75,1834959.0
2025-06-16,70.8,71.29,69.0,71.22,3239180.0
2025-06-17,70.62,70.89,68.59,68.81,2018873.0
2025-06-18,68.97,69.47,68.01,68.27,1740830.0
2025-06-20,68.47,69.19,67.865,68.46,2340022.0
2025-06-23,68.1,68.78,66.7401,67.26,1349027.0
2025-06-24,68.05,69.54,67.325,69.01,1700554.0
2025-06-25,69.02,69.135,67.38,67.55,995696.0
2025-06-26,70.71,71.5,69.84,70.81,3025389.0
2025-06-27,70.975,71.12,67.82,68.37,3495246.0
2025-06-30,68.25,68.815,67.67,68.1,1481817.0
2025-07-01,67.15,70.37,66.83,68.73,1501970.0
2025-07-02,68.61,69.1,68.0,68.17,2374621.0
2025-07-03,68.08,68.96,67.8816,68.45,1272600.0
2025-07-07,68.24,68.25,66.85,67.27,1689058.0
2025-07-08,67.26,68.65,67.06,67.67,1400249.0
2025-07-09,68.06,69.295,67.945,68.72,1927203.0
2025-07-10,69.07,70.62,68.455,70.34,1390163.0
2025-07-11,69.66,69.975,68.36,68.59,1094786.0
2025-07-14,68.77,70.04,67.97,69.98,1531150.0
2025-07-15,70.0,70.15,68.21,68.25,1516245.0
2025-07-16,68.36,69.42,68.15,69.23,1026576.0
2025-07-17,69.12,69.645,68.84,68.94,774128.0
2025-07-18,69.25,69.43,67.8,67.86,1556892.0
2025-07-21,67.94,68.63,67.17,67.38,1331302.0
2025-07-22,67.58,69.1229,67.2,68.9,1324463.0
2025-07-23,69.34,70.83,69.24,70.69,1276138.0
2025-07-24,70.81,71.29,70.33,70.49,1680116.0
2025-07-25,70.82,70.82,70.06,70.2,1434801.0
2025-07-28,70.35,70.93,69.695,70.16,1926859.0
2025-07-29,72.0,77.87,71.0,77.375,3976522.0
2025-07-30,77.84,78.77,76.871,77.55,2520416.0
2025-07-31,77.18,77.46,74.24,74.89,2577430.0
2025-08-01,74.56,75.695,73.805,75.59,1583962.0
2025-08-04,75.77,78.25,75.48,78.04,1624318.0
2025-08-05,77.97,78.5,77.09,77.725,1733565.0
2025-08-06,78.62,79.43,76.45,77.65,1987942.0
2025-08-07,78.04,78.25,76.79,78.2,1416919.0
2025-08-08,78.24,79.0,77.6901,78.39,1200253.0
2025-08-11,78.2,79.72,78.2,79.19,2015776.0
2025-08-12,79.44,81.82,79.335,81.61,1810225.0
2025-08-13,81.8,86.02,81.61,85.85,3182785.0
2025-08-14,84.75,86.5,84.4101,86.16,1838197.0
2025-08-15,86.81,87.06,85.42,86.92,1883541.0
2025-08-18,86.72,87.24,84.85,84.92,1741498.0
2025-08-19,84.94,85.685,84.5501,85.46,1824112.0
2025-08-20,85.23,86.37,84.76,86.2,1688492.0
2025-08-21,85.72,86.97,85.45,86.53,982653.0
2025-08-22,87.0,87.0,84.9,85.04,1475760.0
2025-08-25,84.88,85.87,84.43,84.76,1643125.0
2025-08-26,84.71,84.71,83.655,84.0,2325075.0
2025-08-27,84.13,85.12,84.13,84.84,1460326.0
