date,open,high,low,close,volume
2025-07-15,32.25,32.36,31.725,31.86,4100898.0
2025-07-16,31.91,32.23,31.835,32.21,3364812.0
2025-07-17,32.23,32.365,32.065,32.26,3141310.0
2025-07-18,32.28,32.495,32.135,32.24,2459011.0
2025-07-21,32.26,32.54,32.035,32.06,2362743.0
2025-07-22,32.11,32.63,32.065,32.6,2943932.0
2025-07-23,32.58,32.67,32.285,32.48,2216141.0
2025-07-24,32.33,32.45,32.105,32.12,2923827.0
2025-07-25,32.1,32.27,31.8,31.91,3959955.0
2025-07-28,31.81,31.875,31.2,31.22,3722371.0
2025-07-29,31.3,32.045,31.155,32.0,4527494.0
2025-07-30,31.96,31.96,31.135,31.38,5228165.0
2025-07-31,29.98,31.215,29.855,30.65,7070795.0
2025-08-01,31.08,31.08,30.07,30.34,5313135.0
2025-08-04,30.31,30.54,30.13,30.19,5081276.0
2025-08-05,30.28,30.79,30.25,30.46,3911903.0
2025-08-06,30.48,30.58,30.01,30.26,4425992.0
2025-08-07,30.4,30.48,30.145,30.22,2773196.0
2025-08-08,30.3,30.41,29.905,29.95,2972332.0
2025-08-11,29.84,30.1,29.82,29.9,3658871.0
2025-08-12,29.88,30.07,29.72,30.03,3074371.0
2025-08-13,30.14,30.63,29.98,30.54,4726094.0
2025-08-14,30.22,30.33,30.03,30.25,3000891.0
2025-08-15,30.29,30.585,30.19,30.54,4871125.0
2025-08-18,30.49,30.59,29.95,29.95,3452063.0
2025-08-19,30.1,30.635,30.045,30.5,4484024.0
2025-08-20,30.63,31.02,30.51,30.55,2901857.0
2025-08-21,30.51,30.79,30.455,30.58,2984047.0
2025-08-22,30.86,31.315,30.78,31.26,3909098.0
2025-08-25,31.26,31.3784,30.645,30.8,2860705.0
2025-08-26,30.87,30.915,30.48,30.68,3486142.0
2025-08-27,30.74,31.245,30.65,31.13,2835661.0
2025-08-28,31.16,31.18,30.76,30.94,2483010.0
2025-08-29,30.94,31.33,30.83,31.29,3686684.0
2025-09-02,31.03,31.16,30.19,30.33,3426068.0
2025-09-03,30.21,30.48,30.12,30.23,3467018.0
2025-09-04,30.37,30.41,29.99,30.35,5014886.0
2025-09-05,30.52,30.71,30.115,30.25,5423792.0
2025-09-08,30.0,30.265,29.88,30.1,3903983.0
2025-09-09,30.06,30.475,29.99,30.29,2836587.0
2025-09-10,30.2,30.41,29.91,30.01,3726786.0
2025-09-11,30.05,30.64,29.9701,30.62,2803379.0
2025-09-12,30.59,30.65,30.17,30.21,4652631.0
2025-09-15,30.16,30.3,29.605,29.65,5131745.0
2025-09-16,29.7,29.83,29.445,29.53,4659099.0
2025-09-17,29.42,30.02,29.38,29.64,6400168.0
2025-09-18,29.51,29.87,29.47,29.52,4334778.0
2025-09-19,29.4,29.825,29.28,29.64,9721307.0
2025-09-22,29.65,29.8,29.44,29.69,4959877.0
2025-09-23,29.71,29.81,29.485,29.69,4398117.0
2025-09-24,29.67,29.77,29.185,29.21,5066219.0
2025-09-25,29.08,29.15,28.7635,28.9,4361778.0
2025-09-26,29.01,29.25,28.82,29.18,4684059.0
2025-09-29,29.22,29.22,28.92,29.04,3762089.0
2025-09-30,28.94,29.33,28.935,29.33,4282648.0
2025-10-01,29.3,29.45,28.955,29.01,3743280.0
2025-10-02,28.91,29.02,28.57,28.7,3497473.0
2025-10-03,28.71,28.935,28.615,28.64,3691633.0
2025-10-06,28.75,28.75,28.17,28.22,5859581.0
2025-10-07,28.32,28.485,28.03,28.14,4571770.0
2025-10-08,28.03,28.31,27.96,28.18,4990769.0
2025-10-09,28.27,28.42,27.97,28.0,4182287.0
2025-10-10,28.05,28.14,27.71,27.94,7090860.0
2025-10-13,27.9,28.32,27.82,28.25,5102488.0
2025-10-14,28.27,28.64,28.27,28.51,6749422.0
2025-10-15,28.56,28.755,28.235,28.42,4684571.0
2025-10-16,28.48,28.635,28.22,28.45,4389121.0
2025-10-17,28.57,28.615,28.3,28.52,4989759.0
2025-10-20,28.58,28.86,28.39,28.6,4073686.0
2025-10-21,28.6,28.985,28.5,28.69,4045858.0
2025-10-22,28.81,29.1,28.555,28.89,3504536.0
2025-10-23,28.95,29.04,28.515,28.91,2626398.0
2025-10-24,28.92,28.98,28.79,28.87,4100900.0
2025-10-27,28.86,28.88,28.61,28.88,4840641.0
2025-10-28,28.735,28.79,28.1644,28.19,3675162.0
2025-10-29,27.95,27.97,27.39,27.47,8057357.0
2025-10-30,27.54,28.715,27.38,28.41,8331493.0
2025-10-31,28.28,28.48,27.915,28.15,7257051.0
2025-11-03,27.86,28.365,27.67,28.36,4822239.0
2025-11-04,28.52,28.67,28.11,28.62,4057561.0
2025-11-05,28.76,28.86,28.315,28.38,3967397.0
2025-11-06,28.3,28.45,27.81,27.81,3237875.0
2025-11-07,27.89,28.21,27.85,28.01,5508126.0
