date,open,high,low,close,volume
2025-05-07,149.6,153.69,146.72,153.3,2879578.0
2025-05-08,155.2,156.5,151.0,153.29,2667928.0
2025-05-09,153.69,154.99,148.74,148.99,1677256.0
2025-05-12,152.88,156.53,151.5,156.13,5398673.0
2025-05-13,155.0,155.95,150.61,150.68,2499704.0
2025-05-14,150.68,151.97,141.67,141.82,2739503.0
2025-05-15,140.83,141.6637,137.34,140.43,2595892.0
2025-05-16,140.89,143.745,138.0,142.82,2227301.0
2025-05-19,140.09,143.57,139.125,143.54,3088264.0
2025-05-20,143.56,145.775,142.87,144.95,4613530.0
2025-05-21,142.93,144.73,137.26,137.29,2870745.0
2025-05-22,136.41,138.46,135.39,138.04,3036024.0
2025-05-23,135.96,137.88,134.645,137.0,2248710.0
2025-05-27,139.84,141.95,139.55,140.54,2960055.0
2025-05-28,140.1,140.865,138.2,138.78,1601591.0
2025-05-29,140.59,141.67,137.75,141.02,2250155.0
2025-05-30,140.2,141.33,137.33,140.33,2874687.0
2025-06-02,139.14,139.66,136.425,139.1,1536989.0
2025-06-03,138.51,143.39,136.41,142.78,3270021.0
2025-06-04,144.04,149.0,143.0,147.9,2684614.0
2025-06-05,148.86,149.86,146.44,147.37,3359217.0
2025-06-06,148.22,152.34,147.62,152.32,2750098.0
2025-06-09,154.26,154.83,151.58,154.15,2410414.0
2025-06-10,154.505,160.63,153.93,159.77,2845140.0
2025-06-11,160.05,163.79,158.05,158.83,2739962.0
2025-06-12,158.0,160.23,157.26,159.13,1584575.0
2025-06-13,156.06,158.98,156.06,156.89,1473885.0
2025-06-16,157.48,159.85,155.2,159.25,1643862.0
2025-06-17,157.45,158.99,153.225,154.1,2631082.0
2025-06-18,155.01,156.01,153.885,154.61,1667193.0
2025-06-20,155.6,156.91,153.82,154.73,2905654.0
2025-06-23,153.27,157.07,153.0117,155.17,4537384.0
2025-06-24,156.59,158.93,155.61,158.58,1606759.0
2025-06-25,157.84,159.62,156.13,158.71,2093330.0
2025-06-26,159.94,160.22,156.49,158.16,2551725.0
2025-06-27,158.86,159.58,156.01,157.47,2309431.0
2025-06-30,157.87,158.99,155.15,157.59,2920642.0
2025-07-01,157.31,167.32,156.01,162.61,1497761.0
2025-07-02,163.15,164.915,161.725,164.65,1277983.0
2025-07-03,165.1,166.91,164.24,164.24,674106.0
2025-07-07,163.25,164.99,160.87,162.45,1489122.0
2025-07-08,163.17,168.47,162.71,164.47,1987723.0
2025-07-09,165.88,166.74,160.28,162.02,1289745.0
2025-07-10,162.83,168.97,162.28,165.53,1612124.0
2025-07-11,163.54,164.89,161.36,162.8,1156699.0
2025-07-14,161.45,162.85,159.46,160.13,1364956.0
2025-07-15,161.51,162.24,157.59,157.68,2406158.0
2025-07-16,158.33,159.8,156.16,158.64,1498303.0
2025-07-17,158.32,163.83,157.78,163.25,2194885.0
2025-07-18,164.21,164.68,159.2,160.63,2312799.0
2025-07-21,160.97,161.7,158.66,158.96,2338000.0
2025-07-22,171.33,190.13,170.16,187.38,6857001.0
2025-07-23,191.27,194.88,186.32,194.24,5027916.0
2025-07-24,197.1,206.78,196.295,200.82,5460128.0
2025-07-25,201.04,201.04,195.3175,199.17,2138936.0
2025-07-28,198.68,201.21,196.855,197.76,1966386.0
2025-07-29,197.76,198.045,192.17,194.55,2158748.0
2025-07-30,194.8,195.7,189.67,191.54,1277957.0
2025-07-31,188.93,191.0,184.91,185.86,1887359.0
2025-08-01,183.27,184.0,178.92,182.45,1644135.0
2025-08-04,181.62,184.619,180.23,182.75,1100463.0
2025-08-05,183.01,184.13,180.47,183.93,2522883.0
2025-08-06,183.79,183.79,176.47,177.49,1663471.0
2025-08-07,179.83,180.95,176.72,178.95,1031425.0
2025-08-08,178.84,180.4031,177.9,179.86,877748.0
2025-08-11,180.06,181.66,179.1,180.09,1072900.0
2025-08-12,180.5,186.57,179.59,185.91,1488030.0
2025-08-13,186.78,190.81,186.525,190.23,1564821.0
2025-08-14,187.81,189.98,186.76,189.4,946620.0
2025-08-15,191.06,192.3199,190.08,191.09,950700.0
2025-08-18,191.73,193.59,190.3175,192.54,1341039.0
2025-08-19,192.54,196.22,191.735,192.35,1266793.0
2025-08-20,191.92,193.305,190.46,192.04,860784.0
2025-08-21,190.77,190.795,185.11,185.39,1064244.0
2025-08-22,187.25,193.23,186.01,191.15,1619419.0
2025-08-25,190.83,190.83,187.0101,188.02,1056134.0
2025-08-26,188.21,189.67,186.52,187.76,1505905.0
2025-08-27,186.87,188.98,185.38,188.8,1014446.0
2025-08-28,188.53,189.42,186.1,188.73,1161571.0
2025-08-29,188.0,192.13,188.0,190.81,1089394.0
2025-09-02,189.28,189.465,183.47,183.74,1258900.0
2025-09-03,183.355,185.345,181.44,184.62,1194081.0
2025-09-04,183.46,184.71,177.82,184.08,1240386.0
2025-09-05,184.4,188.68,184.3,187.68,1263215.0
2025-09-08,185.65,189.0,183.7,187.68,1329347.0
2025-09-09,191.34,191.855,187.98,189.64,1201446.0
2025-09-10,189.26,190.9,183.1,183.87,1087980.0
2025-09-11,184.61,190.69,184.61,190.69,1378609.0
2025-09-12,188.38,190.28,186.465,187.22,946284.0
2025-09-15,187.4,189.2699,185.48,185.97,1195188.0
2025-09-16,186.16,188.29,184.75,186.81,1005536.0
2025-09-17,186.95,191.71,185.49,186.69,955436.0
2025-09-18,188.01,190.76,186.97,190.2,988588.0
2025-09-19,190.0,190.77,187.17,187.22,2104123.0
2025-09-22,186.19,189.29,185.56,187.83,865200.0
2025-09-23,187.19,189.62,185.9601,186.45,1072335.0
2025-09-24,186.28,187.7723,180.55,181.24,954234.0
2025-09-25,179.53,179.93,176.1643,176.69,1199723.0
