date,open,high,low,close,volume
2025-05-08,78.86,79.88,77.88,79.23,3707465.0
2025-05-09,79.62,80.32,79.0675,79.32,3023781.0
2025-05-12,83.06,84.67,82.68,84.22,7019553.0
2025-05-13,84.5,85.37,84.04,84.5,2783695.0
2025-05-14,84.11,84.55,83.17,83.24,2857556.0
2025-05-15,83.0,83.54,82.67,83.0,2732410.0
2025-05-16,82.91,84.08,82.65,84.01,2206511.0
2025-05-19,82.84,83.95,82.71,83.55,2818377.0
2025-05-20,83.03,83.49,82.58,82.92,2362166.0
2025-05-21,82.02,82.63,81.065,81.19,3765789.0
2025-05-22,80.78,81.78,80.58,81.2,3892705.0
2025-05-23,79.72,80.96,79.46,80.38,3790821.0
2025-05-27,81.61,82.72,80.81,82.59,3025740.0
2025-05-28,82.71,82.97,81.59,81.84,2367344.0
2025-05-29,82.57,82.57,81.44,82.15,2455678.0
2025-05-30,81.73,81.9,80.96,81.64,5060186.0
2025-06-02,81.41,81.59,79.625,81.06,2418441.0
2025-06-03,81.25,82.22,80.81,81.95,1970578.0
2025-06-04,82.43,82.57,81.605,81.88,1762899.0
2025-06-05,82.24,82.27,81.24,81.87,1961214.0
2025-06-06,83.2,83.54,82.85,83.12,2139416.0
2025-06-09,83.7,84.0,83.22,83.46,1689832.0
2025-06-10,83.78,84.9,83.25,84.7,2804075.0
2025-06-11,84.9,84.9,82.885,83.2,2777139.0
2025-06-12,82.3,82.77,81.61,82.52,1820349.0
2025-06-13,81.38,81.93,80.2172,80.5,2209658.0
2025-06-16,81.49,82.29,80.98,81.61,1564091.0
2025-06-17,80.83,81.775,80.42,80.64,1655894.0
2025-06-18,80.98,81.66,80.64,80.79,1778023.0
2025-06-20,81.7,81.73,80.055,80.39,2895976.0
2025-06-23,80.4,82.07,79.74,81.93,1707141.0
2025-06-24,82.65,84.1,82.15,83.69,2657819.0
2025-06-25,83.96,84.16,83.25,83.28,1650265.0
2025-06-26,83.65,85.16,83.33,84.94,1679022.0
2025-06-27,84.89,85.45,83.76,84.27,2878106.0
2025-06-30,83.97,83.97,83.08,83.18,2641708.0
2025-07-01,82.86,86.17,82.58,85.3,2776141.0
2025-07-02,85.46,86.59,85.07,86.55,2594509.0
2025-07-03,87.03,87.43,86.895,86.98,1240577.0
2025-07-07,86.64,87.5221,85.865,86.84,5127205.0
2025-07-08,87.07,87.77,86.73,87.01,2050071.0
2025-07-09,87.82,88.11,87.0495,87.7,1783733.0
2025-07-10,87.85,90.44,87.5,88.69,3712519.0
2025-07-11,87.74,89.155,87.71,89.02,2286806.0
2025-07-14,88.07,88.5,86.74,87.64,2635483.0
2025-07-15,88.12,88.24,86.28,86.3,2182812.0
2025-07-16,86.27,86.52,84.425,86.13,2654313.0
2025-07-17,86.33,87.8323,86.085,87.75,2493942.0
2025-07-18,86.33,87.38,84.69,85.55,4273671.0
2025-07-21,86.38,86.38,83.89,83.89,2569528.0
2025-07-22,83.84,85.52,83.57,85.44,2593417.0
2025-07-23,86.4,87.26,85.76,86.83,2834801.0
2025-07-24,86.32,87.47,86.02,86.89,2749520.0
2025-07-25,87.26,88.36,86.84,88.27,2081241.0
2025-07-28,88.27,88.665,87.65,87.83,1947584.0
2025-07-29,88.33,88.47,86.7,87.07,2309248.0
2025-07-30,87.3,87.5,85.33,85.76,2826176.0
2025-07-31,85.37,86.7,84.41,84.63,4827859.0
2025-08-01,79.2,79.35,73.87,74.98,12246118.0
2025-08-04,75.68,79.03,75.38,78.6,6799292.0
2025-08-05,78.44,78.51,76.75,77.65,4172648.0
2025-08-06,77.61,77.85,76.39,76.48,4007062.0
2025-08-07,77.42,77.43,76.11,76.28,2403477.0
2025-08-08,76.52,76.86,75.69,75.89,1773624.0
2025-08-11,76.21,76.74,75.625,76.45,2539045.0
2025-08-12,77.1,79.24,76.8,78.43,2759902.0
2025-08-13,78.72,80.81,77.89,80.77,3312114.0
2025-08-14,79.88,80.34,79.22,80.2,3142164.0
2025-08-15,80.4,80.435,77.715,78.32,2918000.0
2025-08-18,78.22,79.13,77.81,78.89,2315951.0
2025-08-19,78.86,80.57,78.72,79.84,1754552.0
2025-08-20,79.54,79.61,78.64,79.04,2989487.0
2025-08-21,78.91,79.12,77.27,77.45,1848990.0
2025-08-22,78.45,81.42,77.99,80.63,2184448.0
2025-08-25,80.76,81.0,79.68,79.68,1437581.0
2025-08-26,79.7,81.27,79.42,81.13,4712829.0
2025-08-27,80.84,81.49,80.44,80.64,1693181.0
2025-08-28,80.87,80.87,79.695,80.26,1431322.0
2025-08-29,79.95,80.51,79.06,79.43,1923006.0
2025-09-02,78.6,78.925,77.23,77.94,2228734.0
2025-09-03,77.58,78.105,76.87,77.38,1567308.0
2025-09-04,77.39,79.7,77.15,79.2,2897982.0
2025-09-05,79.93,81.5,79.5225,80.95,3149683.0
2025-09-08,80.95,81.28,79.21,80.38,4536470.0
2025-09-09,80.05,80.53,79.02,79.66,3291690.0
2025-09-10,79.68,81.12,79.37,80.24,2742786.0
2025-09-11,80.05,82.36,79.95,81.02,4317851.0
2025-09-12,80.81,81.3,78.76,78.79,3643373.0
2025-09-15,79.25,80.09,78.45,79.05,3002778.0
2025-09-16,78.94,79.4,77.495,77.7,3499733.0
2025-09-17,78.23,80.2,77.85,79.0,5521243.0
2025-09-18,79.76,81.59,79.345,81.53,4119702.0
2025-09-19,81.77,82.23,80.37,81.61,13597970.0
2025-09-22,80.63,81.93,79.82,81.8,3649811.0
2025-09-23,82.19,82.39,80.76,81.32,4315060.0
2025-09-24,81.07,81.83,80.625,80.91,3747579.0
2025-09-25,80.14,80.74,79.37,80.5,3363370.0
2025-09-26,81.17,82.579,80.38,82.3,3010428.0
2025-09-29,82.92,83.03,81.65,82.55,3073068.0
2025-09-30,82.36,83.0,81.37,82.62,3569780.0
2025-10-01,81.86,83.795,81.63,83.5,3552779.0
2025-10-02,83.47,84.58,82.55,84.18,2870506.0
2025-10-03,83.83,84.6,83.38,83.95,2801626.0
2025-10-06,84.0,84.62,83.36,83.41,3621909.0
2025-10-07,83.8,84.3,80.96,81.35,3699447.0
2025-10-08,81.52,81.88,80.25,80.99,3190099.0
2025-10-09,81.27,81.41,78.26,78.48,2556618.0
2025-10-10,78.94,79.465,75.92,76.1,2238566.0
2025-10-13,76.89,77.79,76.08,76.1,2754568.0
2025-10-14,74.78,77.5899,74.42,77.24,4094642.0
2025-10-15,77.7,78.26,75.98,76.67,2629815.0
2025-10-16,76.97,77.61,74.98,75.81,2549553.0
2025-10-17,74.61,77.33,74.61,77.22,2922996.0
2025-10-20,77.97,78.85,77.795,78.47,1826252.0
2025-10-21,77.78,80.61,77.76,79.56,1848755.0
2025-10-22,79.63,80.57,78.1,78.13,3113962.0
2025-10-23,78.92,80.63,78.5,80.36,1800052.0
2025-10-24,81.19,81.19,79.7,79.78,1724418.0
2025-10-27,80.99,81.3,79.96,80.24,3377261.0
2025-10-28,80.75,80.75,78.44,78.85,3926999.0
2025-10-29,79.32,81.405,78.83,79.7,4414553.0
2025-10-30,79.35,81.08,78.53,78.73,5546571.0
2025-10-31,76.43,79.21,75.0,76.33,6946185.0
2025-11-03,76.0,76.76,74.7,76.0,5060958.0
2025-11-04,75.42,77.62,75.29,77.24,4103248.0
2025-11-05,76.93,79.835,76.93,78.4,4141042.0
2025-11-06,78.44,79.55,77.32,77.68,3060471.0
2025-11-07,76.87,77.89,76.0446,77.5,2576883.0
2025-11-10,77.94,78.11,76.01,77.25,2764840.0
2025-11-11,77.15,77.51,76.595,77.33,2783979.0
2025-11-12,77.56,78.92,77.42,77.71,2856987.0
2025-11-13,77.23,78.22,75.745,76.2,2396859.0
