date,open,high,low,close,volume
2025-05-08,98.08,98.4,96.57,96.74,1416631.0
2025-05-09,96.75,97.38,95.7122,97.07,1049222.0
2025-05-12,100.0,100.0,96.93,97.94,915686.0
2025-05-13,98.34,98.45,96.575,97.38,1173667.0
2025-05-14,96.96,97.23,95.8501,97.14,1764521.0
2025-05-15,97.51,99.83,96.945,99.5,1399459.0
2025-05-16,99.75,100.88,98.9001,100.61,1707101.0
2025-05-19,99.61,101.39,99.2216,101.06,1470590.0
2025-05-20,100.38,100.89,99.77,100.54,1056400.0
2025-05-21,99.71,100.24,96.05,96.12,1627764.0
2025-05-22,96.14,96.35,94.63,95.8,1105913.0
2025-05-23,95.57,96.42,95.1775,96.21,911087.0
2025-05-27,97.27,98.06,96.07,97.31,1466185.0
2025-05-28,97.22,97.87,96.6601,97.29,1058027.0
2025-05-29,98.0,98.895,96.84,97.8,1247023.0
2025-05-30,97.64,98.88,96.89,98.71,4731479.0
2025-06-02,98.19,99.49,96.715,99.47,1477919.0
2025-06-03,99.58,100.25,98.55,99.96,1126225.0
2025-06-04,99.97,101.62,99.3,100.21,1288000.0
2025-06-05,100.49,101.795,99.59,101.28,1491265.0
2025-06-06,102.19,103.8,101.93,102.21,1845713.0
2025-06-09,102.21,102.51,101.025,101.22,1527776.0
2025-06-10,101.2,101.6386,99.91,101.06,1316481.0
2025-06-11,101.3,102.19,100.36,100.98,1058669.0
2025-06-12,101.17,102.75,101.07,102.51,1535143.0
2025-06-13,102.13,102.82,100.9,101.59,979266.0
2025-06-16,101.35,103.15,101.09,102.07,1470484.0
2025-06-17,102.07,103.23,101.64,102.77,1796479.0
2025-06-18,102.67,103.5,102.385,102.65,964888.0
2025-06-20,103.39,103.39,100.94,101.33,2718647.0
2025-06-23,101.14,103.15,100.66,103.05,1013418.0
2025-06-24,103.13,105.57,102.545,105.25,1160868.0
2025-06-25,104.45,104.92,102.27,102.68,1561703.0
2025-06-26,102.55,102.55,96.57,100.91,3192663.0
2025-06-27,101.01,103.25,100.7356,102.3,5715615.0
2025-06-30,102.29,102.65,100.68,102.57,2236826.0
2025-07-01,102.02,103.0,99.635,99.93,2226742.0
2025-07-02,99.79,99.95,98.6,99.61,2025186.0
2025-07-03,100.37,101.69,100.11,100.68,914630.0
2025-07-07,100.5,101.4,99.65,100.32,1329588.0
2025-07-08,100.01,100.19,98.76,99.59,1059576.0
2025-07-09,100.04,100.39,99.21,99.25,1353851.0
2025-07-10,99.39,99.89,98.02,98.96,997843.0
2025-07-11,98.0,98.7219,97.46,97.99,1057394.0
2025-07-14,97.95,98.615,97.48,98.0,896055.0
2025-07-15,98.55,99.18,96.79,97.26,1743187.0
2025-07-16,97.59,98.24,96.33,98.24,1022881.0
2025-07-17,98.11,99.06,97.435,98.69,1097425.0
2025-07-18,98.92,100.25,98.8901,99.67,865525.0
2025-07-21,99.64,100.03,98.3,98.73,1137590.0
2025-07-22,98.73,99.55,98.325,99.3,858047.0
2025-07-23,99.33,99.82,98.65,99.38,646999.0
2025-07-24,99.38,99.59,98.7,98.77,795239.0
2025-07-25,99.14,99.5,97.935,99.34,654692.0
2025-07-28,99.19,99.22,97.63,98.0,783143.0
2025-07-29,98.52,99.47,97.9,99.42,861954.0
2025-07-30,99.15,99.66,97.29,97.95,879210.0
2025-07-31,97.75,98.2,97.135,97.36,1322141.0
2025-08-01,97.2,97.872,93.46,94.13,1500992.0
2025-08-04,94.09,95.23,93.855,94.77,1533740.0
2025-08-05,95.31,96.0,94.24,95.55,1829143.0
2025-08-06,98.05,98.15,89.05,90.04,4971470.0
2025-08-07,90.13,92.01,89.2224,91.83,3068604.0
2025-08-08,92.02,92.8,90.0,90.16,1555657.0
2025-08-11,89.76,90.48,89.1024,89.55,1306807.0
2025-08-12,90.2,92.22,89.8349,92.15,1217520.0
2025-08-13,92.47,94.45,92.375,93.97,1783148.0
2025-08-14,93.27,93.29,90.41,91.4,1508829.0
2025-08-15,91.67,92.14,91.1775,91.49,1159926.0
2025-08-18,91.65,91.75,90.2208,90.74,926091.0
2025-08-19,90.9,91.9581,90.508,91.56,1270252.0
2025-08-20,91.88,92.65,90.91,91.29,1212619.0
2025-08-21,90.84,91.29,89.74,90.55,921894.0
2025-08-22,90.86,95.0,90.86,93.86,1166353.0
2025-08-25,93.85,94.0,91.7601,91.79,999096.0
2025-08-26,91.54,92.53,91.1362,91.43,1109677.0
2025-08-27,91.71,92.35,91.45,91.87,868326.0
2025-08-28,92.5,92.5,91.12,91.97,725306.0
2025-08-29,92.04,92.4321,91.5,92.33,1108781.0
2025-09-02,91.05,91.17,88.7578,89.46,1768671.0
2025-09-03,88.94,90.0,87.8,89.81,2038831.0
2025-09-04,89.91,91.1495,89.645,91.08,1329059.0
2025-09-05,92.27,93.53,91.31,92.18,1071073.0
2025-09-08,91.29,92.5,90.525,92.43,1614586.0
2025-09-09,92.24,96.8,92.12,96.67,1857951.0
2025-09-10,96.56,99.16,96.52,97.43,1874274.0
2025-09-11,97.6,99.14,97.52,98.83,1812233.0
2025-09-12,98.66,99.6,96.68,96.69,1135648.0
