date,open,high,low,close,volume
2025-07-03,398.07,402.2525,395.175,400.28,341174.0
2025-07-07,398.07,401.905,395.0,399.73,786479.0
2025-07-08,400.05,403.955,398.49,399.15,449172.0
2025-07-09,399.35,401.6,391.235,394.44,626121.0
2025-07-10,392.61,394.09,386.75,387.78,809174.0
2025-07-11,385.25,386.055,373.87,374.4,817866.0
2025-07-14,373.5,375.84,370.69,373.28,1095055.0
2025-07-15,374.77,374.9,358.5,359.87,1107847.0
2025-07-16,360.51,363.58,356.7,363.58,1425901.0
2025-07-17,363.35,368.73,352.37,361.41,1045406.0
2025-07-18,361.2,361.2,352.645,355.4,1318630.0
2025-07-21,356.64,357.0,352.29,353.1,952999.0
2025-07-22,354.95,360.4925,353.57,356.52,1169968.0
2025-07-23,358.4,360.02,354.27,357.98,770416.0
2025-07-24,355.0,358.22,353.72,356.14,516634.0
2025-07-25,356.01,359.355,354.24,356.64,753850.0
2025-07-28,356.74,357.3299,352.47,352.47,617919.0
2025-07-29,353.71,353.77,348.64,350.4,865249.0
2025-07-30,350.62,352.075,342.0,343.8,709600.0
2025-07-31,343.25,345.4999,337.4,338.65,897841.0
2025-08-01,334.66,335.835,326.93,328.54,1286153.0
2025-08-04,331.0,337.285,330.04,336.71,1619687.0
2025-08-05,242.485,247.99,231.0,243.93,4541162.0
2025-08-06,244.0,250.5,240.5758,243.71,2574601.0
2025-08-07,246.92,246.92,228.9,229.69,2913771.0
2025-08-08,230.07,233.1,227.1423,229.0,2105657.0
2025-08-11,228.11,235.4,225.78,225.98,2008886.0
2025-08-12,226.12,229.67,223.65,229.39,1585028.0
2025-08-13,230.0,242.69,229.62,242.66,1678205.0
2025-08-14,240.83,244.7,237.81,243.07,1982703.0
2025-08-15,243.26,245.03,238.63,238.69,1615978.0
2025-08-18,239.71,242.2,237.66,238.94,1927044.0
2025-08-19,240.0,248.14,239.65,242.88,1511874.0
2025-08-20,243.18,248.79,242.545,244.2,1301112.0
2025-08-21,243.72,247.385,242.31,244.66,1722805.0
2025-08-22,246.41,252.13,245.04,249.9,1274248.0
2025-08-25,249.5,249.5,241.2,241.47,1209999.0
2025-08-26,241.05,244.23,241.05,243.13,2532946.0
2025-08-27,242.62,246.375,242.47,246.36,1037932.0
2025-08-28,247.24,248.56,245.15,247.73,881784.0
2025-08-29,247.68,251.36,247.055,251.19,920293.0
2025-09-02,248.26,251.07,247.2,250.91,1057605.0
2025-09-03,249.5,250.19,245.06,247.58,986359.0
2025-09-04,246.8,246.8,236.285,236.73,1251115.0
2025-09-05,237.88,246.07,237.47,245.91,1304556.0
2025-09-08,245.76,247.48,239.76,246.26,1420549.0
2025-09-09,244.21,246.6,241.58,246.28,1024864.0
2025-09-10,244.93,245.42,231.33,232.59,1259992.0
2025-09-11,233.84,242.0,233.0,241.12,1381523.0
2025-09-12,244.66,247.84,242.91,247.33,2214246.0
2025-09-15,251.5,253.3,246.59,246.89,2560463.0
2025-09-16,246.235,251.87,244.99,250.88,2021074.0
2025-09-17,251.73,256.6,251.15,253.92,1431025.0
2025-09-18,256.5,257.4899,251.3,253.02,2190570.0
2025-09-19,253.87,257.33,252.5,256.39,4285645.0
2025-09-22,253.96,262.31,253.96,260.13,1762965.0
2025-09-23,260.01,261.8499,255.57,257.98,1482477.0
2025-09-24,258.28,263.42,256.685,262.82,1419820.0
2025-09-25,260.83,263.06,257.17,262.4,1904159.0
2025-09-26,261.86,265.8468,260.92,264.09,1305935.0
2025-09-29,265.62,265.62,260.75,261.19,1260001.0
2025-09-30,260.21,265.0,258.46,262.87,2272175.0
2025-10-01,261.9,264.905,242.26,251.0,2622366.0
2025-10-02,251.44,258.195,250.24,257.23,1240025.0
2025-10-03,257.63,261.84,255.28,257.2,1089706.0
2025-10-06,258.93,260.67,255.0,256.43,1075176.0
2025-10-07,259.28,259.28,245.01,245.27,1403995.0
