date,open,high,low,close,volume
2025-04-24,139.61,146.28,139.16,146.13,1382329.0
2025-04-25,145.04,148.0,145.005,146.92,1049730.0
2025-04-28,146.41,148.625,144.3701,146.37,838861.0
2025-04-29,145.18,147.29,143.7,146.57,627143.0
2025-04-30,143.06,146.86,142.03,146.56,1325723.0
2025-05-01,148.94,151.18,147.49,147.58,966858.0
2025-05-02,150.75,152.1,150.0,150.36,891110.0
2025-05-05,149.11,151.93,149.075,150.22,743249.0
2025-05-06,147.36,150.79,146.88,150.29,1525177.0
2025-05-07,150.54,153.23,148.844,152.72,1090670.0
2025-05-08,154.99,156.0,152.78,154.4,962620.0
2025-05-09,155.21,155.52,153.0557,153.98,498638.0
2025-05-12,159.805,162.575,159.46,161.74,1126286.0
2025-05-13,162.38,169.25,162.295,167.01,1375032.0
2025-05-14,168.29,170.32,166.271,166.86,1189571.0
2025-05-15,165.43,167.15,163.41,166.53,661622.0
2025-05-16,166.21,168.11,165.49,167.79,828313.0
2025-05-19,164.46,168.04,164.21,167.44,842767.0
2025-05-20,169.37,170.9,166.59,167.51,1390409.0
2025-05-21,165.6,168.01,164.08,165.2,764639.0
2025-05-22,164.59,166.91,164.5462,165.1,801456.0
2025-05-23,161.89,166.075,161.52,165.38,595617.0
2025-05-27,167.7,170.12,166.7,169.17,861548.0
2025-05-28,169.17,169.7566,167.445,167.74,801928.0
2025-05-29,169.45,169.97,166.1595,168.55,971181.0
2025-05-30,167.6,168.47,165.385,168.01,1843473.0
2025-06-02,167.3,168.2,164.6861,168.02,840665.0
2025-06-03,168.0,173.16,167.87,172.99,1225396.0
2025-06-04,173.59,174.4308,171.71,171.97,951983.0
2025-06-05,173.07,174.67,171.655,172.64,912598.0
2025-06-06,174.82,177.0,174.0,176.62,1182941.0
2025-06-09,178.0,179.37,177.02,177.38,1004353.0
2025-06-10,180.0,180.11,175.07,178.04,1959058.0
2025-06-11,177.48,178.96,176.1875,178.43,1429083.0
2025-06-12,176.93,180.16,176.93,179.08,1120605.0
2025-06-13,176.8,178.78,175.08,175.84,1224933.0
2025-06-16,178.25,182.135,177.18,180.82,2269669.0
2025-06-17,185.19,203.9,185.0,196.89,6196249.0
2025-06-18,199.76,207.095,198.2101,204.66,3556320.0
2025-06-20,205.1,208.685,203.34,206.2,3051946.0
2025-06-23,204.08,208.48,202.3,208.35,1644819.0
2025-06-24,210.0,212.065,208.67,211.95,1777391.0
2025-06-25,212.845,215.9699,212.375,214.66,1701417.0
2025-06-26,215.94,218.1999,214.75,215.31,1831070.0
2025-06-27,215.61,218.34,214.51,217.37,3320155.0
2025-06-30,218.0,219.0,214.79,218.1,1713124.0
2025-07-01,218.01,219.0,214.19,216.14,1906205.0
2025-07-02,216.97,222.2,216.01,221.89,1658433.0
2025-07-03,222.74,227.54,222.55,226.01,1129028.0
2025-07-07,225.0,227.465,223.383,225.41,1084067.0
2025-07-08,227.5,227.5,219.7154,221.86,1672097.0
2025-07-09,223.37,223.71,220.045,221.26,1398849.0
2025-07-10,221.23,223.34,219.2,220.96,1196742.0
2025-07-11,220.68,222.67,218.48,222.02,865671.0
2025-07-14,220.96,222.052,219.0,220.52,943160.0
2025-07-15,222.11,222.7989,217.4,218.78,1356748.0
2025-07-16,218.53,218.7689,214.5,218.29,1272569.0
2025-07-17,218.27,222.98,217.625,222.23,1462308.0
2025-07-18,224.51,226.4599,222.88,223.98,1280131.0
2025-07-21,224.0,225.98,221.54,223.2,1085296.0
2025-07-22,222.8,223.34,216.6849,220.84,1252275.0
2025-07-23,221.99,229.16,221.75,229.15,1281858.0
2025-07-24,226.21,226.91,212.3,218.41,1934707.0
2025-07-25,219.28,223.34,219.28,222.55,854415.0
2025-07-28,221.96,224.8,220.06,224.79,828706.0
2025-07-29,228.0,232.84,227.63,230.38,1791631.0
2025-07-30,230.0,231.92,225.139,226.42,1151176.0
2025-07-31,227.87,228.05,221.03,223.17,1203986.0
2025-08-01,218.65,221.82,214.0,218.56,1370899.0
2025-08-04,221.2,222.36,218.34,222.29,1058450.0
2025-08-05,224.1,225.77,217.97,219.61,930930.0
2025-08-06,219.63,221.325,217.01,220.68,1290928.0
2025-08-07,222.53,222.835,218.39,220.49,1350733.0
2025-08-08,222.67,227.06,221.58,224.34,1315389.0
2025-08-11,224.46,227.44,222.04,222.67,842292.0
2025-08-12,224.54,230.495,223.98,230.31,1135341.0
2025-08-13,230.93,232.4199,216.02,219.08,1843153.0
2025-08-14,217.29,219.375,214.29,217.4,1654148.0
2025-08-15,216.48,216.55,211.7263,215.33,1272609.0
2025-08-18,214.37,216.45,213.71,215.66,1477171.0
2025-08-19,211.6,212.11,204.79,206.1,2051570.0
2025-08-20,205.12,205.31,199.61,204.05,1515968.0
2025-08-21,204.69,206.6,203.895,205.06,1049028.0
2025-08-22,205.67,210.32,204.76,209.84,1033601.0
2025-08-25,210.23,212.3978,208.69,208.84,1167339.0
2025-08-26,209.5,210.05,205.81,208.37,2141888.0
2025-08-27,208.06,208.56,205.9,207.9,1125109.0
2025-08-28,208.75,211.22,208.37,209.87,1352336.0
2025-08-29,209.23,210.69,202.955,204.83,1645256.0
2025-09-02,199.76,202.15,196.93,202.08,2109292.0
2025-09-03,203.65,203.65,201.02,203.2,1117642.0
2025-09-04,204.1,208.825,201.86,207.97,1121465.0
2025-09-05,208.23,212.58,206.0,210.1,1116964.0
2025-09-08,211.06,212.18,207.805,209.17,1078430.0
2025-09-09,208.86,209.78,206.57,209.22,781785.0
2025-09-10,209.38,216.05,209.35,215.72,1439386.0
2025-09-11,216.36,217.15,213.78,214.28,863274.0
2025-09-12,213.39,215.304,212.805,214.06,966309.0
2025-09-15,214.38,219.81,213.385,216.06,1263168.0
2025-09-16,215.74,216.46,210.87,213.33,1306484.0
2025-09-17,212.94,214.0,208.4101,213.64,1289119.0
2025-09-18,216.82,226.49,216.615,223.29,2748603.0
2025-09-19,223.12,224.74,219.8585,224.34,2883859.0
2025-09-22,224.42,233.815,224.42,233.23,2267793.0
2025-09-23,234.11,237.14,232.44,234.45,2054242.0
2025-09-24,235.0,235.0,224.3753,225.28,2581375.0
2025-09-25,206.71,213.2189,203.5499,210.2,3241726.0
2025-09-26,213.56,217.12,211.45,215.84,1735121.0
2025-09-29,218.5,220.53,212.5262,214.51,1638616.0
2025-09-30,215.04,218.95,213.42,217.17,1212468.0
2025-10-01,214.54,216.65,210.9,214.84,1512506.0
2025-10-02,217.13,219.0,213.75,215.69,1326677.0
2025-10-03,216.0,217.15,201.645,202.08,2050301.0
2025-10-06,207.69,208.535,202.19,202.2,1480220.0
2025-10-07,204.87,205.8799,199.5,202.62,1241261.0
2025-10-08,204.04,207.1,203.0,206.53,860628.0
2025-10-09,206.71,207.41,203.0,204.71,942485.0
2025-10-10,205.83,205.83,193.84,193.99,1408437.0
2025-10-13,199.5,200.9497,197.8,199.9,1145386.0
2025-10-14,196.73,202.45,195.0,200.59,939423.0
2025-10-15,203.8,208.07,202.79,206.88,1032255.0
2025-10-16,210.03,210.82,206.44,209.74,1188466.0
2025-10-17,207.52,210.005,205.86,209.34,1033612.0
2025-10-20,210.4,210.91,201.09,204.02,1181917.0
2025-10-21,203.36,204.085,200.72,201.12,1134701.0
2025-10-22,201.72,202.0,194.75,198.75,1764053.0
2025-10-23,200.39,207.2,199.54,206.57,1161138.0
2025-10-24,210.0,215.415,209.81,212.44,1472966.0
2025-10-27,214.6,216.2,208.6525,211.23,943573.0
2025-10-28,213.2,216.09,210.46,214.52,1275177.0
2025-10-29,212.71,226.8299,212.23,222.32,1540709.0
2025-10-30,220.89,228.9,219.0901,221.47,911494.0
2025-10-31,223.16,229.23,219.99,220.89,1115184.0
2025-11-03,222.4,224.27,217.69,220.31,1521469.0
2025-11-04,214.29,216.045,208.99,209.22,1260861.0
2025-11-05,209.96,219.1,209.705,218.15,932499.0
2025-11-06,218.56,220.55,212.645,215.06,944694.0
2025-11-07,212.41,214.76,205.93,213.71,1075700.0
2025-11-10,218.74,221.98,216.325,219.26,1019522.0
2025-11-11,216.96,217.32,210.01,211.09,819914.0
2025-11-12,210.88,216.325,210.12,213.93,884909.0
2025-11-13,212.12,213.5575,199.87,201.82,1329790.0
2025-11-14,197.67,204.3919,196.4,201.87,926785.0
2025-11-17,200.77,203.18,197.62,200.46,1226687.0
2025-11-18,197.42,201.05,195.97,198.88,940883.0
2025-11-19,198.35,204.89,198.0,200.09,800339.0
2025-11-20,205.0,206.56,191.17,192.49,1526613.0
