date,open,high,low,close,volume
2025-05-07,34.42,34.42,33.82,34.04,11804366.0
2025-05-08,34.12,34.31,34.0,34.14,8249032.0
2025-05-09,34.05,34.12,33.51,33.54,10315669.0
2025-05-12,33.7,33.8699,33.15,33.51,12199955.0
2025-05-13,33.53,33.76,33.06,33.08,11835493.0
2025-05-14,33.0,33.01,32.425,32.72,10418721.0
2025-05-15,32.89,33.57,32.85,33.54,8322048.0
2025-05-16,33.54,33.83,33.45,33.82,8741849.0
2025-05-19,33.81,33.94,33.74,33.83,8217101.0
2025-05-20,33.81,33.94,33.76,33.87,7344823.0
2025-05-21,33.94,33.96,33.43,33.59,8959946.0
2025-05-22,33.53,33.71,32.97,33.01,8868703.0
2025-05-23,32.95,33.06,32.67,32.92,8765497.0
2025-05-27,33.11,33.15,32.75,32.87,11803632.0
2025-05-28,32.88,33.05,32.63,32.73,7292134.0
2025-05-29,32.8,33.5,32.66,33.45,12300972.0
2025-05-30,33.55,33.82,33.33,33.67,18639227.0
2025-06-02,33.44,33.54,32.74,33.25,12124231.0
2025-06-03,33.05,33.15,32.69,32.82,14761773.0
2025-06-04,32.82,33.22,32.71,32.8,11215955.0
2025-06-05,32.74,32.88,32.485,32.56,10097581.0
2025-06-06,32.68,32.85,32.56,32.77,8121297.0
2025-06-09,32.72,33.02,32.64,32.97,8992948.0
2025-06-10,32.97,33.3,32.77,32.95,8909513.0
2025-06-11,32.88,32.92,32.485,32.86,11661953.0
2025-06-12,32.86,33.15,32.675,33.14,8522661.0
2025-06-13,33.01,33.39,32.95,33.02,8612794.0
2025-06-16,33.11,33.455,32.835,33.1,8379517.0
2025-06-17,33.02,33.18,32.75,32.87,9893689.0
2025-06-18,32.89,33.28,32.8,33.21,8033167.0
2025-06-20,33.48,33.9,33.22,33.58,17753854.0
2025-06-23,33.68,33.68,32.9,33.26,9095064.0
2025-06-24,33.211,33.62,33.17,33.55,9916334.0
2025-06-25,33.525,33.57,32.895,32.98,9680418.0
2025-06-26,33.08,33.2,32.975,33.04,9079754.0
2025-06-27,32.84,33.035,32.6,32.85,10275977.0
2025-06-30,32.86,33.16,32.81,33.06,11541617.0
2025-07-01,33.09,34.06,32.98,33.57,12070007.0
2025-07-02,33.63,33.93,33.47,33.84,8502055.0
2025-07-03,33.765,33.92,33.68,33.79,5376466.0
2025-07-07,33.79,33.97,33.575,33.78,12705975.0
2025-07-08,33.72,34.135,33.53,34.03,10801206.0
2025-07-09,34.07,34.075,33.185,33.65,13571851.0
2025-07-10,33.54,33.7388,33.025,33.65,13439769.0
2025-07-11,33.5,33.65,33.2685,33.49,7878132.0
2025-07-14,33.48,33.48,33.05,33.26,8447325.0
2025-07-15,33.28,33.31,32.71,32.74,10901074.0
2025-07-16,32.76,33.255,32.7,33.21,8831205.0
2025-07-17,33.22,33.92,33.12,33.89,7942689.0
2025-07-18,33.95,34.1,33.515,33.54,7623961.0
2025-07-21,33.625,33.675,33.215,33.32,10604783.0
2025-07-22,33.34,33.9,33.22,33.78,9814680.0
2025-07-23,33.75,33.84,33.375,33.5,13512025.0
2025-07-24,34.02,34.19,33.0,33.57,17779765.0
2025-07-25,33.45,33.49,33.08,33.27,9825506.0
2025-07-28,33.1,33.52,32.915,32.97,10470712.0
2025-07-29,33.055,33.965,32.895,33.85,10893365.0
2025-07-30,33.89,34.43,33.72,33.82,11221713.0
2025-07-31,33.48,33.6099,32.55,32.65,11679943.0
2025-08-01,32.88,33.48,32.79,33.32,11688104.0
2025-08-04,33.25,33.445,32.92,33.28,9301662.0
2025-08-05,33.29,33.805,33.28,33.32,9631656.0
2025-08-06,33.375,33.635,33.08,33.41,8084709.0
2025-08-07,33.58,34.02,33.435,33.9,6568189.0
2025-08-08,33.9,34.44,33.9,34.42,6662971.0
2025-08-11,34.45,34.85,34.325,34.62,9194246.0
2025-08-12,34.68,34.84,34.5237,34.81,7706294.0
2025-08-13,34.82,34.99,34.59,34.82,7758898.0
2025-08-14,34.76,34.8,34.52,34.63,5871934.0
2025-08-15,34.73,34.82,34.495,34.78,6248272.0
2025-08-18,34.78,35.0,34.6101,34.65,6266213.0
2025-08-19,34.77,35.2,34.67,35.18,5824500.0
2025-08-20,35.35,35.935,35.145,35.18,9400770.0
2025-08-21,34.985,35.39,34.97,35.2,6090682.0
2025-08-22,35.37,35.59,35.06,35.135,5121717.0
2025-08-25,32.45,32.66,31.0,31.1,42830100.0
2025-08-26,30.995,30.995,28.93,28.95,63338135.0
2025-08-27,29.0,29.78,28.7,29.72,41485206.0
2025-08-28,29.78,29.82,29.215,29.29,21962899.0
2025-08-29,29.3,29.74,29.055,29.09,22202996.0
2025-09-02,29.08,29.16,28.6,28.91,29183799.0
2025-09-03,28.73,29.21,28.585,29.09,37011415.0
2025-09-04,29.2,29.39,28.7,29.25,34412581.0
2025-09-05,29.25,29.365,28.61,28.65,21098423.0
2025-09-08,28.59,28.63,27.235,27.63,34840230.0
2025-09-09,27.64,27.855,27.46,27.61,19003576.0
2025-09-10,27.46,27.4799,27.101,27.44,19227902.0
2025-09-11,27.4,27.79,27.33,27.59,15495855.0
2025-09-12,27.56,27.5899,27.015,27.23,15138142.0
2025-09-15,27.34,27.4,26.69,26.75,32401614.0
2025-09-16,26.74,27.0854,26.58,26.96,20150027.0
2025-09-17,27.02,27.465,26.96,27.26,23760562.0
2025-09-18,27.135,27.45,27.08,27.2,12364670.0
2025-09-19,27.3,27.31,27.05,27.11,26591161.0
2025-09-22,26.75,26.79,25.92,25.95,23838590.0
2025-09-23,26.1,26.62,26.04,26.5,19629369.0
2025-09-24,26.2,26.55,26.13,26.25,17915603.0
2025-09-25,26.39,26.48,25.6701,25.75,20503134.0
2025-09-26,25.64,25.72,25.4,25.5,20317593.0
2025-09-29,25.6,25.7,25.345,25.67,17747280.0
2025-09-30,25.65,25.725,25.415,25.51,17966896.0
2025-10-01,25.59,25.865,25.56,25.6,15747484.0
2025-10-02,25.56,25.755,25.27,25.74,12965441.0
2025-10-03,25.7,25.985,25.67,25.84,10325854.0
2025-10-06,25.8,25.825,25.19,25.3,23707282.0
2025-10-07,25.275,25.5,25.03,25.33,15276686.0
2025-10-08,25.29,25.595,25.11,25.58,13028662.0
2025-10-09,25.67,26.01,25.48,25.85,19416177.0
2025-10-10,25.92,26.03,25.71,25.82,11763190.0
2025-10-13,25.765,27.29,25.525,26.42,32613304.0
2025-10-14,26.3,26.74,26.095,26.69,17088397.0
2025-10-15,26.63,26.98,26.52,26.93,12270140.0
2025-10-16,27.06,27.78,27.03,27.72,28932471.0
2025-10-17,27.75,28.125,27.5,28.03,23230597.0
2025-10-20,27.99,28.165,27.73,27.75,11046562.0
2025-10-21,27.84,27.98,27.64,27.67,10676918.0
2025-10-22,27.73,28.1,27.365,27.39,15831046.0
2025-10-23,27.51,27.665,27.38,27.55,12124751.0
2025-10-24,27.61,27.73,27.155,27.16,10217640.0
2025-10-27,29.75,30.005,28.38,29.23,53680816.0
2025-10-28,29.02,29.1,28.36,28.85,26860680.0
2025-10-29,28.525,28.66,27.09,27.15,29978752.0
2025-10-30,27.32,27.89,27.24,27.68,21264101.0
2025-10-31,27.5,27.5,26.8339,27.16,22073412.0
2025-11-03,27.1,27.1,26.54,26.64,19617028.0
2025-11-04,26.86,26.9035,26.4,26.46,16092073.0
2025-11-05,26.45,26.81,26.33,26.72,12807283.0
2025-11-06,26.54,26.62,26.215,26.36,12916765.0
2025-11-07,26.6,26.67,25.875,25.96,19727507.0
2025-11-10,26.0,26.195,25.85,26.12,22572280.0
2025-11-11,26.18,26.93,26.18,26.73,17000849.0
2025-11-12,26.88,27.297,26.78,26.9,11843661.0
2025-11-13,26.88,27.16,26.785,27.0,25615012.0
2025-11-14,27.11,27.33,26.825,27.13,18295463.0
2025-11-17,27.21,27.41,26.885,26.96,23188271.0
2025-11-18,27.02,27.48,26.8725,27.42,12137010.0
2025-11-19,27.29,27.36,26.7325,26.89,8917809.0
2025-11-20,26.86,27.31,26.84,27.21,14598027.0
2025-11-21,27.31,27.93,27.3,27.74,15256181.0
2025-11-24,27.63,27.68,27.15,27.36,19631748.0
2025-11-25,27.395,27.43,26.77,27.05,19179675.0
2025-11-26,27.025,27.69,26.9547,27.68,11864174.0
2025-11-28,27.68,27.96,27.63,27.9,6348288.0
2025-12-01,27.84,28.2,27.77,28.17,12673415.0
2025-12-02,28.11,28.21,27.79,28.13,11618387.0
2025-12-03,28.15,28.435,27.99,28.33,16777877.0
2025-12-04,28.24,28.61,28.2,28.58,15526619.0
2025-12-05,28.57,28.755,28.26,28.69,15669739.0
2025-12-08,28.56,29.115,28.555,29.0,15805835.0
2025-12-09,29.06,29.9,28.77,29.06,21258750.0
2025-12-10,29.07,29.605,29.07,29.53,18699577.0
2025-12-11,29.56,29.71,29.39,29.47,14532687.0
2025-12-12,29.57,29.665,29.2111,29.51,16504957.0
2025-12-15,29.355,29.48,28.755,29.23,23521261.0
2025-12-16,29.34,29.47,28.43,28.59,19314231.0
2025-12-17,28.5,28.73,28.015,28.05,15742441.0
2025-12-18,28.02,28.4,27.9585,28.1,16502206.0
2025-12-19,28.1,28.13,27.82,27.89,27700335.0
2025-12-22,27.86,28.375,27.74,28.24,10752780.0
2025-12-23,28.24,28.24,27.86,27.9,9156609.0
2025-12-24,27.87,28.05,27.84,28.0,4319805.0
2025-12-26,27.97,28.11,27.9,28.1,5889677.0
2025-12-29,28.12,28.4,28.05,28.16,6962746.0
2025-12-30,28.11,28.25,28.08,28.15,5929331.0
2025-12-31,28.1,28.245,28.0,28.01,5834947.0
2026-01-02,27.82,27.965,27.69,27.73,9152774.0
2026-01-05,27.64,27.7,27.05,27.32,12995499.0
2026-01-06,27.23,27.48,26.97,27.34,9694942.0
2026-01-07,27.36,27.49,27.085,27.25,9319788.0
2026-01-08,27.17,27.86,27.135,27.61,7437117.0
2026-01-09,27.52,28.01,27.47,27.79,6849442.0
2026-01-12,27.68,27.975,27.54,27.7,10714663.0
2026-01-13,27.66,27.97,27.48,27.72,8231506.0
2026-01-14,27.75,28.355,27.68,28.12,11545843.0
2026-01-15,28.1,28.22,27.865,27.9,9984464.0
2026-01-16,27.915,27.93,27.315,27.41,17315113.0
2026-01-20,27.26,28.12,27.08,27.95,16865718.0
2026-01-21,27.875,28.08,27.39,27.7,10055727.0
2026-01-22,27.667,27.72,27.325,27.55,12133725.0
2026-01-23,27.57,27.85,27.46,27.76,9761463.0
2026-01-26,27.74,27.775,27.48,27.7,7923478.0
2026-01-27,27.59,27.64,27.21,27.59,9154781.0
2026-01-28,27.54,27.755,26.4,26.71,12373147.0
2026-01-29,26.768,27.02,26.635,26.82,12411720.0
2026-01-30,26.82,27.53,26.77,27.44,11489487.0
2026-02-02,27.42,27.59,27.23,27.47,8480948.0
2026-02-03,27.285,28.195,27.2,27.97,9026551.0
2026-02-04,28.23,28.6,28.13,28.45,10145299.0
2026-02-05,28.66,28.7,27.855,28.01,9705466.0
2026-02-06,27.99,28.44,27.9206,28.41,7810353.0
2026-02-09,28.33,28.54,27.85,28.51,12900136.0
2026-02-10,28.4,28.825,28.3,28.71,13807395.0
2026-02-11,28.7,29.945,28.6489,29.89,14315905.0
2026-02-12,29.705,30.1451,29.705,29.91,10041192.0
2026-02-13,29.86,30.095,29.355,29.69,9094735.0
2026-02-17,29.75,29.91,28.88,29.13,10660266.0
2026-02-18,29.13,29.395,28.844,29.14,6377878.0
2026-02-19,29.135,29.22,28.845,29.1,7446554.0
2026-02-20,29.15,29.58,29.0,29.54,6802930.0
2026-02-23,29.54,30.08,29.41,29.77,12729416.404827
2026-02-24,30.68,31.5,30.3214,31.03,19243619.13444
2026-02-25,30.99,31.12,29.96,30.15,15931376.756213
2026-02-26,30.34,30.725,30.05,30.33,15557964.068161
2026-02-27,30.32,30.64,30.2074,30.28,13256805.466995
2026-03-02,30.16,30.35,29.94,29.97,8463809.71823
2026-03-03,29.95,30.095,29.55,29.57,8075063.001802
2026-03-04,29.63,29.63,28.84,28.87,9101744.842289
2026-03-05,28.71,28.765,28.02,28.05,12280992.242494
2026-03-06,27.927,28.33,27.715,28.25,7853958.994465
2026-03-09,28.11,28.24,27.475,28.19,10723742.948624
2026-03-10,28.0,28.325,27.845,28.04,7821504.265111
2026-03-11,28.02,28.08,27.325,27.65,8803659.510549
2026-03-12,27.45,27.64,26.92,26.93,10743639.911324
2026-03-13,27.15,27.46,27.04,27.41,9508227.593611
2026-03-16,27.62,28.02,27.51,27.55,10204887.012831
2026-03-17,27.78,27.8,27.46,27.57,7220651.315965
2026-03-18,27.23,27.31,26.84,27.07,11588011.681991
2026-03-19,27.1,27.495,27.04,27.15,10211922.34804
2026-03-20,27.18,27.28,26.56,26.59,18317095.159394
2026-03-23,26.94,26.94,26.19,26.55,11704959.717857
2026-03-24,26.43,26.79,26.135,26.21,8879339.633112
2026-03-25,26.32,26.48,26.0,26.37,9108262.668141
2026-03-26,26.435,26.675,26.19,26.27,9865787.17868
2026-03-27,26.07,26.565,26.0,26.23,10148155.944799
2026-03-30,26.28,26.7,25.99,26.45,11534918.350703
2026-03-31,26.59,26.6,25.84,26.33,9131226.816397
2026-04-01,25.97,26.21,25.525,25.69,11980080.819419
2026-04-02,25.73,25.73,25.11,25.31,10579533.249438
2026-04-06,25.17,25.75,24.875,25.7,10558800.144021
2026-04-07,25.7,25.76,25.295,25.47,8055710.403098
2026-04-08,25.6,25.95,25.56,25.84,8623744.53485
2026-04-09,25.6,26.55,25.6,26.42,9151476.372646
2026-04-10,26.46,26.58,26.16,26.57,11870825.680753
2026-04-13,26.53,26.53,25.69,26.04,13259177.664719
2026-04-14,25.81,26.18,25.56,26.02,11505900.712108
2026-04-15,25.87,26.175,25.56,26.0,9802745.686196
2026-04-16,25.935,26.35,25.835,26.04,10868881.359119
2026-04-17,26.04,26.625,26.0,26.53,11331299.668037
2026-04-20,26.53,26.81,26.38,26.5,9917067.446944
2026-04-21,26.46,26.735,26.21,26.44,16324636.553243
2026-04-22,26.65,26.96,26.425,26.54,14321621.220249
2026-04-23,27.29,28.745,27.12,28.53,20269875.763438
2026-04-24,28.53,29.28,28.3,29.22,15054079.736306
2026-04-27,29.045,29.19,28.0,28.15,20865868.283708
2026-04-28,28.635,29.285,28.465,28.79,13133886.642016
2026-04-29,28.735,28.9999,28.56,28.93,15313898.173277
2026-04-30,28.965,29.575,28.965,29.4,10522145.151163
2026-05-01,29.53,29.5688,28.7609,29.09,7140272.822271
2026-05-04,28.97,29.325,28.585,28.87,7954162.159354
2026-05-05,28.8,29.27,28.435,28.92,8820145.639718
2026-05-06,28.805,29.135,28.28,28.56,11812571.982886
2026-05-07,28.44,28.715,27.84,28.52,9434530.316959
2026-05-08,28.52,29.17,28.46,28.83,9205772.783609
2026-05-11,28.83,29.0,28.545,28.71,9720966.903777
2026-05-12,28.93,29.45,28.735,29.17,9260281.780783
2026-05-13,29.13,29.675,29.0,29.31,8361133.597957
2026-05-14,29.45,29.5,28.905,29.1,7724969.862935
2026-05-15,29.33,29.33,28.77,28.93,8004809.759498
2026-05-18,29.02,29.5,28.945,29.43,8734920.453426
2026-05-19,29.49,29.665,28.81,28.85,12356571.382769
2026-05-20,28.86,28.98,28.535,28.69,15343074.069993
2026-05-21,28.75,28.905,28.275,28.78,9058246.250331
2026-05-22,28.72,29.28,28.66,29.12,5933210.473795
2026-05-26,29.01,30.215,29.01,29.55,14386311.643406
2026-05-27,29.75,30.535,29.57,30.1,9953075.498549
2026-05-28,29.95,30.23,29.77,30.04,9147352.897198
2026-05-29,29.985,30.29,29.735,30.03,18202772.178107
2026-06-01,29.805,30.33,29.67,30.2,10422881.88972
2026-06-02,30.21,30.52,29.915,30.36,10208107.580341
2026-06-03,30.3,31.04,30.19,30.55,12286704.895113
2026-06-04,30.875,30.915,29.995,30.06,9879054.222363
2026-06-05,30.38,30.94,30.205,30.53,9765837.053491
2026-06-08,30.53,30.935,30.53,30.75,8836178.512332
2026-06-09,30.86,31.6,30.75,31.48,11269231.129096
2026-06-10,31.73,32.275,31.53,31.7,15349624.681817
2026-06-11,31.415,31.6,31.0201,31.23,28691094.907225
2026-06-12,31.07,31.73,31.07,31.71,13012074.130675
2026-06-15,31.6,31.84,31.29,31.77,15744952.999546
2026-06-16,31.79,32.31,31.75,32.0,12383416.884419
2026-06-17,31.86,32.23,30.845,30.89,17007077.229632
2026-06-18,31.13,31.24,30.625,30.76,21600724.418616
2026-06-22,30.8,31.225,30.6,30.87,12470087.708937
2026-06-23,30.87,31.188,29.83,30.87,18323493.704327
2026-06-24,31.125,31.76,30.985,31.4,16212901.905459
2026-06-25,31.82,32.58,31.715,32.52,20092723.305642
2026-06-26,32.67,33.66,32.61,33.4,54796448.959536
2026-06-29,33.46,33.82,33.125,33.5,16022675.452974
2026-06-30,33.4,33.67,32.6201,32.73,13692800.922878
2026-07-01,33.19,33.615,33.155,33.37,17819959.726256
2026-07-02,33.37,33.795,32.905,33.3,16307886.404962
2026-07-06,33.03,33.205,31.7,31.75,25211444.894371
2026-07-07,32.25,32.6,31.23,31.49,14300941.055893
2026-07-08,31.5,31.57,30.78,30.97,11431438.559058
2026-07-09,30.9,30.97,30.365,30.72,15210865.923818
2026-07-10,30.61,31.7,30.59,31.67,7968641.15105
2026-07-13,31.53,32.045,31.155,31.25,12312364.609402
2026-07-14,31.25,31.42,30.26,30.26,14469769.86798
2026-07-15,30.22,30.645,29.982,30.28,13510680.722706
2026-07-16,30.45,31.575,30.39,31.38,11395940.744247
2026-07-17,31.66,31.87,30.7,30.91,10864316.736145
