date,open,high,low,close,volume
2025-04-24,14.5,14.925,14.425,14.87,8822722.0
2025-04-25,14.7,14.87,14.63,14.72,8052212.0
2025-04-28,14.74,14.94,14.74,14.87,10593981.0
2025-04-29,14.78,15.04,14.65,14.94,9756725.0
2025-04-30,14.625,14.88,14.44,14.84,9494725.0
2025-05-01,14.82,15.115,14.72,14.99,9889026.0
2025-05-02,15.29,15.55,15.14,15.49,12415293.0
2025-05-05,15.33,15.79,15.29,15.56,12782675.0
2025-05-06,15.36,15.49,15.27,15.3,9606233.0
2025-05-07,15.39,15.475,15.1601,15.23,11611433.0
2025-05-08,15.405,15.68,15.405,15.57,10822934.0
2025-05-09,15.64,15.64,15.39,15.49,12402675.0
2025-05-12,16.29,16.615,16.19,16.46,15649613.0
2025-05-13,16.56,16.67,16.4313,16.62,12244301.0
2025-05-14,16.6,16.67,16.52,16.59,11046815.0
2025-05-15,16.5,16.6,16.37,16.48,9587473.0
2025-05-16,16.505,16.71,16.34,16.63,14471001.0
2025-05-19,16.46,16.595,16.41,16.49,10158228.0
2025-05-20,16.43,16.535,16.265,16.29,10538706.0
2025-05-21,16.09,16.135,15.59,15.61,9809311.0
2025-05-22,15.57,15.8,15.485,15.69,11195104.0
2025-05-23,15.28,15.73,15.28,15.65,10025724.0
2025-05-27,15.75,15.77,15.445,15.76,12085175.0
2025-05-28,15.77,16.08,15.59,15.76,21884543.0
2025-05-29,15.87,15.96,15.73,15.95,15588915.0
2025-05-30,15.82,15.9,15.65,15.86,16412851.0
2025-06-02,15.79,15.86,15.465,15.8,10950410.0
2025-06-03,15.81,16.12,15.65,16.03,10399917.0
2025-06-04,16.04,16.13,15.88,15.9,9923020.0
2025-06-05,15.89,16.01,15.73,15.9,10979665.0
2025-06-06,16.23,16.35,16.095,16.33,8924086.0
2025-06-09,16.44,16.51,16.27,16.28,9965551.0
2025-06-10,16.3,16.43,16.23,16.35,9962741.0
2025-06-11,16.5,16.5,16.16,16.23,15996661.0
2025-06-12,16.12,16.17,15.88,16.11,10316323.0
2025-06-13,15.86,15.91,15.585,15.65,13459307.0
2025-06-16,15.9,16.095,15.8,15.93,10764207.0
2025-06-17,15.83,15.935,15.66,15.73,13936117.0
2025-06-18,15.71,16.15,15.68,16.01,14236673.0
2025-06-20,16.09,16.2,16.03,16.16,14385482.0
2025-06-23,16.01,16.51,16.01,16.49,12262084.0
2025-06-24,16.65,16.89,16.615,16.75,17234463.0
2025-06-25,16.73,16.82,16.615,16.77,11935677.0
2025-06-26,16.86,17.21,16.82,17.15,12325147.0
2025-06-27,17.16,17.31,17.06,17.22,21123186.0
2025-06-30,17.36,17.5,17.3,17.42,24094997.0
2025-07-01,17.39,17.97,17.335,17.87,18865010.0
2025-07-02,17.84,18.23,17.785,18.2,18038013.0
2025-07-03,18.37,18.55,18.21,18.46,13695000.0
2025-07-07,18.305,18.55,18.09,18.29,18626175.0
2025-07-08,18.69,18.69,18.3815,18.48,24580619.0
2025-07-09,18.56,18.73,18.39,18.46,16825555.0
2025-07-10,18.39,18.635,18.39,18.49,15976011.0
2025-07-11,18.315,18.43,18.18,18.33,14371457.0
2025-07-14,18.32,18.3899,18.17,18.36,17225538.0
2025-07-15,18.24,18.41,17.86,17.89,24816507.0
2025-07-16,17.97,18.07,17.64,17.97,24751336.0
2025-07-17,17.89,18.43,17.85,18.37,27655881.0
2025-07-18,18.45,18.58,18.34,18.5,33688093.0
2025-07-21,18.46,18.61,18.28,18.28,32000890.0
2025-07-22,18.5,18.81,18.155,18.71,40652150.0
2025-07-23,18.81,18.905,18.61,18.8,44310779.0
2025-07-24,18.8,18.8,18.46,18.5,37471035.0
2025-07-25,18.5,18.61,18.2299,18.57,39231161.0
2025-07-28,18.57,18.63,18.32,18.44,32397994.0
2025-07-29,18.59,18.625,18.28,18.39,34808627.0
2025-07-30,18.415,18.53,18.025,18.16,43720231.0
2025-07-31,18.11,18.215,17.88,17.92,47085677.0
2025-08-01,17.55,17.73,17.1801,17.65,52086188.0
2025-08-04,17.7,17.88,17.625,17.83,34804355.0
2025-08-05,17.9,17.92,17.46,17.81,37531755.0
2025-08-06,17.89,17.89,17.47,17.49,32012443.0
2025-08-07,17.71,17.71,17.33,17.41,20231661.0
2025-08-08,17.56,17.65,17.385,17.61,16691191.0
2025-08-11,17.63,17.705,17.34,17.37,17423736.0
2025-08-12,17.49,17.94,17.49,17.91,24622084.0
2025-08-13,18.015,18.23,17.835,18.22,27662376.0
2025-08-14,18.09,18.32,17.9,18.3,24619737.0
2025-08-15,18.36,18.36,18.04,18.04,23017462.0
2025-08-18,18.0,18.18,17.96,18.18,20244502.0
2025-08-19,18.14,18.31,18.05,18.15,19541960.0
2025-08-20,18.15,18.28,17.9701,18.22,27083938.0
2025-08-21,18.15,18.205,17.99,18.15,26286375.0
2025-08-22,18.27,19.075,18.24,18.98,37060917.0
2025-08-25,18.98,19.07,18.85,19.02,26873481.0
2025-08-26,18.97,19.31,18.95,19.3,26738310.0
2025-08-27,19.22,19.45,19.2,19.39,24172843.0
2025-08-28,19.48,19.48,19.24,19.35,22487770.0
2025-08-29,19.41,19.5,19.29,19.36,21340003.0
2025-09-02,18.96,19.1,18.75,18.96,22708892.0
2025-09-03,18.89,19.125,18.69,18.95,27617164.0
2025-09-04,19.03,19.23,18.9,19.18,25628061.0
2025-09-05,19.26,19.32,18.73,18.94,32355877.0
2025-09-08,18.95,19.19,18.6541,19.15,53265209.0
2025-09-09,19.13,19.41,18.9745,19.1,32948401.0
2025-09-10,19.12,19.315,19.045,19.23,26802340.0
2025-09-11,19.27,19.35,19.09,19.16,25646707.0
2025-09-12,19.14,19.18,19.005,19.06,23206495.0
2025-09-15,19.13,19.15,18.77,18.84,32455413.0
2025-09-16,18.86,18.87,18.4,18.63,34792389.0
2025-09-17,18.67,19.02,18.475,18.71,29317471.0
2025-09-18,18.79,19.15,18.62,19.13,32893934.0
2025-09-19,19.16,19.2,18.965,19.08,43884169.0
2025-09-22,18.92,19.04,18.6441,18.72,16940423.0
2025-09-23,18.81,19.08,18.7,18.74,22698478.0
2025-09-24,18.8,18.96,18.565,18.77,26363997.0
2025-09-25,18.66,18.9,18.535,18.81,25725424.0
2025-09-26,18.88,19.09,18.8001,18.89,21600126.0
2025-09-29,18.95,19.075,18.63,18.88,27698957.0
2025-09-30,18.94,18.995,18.295,18.69,30421830.0
2025-10-01,18.63,18.68,18.37,18.51,25284875.0
2025-10-02,18.49,18.56,18.28,18.45,19987132.0
2025-10-03,18.61,18.765,18.495,18.63,21806712.0
2025-10-06,18.75,19.04,18.35,18.54,29963340.0
2025-10-07,18.61,18.69,18.39,18.41,29621941.0
2025-10-08,18.5,18.5,18.04,18.09,26505664.0
2025-10-09,18.16,18.29,18.01,18.18,32344871.0
2025-10-10,18.23,18.255,17.18,17.2,23313353.0
2025-10-13,17.47,17.66,17.345,17.56,21474725.0
2025-10-14,17.47,18.215,17.47,18.01,26657773.0
2025-10-15,18.16,18.205,17.62,17.73,24169376.0
2025-10-16,17.17,17.63,16.47,16.78,43809106.0
2025-10-17,17.06,17.07,16.79,16.96,20554084.0
2025-10-20,17.07,17.43,17.02,17.38,20069986.0
2025-10-21,17.35,17.6667,17.31,17.54,15170623.0
2025-10-22,17.64,17.7158,17.405,17.47,15941078.0
2025-10-23,17.59,17.605,17.425,17.52,11098099.0
2025-10-24,17.7,17.9198,17.69,17.82,10623527.0
2025-10-27,17.9,17.9,17.51,17.61,19236537.0
2025-10-28,17.6,17.635,17.395,17.59,13525458.0
2025-10-29,17.52,17.7,17.285,17.4,17835416.0
2025-10-30,17.39,17.81,17.39,17.51,11797166.0
2025-10-31,17.42,17.66,17.3,17.59,13758926.0
2025-11-03,17.5,17.55,17.3101,17.54,14899787.0
2025-11-04,17.31,17.53,17.22,17.31,30829964.0
2025-11-05,17.32,17.54,17.165,17.52,22150935.0
2025-11-06,17.485,17.7,17.375,17.59,23023946.0
2025-11-07,17.52,18.08,17.45,18.08,23789817.0
2025-11-10,18.17,18.355,17.985,18.12,17118777.0
2025-11-11,18.15,18.24,17.985,18.08,10471001.0
2025-11-12,18.16,18.47,17.73,17.8,29956240.0
2025-11-13,17.74,17.93,17.58,17.62,17425849.0
2025-11-14,17.53,17.63,17.315,17.62,18339600.0
2025-11-17,17.57,17.59,16.96,17.12,21035080.0
2025-11-18,17.05,17.3999,16.91,17.19,18784090.0
2025-11-19,17.23,17.4,17.18,17.35,14732542.0
2025-11-20,17.5,17.8299,17.2201,17.28,18931057.0
2025-11-21,17.38,17.99,17.31,17.82,16316089.0
2025-11-24,17.82,17.99,17.77,17.89,19662646.0
2025-11-25,18.0,18.44,17.99,18.37,14223532.0
2025-11-26,18.37,18.585,18.32,18.4,10410113.0
2025-11-28,18.41,18.505,18.37,18.38,4701414.0
2025-12-01,18.34,18.675,18.31,18.62,13897653.0
2025-12-02,18.53,18.55,18.26,18.28,12244879.0
2025-12-03,18.29,18.76,18.27,18.75,15502499.0
2025-12-04,18.75,19.145,18.74,19.11,16615630.0
2025-12-05,19.12,19.73,19.12,19.26,40222125.0
2025-12-08,19.33,19.535,19.29,19.39,20917081.0
2025-12-09,19.55,20.33,19.49,19.98,32497664.0
2025-12-10,20.065,20.67,19.94,20.52,19497786.0
2025-12-11,20.48,20.82,20.43,20.69,14343738.0
2025-12-12,20.78,20.84,20.495,20.66,17219654.0
2025-12-15,20.88,20.88,20.44,20.46,18204868.0
2025-12-16,20.56,20.68,20.385,20.58,18774893.0
2025-12-17,20.62,20.89,20.62,20.8,16295302.0
2025-12-18,20.9,21.115,20.845,20.94,16179497.0
