date,open,high,low,close,volume
2025-04-10,137.325,137.68,129.26,133.41,1364588.0
2025-04-11,131.75,134.45,129.295,133.59,1590999.0
2025-04-14,138.23,138.4,134.83,136.39,1322555.0
2025-04-15,136.51,139.08,136.195,136.89,709117.0
2025-04-16,134.66,136.525,132.63,134.79,1016385.0
2025-04-17,135.69,136.945,134.79,135.46,707766.0
2025-04-21,133.2,133.8324,129.878,131.88,778463.0
2025-04-22,133.71,135.97,133.33,135.11,707950.0
2025-04-23,141.54,143.74,136.825,137.29,911912.0
2025-04-24,138.66,144.17,137.09,143.79,1825646.0
2025-04-25,143.37,144.17,141.8,144.01,802138.0
2025-04-28,143.47,145.22,141.68,143.94,734831.0
2025-04-29,143.19,145.46,142.825,144.55,646449.0
2025-04-30,141.67,145.98,140.7271,145.4,1122102.0
2025-05-01,146.31,147.535,144.86,145.54,920453.0
2025-05-02,148.49,150.27,147.56,148.52,979411.0
2025-05-05,147.06,148.585,146.625,147.29,715809.0
2025-05-06,145.56,147.55,145.505,146.54,563746.0
2025-05-07,146.63,149.75,146.23,149.55,963462.0
2025-05-08,151.5,154.08,150.52,152.24,830143.0
2025-05-09,153.77,154.51,152.52,154.12,784536.0
2025-05-12,161.395,162.93,160.47,162.63,1062644.0
2025-05-13,163.47,165.965,162.95,165.06,781609.0
2025-05-14,164.54,165.65,163.47,164.46,847411.0
2025-05-15,163.39,164.94,163.0,164.78,704384.0
2025-05-16,164.53,165.85,163.86,165.4,810936.0
2025-05-19,162.09,163.58,162.09,162.77,1042740.0
2025-05-20,161.42,163.7,160.4,162.8,1839900.0
2025-05-21,171.6,174.98,161.51,162.47,2412614.0
2025-05-22,162.18,162.72,159.79,161.74,1158125.0
2025-05-23,158.44,160.63,157.8501,160.03,874740.0
2025-05-27,162.31,162.79,160.82,162.26,795945.0
2025-05-28,162.41,162.7,157.85,158.54,1315434.0
2025-05-29,159.98,160.2974,157.46,158.66,973731.0
2025-05-30,157.78,158.52,155.2,157.04,2098192.0
2025-06-02,157.3,158.39,155.64,158.36,861867.0
2025-06-03,158.36,161.38,157.83,160.79,923372.0
2025-06-04,161.54,161.78,159.51,161.06,689654.0
2025-06-05,161.38,161.48,158.66,159.83,693774.0
2025-06-06,161.53,162.545,160.98,161.95,671815.0
2025-06-09,163.0,163.99,161.95,162.56,598418.0
2025-06-10,163.3,164.0,162.39,163.61,605647.0
2025-06-11,163.96,163.96,161.9652,162.5,628497.0
2025-06-12,162.63,163.685,160.9936,162.0,511201.0
2025-06-13,158.98,160.5,157.61,158.19,628056.0
2025-06-16,160.22,162.3,159.78,162.27,815346.0
2025-06-17,161.08,163.34,160.41,160.49,583506.0
2025-06-18,161.41,162.6,159.68,160.14,672430.0
2025-06-20,160.98,161.31,158.12,159.36,1955880.0
2025-06-23,158.48,161.12,157.89,161.07,1027566.0
2025-06-24,163.0,164.74,160.915,164.73,1077241.0
2025-06-25,165.0,165.3,163.67,164.12,540694.0
2025-06-26,164.77,165.85,164.44,164.94,720505.0
2025-06-27,165.04,165.605,162.69,164.34,1123814.0
2025-06-30,164.64,165.08,162.96,163.86,1037438.0
2025-07-01,163.15,166.05,162.05,164.47,948126.0
2025-07-02,164.08,165.64,162.11,165.52,700505.0
2025-07-03,166.04,167.39,161.645,167.05,478793.0
2025-07-07,165.42,167.15,162.24,162.45,744707.0
2025-07-08,164.03,164.935,162.91,163.51,1048035.0
2025-07-09,164.15,164.52,161.755,163.9,748542.0
2025-07-10,164.55,165.86,163.33,164.84,768190.0
2025-07-11,163.5,164.54,163.25,163.69,734181.0
2025-07-14,162.73,164.095,161.3,163.34,612137.0
2025-07-15,164.69,164.69,161.76,161.96,974980.0
2025-07-16,162.06,162.29,157.905,160.26,778754.0
2025-07-17,160.29,163.42,160.265,163.06,803236.0
2025-07-18,163.55,164.11,161.44,162.45,703764.0
2025-07-21,163.63,164.3,162.78,163.0,664195.0
2025-07-22,162.89,165.9,162.33,165.27,692399.0
2025-07-23,166.0,168.11,164.76,167.99,755875.0
2025-07-24,167.01,167.135,164.775,165.61,758350.0
2025-07-25,165.43,166.735,164.97,166.45,766651.0
2025-07-28,166.49,167.365,165.83,166.6,651967.0
2025-07-29,168.1,168.61,165.93,167.01,791693.0
2025-07-30,168.0,168.7299,166.04,167.55,887058.0
2025-07-31,166.47,167.65,163.885,163.91,791197.0
2025-08-01,161.06,161.06,156.13,158.68,853173.0
2025-08-04,159.44,161.835,158.72,161.72,1028598.0
2025-08-05,162.64,162.97,158.76,161.32,1014494.0
2025-08-06,161.9,162.196,159.755,160.75,666555.0
2025-08-07,162.99,162.99,160.0,161.25,589624.0
2025-08-08,162.44,165.92,161.4,164.96,715579.0
2025-08-11,164.74,165.9,161.25,161.49,744740.0
2025-08-12,162.45,167.16,161.92,167.09,857808.0
2025-08-13,167.74,170.54,167.34,170.22,1158526.0
2025-08-14,168.25,168.525,162.72,164.48,841753.0
2025-08-15,164.55,164.55,162.62,163.4,1061160.0
2025-08-18,163.62,165.38,163.44,164.43,1411273.0
2025-08-19,165.01,166.2,163.12,163.48,1546324.0
2025-08-20,155.87,158.88,152.8464,158.51,2598956.0
2025-08-21,157.98,160.71,157.725,160.59,1209659.0
2025-08-22,162.17,167.985,161.16,166.87,1035087.0
2025-08-25,166.51,166.69,164.69,165.32,798049.0
