date,open,high,low,close,volume
2025-07-11,26.28,27.57,25.94,27.14,52440899.0
2025-07-14,27.26,27.84,27.14,27.8,37271849.0
2025-07-15,27.77,27.94,27.08,27.12,20365030.0
2025-07-16,27.23,27.62,27.09,27.58,19950497.0
2025-07-17,27.7,28.15,27.6281,28.13,17564503.0
2025-07-18,28.195,28.215,27.69,27.82,18389287.0
2025-07-21,27.96,28.02,27.44,27.48,17895824.0
2025-07-22,27.53,28.809,27.5,28.78,18294836.0
2025-07-23,28.9,29.15,28.75,28.94,12814381.0
2025-07-24,28.99,29.13,28.715,28.78,7411034.0
2025-07-25,28.75,28.81,28.362,28.68,8521860.0
2025-07-28,28.56,28.57,28.05,28.25,10067045.0
2025-07-29,28.25,28.62,28.22,28.56,14007056.0
2025-07-30,28.785,29.19,28.16,28.49,17783369.0
2025-07-31,28.055,28.055,27.42,27.46,17627063.0
2025-08-01,27.7,27.82,27.06,27.41,16940505.0
2025-08-04,27.22,27.25,26.615,26.8,14299548.0
2025-08-05,26.8,27.295,26.8,27.04,10630262.0
2025-08-06,27.055,27.3955,26.85,27.26,9055131.0
2025-08-07,27.35,27.76,27.17,27.65,9892151.0
2025-08-08,27.62,27.895,27.53,27.76,9266811.0
2025-08-11,27.82,28.03,27.085,27.43,13917731.0
2025-08-12,27.46,27.75,27.21,27.35,13478530.0
2025-08-13,27.36,28.03,27.3,28.02,12530308.0
2025-08-14,27.86,27.88,27.515,27.65,15035299.0
2025-08-15,27.75,27.807,27.455,27.67,8136158.0
2025-08-18,27.61,27.62,27.1635,27.27,7899924.0
2025-08-19,27.3848,27.7599,27.325,27.67,8281939.0
2025-08-20,27.81,28.03,27.29,27.42,8522426.0
2025-08-21,27.3149,27.56,27.12,27.5,6098349.0
2025-08-22,27.64,28.1,27.62,28.06,10699957.0
2025-08-25,28.0,28.01,27.65,27.69,9780208.0
2025-08-26,27.6,27.74,27.32,27.7,17469861.0
2025-08-27,27.61,27.93,27.53,27.89,9144852.0
2025-08-28,27.91,27.95,27.38,27.64,11454082.0
2025-08-29,27.2563,28.08,27.19,27.97,23601304.0
2025-09-02,27.8,27.91,25.84,26.02,43401011.0
2025-09-03,26.25,27.0,26.11,26.93,19076252.0
2025-09-04,26.95,27.245,26.7246,26.96,13238772.0
2025-09-05,26.945,27.51,26.92,27.29,14754336.0
2025-09-08,27.14,27.15,26.53,26.9,17984188.0
2025-09-09,26.79,27.0,26.66,26.67,8218903.0
2025-09-10,26.61,26.73,26.3321,26.65,13538166.0
2025-09-11,26.7,26.94,26.5,26.52,10763383.0
2025-09-12,26.57,26.57,26.045,26.13,17152324.0
2025-09-15,26.23,26.37,25.62,25.63,23134647.0
2025-09-16,25.63,26.05,25.61,25.93,18271404.0
2025-09-17,25.92,26.2499,25.67,25.73,13239242.0
2025-09-18,25.73,26.22,25.66,26.08,21000716.0
2025-09-19,26.235,26.56,26.17,26.42,33012526.0
2025-09-22,26.38,26.52,26.26,26.38,14522775.0
2025-09-23,26.45,26.69,26.43,26.56,14221968.0
2025-09-24,26.48,26.85,26.43,26.74,13109470.0
2025-09-25,26.89,26.89,25.77,25.81,13950894.0
2025-09-26,25.83,26.15,25.82,26.05,15286089.0
2025-09-29,26.065,26.0687,25.3518,25.7,19230346.0
2025-09-30,25.71,26.13,25.496,26.04,23559653.0
2025-10-01,26.025,26.365,25.925,26.28,12862259.0
2025-10-02,26.2,26.315,25.85,26.07,10210690.0
2025-10-03,26.07,26.24,25.9717,26.06,8737848.0
2025-10-06,25.91,25.96,25.24,25.27,12580274.0
2025-10-07,25.29,25.4775,24.97,25.42,17810225.0
2025-10-08,25.3,25.369,24.95,25.08,11753498.0
2025-10-09,25.05,25.11,24.85,25.04,11100621.0
2025-10-10,25.09,25.29,24.98,25.15,9752663.0
2025-10-13,25.08,25.17,24.8,25.11,11558778.0
2025-10-14,25.055,25.47,25.04,25.44,11240017.0
2025-10-15,25.36,25.485,24.985,25.19,12688318.0
2025-10-16,25.245,25.44,25.04,25.13,13798409.0
2025-10-17,25.23,25.55,25.1548,25.52,15967141.0
2025-10-20,25.58,25.88,25.53,25.71,10077559.0
2025-10-21,25.81,25.86,25.54,25.58,12593632.0
2025-10-22,25.54,25.95,25.425,25.64,8860295.0
2025-10-23,25.62,25.65,25.245,25.41,11379601.0
2025-10-24,25.56,25.6,25.21,25.25,8618827.0
2025-10-27,25.26,25.63,25.26,25.59,12261283.0
2025-10-28,25.49,25.67,25.305,25.52,16389648.0
2025-10-29,25.01,25.22,24.105,24.38,44944188.0
2025-10-30,24.32,24.775,24.1,24.58,30901856.0
2025-10-31,24.36,24.98,24.2106,24.73,30484740.0
2025-11-03,24.68,24.69,23.895,24.33,20122473.0
2025-11-04,24.35,24.395,24.04,24.17,19216064.0
2025-11-05,24.13,24.34,23.975,24.14,19613691.0
2025-11-06,24.12,24.42,23.7,23.72,29327098.0
2025-11-07,23.9,24.3,23.755,24.28,18904776.0
2025-11-10,24.3,24.43,24.085,24.38,23012757.0
2025-11-11,24.46,24.695,24.36,24.67,15282074.0
2025-11-12,24.695,24.79,24.36,24.75,12984688.0
2025-11-13,24.73,25.21,24.71,24.96,17990959.0
2025-11-14,25.035,25.16,24.6,24.85,19863378.0
2025-11-17,24.9,24.94,24.46,24.49,14016298.0
2025-11-18,24.53,25.0899,24.37,24.97,15670618.0
2025-11-19,24.915,24.9954,24.76,24.91,9803416.0
2025-11-20,24.94,25.2199,24.86,24.98,14973316.0
2025-11-21,25.07,25.535,24.87,25.29,11876307.0
2025-11-24,25.28,25.3,24.99,25.23,22402808.0
2025-11-25,25.31,25.61,25.27,25.44,12690354.0
2025-11-26,25.35,25.765,25.3302,25.6,9517881.0
2025-11-28,25.18,25.5599,25.13,25.51,6295222.0
2025-12-01,25.4,25.48,25.09,25.37,12954753.0
2025-12-02,25.38,25.38,24.63,24.96,14911761.0
2025-12-03,24.95,25.28,24.86,25.03,13351569.0
2025-12-04,25.01,25.14,24.54,24.59,11029851.0
2025-12-05,24.53,24.7659,24.31,24.34,9376321.0
2025-12-08,24.25,24.66,24.25,24.51,11198463.0
2025-12-09,24.56,24.66,24.07,24.23,10096325.0
2025-12-10,24.3,24.415,24.19,24.35,11200567.0
2025-12-11,24.38,24.6,24.24,24.39,13562200.0
2025-12-12,24.46,24.75,24.38,24.45,11339562.0
2025-12-15,24.49,24.63,24.405,24.5,13604282.0
2025-12-16,24.735,24.92,24.45,24.68,18730886.0
2025-12-17,24.68,24.9499,24.64,24.75,14094339.0
2025-12-18,24.66,24.98,24.6,24.75,13212413.0
2025-12-19,24.62,24.76,24.455,24.51,22737729.0
2025-12-22,24.37,24.48,24.1,24.15,13465692.0
2025-12-23,24.168,24.168,23.6,23.7,13899735.0
2025-12-24,23.64,24.05,23.64,24.02,5694847.0
2025-12-26,23.99,24.165,23.95,24.13,9076661.0
2025-12-29,24.15,24.46,24.105,24.25,15485710.0
2025-12-30,24.195,24.54,24.17,24.43,10109521.0
2025-12-31,24.43,24.46,24.235,24.25,9930653.0
2026-01-02,24.29,24.555,24.06,24.39,12839540.0
2026-01-05,24.31,24.36,23.73,23.77,18653007.0
