date,open,high,low,close,volume
2025-05-08,118.42,121.12,116.87,118.73,7985075.0
2025-05-09,119.46,120.72,117.54,118.08,4073637.0
2025-05-12,126.715,128.72,124.1,125.22,6749607.0
2025-05-13,125.27,128.68,124.45,126.9,4779035.0
2025-05-14,128.69,129.82,127.51,129.03,5514440.0
2025-05-15,126.93,128.03,124.554,125.64,4336598.0
2025-05-16,125.89,126.6599,124.61,125.9,2481505.0
2025-05-19,122.65,125.95,122.1828,125.49,2537045.0
2025-05-20,123.66,125.4,123.25,124.14,3087694.0
2025-05-21,122.47,122.885,117.65,117.76,4098036.0
2025-05-22,117.56,118.96,116.5,118.2,3564320.0
2025-05-23,115.06,118.19,115.0,117.18,3021154.0
2025-05-27,119.02,121.0025,117.43,120.92,4241335.0
2025-05-28,121.63,122.0,120.21,121.04,2937045.0
2025-05-29,122.5,122.72,120.98,122.33,3505151.0
2025-05-30,121.48,121.9818,119.11,121.46,6807859.0
2025-06-02,120.66,122.0,118.86,121.87,3591189.0
2025-06-03,120.5,121.23,119.4486,120.48,5728098.0
2025-06-04,121.28,122.26,120.49,120.51,2732451.0
2025-06-05,120.6,121.43,119.19,120.64,2600928.0
2025-06-06,122.98,124.7828,122.0,123.4,2324948.0
2025-06-09,124.95,124.95,122.5996,123.25,2460083.0
2025-06-10,123.22,124.8712,122.44,124.02,2942038.0
2025-06-11,125.22,127.37,125.0,126.0,4846447.0
2025-06-12,124.43,125.915,124.43,125.24,2990959.0
2025-06-13,123.0,123.77,121.12,121.33,4210463.0
2025-06-16,122.41,125.26,121.64,123.4,2508581.0
2025-06-17,122.05,122.83,119.8353,121.06,3065635.0
2025-06-18,120.82,123.86,120.39,122.42,2412540.0
2025-06-20,123.81,125.16,122.48,122.6,4081309.0
2025-06-23,121.8,122.86,117.85,122.14,2697027.0
2025-06-24,124.0,128.13,123.3,127.77,3624682.0
2025-06-25,128.67,129.2251,127.04,128.84,3872724.0
2025-06-26,129.36,132.34,129.25,131.94,3916088.0
2025-06-27,132.38,135.4198,131.94,134.29,5399495.0
2025-06-30,135.9,136.1393,132.2,133.03,4035994.0
2025-07-01,132.56,133.41,130.86,132.45,2796896.0
2025-07-02,132.08,134.96,131.18,134.53,2199162.0
2025-07-03,136.76,139.25,136.0,138.6,2650555.0
2025-07-07,138.185,139.69,134.95,135.54,4556867.0
2025-07-08,136.7,139.1899,135.91,137.94,4456859.0
2025-07-09,138.97,140.25,138.3074,139.22,2995566.0
2025-07-10,139.53,143.775,139.115,143.05,3764649.0
2025-07-11,141.29,142.22,140.455,141.05,3204876.0
2025-07-14,139.48,140.815,139.1,139.43,3295955.0
2025-07-15,139.43,140.27,136.74,137.21,2678559.0
2025-07-16,138.64,143.23,137.69,143.05,4864577.0
2025-07-17,142.93,148.02,142.625,147.6,5075888.0
2025-07-18,147.72,148.29,145.39,145.98,3123430.0
2025-07-21,146.62,146.66,144.14,144.28,3401242.0
2025-07-22,144.33,145.215,142.247,144.97,2042368.0
2025-07-23,146.21,148.44,144.91,148.26,2490700.0
2025-07-24,153.2,153.2,149.64,150.19,4137645.0
2025-07-25,150.56,152.93,149.67,152.16,2894339.0
2025-07-28,152.37,152.97,151.636,152.15,2446362.0
2025-07-29,153.22,153.87,149.36,151.0,3049305.0
2025-07-30,152.65,153.5,148.68,150.43,3205800.0
2025-07-31,151.41,151.6,144.77,146.58,5111798.0
2025-08-01,143.05,143.05,138.73,142.55,5750594.0
2025-08-04,143.21,145.5,142.14,145.13,4014814.0
2025-08-05,145.36,146.58,141.4589,142.66,4327391.0
2025-08-06,143.26,145.3,142.47,144.56,2873571.0
2025-08-07,146.65,147.205,140.4605,142.19,2920453.0
2025-08-08,142.76,143.88,141.61,142.67,2163505.0
2025-08-11,142.8,143.5399,141.38,141.57,1818646.0
2025-08-12,142.88,148.1,142.14,147.24,3026889.0
2025-08-13,148.96,149.3,144.31,147.46,3785260.0
2025-08-14,145.96,146.86,144.97,146.06,2668539.0
2025-08-15,146.88,146.88,142.2,142.28,2943647.0
2025-08-18,142.0,142.27,140.42,141.2,2913039.0
2025-08-19,141.0,141.35,138.39,138.95,2864444.0
2025-08-20,138.55,138.97,136.015,138.09,3185751.0
2025-08-21,137.64,138.15,136.64,137.84,2589990.0
2025-08-22,138.55,145.01,137.71,141.77,4084932.0
2025-08-25,141.28,142.13,138.61,138.71,2376986.0
2025-08-26,138.21,140.16,137.51,140.08,3315534.0
2025-08-27,139.47,141.455,139.0,140.47,2304412.0
2025-08-28,140.575,141.13,139.45,140.09,3663119.0
2025-08-29,140.26,140.89,139.22,139.49,2421681.0
2025-09-02,136.82,138.87,135.06,138.74,2418693.0
2025-09-03,138.08,139.2242,133.34,134.83,3821645.0
2025-09-04,135.57,138.02,135.0,137.35,2167714.0
2025-09-05,138.63,138.98,132.98,135.53,3413023.0
2025-09-08,136.21,138.825,135.725,138.69,3458874.0
2025-09-09,138.61,138.96,136.87,137.39,2625481.0
2025-09-10,137.22,141.1925,136.91,139.29,2499883.0
2025-09-11,139.29,146.1399,139.165,145.01,4048115.0
2025-09-12,144.66,145.03,142.47,143.34,3554862.0
2025-09-15,143.8,145.99,143.5,144.65,2327073.0
2025-09-16,144.8,145.8,143.0424,144.38,1828310.0
2025-09-17,144.43,147.22,143.13,144.4,2932186.0
2025-09-18,146.165,151.11,145.74,149.34,3129356.0
2025-09-19,150.82,150.82,147.01,148.92,8793943.0
2025-09-22,146.73,147.5,145.601,146.95,3652250.0
2025-09-23,147.07,152.095,146.66,147.25,3599589.0
2025-09-24,146.3,148.73,137.89,137.94,6485003.0
2025-09-25,135.4,138.505,134.675,135.66,5106897.0
2025-09-26,136.57,137.22,133.82,134.01,4592716.0
2025-09-29,136.07,136.07,133.76,134.48,4255739.0
2025-09-30,134.67,135.53,126.57,129.95,7784618.0
2025-10-01,128.26,130.32,127.24,127.47,5778955.0
2025-10-02,127.36,128.0432,124.01,124.63,6360722.0
2025-10-03,126.92,128.79,126.45,127.65,4099523.0
2025-10-06,128.0,128.7,125.47,126.87,3522046.0
2025-10-07,126.98,128.45,123.755,124.72,3513906.0
2025-10-08,124.75,125.49,123.52,124.73,4544335.0
2025-10-09,124.6,125.6625,122.8,124.06,3657087.0
2025-10-10,124.39,124.65,117.65,117.82,6810608.0
