date,open,high,low,close,volume
2025-04-10,66.5,68.27,66.14,67.9,14755352.0
2025-04-11,68.2,68.87,66.86,68.22,8827394.0
2025-04-14,68.53,69.4,67.65,69.08,7969513.0
2025-04-15,68.76,69.335,68.0,68.14,8992593.0
2025-04-16,68.48,69.6218,68.33,69.01,7272640.0
2025-04-17,68.9,71.68,68.83,71.22,11604915.0
2025-04-21,71.63,72.51,71.26,72.31,9906230.0
2025-04-22,72.525,73.63,72.17,72.98,6882044.0
2025-04-23,72.17,72.39,70.92,72.0,14003702.0
2025-04-24,71.78,72.19,71.07,71.35,9228007.0
2025-04-25,71.26,71.56,69.245,70.0,8847230.0
2025-04-28,70.48,70.73,69.56,70.37,6515840.0
2025-04-29,69.8,71.52,69.5,71.38,6044374.0
2025-04-30,71.8,72.57,71.345,72.21,14393698.0
2025-05-01,71.78,72.79,71.4044,72.18,5497411.0
2025-05-02,72.56,72.9,71.27,72.02,6206466.0
2025-05-05,72.5,73.12,72.04,72.88,5683820.0
2025-05-06,72.94,73.13,72.5001,72.97,3687010.0
2025-05-07,72.96,73.47,72.37,72.38,6002877.0
2025-05-08,72.06,72.89,71.78,71.81,5501782.0
2025-05-09,71.7,72.23,71.14,71.87,4312766.0
2025-05-12,70.86,70.87,67.7,69.04,9758595.0
2025-05-13,69.25,69.37,66.77,67.49,9422925.0
2025-05-14,67.55,67.61,65.85,66.34,8984660.0
2025-05-15,66.55,67.79,66.12,67.6,8379298.0
2025-05-16,68.1,68.85,67.4,68.85,7218055.0
2025-05-19,69.09,69.3528,68.6387,68.96,4784820.0
2025-05-20,69.76,70.32,69.36,69.5,6527438.0
2025-05-21,68.81,69.185,68.53,68.9,4634759.0
2025-05-22,69.1,69.315,67.76,67.95,4923696.0
2025-05-23,68.82,69.4399,68.03,68.59,5516823.0
2025-05-27,68.45,68.58,67.035,67.83,6368161.0
2025-05-28,67.9,68.11,67.375,67.69,5945162.0
2025-05-29,66.81,67.18,66.02,66.95,7305769.0
2025-05-30,67.03,68.46,66.77,68.23,14386054.0
2025-06-02,68.1,68.49,67.36,68.2,7648798.0
2025-06-03,68.0,68.2,66.05,67.08,10148471.0
2025-06-04,66.99,67.1,66.13,66.34,5888307.0
2025-06-05,66.4,66.535,65.7,66.24,4654525.0
2025-06-06,66.15,66.4,65.59,66.15,6142492.0
2025-06-09,65.89,66.2303,65.15,65.49,7167350.0
2025-06-10,65.65,65.87,65.03,65.43,5097210.0
2025-06-11,65.2,65.296,64.15,64.62,6799348.0
2025-06-12,65.15,65.279,64.47,65.06,5368603.0
2025-06-13,65.29,66.04,65.17,65.56,6509599.0
2025-06-16,65.68,66.2599,65.31,66.01,6509679.0
2025-06-17,66.01,66.36,65.615,65.95,7033201.0
2025-06-18,66.0,66.18,65.215,65.52,12253923.0
2025-06-20,68.205,72.23,67.5,71.97,36154630.0
2025-06-23,72.12,74.11,71.63,74.0,12332400.0
2025-06-24,73.22,73.69,72.24,73.42,13101104.0
2025-06-25,73.25,73.26,72.19,72.22,5473307.0
2025-06-26,72.1,72.94,70.935,71.28,6030393.0
2025-06-27,71.15,71.61,70.68,71.42,8995763.0
2025-06-30,71.56,72.045,71.01,71.73,5712530.0
2025-07-01,72.09,72.5,70.89,71.35,6036798.0
2025-07-02,71.0,71.3,69.97,70.23,6136418.0
2025-07-03,69.78,70.04,68.625,69.83,3716237.0
2025-07-07,70.13,71.47,69.5,71.45,5964048.0
2025-07-08,71.0,71.18,69.69,69.74,6949409.0
2025-07-09,69.7,70.29,68.8805,70.26,6765191.0
2025-07-10,69.94,71.17,69.73,70.71,5560582.0
2025-07-11,70.93,71.1,70.06,70.58,4192188.0
2025-07-14,70.86,72.43,70.31,72.27,7284279.0
2025-07-15,71.98,72.29,71.49,71.88,5818604.0
2025-07-16,71.7,72.08,71.18,71.91,5392956.0
2025-07-17,71.91,72.5,71.62,72.22,6731913.0
2025-07-18,72.11,72.85,71.14,71.39,5351133.0
2025-07-21,71.39,72.595,71.3,72.02,4504830.0
2025-07-22,71.96,73.3,71.8,72.61,7420508.0
2025-07-23,72.51,73.025,72.125,72.88,8128345.0
2025-07-24,73.26,73.45,72.37,72.38,4552656.0
2025-07-25,72.42,72.81,71.42,71.46,3396939.0
2025-07-28,71.39,71.4327,69.11,69.32,6993859.0
2025-07-29,69.6,70.445,69.235,69.3,5510343.0
2025-07-30,69.31,69.57,68.691,69.3,5298211.0
2025-07-31,68.81,70.36,68.75,70.1,10900152.0
2025-08-01,70.5,71.69,70.5,71.36,7283693.0
2025-08-04,71.305,72.215,71.07,71.59,5493732.0
2025-08-05,71.67,72.31,71.23,71.75,5767045.0
2025-08-06,71.64,73.96,71.355,73.73,7091333.0
2025-08-07,73.31,74.245,73.2,73.76,5138439.0
2025-08-08,73.92,74.69,73.845,74.24,5961493.0
2025-08-11,74.38,74.9,74.11,74.35,4588525.0
2025-08-12,74.3,74.415,73.125,73.55,7609236.0
2025-08-13,70.6,71.5,68.38,70.33,16512387.0
2025-08-14,70.2,70.67,68.905,69.23,5319713.0
2025-08-15,68.92,69.96,68.74,69.69,4419589.0
2025-08-18,69.88,70.49,69.74,69.74,7393980.0
2025-08-19,69.82,71.15,69.82,70.72,6896276.0
2025-08-20,70.67,71.83,70.36,71.83,5310120.0
2025-08-21,71.71,71.87,71.08,71.42,5222304.0
2025-08-22,71.41,71.9,68.82,69.56,6983633.0
2025-08-25,69.66,70.47,69.63,70.14,4419044.0
2025-08-26,70.16,70.405,68.87,68.99,7751348.0
2025-08-27,68.99,69.34,67.31,67.98,7987085.0
2025-08-28,67.82,67.98,66.76,67.46,6584857.0
2025-08-29,67.69,67.885,67.1,67.84,5422607.0
2025-09-02,68.14,68.98,68.03,68.64,6333706.0
2025-09-03,68.35,68.58,67.17,68.2,7197253.0
2025-09-04,68.46,68.725,67.73,67.84,6231049.0
2025-09-05,67.92,68.2,67.31,67.75,5575671.0
2025-09-08,67.74,68.18,67.285,68.0,10184596.0
2025-09-09,67.86,67.9,66.72,67.63,7418123.0
2025-09-10,67.38,67.7,66.34,67.03,9319779.0
2025-09-11,69.0,69.89,66.15,67.23,14059717.0
2025-09-12,67.38,68.98,67.15,68.29,8312365.0
2025-09-15,68.29,69.09,67.135,67.41,7557216.0
2025-09-16,67.5,68.045,66.575,66.75,10520987.0
2025-09-17,67.81,68.02,66.61,66.96,9126301.0
2025-09-18,66.61,66.76,65.765,65.99,10664230.0
2025-09-19,65.76,65.98,64.885,65.58,16411010.0
2025-09-22,65.58,65.6,64.505,64.52,8939500.0
2025-09-23,64.46,65.47,64.37,65.35,11228450.0
2025-09-24,65.23,65.88,65.03,65.55,5260366.0
2025-09-25,66.01,66.5,65.445,65.49,6037453.0
2025-09-26,65.41,65.66,64.86,65.46,4550900.0
2025-09-29,65.43,66.46,65.03,66.43,5998060.0
2025-09-30,66.28,67.46,66.2,67.41,7567842.0
2025-10-01,67.08,67.16,65.615,66.51,7838276.0
2025-10-02,66.2,66.96,65.87,66.36,4430609.0
2025-10-03,66.27,66.63,66.005,66.3,4201573.0
2025-10-06,65.99,66.32,64.52,64.8,8489594.0
2025-10-07,64.93,66.9,64.93,66.88,6765557.0
2025-10-08,67.2,68.25,67.0,68.12,7287378.0
2025-10-09,68.46,68.775,67.13,67.56,5810195.0
2025-10-10,67.71,68.615,66.62,67.78,6000223.0
2025-10-13,66.89,67.235,65.745,67.13,6673051.0
2025-10-14,67.94,69.505,67.2,69.13,5987852.0
2025-10-15,68.83,69.37,68.72,69.1,6198544.0
2025-10-16,68.96,69.81,68.615,68.88,4651724.0
2025-10-17,69.37,69.715,68.84,68.99,5495028.0
2025-10-20,69.0,69.4,68.24,69.15,4219542.0
2025-10-21,68.75,68.75,67.46,67.6,5955272.0
2025-10-22,67.79,68.86,67.05,68.6,6626047.0
2025-10-23,68.68,68.83,68.185,68.66,5058491.0
2025-10-24,68.87,68.9,66.905,67.11,6073245.0
2025-10-27,66.82,68.11,66.3,68.03,4610978.0
2025-10-28,67.74,68.23,67.38,67.69,4369174.0
2025-10-29,67.4,67.43,65.79,66.04,6339782.0
2025-10-30,65.93,66.19,65.2,65.43,6496201.0
2025-10-31,64.9,64.91,62.94,63.63,11947837.0
2025-11-03,63.4,63.92,62.81,63.44,8112633.0
2025-11-04,64.0,64.6,63.32,63.76,6447407.0
2025-11-05,63.77,64.0857,62.97,63.15,6734701.0
2025-11-06,63.38,64.14,62.59,63.43,5389544.0
2025-11-07,63.75,65.08,63.47,64.91,6900562.0
2025-11-10,64.55,64.84,63.8399,64.44,4601656.0
2025-11-11,64.56,65.32,64.09,65.02,4852597.0
2025-11-12,64.9,65.83,64.88,65.4,5148624.0
2025-11-13,65.58,66.125,65.39,65.97,5227138.0
2025-11-14,65.94,66.915,65.5,66.71,5328023.0
2025-11-17,66.72,66.8,65.76,66.1,4957121.0
2025-11-18,66.52,67.775,66.1,67.38,7926330.0
2025-11-19,67.37,68.36,67.2,67.41,6478829.0
2025-11-20,67.09,67.41,64.8605,65.9,7502979.0
2025-11-21,65.84,66.7,65.61,66.06,6692030.0
2025-11-24,66.06,66.06,64.255,64.29,9035448.0
2025-11-25,64.8,66.23,64.77,66.15,5383503.0
2025-11-26,66.22,67.47,66.15,67.03,5379740.0
2025-11-28,66.92,67.5467,66.7008,67.28,2270497.0
2025-12-01,67.28,67.985,67.115,67.55,7110414.0
2025-12-02,67.58,67.85,66.4,67.03,6704731.0
2025-12-03,67.04,67.75,66.13,66.2,7265856.0
2025-12-04,63.55,64.25,60.96,63.14,22790981.0
2025-12-05,63.0,63.94,62.67,62.71,8883142.0
2025-12-08,62.49,64.135,62.15,63.38,7585468.0
2025-12-09,63.17,63.55,62.315,62.9,5670154.0
2025-12-10,62.42,62.42,61.2,61.24,8130054.0
2025-12-11,61.74,62.59,61.5931,62.21,7352686.0
2025-12-12,62.35,63.21,62.06,63.19,5386474.0
2025-12-15,63.09,63.32,62.53,62.66,6234044.0
2025-12-16,62.89,63.115,61.965,62.1,5906486.0
2025-12-17,62.25,63.9,62.1,63.81,5539588.0
2025-12-18,63.38,63.52,62.7,62.79,8355522.0
2025-12-19,62.69,62.875,62.273,62.41,10268631.0
2025-12-22,62.0,62.435,61.71,62.29,4304859.0
2025-12-23,62.66,62.75,62.0802,62.3,4037459.0
2025-12-24,62.54,63.145,62.45,62.93,2070669.0
2025-12-26,62.83,63.63,62.83,63.25,3596405.0
2025-12-29,63.12,63.46,62.59,62.71,5463766.0
2025-12-30,62.61,62.94,62.55,62.68,3190566.0
2025-12-31,62.6,62.79,62.46,62.48,3753138.0
2026-01-02,62.36,62.995,62.11,62.96,5116186.0
2026-01-05,62.41,62.5999,60.7003,61.79,8173315.0
2026-01-06,61.79,62.625,61.51,61.74,7495406.0
2026-01-07,61.49,61.608,58.91,59.28,10161235.0
2026-01-08,59.33,60.65,58.6,59.79,7613613.0
2026-01-09,59.78,60.08,58.75,59.51,7337100.0
2026-01-12,59.77,61.48,59.7,61.11,7103293.0
2026-01-13,60.8,61.53,60.08,61.47,5404462.0
2026-01-14,61.18,62.8,61.18,62.46,6220522.0
2026-01-15,62.13,62.75,60.97,62.49,7415272.0
2026-01-16,62.14,63.63,62.05,63.19,7922881.0
2026-01-20,63.11,63.45,62.62,63.15,7431165.0
2026-01-21,63.38,64.24,63.26,63.92,6316418.0
2026-01-22,64.04,64.22,61.855,62.65,6733434.0
2026-01-23,62.78,64.3,62.52,64.25,5742405.0
2026-01-26,64.79,65.18,63.39,63.69,6382071.0
2026-01-27,63.54,63.82,61.02,62.11,7519242.0
2026-01-28,61.88,62.365,61.38,61.82,5658199.0
2026-01-29,62.01,62.98,61.67,61.75,4911609.0
2026-01-30,62.02,62.94,61.83,62.85,6600078.0
2026-02-02,63.02,63.64,61.71,63.06,5881878.0
2026-02-03,62.52,64.63,62.5,64.17,6096442.0
2026-02-04,64.47,67.46,64.47,66.8,10701609.0
2026-02-05,67.31,67.66,65.77,66.67,6738728.0
2026-02-06,66.61,67.65,66.28,67.5,4197898.0
2026-02-09,71.25,73.18,69.665,70.1,16070149.0
2026-02-10,69.8,69.915,67.4363,68.02,8001932.0
2026-02-11,68.01,68.94,67.66,68.66,5863325.0
2026-02-12,68.68,72.24,68.51,70.14,8080966.0
2026-02-13,69.79,71.25,69.5,71.25,6441151.0
2026-02-17,71.5,72.2,69.58,69.66,5271401.0
2026-02-18,69.54,69.68,68.245,68.86,5530447.0
2026-02-19,68.77,69.185,67.27,67.63,5134010.0
2026-02-20,67.665,67.83,66.14,66.36,5153143.0
2026-02-23,66.2,68.385,66.04,68.26,5243665.121832
2026-02-24,68.31,69.805,68.3,69.76,5710980.865129
2026-02-25,67.725,68.7,67.14,67.59,6626511.720367
2026-02-26,67.9,67.9,66.44,67.18,5165142.425743
2026-02-27,67.36,68.66,67.17,68.24,6773460.540598
2026-03-02,68.12,69.2675,67.71,69.05,5492343.170451
2026-03-03,69.26,69.77,68.13,68.64,5307346.776963
2026-03-04,68.78,68.78,67.18,67.99,8015044.059043
2026-03-05,67.25,71.85,67.24,71.57,15154363.060207
2026-03-06,71.65,74.845,71.56,74.11,10637139.100878
2026-03-09,73.59,74.8,73.34,73.37,8411781.517394
2026-03-10,73.02,73.59,71.78,72.24,7992687.131087
2026-03-11,72.22,72.46,71.36,72.19,5693396.163436
2026-03-12,72.3,76.58,72.17,74.96,9621602.517518
2026-03-13,74.755,75.87,74.0,75.6,6069923.77788
2026-03-16,75.44,75.5,74.37,74.49,7241706.064526
2026-03-17,74.27,75.395,73.53,74.12,4705034.740107
2026-03-18,74.03,74.39,72.75,73.28,6349752.966761
2026-03-19,73.54,75.08,73.54,73.76,6611828.846423
2026-03-20,73.91,74.3,72.9802,73.2,17799060.979379
2026-03-23,73.03,73.03,71.61,72.7,9870696.997862
2026-03-24,72.56,73.56,71.69,71.88,4098812.872299
2026-03-25,72.15,72.15,69.96,70.36,6392918.63987
2026-03-26,70.76,71.86,70.575,71.79,4984863.762604
2026-03-27,72.33,73.94,71.83,73.22,5923306.123096
2026-03-30,73.1,74.45,72.98,73.72,4391264.583908
2026-03-31,73.35,73.82,71.695,72.36,6694046.096611
2026-04-01,71.89,72.07,69.76,70.54,6761112.8091
2026-04-02,71.68,72.69,71.35,72.35,4047939.884324
2026-04-06,72.75,73.89,72.48,73.03,3507842.81153
2026-04-07,72.84,73.78,72.6101,72.68,4471590.813153
2026-04-08,70.01,70.98,67.32,70.96,7205206.361584
2026-04-09,70.18,71.735,69.9618,70.35,3889581.969614
2026-04-10,69.47,70.09,67.81,67.99,5195611.900744
2026-04-13,68.53,68.77,67.61,68.03,3690223.176587
2026-04-14,66.77,67.555,65.8,67.19,5335187.345904
2026-04-15,66.7,67.3743,66.09,66.63,3782925.346016
2026-04-16,66.16,67.86,66.16,67.77,3937108.062489
2026-04-17,66.81,68.21,65.65,68.19,6470230.53954
2026-04-20,68.55,68.85,67.57,67.89,3892063.042106
2026-04-21,68.05,69.015,67.505,68.81,5810428.777391
2026-04-22,68.69,69.25,67.76,68.07,3546693.758649
2026-04-23,68.5,69.32,68.07,69.1,4384492.378742
2026-04-24,68.52,68.61,66.82,67.23,3830010.668482
2026-04-27,67.17,67.5,65.62,65.9,4458277.463453
2026-04-28,66.91,66.99,65.74,66.93,5470854.569095
2026-04-29,66.65,67.45,66.48,67.1,5719304.139476
2026-04-30,66.89,68.44,66.57,68.07,5870254.644485
2026-05-01,68.38,68.49,67.43,67.77,3460298.031815
2026-05-04,67.43,68.07,66.87,67.55,3418250.731022
2026-05-05,67.29,67.635,66.665,66.92,3370928.741791
2026-05-06,66.65,66.65,65.33,66.01,4484043.367375
2026-05-07,65.5,66.55,65.18,66.41,4899061.168294
2026-05-08,66.21,66.555,65.64,65.64,3374680.639462
2026-05-11,65.79,65.8,64.395,64.8,4833492.618539
2026-05-12,65.14,65.25,64.04,64.62,6446363.850807
2026-05-13,64.81,66.47,64.36,66.24,8324138.799719
2026-05-14,66.5,66.94,65.85,66.79,4022908.987578
2026-05-15,67.25,67.48,65.865,66.02,4058961.444077
2026-05-18,66.14,68.37,65.79,68.32,4756089.406411
2026-05-19,68.85,71.71,68.82,70.6,7840256.510059
2026-05-20,70.03,70.03,68.46,68.68,5748076.650401
2026-05-21,65.28,67.73,65.25,67.07,7865666.714674
2026-05-22,67.0,67.4,66.37,67.25,5117430.216905
2026-05-26,66.2,66.425,64.47,64.55,9242357.294109
2026-05-27,64.78,65.79,64.64,64.69,5611963.271022
2026-05-28,65.09,65.51,63.23,63.66,6895848.583858
2026-05-29,63.52,63.73,61.73,62.15,12761488.578538
2026-06-01,62.6,62.9999,61.39,61.52,8256420.00198
2026-06-02,61.95,62.25,61.35,61.56,7847696.050044
2026-06-03,61.36,61.89,61.005,61.23,6977229.390281
2026-06-04,62.15,62.84,61.81,62.24,7748493.741607
2026-06-05,62.7,64.2,62.7,63.57,8814737.130275
2026-06-08,62.75,63.6,62.48,62.96,6921271.060944
2026-06-09,62.71,64.3,62.1,62.99,8918480.793159
2026-06-10,63.86,64.86,62.96,64.46,9302768.831721
2026-06-11,64.22,65.04,63.59,64.12,7227281.300523
2026-06-12,64.06,64.76,64.02,64.71,5040470.814574
2026-06-15,63.82,64.98,63.783,64.06,7603710.514983
2026-06-16,64.07,64.48,62.94,64.13,7047075.454576
2026-06-17,64.06,64.06,61.27,61.82,13075022.050516
2026-06-18,59.42,59.59,56.32,56.61,26704549.055813
2026-06-22,56.55,57.65,55.595,55.76,13199906.747537
