date,open,high,low,close,volume
2025-04-24,224.0,228.67,222.3796,228.58,844950.0
2025-04-25,228.03,229.24,226.5,228.31,907300.0
2025-04-28,229.35,231.0145,227.12,229.6,983768.0
2025-04-29,221.86,241.95,218.76,240.42,2268353.0
2025-04-30,239.32,241.496,234.155,241.01,987067.0
2025-05-01,238.36,243.12,235.805,241.28,837261.0
2025-05-02,244.48,248.72,243.325,247.66,854929.0
2025-05-05,247.63,249.32,245.954,246.82,677668.0
2025-05-06,245.05,246.89,243.34,243.92,702870.0
2025-05-07,244.27,248.43,244.27,245.9,741473.0
2025-05-08,247.13,252.68,246.34,248.76,963475.0
2025-05-09,249.4,249.69,245.45,245.73,583399.0
2025-05-12,248.73,251.34,245.67,250.94,956294.0
2025-05-13,249.7,251.84,248.98,250.01,817236.0
2025-05-14,249.5,249.5,242.17,242.37,731948.0
2025-05-15,242.1,246.44,239.67,246.27,751985.0
2025-05-16,246.88,249.82,244.99,249.52,560713.0
2025-05-19,247.36,249.93,246.8,249.8,772774.0
2025-05-20,249.15,251.668,248.855,250.8,604154.0
2025-05-21,247.83,248.655,241.09,241.34,916630.0
2025-05-22,240.79,243.3,239.83,241.89,596482.0
2025-05-23,240.73,242.8,239.75,242.53,503834.0
2025-05-27,245.66,248.63,244.7,247.69,665226.0
2025-05-28,247.24,248.625,246.375,247.03,519334.0
2025-05-29,247.34,248.2,245.25,246.75,539315.0
2025-05-30,246.7,249.45,245.865,248.97,1186082.0
2025-06-02,248.11,248.85,243.71,247.85,415565.0
2025-06-03,247.15,250.77,245.31,250.51,684371.0
2025-06-04,251.35,254.85,250.52,254.37,892607.0
2025-06-05,254.44,254.63,251.98,252.15,704304.0
2025-06-06,253.4,254.08,251.51,253.97,442869.0
2025-06-09,254.87,256.7581,250.41,255.73,525807.0
2025-06-10,255.88,259.47,255.01,259.37,803917.0
2025-06-11,260.0,262.125,258.66,259.95,554190.0
2025-06-12,259.55,261.79,257.62,261.65,452692.0
2025-06-13,259.64,263.6,257.71,261.12,555287.0
2025-06-16,261.77,264.03,259.19,263.96,652880.0
2025-06-17,262.19,262.99,259.03,259.45,659776.0
2025-06-18,259.53,263.51,258.39,261.39,597377.0
2025-06-20,262.53,263.15,260.635,261.88,1095280.0
2025-06-23,260.7,262.64,258.49,261.04,747212.0
2025-06-24,261.81,263.5,258.7,262.53,664003.0
2025-06-25,261.73,261.73,257.72,258.7,561005.0
2025-06-26,260.25,261.125,254.84,256.98,931508.0
2025-06-27,257.84,262.32,255.515,260.59,1016405.0
2025-06-30,260.75,262.975,259.85,262.51,689096.0
2025-07-01,261.55,265.7212,261.03,264.26,880104.0
2025-07-02,262.18,262.27,258.72,260.0,611601.0
2025-07-03,260.13,262.495,260.13,261.89,271298.0
2025-07-07,261.81,261.81,256.7,257.87,555608.0
2025-07-08,257.56,259.67,256.645,257.45,654647.0
2025-07-09,260.01,260.01,256.85,259.07,527574.0
2025-07-10,255.1,259.47,252.055,253.63,1375797.0
2025-07-11,252.13,252.895,247.63,249.62,1139598.0
2025-07-14,249.5,251.84,248.58,249.8,1033313.0
2025-07-15,249.8,250.41,245.19,245.65,872514.0
2025-07-16,245.65,246.66,244.1,245.98,605448.0
2025-07-17,245.2,247.98,244.45,247.24,645080.0
2025-07-18,247.82,249.21,242.8,243.72,573383.0
2025-07-21,243.72,245.06,241.81,243.04,644007.0
2025-07-22,245.54,254.96,244.93,252.07,1008003.0
2025-07-23,254.03,256.175,248.555,250.51,1329297.0
2025-07-24,266.63,283.47,259.99,267.69,2383294.0
2025-07-25,268.04,268.585,259.355,264.96,1152370.0
2025-07-28,262.88,263.85,259.795,261.88,756098.0
2025-07-29,261.85,263.77,260.16,261.72,527499.0
2025-07-30,259.93,265.69,259.38,263.91,594661.0
2025-07-31,260.99,263.13,258.76,260.08,654953.0
2025-08-01,259.59,261.87,256.685,261.5,652995.0
2025-08-04,261.23,265.82,261.08,263.85,566266.0
2025-08-05,263.59,264.175,260.15,263.48,494675.0
2025-08-06,262.9,264.33,259.83,260.85,527502.0
2025-08-07,261.87,262.46,258.36,259.96,566752.0
2025-08-08,259.82,266.785,259.52,265.85,555186.0
2025-08-11,266.78,268.59,266.78,267.67,522295.0
2025-08-12,267.17,271.21,267.17,269.31,413560.0
2025-08-13,269.56,272.66,268.0199,272.54,532062.0
2025-08-14,271.95,272.39,269.16,271.25,335505.0
2025-08-15,272.22,272.22,269.58,270.38,370005.0
2025-08-18,271.06,271.675,269.68,270.49,595590.0
2025-08-19,270.49,277.81,270.245,275.77,837356.0
2025-08-20,276.3,278.925,275.27,278.1,702078.0
2025-08-21,276.89,279.12,275.61,276.56,384680.0
2025-08-22,277.9,280.28,277.27,278.18,483080.0
2025-08-25,277.95,277.95,275.64,276.11,320774.0
2025-08-26,276.12,279.265,274.97,278.45,449090.0
2025-08-27,279.11,280.0,277.855,279.3,330577.0
2025-08-28,277.9,278.38,274.15,275.29,298517.0
2025-08-29,275.92,278.485,274.94,277.99,379936.0
2025-09-02,275.97,277.47,273.6,273.78,653738.0
2025-09-03,272.56,274.9899,271.18,273.84,383625.0
2025-09-04,275.18,275.49,272.38,275.23,321896.0
2025-09-05,275.23,279.03,273.94,278.67,279742.0
2025-09-08,278.36,278.96,273.28,277.21,669223.0
2025-09-09,277.5,279.0,275.015,278.11,404827.0
2025-09-10,277.44,277.565,272.48,272.94,462711.0
2025-09-11,273.89,281.685,270.0,279.72,368443.0
2025-09-12,278.85,280.84,277.715,277.95,347155.0
2025-09-15,277.46,278.04,274.25,275.4,426990.0
2025-09-16,275.4,277.0,273.875,274.09,410902.0
2025-09-17,274.09,278.44,273.53,276.07,399620.0
2025-09-18,274.22,278.625,274.22,277.15,412621.0
2025-09-19,277.68,278.53,276.04,277.27,1064765.0
2025-09-22,276.03,279.75,275.06,278.9,540557.0
2025-09-23,278.9,283.47,278.765,279.94,471746.0
2025-09-24,279.85,282.22,278.455,279.35,366550.0
2025-09-25,277.94,279.23,274.08,276.14,402071.0
2025-09-26,278.14,281.8275,276.69,280.61,403800.0
2025-09-29,280.61,283.4675,279.195,282.75,447238.0
2025-09-30,284.88,288.36,282.86,287.06,612096.0
2025-10-01,287.42,289.195,278.97,279.06,1036778.0
2025-10-02,277.84,280.0,275.27,279.44,549956.0
2025-10-03,279.96,281.2,276.23,276.94,716025.0
2025-10-06,277.26,277.29,273.45,275.05,748175.0
2025-10-07,276.21,283.69,274.288,279.62,634389.0
2025-10-08,279.26,280.16,275.175,277.51,575374.0
2025-10-09,278.05,280.6,277.3032,277.78,478639.0
2025-10-10,278.19,283.08,275.88,277.88,420747.0
2025-10-13,276.56,280.0,276.06,276.64,383653.0
2025-10-14,276.0,280.83,276.0,279.78,330957.0
2025-10-15,278.93,283.54,278.7351,282.75,410957.0
