date,open,high,low,close,volume
2025-04-10,212.51,218.21,208.4016,213.51,2745695.0
2025-04-11,220.0,223.215,215.07,222.03,2245393.0
2025-04-14,221.64,224.11,219.031,222.69,1266825.0
2025-04-15,223.11,224.19,220.63,220.95,1262044.0
2025-04-16,222.27,222.89,218.4804,218.88,1165305.0
2025-04-17,215.92,220.04,214.64,218.22,1411631.0
2025-04-21,217.15,217.87,211.38,214.12,1583465.0
2025-04-22,214.2,217.22,211.41,215.08,1751012.0
2025-04-23,215.82,218.8,214.64,216.31,1813718.0
2025-04-24,216.06,219.46,208.1101,216.27,1946762.0
2025-04-25,217.72,218.145,214.35,216.08,1637127.0
2025-04-28,218.13,220.0,216.65,218.76,1256027.0
2025-04-29,218.11,222.29,217.49,221.23,1273465.0
2025-04-30,221.5,221.75,217.9,220.02,1060556.0
2025-05-01,219.72,221.03,217.5001,219.91,882557.0
2025-05-02,223.32,226.7899,214.41,219.75,2282329.0
2025-05-05,220.0,220.75,218.08,218.62,827780.0
2025-05-06,216.69,217.95,214.345,216.19,1227725.0
2025-05-07,215.39,219.91,214.52,218.0,1527122.0
2025-05-08,220.05,220.96,216.665,218.39,1059777.0
2025-05-09,219.3,220.12,216.58,219.39,983161.0
2025-05-12,221.71,221.96,215.17,218.96,1209987.0
2025-05-13,218.8,219.73,217.4225,218.37,1075741.0
2025-05-14,218.6,220.105,214.1,219.65,1674282.0
2025-05-15,221.88,227.14,220.865,226.86,1626525.0
2025-05-16,228.11,230.47,226.47,230.2,1577113.0
2025-05-19,230.15,231.795,229.53,230.97,1286611.0
2025-05-20,230.02,232.0,229.1,230.82,1046748.0
2025-05-21,241.7,241.7,231.35,232.59,2701831.0
2025-05-22,233.0,240.87,232.73,239.19,3696602.0
2025-05-23,237.0,238.46,235.719,237.49,2359801.0
2025-05-27,240.1,248.47,238.17,247.9,2773709.0
2025-05-28,248.73,249.125,242.55,244.37,2804939.0
2025-05-29,242.19,243.92,241.11,243.42,2080409.0
2025-05-30,244.72,245.1,241.77,244.34,2784778.0
2025-06-02,244.83,244.83,240.85,243.16,1339497.0
2025-06-03,242.0,243.6,240.51,243.19,1212469.0
2025-06-04,244.0,244.55,241.98,242.31,804084.0
2025-06-05,243.28,243.49,240.63,242.06,1136599.0
2025-06-06,243.0,244.38,241.81,244.27,796055.0
2025-06-09,244.62,246.0,242.33,245.41,1067479.0
2025-06-10,246.13,246.233,243.54,244.79,927201.0
2025-06-11,243.57,247.06,237.56,246.67,1560353.0
2025-06-12,246.24,250.42,245.04,250.39,1336183.0
2025-06-13,252.9,257.79,252.06,256.99,3051107.0
2025-06-16,256.0,256.358,246.79,247.77,1832391.0
2025-06-17,249.27,251.5,247.04,250.86,1371322.0
2025-06-18,251.0,253.897,248.385,248.83,1280420.0
2025-06-20,250.31,251.88,246.19,249.67,1636538.0
2025-06-23,251.51,254.8871,249.67,251.11,1193705.0
2025-06-24,249.0,249.75,243.84,246.65,1188698.0
2025-06-25,247.75,248.6,245.5151,247.87,963925.0
2025-06-26,248.0,249.6,246.1,246.8,1956701.0
2025-06-27,245.52,248.1044,245.12,246.98,2158902.0
2025-06-30,247.63,251.28,247.0,250.84,1110945.0
2025-07-01,250.75,252.92,249.01,252.18,958475.0
2025-07-02,250.72,253.71,249.11,253.56,883987.0
2025-07-03,253.84,256.57,253.77,255.73,575399.0
2025-07-07,256.35,258.01,250.0171,256.43,1263350.0
2025-07-08,254.7,257.61,254.12,257.09,1233480.0
2025-07-09,258.14,259.45,256.013,259.05,936127.0
2025-07-10,258.03,260.87,256.51,260.1,1158741.0
2025-07-11,261.14,261.14,258.076,259.55,954637.0
2025-07-14,259.24,262.84,257.35,262.31,963121.0
2025-07-15,262.04,262.63,260.06,261.17,1013036.0
2025-07-16,261.55,264.11,260.77,263.66,1109891.0
2025-07-17,263.97,266.82,263.51,265.51,1469900.0
2025-07-18,265.99,267.57,263.16,264.77,1442088.0
2025-07-21,265.06,266.08,262.4765,263.09,943002.0
2025-07-22,261.39,264.96,260.2241,264.42,1599891.0
2025-07-23,264.17,270.15,263.68,269.6,2155848.0
2025-07-24,275.5,280.03,272.72,273.22,3422939.0
2025-07-25,270.0,271.6927,262.98,269.28,1965702.0
2025-07-28,270.6,270.8899,267.7524,269.47,1216454.0
2025-07-29,271.225,272.35,269.84,272.31,931117.0
2025-07-30,273.96,275.72,271.61,274.12,954793.0
2025-07-31,274.35,275.72,273.345,274.82,1308251.0
2025-08-01,275.0,278.95,271.0,278.26,1413814.0
2025-08-04,278.23,280.48,276.74,278.06,1097332.0
2025-08-05,277.15,280.52,276.61,278.22,791693.0
2025-08-06,278.46,280.47,276.67,276.88,1294870.0
2025-08-07,274.32,275.92,270.85,273.81,2101046.0
2025-08-08,273.73,275.39,269.14,269.72,1639202.0
2025-08-11,269.77,270.62,267.25,270.32,996610.0
2025-08-12,268.04,271.0,268.04,270.21,1023177.0
2025-08-13,271.13,272.68,268.54,270.22,1502464.0
2025-08-14,270.93,273.095,269.92,271.05,984723.0
2025-08-15,270.69,271.725,269.21,270.55,1178125.0
2025-08-18,271.36,273.21,270.85,271.92,1118646.0
2025-08-19,271.37,273.67,270.805,272.23,990580.0
2025-08-20,273.3,276.8913,272.1,276.15,851359.0
2025-08-21,275.84,276.75,274.84,276.11,908576.0
2025-08-22,277.55,279.155,274.945,275.77,755000.0
2025-08-25,276.23,277.905,275.37,276.17,704769.0
2025-08-26,277.12,278.25,275.0,277.66,1543054.0
2025-08-27,277.98,279.02,275.48,276.76,741404.0
2025-08-28,276.25,277.28,275.0401,277.04,759351.0
2025-08-29,277.69,278.39,275.5358,277.62,1266431.0
2025-09-02,277.57,277.95,274.805,275.12,1529629.0
2025-09-03,275.25,275.6994,271.6394,273.11,1119661.0
2025-09-04,273.36,274.25,272.31,272.99,1084556.0
2025-09-05,272.3,273.105,269.02,272.39,1071964.0
2025-09-08,271.71,274.6988,269.26,273.89,1194509.0
2025-09-09,272.96,273.315,268.6,270.71,1092211.0
2025-09-10,270.64,275.67,269.855,275.64,951792.0
2025-09-11,275.82,280.69,274.34,280.63,948527.0
2025-09-12,280.71,281.675,278.35,279.2,800785.0
2025-09-15,278.81,282.22,278.465,281.89,783672.0
2025-09-16,283.63,286.81,282.26,284.27,1332859.0
2025-09-17,284.16,286.01,281.31,281.86,732610.0
2025-09-18,279.8,283.28,278.48,282.73,664827.0
2025-09-19,283.73,284.46,281.7528,283.94,1316080.0
2025-09-22,284.0,285.03,281.49,284.32,785566.0
2025-09-23,285.34,288.02,284.17,286.19,760419.0
2025-09-24,287.78,288.23,283.835,284.0,965348.0
2025-09-25,286.59,290.9,286.0,289.24,1198931.0
2025-09-26,290.84,293.94,289.68,293.56,1147047.0
2025-09-29,297.83,298.4,294.77,296.95,1230456.0
2025-09-30,297.56,305.94,297.56,305.41,1332757.0
2025-10-01,303.85,304.305,298.18,300.47,1423988.0
2025-10-02,299.95,301.295,295.62,296.1,1099369.0
2025-10-03,297.09,299.781,295.45,297.39,643307.0
2025-10-06,297.29,303.125,296.6,303.01,819155.0
2025-10-07,303.32,304.05,298.75,301.43,866926.0
2025-10-08,303.0,306.83,301.95,306.76,1097220.0
2025-10-09,307.0,308.12,296.93,298.2,1607807.0
2025-10-10,298.76,299.485,292.14,292.34,1341187.0
2025-10-13,291.38,294.45,290.71,293.42,801699.0
2025-10-14,292.82,300.615,292.49,299.99,842080.0
2025-10-15,300.165,301.99,283.64,289.72,1464600.0
2025-10-16,290.29,290.98,284.09,284.29,1220557.0
2025-10-17,284.2,285.1,282.27,283.87,887316.0
2025-10-20,286.26,291.645,285.97,290.56,723744.0
2025-10-21,290.4,293.82,288.55,292.3,982382.0
2025-10-22,292.3,293.5,288.72,288.97,1099354.0
2025-10-23,290.15,294.2,290.15,293.28,643874.0
2025-10-24,295.68,296.3,292.57,293.2,803890.0
2025-10-27,293.56,294.94,290.31,291.14,1057254.0
2025-10-28,290.69,291.9399,287.07,287.38,970979.0
2025-10-29,287.3,289.565,285.44,286.87,1027044.0
2025-10-30,284.08,305.1575,282.39,295.9,2546971.0
2025-10-31,293.99,294.74,287.93,289.1,2165601.0
2025-11-03,289.6,289.9,285.95,288.59,1007830.0
2025-11-04,287.83,291.88,285.7825,291.12,1098929.0
2025-11-05,288.77,291.9004,287.02,287.1,898602.0
2025-11-06,287.17,288.29,284.8,285.02,631929.0
2025-11-07,286.27,292.51,284.235,290.66,928629.0
2025-11-10,290.35,297.859,290.3,297.0,1462188.0
2025-11-11,296.9,302.56,296.0,301.68,1512041.0
2025-11-12,301.155,302.94,298.21,300.24,1604410.0
2025-11-13,301.05,301.7244,287.51,288.37,1513064.0
2025-11-14,284.77,289.842,283.22,289.39,1238994.0
2025-11-17,290.01,291.5,287.23,287.69,829661.0
2025-11-18,287.99,288.64,284.47,285.44,908067.0
2025-11-19,284.17,286.755,282.5,285.25,965771.0
2025-11-20,288.69,291.05,282.57,284.22,1026498.0
2025-11-21,284.55,284.55,277.09,277.78,1694869.0
2025-11-24,276.0,276.78,273.04,275.4,2080927.0
2025-11-25,275.67,277.21,273.93,276.33,1602068.0
2025-11-26,276.96,277.93,275.56,276.14,856978.0
2025-11-28,276.26,279.0199,275.85,278.69,477083.0
2025-12-01,276.14,277.36,272.14,272.32,1137741.0
2025-12-02,273.58,276.29,272.94,273.97,1062542.0
2025-12-03,274.17,277.8,272.23,277.74,916294.0
2025-12-04,278.15,283.65,277.605,280.51,1222914.0
2025-12-05,279.31,280.22,275.28,278.5,710973.0
2025-12-08,279.13,281.75,277.1,281.65,1196336.0
2025-12-09,282.12,285.2,277.19,277.37,1009622.0
2025-12-10,277.12,289.44,276.11,285.94,1368609.0
2025-12-11,286.94,292.455,286.35,289.86,1106751.0
2025-12-12,292.61,292.89,286.59,286.95,1317645.0
2025-12-15,287.45,289.37,286.86,288.53,902450.0
2025-12-16,290.51,290.635,281.56,282.85,1149600.0
2025-12-17,279.045,282.8,277.57,278.72,1262805.0
2025-12-18,280.19,284.4,280.18,282.72,1124851.0
2025-12-19,283.8,289.71,283.5523,287.45,1487935.0
2025-12-22,288.15,295.21,287.45,295.1,919303.0
2025-12-23,295.48,298.78,294.44,297.83,1051622.0
2025-12-24,297.82,299.83,297.82,298.14,363261.0
2025-12-26,297.81,298.97,295.32,296.77,466375.0
2025-12-29,296.77,298.04,295.37,295.93,417265.0
2025-12-30,296.3,296.57,295.0,295.47,416567.0
2025-12-31,295.43,296.425,293.51,293.57,522878.0
2026-01-02,294.0,304.55,291.0107,304.48,934649.0
2026-01-05,307.39,315.06,307.15,311.38,1294317.0
2026-01-06,311.68,316.86,311.66,314.47,1105253.0
2026-01-07,317.995,321.515,308.89,309.76,2215097.0
2026-01-08,332.93,336.65,322.95,325.74,3545119.0
2026-01-09,327.5,338.23,327.25,335.77,1895296.0
2026-01-12,338.93,341.815,338.0,340.68,1443168.0
2026-01-13,361.59,361.59,335.2,341.24,4739031.0
