date,open,high,low,close,volume
2025-04-24,55.285,59.195,55.0,58.77,2235980.0
2025-04-25,58.82,61.1,57.88,60.0,1466997.0
2025-04-28,59.58,60.76,58.86,60.08,1771308.0
2025-04-29,59.76,60.82,59.24,59.96,1048005.0
2025-04-30,57.49,59.25,56.8,59.04,1611212.0
2025-05-01,61.865,64.41,61.45,61.52,2560469.0
2025-05-02,63.35,64.59,62.305,62.86,2509471.0
2025-05-05,61.49,63.83,61.49,63.17,1819982.0
2025-05-06,60.87,64.6,60.5,64.42,4884607.0
2025-05-07,66.17,67.06,60.38,66.24,5554591.0
2025-05-08,67.815,68.25,64.89,65.66,4051990.0
2025-05-09,66.07,66.83,63.98,64.87,2324314.0
2025-05-12,70.75,72.15,69.26,71.73,3730073.0
2025-05-13,71.8,75.25,71.375,74.51,2888007.0
2025-05-14,74.94,78.6,74.82,78.29,4938323.0
2025-05-15,76.87,79.0,76.55,77.76,2523974.0
2025-05-16,77.98,78.93,75.76,77.95,2352670.0
2025-05-19,75.88,77.95,75.75,77.87,1178277.0
2025-05-20,77.02,77.43,76.28,77.11,1028381.0
2025-05-21,76.93,78.49,75.18,75.95,1718973.0
2025-05-22,75.7,76.9,75.29,75.88,1237269.0
2025-05-23,73.89,75.9,73.59,75.77,1133215.0
2025-05-27,77.395,79.68,76.68,78.37,1438625.0
2025-05-28,78.64,79.2,76.875,77.9,1531254.0
2025-05-29,80.0,80.0,75.12,75.41,1750124.0
2025-05-30,74.06,74.49,71.04,72.28,3313876.0
2025-06-02,73.0,76.26,72.29,75.86,1800604.0
2025-06-03,76.12,79.35,75.62,77.65,1851083.0
2025-06-04,83.755,84.0389,79.495,80.28,4865066.0
2025-06-05,82.01,84.99,81.1045,81.64,3464178.0
2025-06-06,83.0,83.45,80.435,81.46,1694845.0
2025-06-09,82.27,83.37,80.6645,82.11,1273953.0
2025-06-10,83.74,83.74,80.39,81.96,2069118.0
2025-06-11,83.67,84.2,81.04,82.36,1799952.0
2025-06-12,82.35,86.42,82.0,85.5,1997168.0
2025-06-13,83.2,84.5,81.93,82.465,1667313.0
2025-06-16,83.42,88.21,83.42,85.78,2361119.0
2025-06-17,84.64,87.13,83.59,86.345,1870621.0
2025-06-18,87.35,90.2,86.5746,88.46,2434918.0
2025-06-20,90.345,90.65,88.0818,89.66,2105111.0
2025-06-23,88.88,89.89,86.63,89.16,1537467.0
2025-06-24,90.26,92.525,89.61,91.81,2091108.0
2025-06-25,92.93,93.36,91.225,91.77,1381456.0
2025-06-26,92.53,94.94,92.4,94.71,1709082.0
2025-06-27,94.695,95.4299,92.77,94.75,2785251.0
2025-06-30,95.0,96.68,94.26,95.06,2980461.0
2025-07-01,92.97,93.61,88.74,91.49,2937934.0
2025-07-02,90.14,91.29,88.37,91.24,3004630.0
2025-07-03,91.14,93.675,90.965,92.75,1019464.0
2025-07-07,91.66,92.475,89.82,91.08,1561252.0
2025-07-08,92.9,94.08,90.66,91.31,1714750.0
2025-07-09,91.46,91.765,89.016,90.44,2333878.0
2025-07-10,90.795,92.78,88.93,92.62,2149321.0
2025-07-11,92.19,94.15,91.925,92.99,1403220.0
2025-07-14,92.75,93.86,90.98,92.24,1840776.0
2025-07-15,95.85,98.55,94.321,98.14,3303475.0
2025-07-16,98.1,99.68,95.18,99.63,2048955.0
2025-07-17,99.63,103.02,99.29,102.64,2921879.0
2025-07-18,103.49,103.9,100.41,102.22,1800633.0
2025-07-21,102.22,105.47,100.53,103.84,3612152.0
2025-07-22,103.13,103.48,97.5514,99.63,3131157.0
2025-07-23,101.6696,104.61,99.92,102.13,2827329.0
2025-07-24,102.52,103.65,101.8,102.85,1186609.0
2025-07-25,102.88,104.63,101.22,104.52,914468.0
2025-07-28,105.02,107.24,104.5,107.17,1264754.0
2025-07-29,109.38,112.1,108.01,109.48,2399239.0
2025-07-30,109.4,111.24,107.89,109.85,1927893.0
2025-07-31,110.64,114.1199,109.65,110.08,2170740.0
2025-08-01,103.84,108.45,101.61,106.68,2431726.0
2025-08-04,108.795,111.2,107.02,111.13,1427835.0
2025-08-05,111.73,111.99,106.16,108.15,1648276.0
2025-08-06,109.575,110.92,108.34,110.01,2283391.0
2025-08-07,111.0,113.0,108.71,111.13,1339204.0
2025-08-08,112.8,116.35,112.19,116.27,2694616.0
2025-08-11,116.69,119.41,114.01,115.03,4315472.0
2025-08-12,116.195,120.3,116.03,119.66,5893958.0
2025-08-13,123.3,129.98,117.9301,120.23,9253184.0
2025-08-14,117.31,121.99,112.56,114.62,5323980.0
2025-08-15,113.61,116.5,112.2,115.86,3165255.0
2025-08-18,116.45,119.17,115.0,118.98,2973913.0
2025-08-19,117.6,119.13,115.42,117.96,3167530.0
2025-08-20,115.14,116.59,111.2,115.89,3361655.0
2025-08-21,115.89,117.8366,115.205,117.43,1867729.0
2025-08-22,116.835,121.99,115.89,119.34,2679832.0
2025-08-25,120.0,125.4,119.25,123.42,2887583.0
2025-08-26,124.39,127.0299,123.5,124.62,3018816.0
2025-08-27,124.86,128.21,123.7785,125.84,2972175.0
2025-08-28,128.25,137.08,127.11,135.55,6643922.0
2025-08-29,136.46,137.1,131.18,132.81,2842694.0
2025-09-02,127.87,132.88,125.0,132.555,2671632.0
2025-09-03,132.34,135.25,130.97,134.12,5218999.0
2025-09-04,137.0,142.01,133.91,141.91,8464834.0
2025-09-05,149.5,152.27,144.2,149.46,6409743.0
