date,open,high,low,close,volume
2025-04-10,460.0,469.1,450.38,463.7,1832891.0
2025-04-11,464.33,478.175,460.32,474.9,1452289.0
2025-04-14,472.8,478.75,467.5941,475.34,1079637.0
2025-04-15,474.27,475.34,468.0,469.58,1224466.0
2025-04-16,477.33,482.8156,474.53,477.08,1530125.0
2025-04-17,461.64,469.6699,448.39,464.08,3052804.0
2025-04-21,459.26,463.23,452.79,458.33,1532920.0
2025-04-22,458.05,470.77,442.35,462.08,2877958.0
2025-04-23,467.0,471.39,457.6533,463.55,1352902.0
2025-04-24,465.77,467.59,460.16,466.81,1105038.0
2025-04-25,469.985,478.46,467.9,477.64,1521687.0
2025-04-28,479.31,483.79,474.29,476.29,1159942.0
2025-04-29,475.98,479.3,473.3501,475.88,897221.0
2025-04-30,478.27,478.61,471.13,477.75,1095139.0
2025-05-01,476.0,479.45,473.0001,477.72,986353.0
2025-05-02,484.75,491.07,467.51,472.8,2090480.0
2025-05-05,474.0,474.49,469.34,471.56,1150283.0
2025-05-06,469.77,471.16,463.46,468.21,1135393.0
2025-05-07,468.4,474.9,467.06,471.32,1204634.0
2025-05-08,473.0,479.0,471.73,474.53,1093134.0
2025-05-09,475.27,476.625,468.08,473.52,979219.0
2025-05-12,473.5,475.685,465.775,473.16,1364863.0
2025-05-13,472.81,472.81,459.135,459.83,1859414.0
2025-05-14,460.84,461.8,445.06,449.18,2129688.0
2025-05-15,458.97,465.41,455.0311,465.14,1758661.0
2025-05-16,466.21,468.49,462.66,468.32,1319203.0
2025-05-19,469.41,474.4399,467.78,473.06,1200022.0
2025-05-20,471.23,477.095,470.89,475.82,1058518.0
2025-05-21,480.835,480.93,470.05,470.28,1435110.0
2025-05-22,468.79,472.87,467.12,470.45,885138.0
2025-05-23,467.96,469.55,465.56,468.88,866694.0
2025-05-27,470.8,476.85,468.655,476.85,1548007.0
2025-05-28,477.54,478.975,469.0,469.98,956931.0
2025-05-29,467.93,474.56,465.32,473.69,851603.0
2025-05-30,473.67,482.38,471.06,482.38,2196347.0
2025-06-02,478.26,479.73,474.0,478.82,1154508.0
2025-06-03,479.0,481.125,476.54,480.17,1032298.0
2025-06-04,481.99,486.86,481.685,482.21,1274033.0
2025-06-05,484.37,485.13,471.75,478.03,1063462.0
2025-06-06,477.805,481.96,476.9666,481.69,714571.0
2025-06-09,480.28,482.84,476.62,480.83,1064298.0
2025-06-10,480.0,481.65,475.64,476.9,1150649.0
2025-06-11,464.15,464.15,443.409,456.6,3618239.0
2025-06-12,457.31,469.27,456.5,469.27,1700596.0
2025-06-13,478.97,488.3,473.35,486.45,2729692.0
2025-06-16,482.01,482.73,464.5224,467.06,2766611.0
2025-06-17,470.76,481.5844,467.5,479.34,2191204.0
2025-06-18,478.45,482.36,467.96,468.6,1871162.0
2025-06-20,469.0,474.31,461.11,470.56,2419367.0
2025-06-23,472.93,482.37,468.53,472.46,2666358.0
2025-06-24,467.85,468.7,457.68,460.2,1970232.0
2025-06-25,464.21,464.88,456.5,458.39,1265509.0
2025-06-26,459.31,464.072,456.635,457.9,1590105.0
2025-06-27,455.64,459.18,451.46,458.59,1996362.0
2025-06-30,459.45,463.82,457.875,463.14,1205616.0
2025-07-01,463.0,469.44,460.0,465.94,1242775.0
2025-07-02,466.0,466.925,458.61,462.55,1127591.0
2025-07-03,463.71,465.35,460.97,462.52,707859.0
2025-07-07,464.5,470.5499,461.37,469.06,1224120.0
2025-07-08,464.2,466.6236,460.65,463.01,1242958.0
2025-07-09,465.38,465.9855,460.205,463.06,892696.0
2025-07-10,458.68,466.48,456.0,464.31,1255293.0
2025-07-11,464.75,468.21,461.82,467.51,1209186.0
2025-07-14,470.0,474.76,468.0,473.57,1488005.0
2025-07-15,473.29,473.94,468.51,470.12,1039511.0
2025-07-16,469.67,472.6,466.4106,471.47,935241.0
2025-07-17,470.5,474.4,467.71,469.2,926150.0
2025-07-18,469.22,471.21,460.97,463.96,1845269.0
2025-07-21,464.64,467.36,460.53,460.53,1577788.0
2025-07-22,422.75,437.45,410.11,410.74,8886507.0
2025-07-23,413.755,423.37,411.0,419.39,4578552.0
2025-07-24,421.0,426.8838,420.13,420.55,3083942.0
2025-07-25,421.54,425.67,418.51,421.17,2461751.0
2025-07-28,425.9,428.86,421.17,421.34,2423723.0
2025-07-29,422.74,423.65,417.35,420.13,2428781.0
2025-07-30,420.13,422.8,417.15,418.68,1632102.0
2025-07-31,417.13,422.5847,412.5501,420.98,2178023.0
2025-08-01,420.76,423.96,417.0,421.01,2006314.0
2025-08-04,420.0,424.6,419.0,423.7,1548178.0
2025-08-05,423.33,430.07,421.86,428.24,1643922.0
2025-08-06,427.765,436.62,427.6601,434.85,2032345.0
2025-08-07,430.43,434.85,428.05,430.75,1490332.0
2025-08-08,431.19,433.59,423.91,425.63,1478047.0
2025-08-11,426.0,427.82,424.12,426.26,1462070.0
2025-08-12,425.92,431.59,425.0,431.56,1493389.0
2025-08-13,432.52,443.45,431.42,442.57,1890577.0
2025-08-14,436.04,443.9,434.84,437.32,1733619.0
2025-08-15,437.84,441.425,436.46,437.56,1501663.0
2025-08-18,440.55,443.77,439.12,440.64,1154395.0
2025-08-19,439.86,444.5,438.6,441.1,1248122.0
2025-08-20,440.14,447.08,440.14,446.0,1282792.0
2025-08-21,444.99,448.49,444.7,447.2,1026288.0
2025-08-22,449.99,452.56,444.8601,446.2,1890334.0
2025-08-25,447.07,448.75,445.1,447.72,985189.0
2025-08-26,450.52,456.37,447.0,455.46,2051502.0
2025-08-27,456.87,459.47,454.0,454.47,1294214.0
2025-08-28,453.87,456.55,450.36,456.18,1386030.0
2025-08-29,457.52,459.9,454.875,455.63,1373187.0
