date,open,high,low,close,volume
2025-04-24,58.01,59.66,57.57,59.25,3932153.0
2025-04-25,57.55,59.88,57.155,59.44,4638648.0
2025-04-28,59.8,60.8505,58.06,58.72,4556694.0
2025-04-29,58.2,58.96,57.78,58.83,4035147.0
2025-04-30,57.7,58.33,57.19,58.21,3434498.0
2025-05-01,58.07,59.04,57.84,58.31,3638904.0
2025-05-02,58.93,59.46,58.09,58.38,3085283.0
2025-05-05,57.4,58.15,56.1,56.21,3800937.0
2025-05-06,56.1,56.84,55.8,55.89,3071523.0
2025-05-07,56.35,56.35,55.16,55.61,3232532.0
2025-05-08,56.23,58.26,56.06,57.22,2816284.0
2025-05-09,57.64,58.47,56.71,56.93,3749560.0
2025-05-12,60.63,62.545,60.4999,60.68,4294159.0
2025-05-13,60.6,61.2,59.95,60.34,3191061.0
2025-05-14,60.04,60.155,58.78,59.17,3996457.0
2025-05-15,58.33,58.69,57.64,58.42,3317550.0
2025-05-16,58.43,59.885,57.9,59.77,6188440.0
2025-05-19,58.78,59.35,58.21,59.18,2767035.0
2025-05-20,59.14,59.36,58.25,58.52,2633128.0
2025-05-21,58.18,58.255,56.52,56.55,3405038.0
2025-05-22,56.23,56.66,55.5275,56.33,2617664.0
2025-05-23,55.785,56.23,55.3,56.13,3017388.0
2025-05-27,57.41,58.1,57.15,57.97,4326774.0
2025-05-28,58.2,58.63,56.985,57.07,5112670.0
2025-05-29,57.93,58.36,56.72,57.61,4588595.0
2025-05-30,56.75,57.3,55.95,56.49,5855729.0
2025-06-02,55.14,55.17,53.91,54.44,5028695.0
2025-06-03,54.44,56.07,53.16,55.7,4052983.0
2025-06-04,55.56,56.09,55.43,56.01,3303416.0
2025-06-05,56.49,56.61,55.45,55.6,3808158.0
2025-06-06,56.38,56.94,55.93,56.54,3664016.0
2025-06-09,57.3,59.31,57.15,58.48,6676775.0
2025-06-10,59.34,61.25,59.01,60.58,7669340.0
2025-06-11,61.09,61.22,60.305,61.12,4614166.0
2025-06-12,60.33,60.76,59.77,60.13,4090911.0
2025-06-13,60.05,61.69,59.8,60.1,5099479.0
2025-06-16,60.83,61.295,60.025,61.22,4002221.0
2025-06-17,60.98,61.3937,59.52,59.59,3986588.0
2025-06-18,59.57,59.9,58.58,58.64,4149347.0
2025-06-20,58.98,59.12,57.735,58.34,7968790.0
2025-06-23,58.01,58.48,56.72,57.34,4190157.0
2025-06-24,57.98,58.48,57.62,58.33,3153228.0
2025-06-25,58.1,58.28,57.345,57.48,3081639.0
2025-06-26,57.96,58.5636,57.74,58.4,2178798.0
2025-06-27,58.72,59.5,57.955,58.67,4104589.0
2025-06-30,58.3,58.615,57.475,57.86,3971614.0
2025-07-01,57.75,61.685,57.5,61.2,4525812.0
2025-07-02,62.0,62.88,60.65,62.56,4245555.0
2025-07-03,62.58,62.7774,61.82,62.01,1962870.0
2025-07-07,61.32,62.01,60.145,60.73,2982292.0
2025-07-08,61.11,64.4,61.0,63.7,4051950.0
2025-07-09,64.25,66.14,63.77,64.84,3591532.0
2025-07-10,64.5,66.41,64.25,65.32,2651369.0
2025-07-11,64.26,64.85,63.5,64.55,2540274.0
2025-07-14,63.98,64.595,62.66,63.04,3447408.0
2025-07-15,63.55,64.0,62.37,62.44,2086954.0
2025-07-16,62.58,62.84,61.4,62.42,1957670.0
2025-07-17,62.3,63.465,62.0001,63.3,2338813.0
2025-07-18,63.88,63.9,62.635,63.21,2229822.0
2025-07-21,63.77,64.21,62.595,62.65,3106573.0
2025-07-22,62.9,66.05,62.8432,65.41,5419720.0
2025-07-23,66.57,67.5,66.15,67.22,3572717.0
2025-07-24,62.64,63.056,59.785,60.7,9569172.0
2025-07-25,61.0,64.195,60.51,64.01,5730607.0
2025-07-28,63.89,64.025,62.5,62.88,4637413.0
2025-07-29,62.38,62.8099,61.38,62.48,2757543.0
2025-07-30,62.19,62.255,58.62,58.85,6287278.0
2025-07-31,58.56,58.765,57.64,57.93,9066526.0
2025-08-01,57.55,57.59,53.4,53.42,10555343.0
2025-08-04,54.32,54.58,50.77,50.9,10119341.0
2025-08-05,51.46,52.72,50.97,51.98,7099886.0
2025-08-06,52.59,52.88,49.2657,49.55,7469408.0
2025-08-07,50.62,51.5,49.44,50.17,5210485.0
2025-08-08,50.28,50.28,48.9,49.06,3648588.0
2025-08-11,49.23,50.1665,47.55,48.34,6568983.0
2025-08-12,48.54,50.605,48.44,50.27,5180582.0
2025-08-13,50.18,52.97,50.16,52.93,5084504.0
2025-08-14,51.98,53.455,51.25,53.31,4033546.0
2025-08-15,53.73,54.1625,53.24,53.38,2660373.0
2025-08-18,53.2,53.6492,52.795,52.95,3366282.0
2025-08-19,53.405,54.435,53.2801,53.82,3206844.0
2025-08-20,53.88,55.67,53.785,55.33,4319425.0
2025-08-21,55.04,55.68,54.55,55.47,4357716.0
2025-08-22,55.8,59.03,55.75,58.77,7925266.0
2025-08-25,56.85,57.17,56.05,57.05,3493275.0
2025-08-26,56.75,57.25,56.3,56.6,3206367.0
2025-08-27,56.585,56.97,55.71,56.28,3179041.0
2025-08-28,56.575,56.7085,55.21,55.86,3336874.0
2025-08-29,56.09,57.39,55.95,56.35,3499788.0
2025-09-02,55.585,56.03,54.63,55.84,4808402.0
2025-09-03,55.33,55.925,54.0684,54.19,4359032.0
2025-09-04,53.75,54.73,52.93,54.3,4495852.0
2025-09-05,54.28,56.2964,53.89,55.08,4226109.0
2025-09-08,54.79,54.79,52.68,54.63,3874783.0
2025-09-09,54.85,55.32,53.825,54.39,3566248.0
2025-09-10,54.17,55.04,53.94,54.4,3565923.0
2025-09-11,54.36,55.81,54.17,55.47,6398012.0
2025-09-12,55.43,56.1,54.83,55.22,4852397.0
2025-09-15,55.75,55.84,52.43,52.58,6260503.0
2025-09-16,52.95,53.69,52.51,52.65,5786179.0
2025-09-17,52.68,55.1704,52.3,53.52,7335621.0
2025-09-18,54.21,54.365,52.495,52.69,4546521.0
2025-09-19,52.49,52.69,51.645,52.01,7830810.0
2025-09-22,51.76,51.775,50.81,51.1,4996596.0
2025-09-23,51.46,51.76,50.35,50.37,4782570.0
2025-09-24,50.76,51.89,50.672,51.37,3918044.0
2025-09-25,51.03,51.15,48.94,48.98,5703740.0
2025-09-26,49.23,50.58,49.195,49.45,6208527.0
2025-09-29,49.63,49.63,48.575,49.08,5816975.0
2025-09-30,48.85,49.05,48.13,49.04,4708340.0
2025-10-01,48.73,49.1096,48.0694,48.42,4193257.0
2025-10-02,48.64,50.045,48.5,49.33,4812032.0
2025-10-03,49.45,49.98,48.9,49.47,2652575.0
2025-10-06,49.93,49.93,48.635,48.68,2876643.0
2025-10-07,48.95,49.6,48.07,49.13,6087670.0
2025-10-08,49.14,49.465,48.54,48.69,3016695.0
2025-10-09,48.96,48.99,47.3107,47.67,4484978.0
2025-10-10,47.57,47.99,44.89,44.91,5922801.0
2025-10-13,45.5,46.6912,45.475,46.27,4562923.0
2025-10-14,45.2,46.93,45.07,46.66,4151340.0
2025-10-15,47.0,47.66,46.34,46.76,2589119.0
2025-10-16,46.8,47.1,45.3,45.86,3484613.0
2025-10-17,46.01,46.2,45.57,46.19,3751123.0
2025-10-20,46.21,46.59,45.3,45.62,3658946.0
2025-10-21,45.65,45.98,45.02,45.21,4764296.0
2025-10-22,45.16,45.92,44.87,45.2,3815680.0
2025-10-23,47.27,47.49,45.99,46.81,6936465.0
2025-10-24,47.51,47.64,47.055,47.59,4086081.0
2025-10-27,47.89,49.12,47.89,49.09,4951533.0
2025-10-28,48.6,48.75,47.05,47.61,3583441.0
2025-10-29,47.54,48.17,46.1,46.71,5422220.0
2025-10-30,45.6,46.27,45.09,45.2,6806011.0
2025-10-31,48.07,48.07,45.3,46.42,8533338.0
2025-11-03,45.67,46.85,45.21,46.27,5658776.0
2025-11-04,45.4,45.8,44.4,44.44,5902224.0
2025-11-05,44.54,45.2,43.94,43.97,5460662.0
2025-11-06,44.0,44.33,42.31,42.38,7157404.0
2025-11-07,42.3,43.42,42.26,43.02,6195283.0
2025-11-10,43.42,43.505,41.58,42.77,5927986.0
2025-11-11,43.29,44.02,42.9,43.82,4876288.0
2025-11-12,43.83,44.2,43.14,43.31,3556898.0
2025-11-13,43.41,45.67,43.33,45.52,6805210.0
2025-11-14,45.3,45.46,44.3465,45.3,4720168.0
2025-11-17,45.3,45.33,43.4,43.56,4433496.0
2025-11-18,43.24,44.05,42.78,43.74,5130471.0
2025-11-19,43.51,43.7633,42.48,42.76,3872845.0
2025-11-20,42.89,43.8,42.49,42.55,5506365.0
2025-11-21,43.18,45.73,43.17,44.8,6073873.0
2025-11-24,44.96,45.625,44.34,45.36,5634598.0
2025-11-25,45.7,47.24,45.7,47.01,5626120.0
2025-11-26,47.09,48.9,47.06,48.42,6193280.0
2025-11-28,48.5,49.215,48.37,48.99,3291635.0
2025-12-01,47.26,48.91,47.155,47.92,6359088.0
2025-12-02,48.0,48.375,46.88,47.78,5561259.0
2025-12-03,47.93,48.5312,45.95,46.03,7141444.0
2025-12-04,46.13,46.3,42.92,43.16,9469419.0
2025-12-05,43.9,44.81,43.16,43.35,6327786.0
