date,open,high,low,close,volume
2025-07-10,501.11,508.56,499.34,505.72,617285.0
2025-07-11,501.57,502.19,498.75,499.53,455745.0
2025-07-14,498.37,503.76,496.45,503.42,547223.0
2025-07-15,501.09,503.95,495.15,495.28,467123.0
2025-07-16,496.91,501.38,491.42,500.23,704741.0
2025-07-17,499.9,504.66,497.155,502.43,880877.0
2025-07-18,502.81,503.0,495.93,499.9,1949004.0
2025-07-21,503.0,505.72,499.25,500.16,771599.0
2025-07-22,499.1,500.61,492.77,499.12,987823.0
2025-07-23,484.29,513.805,480.59,507.88,1243867.0
2025-07-24,509.62,518.48,507.35,513.09,847039.0
2025-07-25,512.92,516.21,511.99,512.95,688529.0
2025-07-28,511.33,515.71,507.0,507.5,459251.0
2025-07-29,510.7,512.72,505.6553,510.5,849683.0
2025-07-30,511.56,519.92,510.405,512.62,1156179.0
2025-07-31,510.68,521.0,509.305,515.73,1260636.0
2025-08-01,510.19,510.19,496.19,501.28,1115743.0
2025-08-04,504.72,520.59,502.02,519.85,886499.0
2025-08-05,520.91,522.14,514.515,515.85,841060.0
2025-08-06,516.87,518.24,510.96,517.48,621134.0
2025-08-07,521.35,523.19,512.23,514.06,609039.0
2025-08-08,516.22,519.6089,513.79,515.29,375090.0
2025-08-11,516.45,518.2925,510.91,511.66,591316.0
2025-08-12,513.06,519.31,512.7,516.05,588671.0
2025-08-13,520.0,522.79,517.0692,521.13,520929.0
2025-08-14,516.68,523.065,513.5142,521.32,531941.0
2025-08-15,521.45,522.93,516.25,516.46,410190.0
2025-08-18,515.53,516.5175,508.68,509.22,542910.0
2025-08-19,511.16,517.4599,510.11,512.0,762833.0
2025-08-20,510.61,516.305,510.61,514.95,471118.0
2025-08-21,511.98,513.69,508.62,509.47,492754.0
2025-08-22,510.91,518.67,510.5925,516.01,642968.0
2025-08-25,516.11,517.37,508.99,510.0,723518.0
2025-08-26,508.45,512.05,505.86,511.39,616548.0
2025-08-27,510.75,513.5,509.87,510.07,433383.0
2025-08-28,509.94,512.27,508.4,509.43,506884.0
2025-08-29,508.44,511.9,507.74,509.76,483603.0
2025-09-02,503.32,503.66,496.585,498.5,721893.0
2025-09-03,496.33,498.24,493.14,496.44,556089.0
2025-09-04,496.0,500.3522,495.56,499.76,714261.0
2025-09-05,502.22,503.77,492.97,499.03,565183.0
2025-09-08,499.18,508.67,497.865,507.63,735440.0
2025-09-09,505.67,508.56,503.39,507.96,449963.0
2025-09-10,506.89,510.845,504.5,506.08,627747.0
2025-09-11,507.93,519.54,504.55,518.7,844138.0
2025-09-12,517.46,519.25,511.585,512.31,490256.0
2025-09-15,512.65,513.9399,508.24,508.76,589538.0
2025-09-16,507.7,509.75,503.24,508.0,504224.0
2025-09-17,512.61,517.125,509.13,511.77,553296.0
2025-09-18,512.02,514.38,475.69,482.32,1854622.0
2025-09-19,484.98,487.53,480.0001,480.74,2013108.0
2025-09-22,483.0,490.42,482.5,488.29,1199969.0
2025-09-23,488.29,489.775,473.93,476.78,947872.0
2025-09-24,473.73,476.75,469.0,474.8,834240.0
2025-09-25,474.75,476.79,470.1679,472.69,594546.0
2025-09-26,474.38,479.0975,473.13,476.74,520823.0
2025-09-29,479.84,482.315,477.72,480.82,560345.0
2025-09-30,479.81,480.775,473.85,476.48,599098.0
2025-10-01,477.97,482.915,475.0,479.82,906217.0
2025-10-02,475.41,483.82,473.975,482.17,823397.0
2025-10-03,482.38,488.1,480.22,485.04,716322.0
2025-10-06,485.86,488.4,483.34,483.45,859037.0
2025-10-07,486.18,489.26,483.86,488.43,923172.0
2025-10-08,490.37,494.19,487.28,490.09,807491.0
2025-10-09,492.34,495.95,490.84,492.46,644333.0
2025-10-10,496.4,496.94,483.74,484.1,1002854.0
2025-10-13,486.19,487.91,466.4,473.72,1607892.0
2025-10-14,472.13,483.495,471.615,481.25,1080536.0
2025-10-15,481.09,486.2643,477.6073,478.51,759486.0
2025-10-16,478.68,479.85,466.38,468.56,818060.0
2025-10-17,470.32,475.01,466.185,471.04,1380708.0
2025-10-20,472.64,476.7,468.855,474.46,760461.0
2025-10-21,477.13,486.5909,474.64,484.92,1334303.0
2025-10-22,483.35,488.87,471.41,472.79,1685978.0
2025-10-23,475.53,482.18,470.5,479.3,1078502.0
2025-10-24,483.88,491.735,482.0,490.82,748453.0
2025-10-27,494.99,496.83,493.105,495.08,703964.0
2025-10-28,493.9,497.33,490.53,490.76,777363.0
2025-10-29,487.0,488.55,469.11,471.7,1223239.0
2025-10-30,474.27,487.525,472.885,478.97,786053.0
2025-10-31,475.93,483.28,475.01,480.3,687556.0
2025-11-03,478.95,485.97,474.03,485.95,871592.0
2025-11-04,484.92,489.32,482.73,487.46,1127161.0
2025-11-05,487.0,489.34,482.86,486.46,799301.0
2025-11-06,482.86,488.67,479.45,482.21,577176.0
2025-11-07,480.6,488.15,479.17,487.98,656096.0
2025-11-10,487.03,487.68,480.16,484.93,572563.0
2025-11-11,486.86,495.01,485.42,493.0,575229.0
2025-11-12,494.4,498.9999,490.41,490.84,904161.0
2025-11-13,490.27,493.64,485.31,490.77,827056.0
2025-11-14,490.09,490.47,478.58,479.48,756135.0
2025-11-17,479.48,481.04,470.92,472.12,774657.0
2025-11-18,468.93,473.35,466.4,470.16,680768.0
