date,open,high,low,close,volume
2025-07-10,66.55,67.385,65.9,67.15,7359979.0
2025-07-11,66.75,67.36,66.005,67.18,6171073.0
2025-07-14,67.18,67.66,67.02,67.64,5324775.0
2025-07-15,67.4,67.53,66.7,66.74,5092688.0
2025-07-16,66.795,67.515,66.485,67.47,5336618.0
2025-07-17,68.295,69.85,68.26,69.8,9140030.0
2025-07-18,69.885,70.495,69.38,69.81,10412234.0
2025-07-21,69.85,70.5,69.205,69.42,6118375.0
2025-07-22,69.45,71.0,69.24,70.75,6728702.0
2025-07-23,70.75,71.15,69.77,70.17,5627446.0
2025-07-24,70.07,70.54,69.9,70.18,6015456.0
2025-07-25,70.25,70.61,69.855,70.58,4520951.0
2025-07-28,70.21,70.23,69.19,69.58,7984026.0
2025-07-29,69.58,70.325,69.28,69.71,7926057.0
2025-07-30,67.51,67.95,65.03,65.1,22047724.0
2025-07-31,64.74,65.645,64.17,64.69,12174565.0
2025-08-01,65.37,66.29,63.92,63.93,10650513.0
2025-08-04,63.97,64.28,63.33,63.53,8291677.0
2025-08-05,63.565,63.69,62.17,62.3,9070016.0
2025-08-06,62.7,62.8,61.99,62.07,7728146.0
2025-08-07,62.08,62.64,61.83,62.4,6067266.0
2025-08-08,62.39,62.58,61.49,61.83,6419826.0
2025-08-11,62.08,62.28,60.26,61.56,13278903.0
2025-08-12,61.55,61.81,61.15,61.39,7373563.0
2025-08-13,61.44,62.295,61.19,62.19,7656716.0
2025-08-14,62.06,62.2,61.36,61.46,5695786.0
2025-08-15,61.68,62.345,61.32,62.08,5849773.0
2025-08-18,62.03,62.345,61.64,61.84,5063952.0
2025-08-19,61.915,62.7074,61.765,62.66,5990263.0
2025-08-20,63.23,64.0905,62.7,63.17,6805464.0
2025-08-21,62.92,63.01,62.31,62.94,5687260.0
2025-08-22,63.35,63.92,62.91,63.41,6390640.0
2025-08-25,63.19,63.225,61.88,61.96,5852138.0
2025-08-26,61.82,62.11,61.4601,62.05,8457057.0
2025-08-27,61.69,61.845,61.31,61.76,6464175.0
2025-08-28,61.76,61.97,61.02,61.28,7242515.0
2025-08-29,61.28,61.65,61.01,61.44,5866856.0
2025-09-02,61.58,62.06,61.2,61.79,7815343.0
2025-09-03,61.36,61.77,59.37,61.3,10566651.0
2025-09-04,61.4,61.55,60.885,60.9,4612686.0
2025-09-05,61.03,62.51,60.95,61.74,6149823.0
2025-09-08,61.59,61.97,61.0,61.94,6540893.0
2025-09-09,61.84,62.8587,61.72,62.57,5784966.0
2025-09-10,62.29,62.47,61.37,62.27,6679167.0
2025-09-11,62.325,63.2,62.0,62.05,6423925.0
2025-09-12,61.975,62.47,61.685,61.98,4853627.0
2025-09-15,62.0,62.68,61.565,61.6,6760463.0
2025-09-16,61.62,62.945,61.4601,62.7,8403643.0
2025-09-17,62.69,63.6,62.62,62.83,7039878.0
2025-09-18,62.27,63.36,62.11,63.25,6596217.0
2025-09-19,63.6,64.03,62.9832,63.71,17133906.0
2025-09-22,63.31,63.66,62.9828,63.5,7358095.0
2025-09-23,63.39,63.865,63.23,63.82,6698348.0
2025-09-24,63.82,64.6989,63.78,64.39,6188838.0
2025-09-25,64.68,64.95,62.54,62.56,8679576.0
2025-09-26,62.56,63.455,62.27,63.36,5295155.0
2025-09-29,63.43,63.565,61.22,62.63,10956714.0
2025-09-30,62.45,62.865,62.15,62.47,6604230.0
2025-10-01,62.55,63.33,62.1201,63.17,6259498.0
2025-10-02,62.14,62.7,61.62,61.78,5529805.0
2025-10-03,61.66,63.38,61.5201,62.67,6205944.0
2025-10-06,62.545,62.545,61.435,61.78,7883259.0
2025-10-07,61.705,63.24,61.61,62.6,6638657.0
2025-10-08,62.14,62.42,61.42,61.66,6881492.0
2025-10-09,61.64,61.81,60.88,61.0,6642873.0
2025-10-10,61.2,62.34,60.87,61.45,7697779.0
2025-10-13,60.79,61.29,60.41,61.17,6417576.0
2025-10-14,61.31,62.19,60.84,62.13,5631971.0
2025-10-15,61.64,62.37,61.27,61.66,5712093.0
2025-10-16,62.2,62.74,61.31,61.6,7346452.0
2025-10-17,61.97,62.7,61.56,62.46,5991845.0
2025-10-20,62.82,62.96,62.5,62.81,4069063.0
2025-10-21,62.88,63.24,61.542,61.75,9149843.0
2025-10-22,61.84,62.54,60.94,61.97,7148597.0
2025-10-23,61.83,61.895,60.98,61.01,5212549.0
2025-10-24,61.25,61.37,60.5545,60.77,5401464.0
2025-10-27,60.655,61.715,60.44,61.66,7063658.0
2025-10-28,61.6,62.43,60.21,60.21,15035018.0
2025-10-29,58.47,59.27,56.985,57.85,20841563.0
2025-10-30,58.24,59.26,57.63,57.775,12884304.0
2025-10-31,56.97,57.94,56.63,57.46,13262978.0
2025-11-03,57.44,57.84,56.54,56.65,8849881.0
2025-11-04,56.89,56.97,55.47,56.08,12649107.0
2025-11-05,56.135,56.26,55.44,56.02,12718876.0
2025-11-06,55.51,56.85,55.51,56.19,8879731.0
2025-11-07,56.535,57.82,56.195,57.18,8717329.0
2025-11-10,57.0,57.06,56.2,56.25,9205161.0
2025-11-11,56.6,57.495,56.22,57.12,10048340.0
2025-11-12,57.105,57.55,56.83,57.01,7818963.0
2025-11-13,57.02,57.72,56.75,56.97,8720102.0
2025-11-14,57.24,57.66,56.5166,56.86,6854396.0
