date,open,high,low,close,volume
2025-05-08,77.6,78.925,77.05,77.59,4083094.0
2025-05-09,78.06,78.54,77.685,77.85,2371418.0
2025-05-12,80.24,81.05,80.1,80.64,3536109.0
2025-05-13,80.58,81.86,80.58,81.16,2518250.0
2025-05-14,81.15,81.33,79.74,79.95,2561287.0
2025-05-15,79.5,80.56,79.11,80.46,2512014.0
2025-05-16,80.49,81.08,79.96,80.83,2976705.0
2025-05-19,80.3,81.1,80.0,80.87,1999474.0
2025-05-20,80.69,81.09,80.115,80.33,2251228.0
2025-05-21,79.86,80.22,77.85,77.9,2987776.0
2025-05-22,78.14,78.35,77.04,77.66,2410200.0
2025-05-23,75.95,77.52,75.94,77.21,2958694.0
2025-05-27,78.25,79.09,77.61,79.03,3300570.0
2025-05-28,79.02,79.375,77.8,77.99,2661901.0
2025-05-29,78.62,79.03,77.86,78.86,2391452.0
2025-05-30,78.63,79.036,78.05,78.58,4359392.0
2025-06-02,78.13,78.68,77.34,78.68,1989484.0
2025-06-03,78.62,79.62,77.76,79.32,3195753.0
2025-06-04,79.59,80.08,78.8,78.81,2235508.0
2025-06-05,78.91,79.08,78.02,78.56,1906108.0
2025-06-06,79.7,80.13,79.22,79.93,1943023.0
2025-06-09,80.15,80.15,79.17,79.62,1937939.0
2025-06-10,79.51,79.6899,78.93,79.43,2199535.0
2025-06-11,79.45,79.7499,78.585,78.91,2418823.0
2025-06-12,78.08,78.995,77.71,78.99,2264341.0
2025-06-13,77.975,78.55,77.06,77.35,3450747.0
2025-06-16,77.95,78.63,77.68,78.4,3220221.0
2025-06-17,78.15,78.74,77.4,77.85,2350857.0
2025-06-18,77.93,79.26,77.91,78.55,2298521.0
2025-06-20,79.14,79.645,78.63,79.21,6575430.0
2025-06-23,78.8,79.725,77.735,79.63,2383942.0
2025-06-24,79.98,80.55,79.61,79.66,3174387.0
2025-06-25,79.7,79.86,78.63,79.11,3232337.0
2025-06-26,79.32,80.08,79.08,79.96,3337701.0
2025-06-27,80.25,80.86,79.755,80.37,3643599.0
2025-06-30,80.31,80.54,79.99,80.42,2901662.0
2025-07-01,80.36,81.7,80.24,81.09,2681595.0
2025-07-02,81.08,81.24,79.16,80.15,3097088.0
2025-07-03,80.47,81.27,80.02,80.65,1617752.0
2025-07-07,80.4,80.95,78.97,79.18,2495616.0
2025-07-08,79.49,80.44,79.06,79.66,2866025.0
2025-07-09,79.94,80.05,78.14,78.24,2648283.0
2025-07-10,78.28,78.695,77.86,78.37,2788966.0
2025-07-11,77.69,78.1107,77.21,77.7,2331899.0
2025-07-14,77.44,78.08,77.27,77.9,2125188.0
2025-07-15,77.5,78.0,76.17,76.21,2659593.0
2025-07-16,76.55,76.7954,75.29,76.59,2775979.0
2025-07-17,76.22,77.51,76.22,77.33,2759804.0
2025-07-18,77.37,77.54,76.82,77.15,2065460.0
2025-07-21,77.5,77.64,76.26,76.33,1885005.0
2025-07-22,76.42,77.61,76.17,77.51,2963147.0
2025-07-23,78.15,78.5,77.55,78.44,2682691.0
2025-07-24,78.33,78.53,77.71,77.79,2233796.0
2025-07-25,78.0,78.665,77.39,78.56,2227690.0
2025-07-28,78.41,78.545,77.31,77.66,2275759.0
2025-07-29,78.33,78.98,77.5,77.68,3824870.0
2025-07-30,76.85,77.45,74.27,74.79,4965522.0
2025-07-31,74.75,76.54,74.6645,75.95,5251571.0
2025-08-01,74.46,74.965,73.01,74.01,4383281.0
2025-08-04,74.42,74.92,73.94,74.83,3797091.0
2025-08-05,74.82,75.43,74.145,74.89,4335017.0
2025-08-06,75.08,76.21,74.85,75.95,4475289.0
2025-08-07,72.1,74.94,72.1,73.82,5631265.0
2025-08-08,74.19,76.64,74.19,76.27,4351960.0
2025-08-11,76.36,77.06,74.99,75.3,4414757.0
2025-08-12,75.78,76.89,75.62,76.56,4008342.0
2025-08-13,76.74,77.75,76.715,77.36,3158995.0
2025-08-14,76.91,77.975,76.48,77.92,2314261.0
2025-08-15,78.33,78.33,77.175,77.33,2660701.0
2025-08-18,76.9,77.85,76.579,77.74,2721835.0
2025-08-19,77.75,79.07,77.59,78.72,2511656.0
2025-08-20,78.88,79.4,78.57,79.03,2666674.0
2025-08-21,78.94,79.48,78.46,79.24,1960170.0
2025-08-22,79.93,81.91,79.75,81.49,3502892.0
2025-08-25,81.29,81.68,80.65,80.83,2585302.0
2025-08-26,80.53,81.105,80.32,81.01,2905918.0
2025-08-27,80.65,81.58,80.63,81.11,2556701.0
2025-08-28,81.28,81.28,80.52,80.8,2225124.0
2025-08-29,81.07,81.68,80.8,81.36,2759912.0
2025-09-02,80.68,80.96,79.37,80.56,3836453.0
2025-09-03,80.31,80.94,79.91,80.57,2364083.0
2025-09-04,80.98,81.86,80.62,81.75,2434537.0
2025-09-05,81.62,82.31,78.29,79.51,4830136.0
2025-09-08,79.21,79.7,77.86,79.6,3048318.0
2025-09-09,79.88,80.3299,79.27,79.29,2536631.0
2025-09-10,79.12,79.95,78.955,79.23,2113478.0
2025-09-11,79.42,80.5,79.23,80.34,2633129.0
2025-09-12,80.26,81.11,80.165,80.82,2314218.0
2025-09-15,80.9,81.3,80.2,80.46,3083815.0
2025-09-16,80.99,80.99,78.58,78.73,5022955.0
2025-09-17,78.87,79.7125,78.31,78.68,5561485.0
2025-09-18,78.72,79.735,78.605,79.07,4484416.0
2025-09-19,78.92,79.435,77.885,79.16,8848968.0
2025-09-22,78.555,81.355,78.205,80.98,6659017.0
2025-09-23,80.98,81.6529,79.93,80.32,4797815.0
2025-09-24,80.37,80.885,80.1,80.64,2927804.0
2025-09-25,80.74,81.23,79.84,80.28,2600687.0
2025-09-26,80.87,81.88,80.71,81.62,2351614.0
2025-09-29,81.67,82.13,81.18,82.07,2955910.0
2025-09-30,82.0,82.47,81.22,82.37,2788996.0
2025-10-01,81.76,83.075,81.69,81.93,3854434.0
2025-10-02,81.73,82.63,80.82,81.33,3564886.0
2025-10-03,81.48,82.59,81.12,82.37,2993289.0
2025-10-06,82.62,83.22,81.79,82.35,2547333.0
2025-10-07,82.78,83.335,82.47,82.75,2477798.0
2025-10-08,83.38,83.64,81.68,82.03,2736843.0
2025-10-09,82.24,83.26,81.52,81.98,2266181.0
2025-10-10,82.43,82.82,79.76,79.77,2407034.0
2025-10-13,80.73,81.06,79.965,80.82,2111169.0
2025-10-14,80.2,83.2,80.095,82.89,2651967.0
2025-10-15,82.75,83.495,81.145,81.62,2784656.0
2025-10-16,81.06,81.15,77.785,77.84,4169148.0
2025-10-17,78.09,78.915,77.72,78.46,3487720.0
2025-10-20,78.59,79.22,78.23,78.74,2582910.0
2025-10-21,78.78,79.57,78.485,79.02,2888151.0
2025-10-22,79.26,79.5,78.25,78.56,2376286.0
2025-10-23,78.91,79.22,78.04,78.17,2182041.0
2025-10-24,78.59,78.935,78.17,78.68,2444996.0
2025-10-27,79.31,79.54,78.67,78.87,2584285.0
2025-10-28,78.8,79.24,78.16,78.75,2948774.0
2025-10-29,78.3,79.32,78.04,78.32,3214418.0
2025-10-30,78.57,80.02,78.27,79.16,2774922.0
2025-10-31,78.66,80.0,78.57,79.82,4380645.0
2025-11-03,79.49,79.79,78.67,79.21,2890990.0
2025-11-04,78.28,79.745,78.06,79.46,3731713.0
2025-11-05,79.61,80.25,78.675,78.68,3779531.0
2025-11-06,79.5,80.75,74.65,75.97,8562653.0
