date,open,high,low,close,volume
2025-04-24,76.36,76.365,74.97,75.01,1289756.0
2025-04-25,75.0,75.12,73.9,74.54,1256190.0
2025-04-28,74.61,74.89,73.83,74.71,1949911.0
2025-04-29,74.3,76.15,73.68,76.03,1357126.0
2025-04-30,76.61,77.04,75.4001,76.66,2606126.0
2025-05-01,75.75,75.89,74.83,75.11,2295541.0
2025-05-02,75.82,76.34,74.93,76.02,1826054.0
2025-05-05,75.81,75.935,74.7,75.3,1713703.0
2025-05-06,75.03,75.435,74.4,74.73,1975897.0
2025-05-07,74.68,75.43,74.065,74.96,1606385.0
2025-05-08,75.11,77.3,74.73,76.22,2334957.0
2025-05-09,76.29,76.56,75.76,76.07,1490327.0
2025-05-12,76.12,76.92,75.6001,76.49,2349329.0
2025-05-13,76.49,76.54,73.76,74.8,2289567.0
2025-05-14,74.42,74.75,73.39,73.56,2895885.0
2025-05-15,74.08,74.74,73.52,74.74,2432126.0
2025-05-16,74.7,75.51,74.01,75.4,4008379.0
2025-05-19,74.98,75.415,74.01,74.4,1838418.0
2025-05-20,74.39,74.53,73.79,74.21,2054163.0
2025-05-21,74.08,74.275,72.44,72.54,2147791.0
2025-05-22,72.27,72.41,70.85,71.31,4498860.0
2025-05-23,71.36,71.4794,69.98,71.11,3700796.0
2025-05-27,71.56,71.98,71.2,71.8,2437843.0
2025-05-28,71.88,72.28,71.195,71.38,2089124.0
2025-05-29,71.38,72.55,71.07,72.55,3000229.0
2025-05-30,72.51,72.96,72.03,72.73,3262713.0
2025-06-02,72.3,73.5,71.42,73.44,3129518.0
2025-06-03,73.06,74.4081,72.6,73.35,2335852.0
2025-06-04,73.55,73.91,72.81,73.24,1152818.0
2025-06-05,73.08,73.26,72.355,72.91,1589792.0
2025-06-06,73.19,74.31,73.1701,74.23,2248803.0
2025-06-09,73.82,75.58,73.82,75.22,2272883.0
2025-06-10,75.37,76.25,74.77,75.58,2017098.0
2025-06-11,75.46,75.92,75.165,75.63,1470518.0
2025-06-12,75.48,75.87,74.81,75.81,1842690.0
2025-06-13,75.68,76.37,73.77,74.01,1993848.0
2025-06-16,74.21,74.945,73.5,73.87,1713009.0
2025-06-17,73.735,74.14,72.74,72.96,1796540.0
2025-06-18,72.85,73.58,72.58,73.2,1881656.0
2025-06-20,73.16,73.99,72.93,73.06,2803715.0
