date,open,high,low,close,volume
2025-04-24,497.74,511.08,495.82,509.25,324152.0
2025-04-25,506.9,509.4969,502.62,504.44,328163.0
2025-04-28,504.0,505.965,497.06,502.9,359951.0
2025-04-29,503.57,508.8,495.98,504.86,491629.0
2025-04-30,496.06,525.99,490.31,523.98,943556.0
2025-05-01,527.99,536.12,522.86,522.88,489581.0
2025-05-02,530.13,539.76,527.725,535.8,386424.0
2025-05-05,535.8,546.0485,533.69,542.19,465882.0
2025-05-06,533.58,542.59,530.8585,535.0,323165.0
2025-05-07,537.49,543.7,533.2,534.46,363896.0
2025-05-08,539.04,546.73,536.71,541.56,356752.0
2025-05-09,542.14,543.948,537.3006,541.85,320150.0
2025-05-12,556.26,556.4051,548.08,553.06,413949.0
2025-05-13,556.1,557.02,542.45,543.89,369730.0
2025-05-14,544.56,544.56,536.145,541.02,419427.0
2025-05-15,540.74,553.41,540.74,552.86,368061.0
2025-05-16,555.42,565.31,555.42,564.08,419345.0
2025-05-19,557.13,569.34,556.855,568.19,389079.0
2025-05-20,562.5,565.405,560.2239,563.62,327014.0
2025-05-21,558.22,563.82,556.77,560.04,622551.0
2025-05-22,559.48,566.59,556.27,564.69,463910.0
2025-05-23,558.2,564.58,556.72,561.72,362949.0
2025-05-27,569.18,569.81,561.58,567.49,456339.0
2025-05-28,567.49,568.975,548.81,550.53,614873.0
2025-05-29,551.87,552.94,544.19,548.48,689287.0
2025-05-30,546.59,552.99,538.505,547.55,653644.0
2025-06-02,542.86,542.86,533.795,541.61,441836.0
2025-06-03,543.07,546.26,535.67,545.54,372092.0
2025-06-04,547.38,552.1599,544.395,549.57,432523.0
2025-06-05,551.41,552.01,544.52,550.04,288438.0
2025-06-06,554.1,554.875,547.9,551.32,274769.0
2025-06-09,554.78,557.84,549.42,554.48,285341.0
2025-06-10,555.0,558.55,550.685,554.33,295199.0
2025-06-11,555.11,557.09,543.93,545.85,442957.0
2025-06-12,544.01,553.915,541.0,552.64,239513.0
2025-06-13,548.47,549.41,540.3028,542.47,249974.0
2025-06-16,540.41,546.8,540.2,542.79,328496.0
2025-06-17,540.38,545.43,539.89,541.39,329059.0
2025-06-18,537.69,546.0104,536.535,538.79,373071.0
2025-06-20,541.55,543.6358,534.37,538.22,954267.0
2025-06-23,539.24,552.6515,536.55,551.96,438426.0
2025-06-24,551.62,555.4396,549.455,552.37,547988.0
2025-06-25,551.54,551.55,534.06,534.42,489890.0
2025-06-26,536.11,545.44,532.805,540.66,444165.0
2025-06-27,542.39,550.85,539.885,550.05,448679.0
2025-06-30,548.6,554.71,546.53,548.96,373970.0
2025-07-01,548.0,560.7,540.41,557.68,458397.0
2025-07-02,558.0,560.8199,553.39,558.67,319445.0
2025-07-03,558.49,560.34,554.5,557.89,310586.0
2025-07-07,558.44,561.99,555.82,556.29,434390.0
2025-07-08,555.99,561.55,553.015,559.09,247747.0
2025-07-09,559.6,567.12,555.3,567.02,267650.0
2025-07-10,567.02,571.1,562.91,564.38,313946.0
2025-07-11,559.49,563.225,551.77,562.0,269548.0
2025-07-14,563.29,566.55,558.43,564.82,400402.0
2025-07-15,566.23,568.69,548.25,548.42,355055.0
2025-07-16,546.25,547.54,532.88,546.36,532167.0
2025-07-17,546.36,553.31,543.19,553.09,308591.0
2025-07-18,554.56,565.48,551.97,565.03,407637.0
2025-07-21,568.07,568.66,562.915,563.26,308600.0
2025-07-22,565.84,572.02,560.13,570.98,267771.0
2025-07-23,574.45,577.3699,569.95,574.75,325988.0
2025-07-24,574.75,583.44,573.5585,581.44,336583.0
2025-07-25,582.01,586.98,580.06,585.73,233676.0
2025-07-28,585.02,585.02,572.67,575.88,325736.0
2025-07-29,579.88,582.2,575.9,579.92,244251.0
2025-07-30,580.0,582.125,572.685,575.32,383758.0
2025-07-31,563.62,576.275,560.89,574.88,589817.0
2025-08-01,572.4,577.9,561.505,577.86,393100.0
2025-08-04,594.78,613.23,594.78,602.32,705942.0
2025-08-05,600.44,609.39,598.37,607.5,516641.0
2025-08-06,607.5,608.0,597.155,598.04,618400.0
2025-08-07,602.22,610.97,590.35,600.3,754268.0
2025-08-08,602.56,615.5879,601.17,610.92,526226.0
2025-08-11,610.89,610.89,598.47,599.93,477759.0
2025-08-12,600.46,617.4,598.81,615.43,477945.0
2025-08-13,618.99,620.81,609.76,620.08,360124.0
2025-08-14,615.63,617.63,608.61,612.5,365025.0
2025-08-15,616.02,616.02,607.85,609.58,302900.0
2025-08-18,609.7,611.18,601.6049,602.83,304374.0
2025-08-19,604.95,608.23,602.87,607.76,374064.0
2025-08-20,606.45,608.247,595.77,600.6,379672.0
2025-08-21,598.17,602.47,596.915,600.74,340132.0
2025-08-22,603.49,615.7099,602.5827,607.89,363783.0
2025-08-25,604.3,609.86,604.06,604.5,318458.0
2025-08-26,604.47,617.735,604.13,617.04,750413.0
2025-08-27,615.0,621.36,614.8101,616.64,413367.0
2025-08-28,617.97,617.97,608.9,612.29,292824.0
2025-08-29,613.71,616.6,609.55,616.4,368637.0
2025-09-02,609.98,618.04,608.7,616.38,551231.0
2025-09-03,616.38,616.38,605.705,611.2,415650.0
2025-09-04,615.26,620.16,608.885,618.97,413643.0
2025-09-05,621.68,623.83,616.12,622.64,311202.0
2025-09-08,620.95,627.68,618.5,627.09,321151.0
2025-09-09,622.42,622.6,609.5,614.22,421591.0
2025-09-10,613.65,622.455,613.15,616.73,283140.0
2025-09-11,618.69,632.255,613.26,631.12,301280.0
2025-09-12,627.66,629.44,615.6,615.86,331389.0
2025-09-15,616.94,618.68,610.27,611.08,296606.0
2025-09-16,611.53,614.05,606.18,609.76,296082.0
2025-09-17,609.76,624.605,608.2,609.69,463131.0
2025-09-18,607.63,625.69,607.45,620.4,325528.0
2025-09-19,621.98,622.37,616.155,618.57,630870.0
2025-09-22,618.01,624.11,615.15,619.83,285670.0
2025-09-23,620.42,627.2676,613.85,615.39,307797.0
2025-09-24,614.48,618.575,604.37,606.8,378789.0
2025-09-25,603.13,610.845,600.0,608.06,269583.0
2025-09-26,611.8,617.72,606.775,613.74,290580.0
2025-09-29,616.97,622.09,613.72,621.25,304672.0
2025-09-30,619.53,631.75,619.53,630.28,434934.0
2025-10-01,629.95,634.84,615.48,620.06,398721.0
2025-10-02,619.35,629.1225,617.72,627.87,285738.0
2025-10-03,626.46,637.36,618.67,634.77,329762.0
2025-10-06,634.97,638.26,627.93,636.11,259618.0
2025-10-07,638.62,640.0,626.055,629.61,253874.0
2025-10-08,633.35,638.87,628.38,636.31,243063.0
2025-10-09,636.52,639.725,630.43,633.81,232760.0
2025-10-10,638.67,639.92,632.06,632.38,346972.0
2025-10-13,633.66,643.87,632.095,638.61,280872.0
2025-10-14,638.61,657.36,632.925,656.85,329850.0
2025-10-15,656.0,665.1825,639.16,639.16,637709.0
2025-10-16,642.81,642.81,622.74,624.14,308643.0
2025-10-17,623.52,630.98,619.235,625.4,321511.0
2025-10-20,630.42,630.42,615.02,627.09,243974.0
2025-10-21,626.0,634.04,621.71,632.03,278089.0
2025-10-22,631.97,635.87,621.05,622.5,220207.0
2025-10-23,620.98,628.24,617.98,619.35,189386.0
2025-10-24,624.52,630.53,620.62,621.23,293284.0
2025-10-27,622.93,625.8,614.96,616.84,291918.0
2025-10-28,613.6,619.97,612.4856,616.84,293360.0
2025-10-29,616.0,630.48,613.36,616.92,410134.0
2025-10-30,606.0,616.16,604.215,613.02,470640.0
2025-10-31,609.01,617.77,607.12,613.1,354225.0
2025-11-03,615.35,621.58,610.37,619.3,712309.0
2025-11-04,631.69,633.13,607.78,625.26,725204.0
2025-11-05,621.35,632.43,606.4,610.61,708569.0
2025-11-06,609.22,613.0267,599.54,608.33,479948.0
2025-11-07,606.5,615.28,604.705,610.64,358543.0
2025-11-10,610.16,620.73,605.49,616.77,320722.0
2025-11-11,617.07,625.0,616.775,620.4,238449.0
2025-11-12,619.19,624.96,610.0,614.81,382586.0
2025-11-13,614.6,616.743,600.76,602.13,453205.0
2025-11-14,598.74,602.31,595.02,596.44,342749.0
2025-11-17,596.36,599.07,587.88,589.97,350558.0
2025-11-18,586.11,596.085,585.0,593.18,318246.0
2025-11-19,596.55,598.89,587.245,596.82,330794.0
2025-11-20,603.23,612.815,596.86,597.0,448143.0
