date,open,high,low,close,volume
2025-05-08,60.48,60.98,60.09,60.4,7904387.0
2025-05-09,60.12,60.16,59.36,59.43,5747703.0
2025-05-12,58.27,58.27,56.52,56.95,16278627.0
2025-05-13,56.95,56.97,56.305,56.47,11410606.0
2025-05-14,56.35,56.73,56.06,56.33,9070560.0
2025-05-15,56.65,58.35,56.625,58.06,8851054.0
2025-05-16,58.2,58.95,58.08,58.89,5927748.0
2025-05-19,59.05,59.48,58.79,59.47,6318310.0
2025-05-20,59.4,60.09,59.395,59.9,5820122.0
2025-05-21,59.9,59.95,59.38,59.45,7614271.0
2025-05-22,59.4,59.5898,58.74,59.3,5789175.0
2025-05-23,59.625,59.81,59.261,59.74,4863065.0
2025-05-27,59.73,59.78,59.14,59.62,5216182.0
2025-05-28,59.6,59.73,59.34,59.48,4767097.0
2025-05-29,59.19,59.56,58.89,59.48,5322182.0
2025-05-30,59.52,60.615,59.5,60.61,12772847.0
2025-06-02,60.36,60.635,60.1507,60.63,6413392.0
2025-06-03,60.55,60.88,59.83,60.37,6785192.0
2025-06-04,60.345,60.41,59.18,59.31,7602569.0
2025-06-05,59.42,59.605,58.93,59.39,9057354.0
2025-06-06,59.35,59.66,59.23,59.24,4858251.0
2025-06-09,59.16,59.335,58.905,59.07,6357515.0
2025-06-10,59.08,59.25,58.395,58.56,8697203.0
2025-06-11,58.56,59.95,58.54,59.91,9052329.0
2025-06-12,60.11,60.14,59.2,59.92,10489414.0
2025-06-13,60.2,60.5,59.55,59.81,10173983.0
2025-06-16,58.62,59.3305,58.17,58.8,10536864.0
2025-06-17,58.81,59.38,58.4147,58.99,7222398.0
2025-06-18,58.93,59.79,58.93,59.49,8262854.0
2025-06-20,59.33,59.75,59.19,59.75,23289820.0
2025-06-23,59.75,60.63,59.7,60.49,8956933.0
2025-06-24,60.43,60.45,59.895,59.91,5767078.0
2025-06-25,59.71,59.81,58.93,58.94,7040710.0
2025-06-26,59.04,59.48,58.65,58.79,6974719.0
2025-06-27,58.65,58.85,58.24,58.75,11502869.0
2025-06-30,58.72,58.79,58.2601,58.63,9462311.0
2025-07-01,58.92,59.2891,58.035,58.14,7656848.0
2025-07-02,58.525,59.23,58.25,59.17,9264249.0
2025-07-03,59.07,59.65,59.03,59.65,4776064.0
2025-07-07,59.62,60.3598,59.59,60.25,7376477.0
2025-07-08,60.0,60.28,59.23,59.54,7939232.0
2025-07-09,59.42,59.4894,56.86,57.75,22224798.0
2025-07-10,57.715,58.67,57.5,58.55,14343252.0
2025-07-11,58.44,58.44,57.595,57.8,9431086.0
2025-07-14,58.0,58.33,57.53,58.13,8320656.0
2025-07-15,57.8,58.62,57.75,58.48,7739828.0
2025-07-16,58.47,58.965,58.345,58.86,7054271.0
2025-07-17,58.7,59.56,57.5,57.98,12501416.0
2025-07-18,57.98,58.335,57.77,58.02,5688772.0
2025-07-21,57.9,59.1099,57.9,58.92,6946798.0
2025-07-22,58.55,59.525,58.15,59.44,9649454.0
2025-07-23,59.17,59.86,58.985,59.77,7172201.0
2025-07-24,59.715,59.815,59.31,59.61,6933909.0
2025-07-25,59.56,59.925,59.475,59.84,6368776.0
2025-07-28,59.745,59.83,58.6,58.72,7419866.0
2025-07-29,58.52,59.675,58.43,59.36,11825557.0
2025-07-30,59.87,62.21,59.81,61.5,20487541.0
2025-07-31,61.21,62.315,60.91,61.94,10623146.0
2025-08-01,62.155,62.6482,61.685,61.78,9689442.0
2025-08-04,61.755,62.47,61.755,61.94,6384480.0
2025-08-05,61.99,62.625,61.965,62.52,5889468.0
2025-08-06,62.84,63.76,62.53,63.15,6482840.0
2025-08-07,63.0,63.62,62.74,63.55,5124444.0
2025-08-08,63.56,64.35,63.55,64.19,5434920.0
2025-08-11,64.4,65.95,64.31,65.67,10650455.0
2025-08-12,65.74,66.285,65.51,66.01,8849174.0
2025-08-13,65.97,66.16,65.0328,65.5,7508237.0
2025-08-14,65.51,65.9199,65.36,65.55,10791103.0
2025-08-15,65.65,66.175,65.2325,65.82,10137262.0
2025-08-18,65.95,66.6,65.89,65.99,7371716.0
2025-08-19,66.0,66.59,65.745,66.56,6482727.0
2025-08-20,66.8,67.87,66.6,67.58,8893120.0
2025-08-21,67.59,67.8,67.215,67.68,5963169.0
2025-08-22,68.01,68.6,67.325,67.67,9603301.0
2025-08-25,67.5,67.71,66.97,67.05,5706756.0
2025-08-26,67.02,67.02,66.23,66.45,8535641.0
2025-08-27,66.46,66.635,66.115,66.41,4973531.0
2025-08-28,66.37,66.505,65.62,66.42,5807693.0
2025-08-29,66.55,67.245,66.46,67.21,5930626.0
2025-09-02,67.39,67.54,66.6584,67.13,6919688.0
2025-09-03,66.9,67.13,66.04,66.63,6722322.0
2025-09-04,66.82,67.41,66.25,66.59,6388619.0
2025-09-05,66.5,66.83,66.19,66.55,5935912.0
2025-09-08,66.49,66.86,65.475,65.77,10316609.0
2025-09-09,65.7,66.295,65.04,66.19,6918483.0
2025-09-10,66.17,66.52,65.87,66.23,6677270.0
2025-09-11,66.28,66.625,65.99,66.36,10022768.0
2025-09-12,66.31,66.73,65.92,66.65,7975862.0
2025-09-15,65.3,65.58,64.7901,64.89,9129700.0
2025-09-16,64.78,64.99,64.09,64.81,9536281.0
2025-09-17,65.175,65.595,64.93,65.51,7261063.0
2025-09-18,65.0,65.0,63.94,63.94,10329697.0
2025-09-19,64.05,64.97,63.865,64.89,22705131.0
2025-09-22,64.8,64.85,63.405,63.79,7628257.0
2025-09-23,63.77,64.88,63.6392,64.87,7417411.0
2025-09-24,64.72,65.37,64.54,65.13,6838154.0
2025-09-25,65.75,65.99,65.06,65.19,5747914.0
2025-09-26,65.35,65.82,65.135,65.71,5513848.0
2025-09-29,65.5,65.69,65.055,65.67,6867440.0
2025-09-30,65.69,66.18,65.36,66.06,7797283.0
2025-10-01,66.16,66.34,65.77,66.29,8514638.0
2025-10-02,66.18,66.62,65.5,65.75,6043286.0
2025-10-03,65.67,66.24,65.19,65.73,7028798.0
2025-10-06,65.14,65.4973,64.775,65.37,7768363.0
2025-10-07,65.49,66.65,65.45,66.65,8825535.0
2025-10-08,66.61,66.7199,65.232,65.42,10933748.0
2025-10-09,65.55,65.98,65.3,65.72,6965113.0
2025-10-10,66.1,67.12,65.69,66.54,11649576.0
2025-10-13,65.87,66.25,64.675,64.95,8089661.0
2025-10-14,65.0,65.87,64.83,65.4,6584755.0
2025-10-15,65.23,65.6793,64.8,64.87,6790091.0
2025-10-16,64.85,64.9599,64.095,64.26,6458051.0
2025-10-17,64.72,65.07,64.28,65.05,6389647.0
2025-10-20,65.1,65.2,64.12,64.4,6208990.0
2025-10-21,64.45,64.585,62.95,63.75,9162426.0
2025-10-22,64.1,64.54,63.78,64.43,6025902.0
2025-10-23,64.66,64.83,64.2,64.57,5163172.0
2025-10-24,64.54,64.97,64.54,64.67,4489666.0
2025-10-27,64.42,64.42,63.585,63.74,7713008.0
2025-10-28,63.7,63.977,63.205,63.28,6000570.0
2025-10-29,63.02,63.39,61.9,61.97,10276067.0
2025-10-30,59.17,59.5,56.5,57.13,24613839.0
2025-10-31,57.16,58.08,56.33,56.38,15679937.0
2025-11-03,56.42,57.0,56.18,56.67,12745014.0
2025-11-04,57.09,57.38,56.4202,57.31,9866049.0
2025-11-05,57.6,58.17,56.885,57.16,8448446.0
2025-11-06,57.05,57.73,56.795,57.27,7864567.0
2025-11-07,57.59,58.125,57.15,58.03,8937443.0
2025-11-10,57.85,57.9,57.26,57.55,7814255.0
2025-11-11,57.8,58.74,57.765,58.41,6974843.0
2025-11-12,58.4,58.795,58.03,58.05,8901977.0
2025-11-13,58.2,58.275,57.54,57.81,7925224.0
