date,open,high,low,close,volume
2025-04-10,127.07,130.2,118.65,121.53,3970634.0
2025-04-11,120.74,123.7973,117.7383,123.43,2901225.0
2025-04-14,126.99,127.45,123.29,124.85,2709609.0
2025-04-15,124.04,125.79,121.69,122.23,2416189.0
2025-04-16,123.665,127.87,122.72,124.07,2897300.0
2025-04-17,125.6,128.93,125.6,127.72,2387715.0
2025-04-21,125.28,127.08,124.0,126.72,2425136.0
2025-04-22,129.4,132.18,128.21,131.39,1736236.0
2025-04-23,134.36,136.62,132.0,134.3,2996333.0
2025-04-24,135.27,138.26,134.035,137.54,3061566.0
2025-04-25,136.37,137.67,135.79,137.44,1681151.0
2025-04-28,137.45,138.38,135.99,137.58,1868397.0
2025-04-29,136.29,138.66,135.88,138.31,1747586.0
2025-04-30,135.65,138.0,133.0,137.41,2549276.0
2025-05-01,138.29,141.39,136.8,137.72,2053477.0
2025-05-02,139.85,142.17,137.3,141.55,1944833.0
2025-05-05,141.23,144.68,140.36,143.33,3427400.0
2025-05-06,144.72,146.35,141.91,144.55,3304165.0
2025-05-07,145.19,146.04,142.73,144.69,3135366.0
2025-05-08,145.28,151.75,145.28,149.97,2643939.0
2025-05-09,151.79,152.32,149.645,150.89,1567501.0
2025-05-12,158.96,161.39,156.21,158.14,3419190.0
2025-05-13,159.24,164.86,157.71,162.84,4014902.0
2025-05-14,161.36,164.5393,161.16,163.52,2291227.0
2025-05-15,161.02,165.52,160.88,165.29,2300052.0
2025-05-16,165.7,165.7,162.84,164.12,2836148.0
2025-05-19,162.96,164.0399,160.7,162.27,1987756.0
2025-05-20,162.15,163.34,161.14,161.53,1431726.0
2025-05-21,158.95,159.76,156.63,156.7,2832246.0
2025-05-22,156.0,160.58,154.65,158.89,2365372.0
2025-05-23,157.44,160.1,157.44,159.11,1576925.0
2025-05-27,160.27,163.2,158.95,162.33,2480118.0
2025-05-28,163.26,163.27,158.33,158.61,1513761.0
2025-05-29,158.0,160.07,156.3603,159.92,1961172.0
2025-05-30,159.78,161.3,159.13,160.74,4475396.0
2025-06-02,163.91,163.91,156.02,158.75,2960513.0
2025-06-03,159.12,163.74,157.83,161.97,2004856.0
2025-06-04,161.41,162.785,156.811,156.95,2582218.0
2025-06-05,157.7,159.18,155.93,158.21,1533604.0
2025-06-06,159.12,161.56,158.555,160.12,1351716.0
2025-06-09,161.79,162.33,159.74,160.27,1895795.0
2025-06-10,161.92,164.56,161.49,162.64,1976107.0
2025-06-11,164.44,166.0,162.56,164.66,2019185.0
2025-06-12,162.7,165.16,161.66,165.07,1726067.0
2025-06-13,164.64,166.72,163.86,166.15,2705512.0
2025-06-16,164.61,167.77,163.62,166.78,2885840.0
2025-06-17,168.36,171.3399,166.25,170.08,3850797.0
2025-06-18,169.53,171.34,167.2805,167.42,2593734.0
2025-06-20,167.62,169.93,167.17,169.12,6556489.0
2025-06-23,170.58,170.7099,165.73,166.61,3356798.0
2025-06-24,164.6,167.27,163.4,165.29,2875965.0
2025-06-25,165.13,167.19,164.5,165.69,2006911.0
2025-06-26,166.65,168.805,165.765,167.52,1711454.0
2025-06-27,166.16,167.84,164.5,167.41,8636562.0
2025-06-30,166.72,168.09,165.6217,166.11,1661003.0
2025-07-01,166.36,171.48,165.62,169.95,1949322.0
2025-07-02,171.47,174.46,170.1755,174.46,1556856.0
2025-07-03,173.28,176.8676,173.0,176.05,1135939.0
2025-07-07,174.96,177.5,174.4163,176.45,1692608.0
2025-07-08,176.71,180.56,176.47,179.93,2426450.0
2025-07-09,179.93,180.77,178.03,179.27,1976240.0
2025-07-10,179.13,183.1,177.58,182.26,3765828.0
2025-07-11,181.75,182.09,179.26,179.86,4388213.0
2025-07-14,177.89,178.6,173.99,175.63,2732238.0
2025-07-15,175.86,177.28,174.56,175.62,1784954.0
2025-07-16,176.4,177.15,171.48,172.37,2585081.0
2025-07-17,172.86,174.68,172.43,174.17,1619726.0
2025-07-18,176.65,178.33,174.21,174.21,2623699.0
2025-07-21,174.99,176.47,173.95,174.88,1458156.0
2025-07-22,174.81,176.865,174.44,175.25,1431346.0
2025-07-23,175.76,177.75,175.02,177.54,1798292.0
2025-07-24,174.99,176.57,170.12,171.31,2607379.0
2025-07-25,172.07,173.225,170.34,171.57,1287759.0
2025-07-28,172.7,174.955,171.8701,174.8,1100399.0
2025-07-29,175.25,175.5,172.99,175.43,1296340.0
2025-07-30,173.81,174.02,169.45,170.78,1494576.0
2025-07-31,170.33,171.92,169.173,170.19,1340662.0
2025-08-01,167.8,168.0,164.775,165.53,1385321.0
2025-08-04,166.4,168.78,165.76,167.96,2068509.0
2025-08-05,169.47,170.09,165.49,168.92,1923410.0
2025-08-06,169.67,170.3,160.845,162.44,2755537.0
2025-08-07,164.27,165.0,161.44,161.51,1587808.0
2025-08-08,162.22,163.16,160.29,160.84,1278171.0
2025-08-11,162.47,162.83,158.0801,158.59,1784184.0
2025-08-12,160.0,161.62,158.547,159.11,2291850.0
2025-08-13,159.0,161.83,158.0001,161.73,2071968.0
2025-08-14,160.66,162.58,159.01,162.32,1373247.0
2025-08-15,162.48,163.47,161.53,162.34,1831457.0
2025-08-18,161.37,162.95,160.87,162.67,1487787.0
2025-08-19,162.36,165.345,161.8,164.38,2155341.0
2025-08-20,163.95,166.66,163.37,165.82,1540075.0
2025-08-21,165.01,166.08,163.1,164.94,1299678.0
2025-08-22,165.71,171.08,165.08,170.88,1734072.0
2025-08-25,170.72,172.8,170.31,172.18,1477305.0
2025-08-26,170.99,173.57,170.23,173.51,3153896.0
2025-08-27,173.25,178.5537,173.0586,177.89,1820563.0
2025-08-28,178.38,179.33,175.4605,179.3,1844100.0
2025-08-29,179.78,181.425,178.19,179.71,1753840.0
2025-09-02,178.86,180.24,177.9025,180.15,2245614.0
2025-09-03,180.0,183.5,177.35,179.0,1751373.0
2025-09-04,179.66,180.13,178.16,178.98,1494012.0
2025-09-05,178.5,180.48,177.05,180.28,1696279.0
2025-09-08,179.93,181.24,176.89,181.19,2006803.0
2025-09-09,182.39,186.282,178.475,183.18,2307706.0
2025-09-10,183.0,184.78,177.42,181.69,1800282.0
2025-09-11,182.28,183.74,180.66,182.31,1265815.0
2025-09-12,183.0,183.54,179.83,180.28,1500305.0
2025-09-15,180.11,181.94,178.875,179.94,1765485.0
2025-09-16,181.28,184.53,180.0,182.99,2250063.0
2025-09-17,182.82,186.08,182.055,184.68,1885830.0
2025-09-18,186.0,186.0,182.03,185.03,1570757.0
2025-09-19,185.3,185.73,182.86,185.46,6246901.0
2025-09-22,185.58,188.7,185.2478,187.25,1783239.0
2025-09-23,187.74,192.61,187.17,190.87,1787467.0
2025-09-24,191.51,194.92,191.0,193.1,1526773.0
2025-09-25,193.1,196.7,192.075,196.44,1811431.0
2025-09-26,198.0,201.61,197.07,198.69,2042793.0
2025-09-29,198.33,198.44,194.495,196.47,1402212.0
2025-09-30,194.78,195.64,191.29,192.74,1532154.0
2025-10-01,192.09,193.4758,191.08,192.31,1265196.0
2025-10-02,191.03,192.94,189.42,192.24,1642839.0
2025-10-03,195.25,198.75,193.14,193.14,1968743.0
2025-10-06,193.62,197.1,193.19,193.52,1013228.0
2025-10-07,192.72,193.4899,187.805,191.54,1352292.0
2025-10-08,191.0,191.16,188.02,188.71,2416746.0
2025-10-09,189.72,190.89,186.63,187.56,1284034.0
2025-10-10,186.0,187.68,180.72,180.89,1678432.0
2025-10-13,183.75,185.0899,182.37,183.4,1095515.0
2025-10-14,181.41,186.09,181.25,183.12,1389673.0
2025-10-15,184.65,185.415,181.91,183.83,1882647.0
2025-10-16,185.3,185.3,180.32,181.15,1193732.0
2025-10-17,183.36,185.5,181.18,184.47,1954288.0
2025-10-20,184.93,187.3,184.68,186.27,957927.0
2025-10-21,186.11,186.7,182.61,182.87,1282408.0
2025-10-22,184.07,188.82,181.79,188.54,1710115.0
2025-10-23,190.09,197.33,189.97,195.96,1931394.0
2025-10-24,196.89,198.79,195.97,196.22,1233261.0
2025-10-27,196.72,197.56,194.34,196.23,2622610.0
2025-10-28,194.63,196.1446,191.95,192.21,1170993.0
2025-10-29,191.57,197.46,190.32,195.75,1624593.0
2025-10-30,196.44,200.65,195.49,195.63,1697231.0
2025-10-31,196.2,196.5,193.33,194.91,1538966.0
2025-11-03,194.76,196.525,193.46,195.79,1443245.0
2025-11-04,179.1,187.24,175.0,183.78,5838713.0
2025-11-05,184.79,189.655,184.01,186.18,2092865.0
2025-11-06,187.62,195.93,187.62,192.72,3079281.0
2025-11-07,194.1,197.07,191.57,193.76,2174192.0
2025-11-10,193.33,198.76,191.55,196.36,2269126.0
2025-11-11,197.8,201.72,197.42,200.13,2132877.0
2025-11-12,199.64,202.25,196.35,196.9,2506234.0
2025-11-13,197.23,199.4025,193.71,194.58,2218083.0
2025-11-14,196.64,202.295,195.36,199.98,1714728.0
2025-11-17,198.88,199.37,195.295,195.97,1984010.0
2025-11-18,195.62,199.66,195.0,199.61,1545573.0
2025-11-19,193.22,196.2,190.49,195.52,2076823.0
2025-11-20,195.62,197.955,187.415,187.87,2983889.0
2025-11-21,187.89,192.065,186.56,190.62,1914473.0
2025-11-24,189.54,191.76,186.45,190.18,2533407.0
2025-11-25,188.8,191.2,187.14,190.0,1594435.0
2025-11-26,189.99,193.5,189.75,191.74,1253617.0
2025-11-28,193.12,196.0,192.9401,193.73,1020932.0
2025-12-01,194.12,198.165,194.12,196.14,1703723.0
2025-12-02,194.65,194.68,189.77,192.7,1911660.0
2025-12-03,193.26,193.9979,188.455,189.43,2415909.0
2025-12-04,188.61,191.7,187.64,190.15,2103003.0
2025-12-05,189.91,193.53,189.91,190.53,1441766.0
2025-12-08,188.39,191.57,186.92,189.66,2258666.0
2025-12-09,189.72,192.17,188.5845,190.73,1808620.0
2025-12-10,190.83,192.415,187.52,191.3,2782596.0
2025-12-11,188.73,190.37,186.62,187.11,2603205.0
2025-12-12,187.9,188.19,184.13,185.77,2419273.0
2025-12-15,185.01,185.82,184.02,185.51,2402750.0
2025-12-16,184.01,185.17,175.25,176.79,2889200.0
2025-12-17,177.29,177.53,172.8601,174.5,3050877.0
2025-12-18,173.41,174.38,167.13,168.11,2888624.0
2025-12-19,168.39,170.5302,167.27,168.32,6618083.0
2025-12-22,169.9,170.7895,164.64,164.77,1999839.0
2025-12-23,165.27,166.95,164.22,166.4,2380588.0
2025-12-24,165.54,166.3099,164.45,165.73,996151.0
2025-12-26,165.01,165.8799,163.34,163.69,1262312.0
2025-12-29,164.79,165.0,162.62,163.6,1847571.0
2025-12-30,164.59,164.805,162.82,163.82,1224080.0
2025-12-31,164.09,164.165,161.93,162.63,1323765.0
2026-01-02,162.85,165.36,162.33,165.14,1409405.0
2026-01-05,173.15,177.6999,171.5,174.94,5033221.0
2026-01-06,175.13,175.68,170.23,170.42,2378701.0
2026-01-07,173.36,176.65,168.6936,172.51,2731070.0
2026-01-08,172.76,178.83,171.55,177.07,2409260.0
2026-01-09,178.02,178.8,174.38,176.17,2589010.0
2026-01-12,175.92,177.319,174.0001,175.54,2096302.0
2026-01-13,175.71,179.09,174.4,175.85,2546714.0
2026-01-14,176.19,183.43,176.0,181.09,2825673.0
2026-01-15,179.33,179.785,177.01,177.59,2004504.0
2026-01-16,177.2,178.75,174.96,175.63,1627498.0
2026-01-20,176.69,177.7398,174.05,174.88,1302261.0
2026-01-21,178.4,182.57,177.22,177.48,2389130.0
2026-01-22,176.48,177.95,174.31,175.76,1877473.0
2026-01-23,177.68,181.61,175.0622,175.38,1635143.0
2026-01-26,177.35,177.5,172.24,172.54,1610858.0
2026-01-27,172.92,174.0099,170.495,171.79,2452638.0
2026-01-28,173.0,174.0,170.0801,172.01,1691272.0
2026-01-29,175.41,180.74,175.24,175.74,2826228.0
2026-01-30,175.13,176.75,172.0,176.19,2098525.0
2026-02-02,172.74,177.32,171.735,176.91,3026999.0
2026-02-03,180.69,187.64,172.44,187.58,5254912.0
2026-02-04,188.99,197.58,188.14,195.92,4157883.0
2026-02-05,193.57,195.83,190.9925,195.83,1900662.0
2026-02-06,196.79,204.37,196.17,203.0,2316012.0
2026-02-09,204.05,206.45,202.31,204.26,2004808.0
2026-02-10,204.12,204.27,200.96,204.15,1814674.0
2026-02-11,206.47,209.4,205.0601,208.64,1629160.0
2026-02-12,209.0,210.32,197.81,198.02,1917441.0
2026-02-13,196.38,204.315,195.75,203.26,1592788.0
2026-02-17,204.75,207.3,197.63,200.54,2222289.0
2026-02-18,201.4,202.0,198.39,199.57,1561629.0
2026-02-19,200.54,201.981,196.31,196.47,2013361.0
2026-02-20,195.94,198.45,194.58,196.76,1714061.0
2026-02-23,196.33,199.75,190.44,192.82,2214175.596983
2026-02-24,191.31,195.33,190.84,195.29,1938304.254599
2026-02-25,196.0,197.5,192.24,195.77,1886423.522075
2026-02-26,194.21,202.84,193.42,201.07,2021416.38353
2026-02-27,200.0,200.01,190.32,198.21,4760546.191263
2026-03-02,203.93,210.42,202.17,209.82,3771754.636443
2026-03-03,213.67,215.5711,206.05,211.98,2759358.2252
2026-03-04,212.1,222.05,211.995,220.77,3440376.782207
2026-03-05,224.9,228.55,213.96,217.36,3731696.636265
2026-03-06,217.75,221.43,214.2501,221.28,3399056.367251
2026-03-09,223.56,223.66,213.68,215.7,4136742.62355
2026-03-10,215.0,220.3,212.375,215.23,2189715.786183
2026-03-11,217.39,226.84,216.2,226.74,2223300.479396
2026-03-12,227.41,236.105,227.0,230.07,4233167.562571
2026-03-13,228.17,231.87,225.85,226.18,2613173.96146
2026-03-16,228.42,230.59,225.25,228.94,2739893.317949
2026-03-17,230.0,234.5,228.85,233.26,2007991.103608
2026-03-18,234.5,238.77,232.14,236.24,3006527.389483
2026-03-19,237.53,242.98,234.71,235.78,4218919.4914
