date,open,high,low,close,volume
2025-05-08,648.79,656.41,630.0,639.93,638321.0
2025-05-09,647.48,656.0,630.62,637.77,639266.0
2025-05-12,693.98,720.995,680.0,709.23,1506913.0
2025-05-13,705.75,742.2,705.75,737.73,909264.0
2025-05-14,737.0,754.9999,725.85,734.28,589590.0
2025-05-15,725.62,730.36,703.345,710.32,981490.0
2025-05-16,712.75,716.79,696.4548,715.4,362167.0
2025-05-19,692.78,706.704,688.1,702.39,512542.0
2025-05-20,695.5,702.23,692.765,700.17,421122.0
2025-05-21,691.0,703.97,674.465,678.62,487472.0
2025-05-22,680.02,694.8191,671.07,672.2,461341.0
2025-05-23,649.99,668.105,648.68,662.18,508537.0
2025-05-27,683.33,689.52,671.66,685.52,787654.0
2025-05-28,686.06,689.4,675.47,677.48,517834.0
2025-05-29,699.51,699.51,677.11,680.72,419847.0
2025-05-30,671.53,679.97,643.356,661.9,950478.0
2025-06-02,661.31,671.15,655.5,668.66,422818.0
2025-06-03,669.79,688.8,662.7946,685.76,521392.0
2025-06-04,693.385,721.27,689.19,694.75,534656.0
2025-06-05,701.76,705.9,674.82,681.06,568871.0
2025-06-06,698.27,698.76,685.52,687.08,293532.0
2025-06-09,693.54,711.0,689.895,706.28,550527.0
2025-06-10,712.72,738.81,708.795,731.84,901254.0
2025-06-11,736.61,740.9,709.21,720.83,565097.0
2025-06-12,713.44,730.0,713.41,718.57,322799.0
2025-06-13,699.85,702.94,670.0005,673.01,1027998.0
2025-06-16,684.455,712.733,681.2246,706.59,613938.0
2025-06-17,700.0,710.725,689.82,690.87,430405.0
2025-06-18,693.85,706.3975,686.0565,693.24,455221.0
2025-06-20,704.97,704.97,676.66,685.9,1074812.0
2025-06-23,685.9,695.0,671.18,692.62,480644.0
2025-06-24,705.85,719.15,700.6527,716.58,709971.0
2025-06-25,717.32,724.99,708.825,722.82,337437.0
2025-06-26,728.0,744.01,718.99,735.17,494548.0
2025-06-27,736.09,745.48,724.98,736.03,562283.0
2025-06-30,737.475,741.49,723.2,731.38,396528.0
2025-07-01,729.23,756.74,722.245,746.97,587232.0
2025-07-02,743.09,770.0,735.76,764.4,578867.0
2025-07-03,770.0,776.8816,754.405,758.64,400080.0
2025-07-07,748.23,755.31,736.6346,741.17,450936.0
2025-07-08,753.16,770.15,750.16,761.31,504242.0
2025-07-09,762.01,778.855,730.0,751.14,584820.0
2025-07-10,756.41,756.41,735.4,740.45,386935.0
2025-07-11,739.14,747.6,725.0,736.06,383155.0
2025-07-14,729.43,729.58,703.06,721.14,561207.0
2025-07-15,742.75,754.99,716.95,717.62,585728.0
2025-07-16,716.54,722.225,686.87,714.03,779809.0
2025-07-17,709.89,717.715,703.43,713.57,431703.0
2025-07-18,719.89,725.83,705.84,725.24,432751.0
2025-07-21,728.59,737.755,723.91,724.77,409706.0
2025-07-22,723.49,729.95,702.3225,719.98,554220.0
2025-07-23,717.88,721.46,708.0,720.01,401851.0
2025-07-24,717.46,720.815,702.56,713.0,343509.0
2025-07-25,711.61,718.25,704.02,714.68,275910.0
2025-07-28,722.555,741.07,721.72,738.55,545600.0
2025-07-29,745.52,751.49,715.0,724.37,488924.0
2025-07-30,734.46,747.5,726.05,730.54,629956.0
2025-07-31,731.24,740.0,706.0,711.24,1344500.0
2025-08-01,740.0,803.0,711.46,785.62,1524271.0
2025-08-04,791.42,831.97,778.9,830.63,1360548.0
2025-08-05,830.0,834.44,774.14,802.78,988895.0
2025-08-06,802.0,807.4,790.065,805.85,416428.0
2025-08-07,816.3,819.5,785.0,797.94,640358.0
2025-08-08,798.52,815.0,794.5,804.29,399365.0
2025-08-11,806.23,815.4,795.82,797.51,540527.0
2025-08-12,807.8,843.9999,803.0,840.56,714110.0
2025-08-13,845.6,865.13,840.0,861.8,543993.0
2025-08-14,845.53,854.99,836.5101,848.81,582684.0
2025-08-15,851.92,851.92,823.8501,826.47,575639.0
2025-08-18,823.59,853.24,823.01,850.31,563880.0
2025-08-19,854.4,868.0,839.955,844.8,558061.0
2025-08-20,840.83,847.57,805.94,826.27,673298.0
2025-08-21,814.22,831.31,812.0,820.74,413072.0
2025-08-22,822.24,859.79,820.64,844.0,548835.0
2025-08-25,841.41,850.44,832.2001,837.86,348017.0
2025-08-26,839.86,857.9899,839.86,850.64,404065.0
2025-08-27,847.9,870.0,843.53,866.32,326701.0
2025-08-28,866.98,875.05,857.4,858.46,468149.0
2025-08-29,849.41,853.49,825.16,835.76,568929.0
2025-09-02,811.11,824.97,800.97,823.65,517496.0
2025-09-03,830.26,830.26,809.535,827.56,432681.0
2025-09-04,827.56,850.1425,817.565,848.11,424657.0
