date,open,high,low,close,volume
2026-01-14,182.81,184.66,182.03,183.27,1696847.0
2026-01-15,183.14,184.45,181.88,182.26,2213547.0
2026-01-16,179.92,182.67,179.8801,182.4,4296306.0
2026-01-20,182.05,182.53,180.06,181.0,3089885.0
2026-01-21,181.45,182.0,178.26,179.68,3337755.0
2026-01-22,178.79,180.73,178.305,180.65,2518268.0
2026-01-23,179.28,183.27,178.0001,183.16,2611224.0
2026-01-26,182.9,185.0,182.2821,183.66,3281475.0
2026-01-27,182.11,182.5,178.525,179.18,3389437.0
2026-01-28,178.0,179.741,176.75,178.18,4118265.0
2026-01-29,182.5,188.84,180.61,187.92,3610828.0
2026-01-30,190.0,190.0,185.65,188.19,2903809.0
2026-02-02,189.98,191.61,187.6901,188.25,2811375.0
2026-02-03,187.18,190.36,186.635,188.49,3063932.0
2026-02-04,188.38,193.32,187.23,189.75,4263022.0
2026-02-05,190.87,193.08,187.07,187.51,3480214.0
2026-02-06,188.28,189.11,184.64,185.03,2342457.0
2026-02-09,184.18,184.97,170.78,171.14,5435484.0
2026-02-10,173.12,176.39,172.06,175.34,4799044.0
2026-02-11,174.13,175.91,172.01,173.0,4878249.0
2026-02-12,172.02,175.59,170.37,173.33,4544857.0
2026-02-13,172.25,174.77,172.25,174.06,2756987.0
2026-02-17,177.16,178.31,174.28,175.83,2703946.0
2026-02-18,176.31,178.19,175.6,178.11,2642635.0
2026-02-19,177.77,179.41,176.75,178.87,2721724.0
2026-02-20,179.0,179.99,177.66,179.32,3868562.0
2026-02-23,178.92,181.0,176.645,176.99,3073464.509023
2026-02-24,175.36,178.54,174.15,178.43,3973913.526438
2026-02-25,179.15,181.64,178.99,181.1,3475585.406342
2026-02-26,182.44,185.75,181.785,185.29,2768604.608025
2026-02-27,185.45,187.77,184.59,186.74,3369536.193478
2026-03-02,185.34,187.505,184.63,186.43,1993064.721295
2026-03-03,184.5,186.13,182.1101,184.23,2513609.466607
2026-03-04,183.3,184.99,181.87,184.84,2156226.57021
2026-03-05,184.35,186.795,182.86,185.0,1991836.262622
2026-03-06,184.29,184.29,180.97,183.08,3040356.572489
2026-03-09,182.24,182.445,177.92,179.97,3131260.635761
2026-03-10,179.09,179.09,173.82,174.0,2667239.092819
2026-03-11,174.35,175.31,171.565,173.97,2980905.37455
2026-03-12,173.24,176.42,170.84,170.88,3028584.790109
2026-03-13,172.86,173.845,171.18,172.15,1800802.774408
2026-03-16,173.15,174.81,171.4,173.76,2183858.110097
2026-03-17,175.0,176.62,170.94,171.94,2860370.729442
2026-03-18,170.75,171.89,164.89,171.02,2257735.373827
2026-03-19,171.25,172.38,169.795,170.91,3052596.373013
2026-03-20,172.81,176.9,171.38,176.48,9676366.467333
2026-03-23,176.47,178.16,173.83,173.87,2735348.170406
2026-03-24,174.15,174.86,172.67,173.1,2810902.792207
2026-03-25,171.91,174.44,169.74,174.2,3821514.849179
2026-03-26,174.37,177.04,173.25,174.14,3125914.218088
2026-03-27,173.83,174.56,169.14,169.17,3986413.992032
2026-03-30,170.17,175.58,170.13,174.72,3947963.76459
2026-03-31,174.92,176.64,171.55,173.45,5076714.404344
2026-04-01,172.77,174.75,171.5775,171.87,2840134.617763
2026-04-02,171.94,176.165,171.73,174.61,2143712.031699
2026-04-06,175.0,176.32,174.42,174.82,2372118.563331
2026-04-07,175.18,175.44,172.3,172.66,1697681.825842
2026-04-08,171.99,175.97,171.86,175.81,1912596.271832
2026-04-09,173.36,174.675,172.03,173.14,2227357.235597
2026-04-10,171.74,172.005,165.055,168.15,2974667.040951
2026-04-13,168.83,173.57,168.28,173.55,2811363.188372
2026-04-14,172.49,173.84,171.76,172.85,1997797.076031
2026-04-15,173.44,175.84,172.53,174.9,2593601.75254
2026-04-16,178.19,183.45,178.1,182.57,4155058.155555
2026-04-17,181.76,182.105,175.69,175.8,3931525.567153
2026-04-20,175.95,176.59,172.87,174.59,5032870.39236
2026-04-21,175.85,179.08,175.07,179.0,3486204.020984
2026-04-22,178.31,178.85,174.2,175.5,3555838.227286
2026-04-23,174.7,175.1,172.45,174.01,3821531.017697
2026-04-24,172.41,173.248,169.62,170.1,1713499.782945
2026-04-27,169.05,173.075,169.05,170.15,3069694.95356
2026-04-28,172.37,172.85,168.865,170.82,2069570.021449
2026-04-29,170.62,171.49,169.49,170.83,2166956.310546
2026-04-30,168.36,169.635,165.705,167.71,2994257.164166
2026-05-01,168.94,171.03,166.0,166.18,2482062.540242
2026-05-04,165.6,169.03,165.0,167.87,2979144.332924
2026-05-05,167.49,167.97,165.73,167.27,2320472.600903
2026-05-06,168.18,169.0,163.81,163.9,3087746.90103
2026-05-07,162.85,167.64,162.85,166.03,2928491.87788
2026-05-08,165.54,166.7521,162.5,163.25,1948128.915579
2026-05-11,162.99,164.82,161.38,161.58,4216073.480174
2026-05-12,162.57,164.885,161.06,163.39,3252164.841772
2026-05-13,161.61,162.58,158.16,159.14,2227210.263197
2026-05-14,159.38,161.98,159.22,160.02,3285089.603535
2026-05-15,161.38,163.26,160.96,161.05,3456926.902446
2026-05-18,161.24,166.08,161.24,165.98,2415229.691346
2026-05-19,167.0,169.17,164.93,166.07,2706864.8163
2026-05-20,164.39,165.42,162.45,163.38,2073488.823658
2026-05-21,162.0,165.29,160.81,165.12,2087127.826402
2026-05-22,164.79,165.89,162.88,164.11,2463733.913996
2026-05-26,162.62,163.93,161.9,161.97,2014118.237142
2026-05-27,162.13,164.515,159.96,160.59,2854468.446387
2026-05-28,160.12,161.8099,159.39,159.53,2964781.482575
2026-05-29,158.81,160.82,157.74,159.97,5898708.752628
2026-06-01,159.84,162.58,159.84,162.55,2844031.203199
2026-06-02,161.71,162.7,159.05,161.39,2410006.088486
2026-06-03,160.29,161.29,156.6,157.32,4150324.867135
2026-06-04,160.79,162.89,159.625,161.26,3179457.855121
2026-06-05,163.31,166.205,162.56,165.44,3006735.035389
2026-06-08,164.45,165.09,161.67,162.52,2364486.095172
2026-06-09,161.8,166.78,161.62,165.52,1713618.868259
2026-06-10,167.06,168.82,165.66,167.15,2272495.681432
2026-06-11,167.17,168.815,166.79,168.15,2341330.025873
2026-06-12,167.89,170.15,166.76,168.68,2541583.668812
2026-06-15,167.915,167.9899,165.6,166.19,2331568.349049
2026-06-16,166.53,167.44,165.81,166.78,2255072.132055
2026-06-17,165.46,169.105,163.61,164.22,2407569.022415
2026-06-18,164.96,165.0,160.68,162.41,4188346.569895
2026-06-22,162.87,164.24,160.0,160.12,2676419.060613
