date,open,high,low,close,volume
2025-07-15,73.75,74.01,72.1185,72.41,15683138.0
2025-07-16,70.13,71.015,68.0,70.85,26477225.0
2025-07-17,71.1,73.1299,70.1183,72.01,15029989.0
2025-07-18,72.35,75.255,71.15,74.65,16914838.0
2025-07-21,73.485,73.55,72.2,73.06,15595299.0
2025-07-22,72.975,73.15,70.3,71.99,12192278.0
2025-07-23,72.57,73.705,72.24,73.27,11238972.0
2025-07-24,73.665,74.12,72.39,74.04,10641420.0
2025-07-25,74.0,74.55,73.1,74.21,9830297.0
2025-07-28,75.145,76.585,74.66,75.91,13267385.0
2025-07-29,76.4,78.755,75.97,76.34,14717171.0
2025-07-30,83.11,85.27,80.57,81.74,45527621.0
2025-07-31,82.75,83.25,79.62,80.37,26433200.0
2025-08-01,77.065,77.16,73.42,74.45,28877005.0
2025-08-04,75.7,76.89,74.82,76.53,11882866.0
2025-08-05,76.91,78.0,74.96,76.63,11920837.0
2025-08-06,76.08,76.4476,73.98,75.32,14469742.0
2025-08-07,76.5,77.2499,74.19,75.85,14628009.0
2025-08-08,76.2,77.39,75.605,77.34,9971308.0
2025-08-11,77.95,80.01,77.19,77.28,11843620.0
2025-08-12,76.35,77.97,74.84,77.81,15559853.0
2025-08-13,78.4,80.06,78.03,79.32,11740188.0
2025-08-14,78.03,79.6275,77.34,79.04,10127846.0
2025-08-15,79.42,79.42,76.17,76.19,13212863.0
2025-08-18,76.08,77.08,75.29,76.74,10192512.0
2025-08-19,76.4,76.44,71.8,72.07,16963419.0
2025-08-20,71.73,71.825,68.54,71.22,19895163.0
2025-08-21,70.46,72.0,70.05,71.21,9854126.0
2025-08-22,71.34,74.73,70.68,73.0,14435874.0
2025-08-25,72.99,73.878,72.26,72.95,10057657.0
2025-08-26,72.985,75.14,72.985,74.26,12302278.0
2025-08-27,74.2,75.0264,73.82,74.79,11373532.0
2025-08-28,75.92,78.085,75.06,77.23,36895303.0
2025-08-29,64.53,65.49,62.6201,62.865,96830805.0
2025-09-02,61.955,64.66,61.814,64.6,36275637.0
2025-09-03,64.045,64.52,61.72,62.31,34297320.0
2025-09-04,62.14,64.53,61.44,64.1,27726378.0
2025-09-05,63.98,64.5863,62.47,63.33,25793051.0
2025-09-08,63.615,66.1288,63.07,66.0,24466604.0
2025-09-09,65.855,67.44,65.19,66.84,17225992.0
2025-09-10,67.92,68.52,66.68,67.1,23751448.0
2025-09-11,67.0,68.2,66.36,66.59,13912357.0
2025-09-12,67.55,67.745,66.14,67.35,14868571.0
2025-09-15,67.45,68.11,66.334,67.43,17340784.0
2025-09-16,67.84,69.18,67.36,68.86,15931047.0
2025-09-17,68.86,72.41,68.36,70.98,29593087.0
2025-09-18,72.75,75.0,72.49,74.23,28894826.0
2025-09-19,74.745,75.37,73.315,74.26,31788103.0
2025-09-22,73.35,75.93,73.35,75.53,20037675.0
2025-09-23,75.39,76.35,74.02,74.62,21403681.0
2025-09-24,76.96,81.72,75.07,80.09,50429455.0
2025-09-25,78.115,84.46,76.32,83.81,43286048.0
2025-09-26,82.47,83.87,81.54,83.17,26715056.0
2025-09-29,83.69,85.09,82.315,82.39,20468283.0
2025-09-30,81.7,84.4299,81.4,84.07,18751682.0
2025-10-01,82.4,84.11,81.35,83.89,20038427.0
2025-10-02,85.07,87.3104,84.43,86.2,21698656.0
2025-10-03,86.28,87.27,85.0804,86.22,15679214.0
2025-10-06,88.845,90.25,88.25,88.92,20580543.0
2025-10-07,88.97,90.89,86.03,86.97,17609475.0
2025-10-08,88.39,92.67,87.62,92.5,20450986.0
2025-10-09,91.94,92.65,90.52,90.68,14868445.0
2025-10-10,92.97,94.66,85.36,85.61,30545695.0
2025-10-13,89.47,89.87,86.64,89.39,20563473.0
2025-10-14,86.8,88.82,85.3301,86.22,15447586.0
2025-10-15,88.165,89.46,86.5945,88.89,15202200.0
2025-10-16,89.71,91.1997,87.03,88.23,12988901.0
2025-10-17,86.825,88.95,85.71,87.95,13243996.0
2025-10-20,86.64,88.72,85.45,85.84,16137494.0
2025-10-21,85.69,85.9299,83.1001,84.26,13242086.0
2025-10-22,81.23,83.5727,79.06,81.05,19218616.0
2025-10-23,81.0,83.45,80.5301,82.77,10335818.0
2025-10-24,83.875,85.79,82.7,84.13,11661440.0
2025-10-27,86.04,89.3807,85.2001,88.71,16331571.0
2025-10-28,88.955,89.98,87.79,88.46,13029269.0
2025-10-29,90.755,91.51,89.05,90.15,13399855.0
2025-10-30,89.28,90.4576,88.36,88.57,11903751.0
2025-10-31,93.4,97.57,90.96,93.74,29320836.0
2025-11-03,93.385,94.84,90.0101,90.37,14308703.0
