date,open,high,low,close,volume
2025-04-24,72.1,74.9125,71.98,74.74,4057165.0
2025-04-25,74.81,75.53,74.3,75.36,2810689.0
2025-04-28,75.59,75.935,74.51,75.1,2842435.0
2025-04-29,75.18,76.14,74.48,75.94,1791954.0
2025-04-30,74.83,76.41,74.11,76.21,2912772.0
2025-05-01,75.93,77.2,75.54,76.14,3005518.0
2025-05-02,77.09,78.35,76.855,78.18,2353199.0
2025-05-05,77.6,78.58,77.33,78.19,1734644.0
2025-05-06,77.46,78.465,77.3,78.08,1282529.0
2025-05-07,78.25,79.08,78.1,78.57,2129862.0
2025-05-08,79.83,80.29,78.29,79.0,10938803.0
2025-05-09,79.1,79.74,78.84,79.21,3913977.0
2025-05-12,81.52,81.535,79.66,80.75,6424406.0
2025-05-13,81.01,82.2,80.76,81.57,4066376.0
2025-05-14,81.22,81.4,80.45,81.06,11221719.0
2025-05-15,80.7,81.44,80.51,81.28,4587177.0
2025-05-16,81.45,81.9,80.95,81.9,5145241.0
2025-05-19,81.244,82.265,81.0,81.96,3293089.0
2025-05-20,81.48,81.9799,81.38,81.83,2071733.0
2025-05-21,81.33,81.95,80.52,80.64,3337031.0
2025-05-22,80.555,81.56,80.37,81.21,2655732.0
2025-05-23,80.19,82.31,80.0,81.78,3860017.0
2025-05-27,82.27,83.31,81.87,83.06,3853699.0
2025-05-28,83.095,83.14,82.42,82.55,2035876.0
2025-05-29,82.83,83.52,82.52,83.38,3610502.0
2025-05-30,83.28,83.7699,82.74,83.54,4804266.0
2025-06-02,83.28,84.03,82.715,84.0,1941982.0
2025-06-03,84.0,84.24,83.171,83.81,3433605.0
2025-06-04,83.9,84.45,83.8,83.87,2784405.0
2025-06-05,84.065,84.15,83.33,84.0,3385923.0
2025-06-06,84.73,85.715,84.52,85.61,2971609.0
2025-06-09,85.61,85.9,84.85,85.65,3923454.0
2025-06-10,85.5,86.11,85.28,86.07,3361775.0
2025-06-11,86.0,87.5,85.7,86.79,3624458.0
