date,open,high,low,close,volume
2025-04-24,185.1,189.85,183.9101,189.45,298459.0
2025-04-25,189.24,189.24,187.34,188.22,219632.0
2025-04-28,188.89,191.84,187.1,188.7,245622.0
2025-04-29,188.47,190.495,187.79,188.76,248564.0
2025-04-30,186.5,190.09,184.58,189.57,638757.0
2025-05-01,189.9,192.27,187.2407,190.36,435603.0
2025-05-02,193.9,194.32,191.96,192.84,333191.0
2025-05-05,190.95,193.34,190.7,190.9,268461.0
2025-05-06,189.72,190.86,187.89,188.44,229511.0
2025-05-07,188.92,190.37,188.22,189.29,295662.0
2025-05-08,191.64,196.35,190.805,194.1,277120.0
2025-05-09,194.41,195.18,192.23,192.62,251360.0
2025-05-12,200.53,203.72,200.0,203.0,420059.0
2025-05-13,203.42,204.79,201.565,202.6,294268.0
2025-05-14,201.15,202.995,200.02,201.13,316207.0
2025-05-15,201.32,202.0,199.07,201.1,277467.0
2025-05-16,201.49,205.64,200.51,205.35,313932.0
2025-05-19,203.04,205.015,202.295,204.45,303069.0
2025-05-20,203.39,204.46,201.39,202.4,194286.0
2025-05-21,200.77,201.305,196.21,196.47,261980.0
2025-05-22,195.5,197.14,194.18,195.84,299661.0
2025-05-23,192.63,193.8155,191.99,193.38,319091.0
2025-05-27,195.75,198.57,194.68,198.01,354283.0
2025-05-28,196.91,198.66,195.29,195.74,442638.0
2025-05-29,209.86,218.0,205.1725,208.97,908550.0
2025-05-30,211.24,213.939,209.7,211.99,908624.0
2025-06-02,210.36,212.74,206.995,212.18,694916.0
2025-06-03,212.5,214.87,211.35,212.31,394501.0
2025-06-04,212.78,213.921,211.0,213.21,408261.0
2025-06-05,213.55,214.97,211.87,213.55,383638.0
2025-06-06,216.21,216.72,213.73,214.76,218094.0
2025-06-09,215.72,220.95,214.47,219.28,464092.0
2025-06-10,219.8,223.91,218.81,223.5,410657.0
2025-06-11,223.08,223.95,218.945,219.28,498090.0
2025-06-12,218.66,219.95,217.11,218.03,413014.0
2025-06-13,216.3,217.69,214.02,214.36,378304.0
2025-06-16,216.3,219.56,215.49,218.39,464940.0
2025-06-17,215.96,219.04,213.37,214.12,530936.0
2025-06-18,212.92,215.5499,211.66,213.53,483031.0
2025-06-20,215.0,215.47,209.47,209.55,1803951.0
2025-06-23,209.39,213.26,207.51,213.02,429796.0
2025-06-24,214.12,215.36,212.48,213.36,415804.0
2025-06-25,213.0,213.9,210.3,212.72,488089.0
2025-06-26,213.77,216.0401,213.1634,214.91,337061.0
2025-06-27,215.47,216.28,213.49,215.12,510824.0
2025-06-30,214.66,214.95,213.11,214.37,354437.0
2025-07-01,213.24,223.86,213.24,220.48,396147.0
2025-07-02,220.29,222.83,219.57,222.75,342362.0
2025-07-03,223.18,224.65,222.71,222.78,169670.0
2025-07-07,221.28,223.36,217.81,218.79,228154.0
2025-07-08,218.74,223.6,218.695,221.5,227956.0
2025-07-09,221.98,223.62,219.74,222.04,165584.0
2025-07-10,222.54,226.14,222.42,223.17,246039.0
2025-07-11,221.2,221.915,218.84,220.82,272748.0
2025-07-14,219.72,220.55,217.86,218.43,247067.0
2025-07-15,219.64,220.035,214.495,214.9,313797.0
2025-07-16,215.13,216.03,210.43,213.01,385228.0
2025-07-17,213.35,217.955,213.2494,217.47,426829.0
2025-07-18,218.2,218.7,215.23,217.07,457181.0
2025-07-21,217.11,218.89,213.99,214.3,281342.0
2025-07-22,215.16,218.67,214.38,218.3,282735.0
2025-07-23,219.56,220.7,218.64,220.03,488981.0
2025-07-24,219.45,220.33,217.78,219.15,224058.0
2025-07-25,220.35,220.91,217.48,220.84,241621.0
