date,open,high,low,close,volume
2025-04-24,469.56,471.245,462.48,463.07,1805297.0
2025-04-25,465.3,473.49,458.35,473.2,1329484.0
2025-04-28,475.55,487.0,475.55,483.31,1817329.0
2025-04-29,483.79,487.115,480.0,482.1,977355.0
2025-04-30,484.09,487.82,475.54,486.5,1312646.0
2025-05-01,485.17,488.17,482.088,486.67,1194027.0
2025-05-02,492.72,498.53,478.77,491.42,1728644.0
2025-05-05,493.58,496.21,489.48,493.33,830409.0
2025-05-06,491.48,493.09,484.98,487.48,655190.0
2025-05-07,486.73,488.7,481.0,486.04,875412.0
2025-05-08,486.68,489.84,483.63,484.37,920966.0
2025-05-09,484.86,485.12,475.88,482.62,639686.0
2025-05-12,479.95,482.79,471.55,479.16,1292098.0
2025-05-13,478.7,479.98,470.63,470.67,883925.0
2025-05-14,461.375,465.0,453.01,456.3,1272823.0
2025-05-15,461.44,470.89,459.25,469.05,1116163.0
2025-05-16,469.61,473.56,466.38,473.17,1148389.0
2025-05-19,476.12,476.12,469.28,471.12,959074.0
2025-05-20,469.89,477.87,469.89,476.6,1001786.0
2025-05-21,481.11,481.11,472.34,473.9,902975.0
2025-05-22,471.53,475.651,468.98,472.88,922364.0
2025-05-23,472.07,472.97,468.2864,471.46,679237.0
2025-05-27,471.62,475.66,470.3,475.47,868705.0
2025-05-28,477.74,478.09,473.7,475.32,924352.0
2025-05-29,471.18,480.25,468.5,479.39,864033.0
2025-05-30,480.0,485.99,475.0601,484.77,1304485.0
2025-06-02,481.13,483.85,478.92,483.38,765350.0
2025-06-03,483.0,488.63,481.75,488.22,578461.0
2025-06-04,490.0,495.9,488.05,491.29,766889.0
2025-06-05,492.95,492.95,484.53,488.12,634320.0
2025-06-06,488.59,491.43,486.56,489.41,372476.0
2025-06-09,490.0,492.11,483.76,491.36,617716.0
2025-06-10,491.53,491.53,486.635,488.8,535908.0
2025-06-11,483.57,488.71,472.02,488.46,895249.0
2025-06-12,488.82,497.32,487.945,497.13,635177.0
2025-06-13,504.0,519.43,503.2,516.72,1843953.0
2025-06-16,510.81,515.0,495.58,497.52,1168662.0
2025-06-17,502.0,505.85,498.059,503.97,764299.0
2025-06-18,504.42,506.5999,493.58,494.65,792680.0
2025-06-20,496.62,499.86,488.0,497.7,916352.0
2025-06-23,500.81,508.32,496.4412,499.67,978833.0
2025-06-24,494.8,495.12,481.28,484.0,930618.0
2025-06-25,488.0,488.46,483.84,486.92,724829.0
2025-06-26,489.19,497.04,487.68,493.66,876453.0
2025-06-27,490.95,494.68,489.26,494.0,874362.0
2025-06-30,495.31,501.08,493.96,499.98,644139.0
2025-07-01,499.95,504.81,496.38,503.53,651573.0
2025-07-02,493.0,499.02,489.52,498.9,817524.0
2025-07-03,500.26,505.19,498.61,504.2,381831.0
2025-07-07,506.2,509.6,503.2001,507.92,653555.0
2025-07-08,501.0,506.93,500.835,504.85,669571.0
2025-07-09,505.81,508.405,502.2955,507.94,608961.0
2025-07-10,506.55,514.93,504.9796,513.87,624131.0
2025-07-11,513.7,515.195,508.02,514.6,748973.0
2025-07-14,517.0,523.76,513.33,521.11,790441.0
2025-07-15,519.4,523.46,516.15,516.82,539574.0
2025-07-16,516.84,520.78,514.0601,519.7,483661.0
2025-07-17,519.0,525.52,518.64,523.83,621049.0
2025-07-18,523.35,528.27,515.64,519.04,874064.0
2025-07-21,518.31,523.98,514.39,515.29,832867.0
2025-07-22,536.01,567.1234,535.52,563.79,2395123.0
2025-07-23,562.35,568.67,551.805,568.5,1251078.0
2025-07-24,568.25,576.86,566.5801,568.48,974954.0
2025-07-25,568.0,570.155,563.305,569.74,635756.0
2025-07-28,569.24,570.0,563.64,568.62,679713.0
2025-07-29,571.4,573.3,568.19,573.22,682782.0
2025-07-30,572.94,573.8099,568.711,572.81,661769.0
2025-07-31,572.0,577.38,568.8901,576.61,850666.0
2025-08-01,577.135,587.88,572.95,586.44,1006502.0
2025-08-04,585.69,592.16,584.125,589.75,970347.0
2025-08-05,590.22,594.68,586.01,589.95,905822.0
2025-08-06,590.0,593.48,586.7,589.29,992555.0
2025-08-07,583.21,588.23,580.0,587.38,626641.0
2025-08-08,587.71,591.07,579.15,581.11,749480.0
2025-08-11,579.81,583.775,575.45,580.24,744795.0
2025-08-12,579.21,581.625,577.62,580.8,643893.0
2025-08-13,582.49,586.8866,576.22,582.09,745676.0
2025-08-14,583.89,585.285,580.935,583.72,543334.0
2025-08-15,583.41,586.75,580.9186,583.96,667579.0
2025-08-18,587.47,592.225,583.5403,584.82,922401.0
2025-08-19,584.0,589.48,582.2225,586.23,470841.0
2025-08-20,589.84,595.32,587.77,592.54,610481.0
2025-08-21,593.0,598.83,591.313,597.21,610288.0
2025-08-22,599.79,600.99,591.3674,592.44,616735.0
2025-08-25,592.0,595.4,586.05,586.74,478197.0
2025-08-26,588.39,595.85,588.115,593.02,1002304.0
2025-08-27,594.55,594.55,585.0376,586.61,679475.0
2025-08-28,586.61,587.94,580.9,587.9,479159.0
2025-08-29,587.9,591.5718,587.08,590.04,528588.0
2025-09-02,591.88,596.1647,585.26,589.32,635899.0
2025-09-03,586.53,588.0,577.69,581.01,463170.0
2025-09-04,581.71,581.94,576.0,579.76,505548.0
2025-09-05,579.34,581.165,574.82,580.8,633710.0
2025-09-08,574.99,582.13,571.365,581.9,814129.0
2025-09-09,580.46,580.49,571.44,571.63,482591.0
2025-09-10,571.24,580.84,570.0,579.87,547458.0
2025-09-11,579.31,585.76,578.0,582.95,901131.0
2025-09-12,582.34,583.13,575.18,575.96,717913.0
2025-09-15,574.0,576.47,571.115,574.54,804620.0
2025-09-16,578.0,587.24,575.95,579.36,1104597.0
2025-09-17,579.1,585.0,576.3901,577.08,790271.0
2025-09-18,572.0,576.98,568.32,573.75,798950.0
2025-09-19,571.91,576.15,565.5,573.03,1478380.0
2025-09-22,573.69,577.6475,570.26,576.15,566750.0
2025-09-23,576.0,580.665,571.08,577.08,656281.0
2025-09-24,580.64,589.6,577.0,586.27,784174.0
2025-09-25,590.0,593.75,582.485,585.77,1074102.0
2025-09-26,589.49,594.96,586.85,594.52,511016.0
2025-09-29,598.31,604.125,591.51,593.99,777141.0
2025-09-30,593.1,610.12,593.1,609.32,803097.0
2025-10-01,607.22,610.85,603.01,605.42,558360.0
2025-10-02,603.8,607.2635,601.96,605.01,453946.0
2025-10-03,607.0,610.64,605.3,609.54,435952.0
2025-10-06,609.12,619.71,609.0,618.52,540307.0
2025-10-07,622.85,627.8099,618.395,621.63,838233.0
2025-10-08,630.0,638.54,625.55,637.95,939163.0
2025-10-09,638.0,640.901,631.37,635.01,1007665.0
2025-10-10,633.36,635.245,619.4101,623.49,660101.0
2025-10-13,619.97,624.055,616.9,618.88,452758.0
2025-10-14,619.48,627.41,618.07,626.93,437591.0
2025-10-15,625.05,627.05,600.0838,608.93,666900.0
2025-10-16,611.0,611.8,597.595,598.98,781930.0
2025-10-17,597.0,601.645,591.68,594.5,825196.0
2025-10-20,599.66,602.9,596.21,602.0,1084102.0
2025-10-21,589.96,604.89,571.36,599.35,1750875.0
2025-10-22,597.07,605.9599,595.65,596.48,1122830.0
2025-10-23,599.73,609.82,598.01,605.74,655583.0
2025-10-24,606.35,608.5,597.08,605.58,564834.0
2025-10-27,604.87,605.65,595.0,595.95,501263.0
2025-10-28,594.5,598.945,591.24,595.05,714928.0
2025-10-29,590.0,594.215,582.51,584.99,723541.0
2025-10-30,585.94,591.73,577.74,578.6,1103098.0
2025-10-31,579.15,586.63,575.82,583.45,840195.0
2025-11-03,580.44,581.19,571.68,575.41,657827.0
2025-11-04,574.49,579.59,568.4,577.14,494370.0
2025-11-05,572.77,579.53,569.74,570.5,535803.0
2025-11-06,570.0,578.04,569.95,571.96,610823.0
2025-11-07,571.97,571.97,562.44,568.61,646062.0
2025-11-10,564.8,567.06,557.39,562.98,1075772.0
2025-11-11,564.48,570.79,559.0,566.74,743405.0
2025-11-12,565.18,569.1501,558.4,558.57,669774.0
2025-11-13,563.24,563.41,556.84,558.0,828402.0
2025-11-14,557.75,562.03,553.365,558.0,742576.0
2025-11-17,559.98,563.08,556.29,563.03,913005.0
2025-11-18,565.0,573.305,564.175,566.76,1047053.0
2025-11-19,560.39,567.2,557.46,565.0,665424.0
2025-11-20,570.88,573.2632,563.51,567.35,688174.0
2025-11-21,568.28,571.67,563.08,566.7,943949.0
2025-11-24,562.92,566.27,560.0,565.56,731697.0
2025-11-25,565.7,574.5,565.7,569.42,919543.0
2025-11-26,569.61,582.6,567.08,567.11,445835.0
2025-11-28,567.35,573.68,566.63,572.25,421752.0
2025-12-01,567.73,568.5,543.66,545.51,795036.0
2025-12-02,546.68,551.275,545.17,546.97,779359.0
2025-12-03,549.56,554.52,546.49,553.32,889964.0
2025-12-04,552.84,560.0,551.555,553.0,753134.0
2025-12-05,551.5,552.28,544.16,548.97,785551.0
2025-12-08,549.0,553.615,546.51,553.56,706019.0
2025-12-09,554.12,557.7382,550.25,550.63,411023.0
2025-12-10,549.0,558.61,546.52,555.36,680045.0
2025-12-11,557.56,568.66,556.93,560.04,618246.0
2025-12-12,563.19,571.6,560.5,569.76,784474.0
2025-12-15,569.14,575.79,568.571,575.79,448889.0
2025-12-16,573.5,574.2,565.84,568.72,488152.0
2025-12-17,562.79,572.3,557.59,564.19,761812.0
2025-12-18,564.0,569.93,558.06,559.52,950163.0
2025-12-19,558.47,570.96,557.975,568.46,1329782.0
2025-12-22,568.9,585.28,568.9,584.66,530052.0
2025-12-23,585.28,586.0,576.7,580.06,564760.0
2025-12-24,581.23,587.2911,581.14,582.35,202613.0
2025-12-26,582.71,582.71,575.4501,577.37,230390.0
2025-12-29,577.92,580.7589,576.88,577.78,250063.0
2025-12-30,578.89,580.12,574.31,574.57,526276.0
2025-12-31,575.21,577.0,570.02,570.21,419626.0
2026-01-02,569.59,585.85,564.5,585.66,477415.0
2026-01-05,593.96,611.37,591.195,611.32,941893.0
2026-01-06,614.56,619.2,606.82,610.61,997986.0
2026-01-07,616.42,617.99,574.51,577.01,1674529.0
2026-01-08,617.88,638.84,585.95,590.79,3608001.0
2026-01-09,590.68,619.785,590.68,618.82,1450100.0
2026-01-12,623.63,635.76,623.38,629.32,1262566.0
2026-01-13,639.16,639.79,619.68,625.5,1153772.0
2026-01-14,625.0,654.52,624.855,653.14,1480940.0
2026-01-15,640.37,658.41,632.98,654.61,965718.0
2026-01-16,657.6,669.68,657.26,666.9,969323.0
2026-01-20,665.93,674.75,653.02,657.3,1000516.0
2026-01-21,658.97,669.63,654.655,664.16,1011259.0
2026-01-22,661.18,671.1,660.0,670.44,602166.0
