date,open,high,low,close,volume
2025-05-07,92.86,93.09,91.61,93.02,2257080.0
2025-05-08,93.56,95.35,92.91,94.44,1839291.0
2025-05-09,95.06,95.21,93.23,93.45,1365016.0
2025-05-12,97.5,98.54,97.14,98.43,1532508.0
2025-05-13,98.43,99.8,98.105,99.53,1377666.0
2025-05-14,99.97,100.435,99.0,99.65,1839800.0
2025-05-15,99.19,99.84,98.28,99.82,1894379.0
2025-05-16,99.98,100.96,99.37,100.53,1698732.0
2025-05-19,99.62,101.945,99.175,101.53,2036799.0
2025-05-20,100.49,101.7,100.1071,101.06,1666121.0
2025-05-21,100.11,102.17,99.19,99.57,1777247.0
2025-05-22,99.57,100.5181,98.88,99.78,1520233.0
2025-05-23,97.92,98.5,96.8873,98.0,2840413.0
2025-05-27,99.86,100.48,99.12,100.37,2135564.0
2025-05-28,100.69,101.13,99.54,99.67,1812058.0
2025-05-29,100.0,100.22,98.2,99.21,3952603.0
2025-05-30,94.5,100.99,94.11,99.16,7013975.0
2025-06-02,99.02,99.11,96.13,98.77,3087606.0
2025-06-03,98.77,103.715,98.48,103.66,2702086.0
2025-06-04,104.0,105.01,103.54,103.76,2744928.0
2025-06-05,103.91,105.0,103.2714,104.6,2673776.0
2025-06-06,105.5,106.98,104.84,106.25,2872672.0
2025-06-09,106.92,107.09,102.8625,103.06,2317845.0
2025-06-10,103.06,103.59,102.0,102.51,1879660.0
2025-06-11,102.99,102.99,101.19,102.63,2800559.0
2025-06-12,102.15,103.7025,101.915,102.94,1901066.0
2025-06-13,101.48,102.01,99.9,100.49,3516004.0
2025-06-16,101.65,104.28,101.165,104.2,2113976.0
2025-06-17,103.57,104.641,102.45,103.2,2124497.0
2025-06-18,104.13,104.24,102.41,102.75,1859648.0
2025-06-20,103.5,103.93,101.835,102.69,3005910.0
2025-06-23,102.03,104.355,101.73,104.27,2523247.0
2025-06-24,104.8,106.22,103.91,106.13,1905378.0
2025-06-25,106.42,107.0,105.05,105.18,1676980.0
2025-06-26,105.32,105.75,103.54,104.75,2115744.0
2025-06-27,105.29,106.46,103.47,105.72,2976118.0
2025-06-30,106.5,106.97,105.44,106.55,2006006.0
2025-07-01,106.05,108.095,105.62,106.69,1493527.0
2025-07-02,106.4,107.679,104.854,107.61,1400089.0
2025-07-03,107.45,108.25,106.845,107.26,940236.0
2025-07-07,106.87,107.91,105.2001,105.5,1376918.0
2025-07-08,106.18,107.16,105.26,106.66,1270396.0
2025-07-09,106.66,107.07,105.6,106.67,1201904.0
2025-07-10,106.84,106.89,105.71,106.42,1354744.0
2025-07-11,105.4,105.97,104.565,105.27,1538128.0
