date,open,high,low,close,volume
2025-05-07,118.05,118.05,114.01,115.15,2929491.0
2025-05-08,116.04,117.16,114.49,115.49,2084151.0
2025-05-09,115.9,116.8099,114.25,115.22,1715329.0
2025-05-12,120.48,122.4,119.335,120.12,2250329.0
2025-05-13,120.84,121.37,118.72,118.96,1929124.0
2025-05-14,118.69,119.7,116.57,117.1,1864961.0
2025-05-15,115.57,116.01,114.06,115.46,2020132.0
2025-05-16,115.1,116.34,113.89,116.16,1833413.0
2025-05-19,113.96,116.045,113.54,115.82,1630939.0
2025-05-20,115.61,115.61,114.61,115.0,1198408.0
2025-05-21,113.73,114.75,111.47,111.72,1959423.0
2025-05-22,111.19,111.63,109.7823,110.69,1527070.0
2025-05-23,108.79,110.69,106.79,108.49,3908394.0
2025-05-27,109.57,109.98,107.8169,109.38,2620552.0
2025-05-28,109.76,110.6,108.43,108.84,1548832.0
2025-05-29,108.87,109.28,106.6101,108.94,2437854.0
2025-05-30,107.75,109.5,106.211,109.36,3548189.0
2025-06-02,122.91,125.75,117.89,120.4,7457326.0
2025-06-03,119.04,122.44,115.35,122.32,4854658.0
2025-06-04,122.38,123.995,121.035,121.86,2249029.0
2025-06-05,122.0,122.23,118.14,118.75,2432403.0
2025-06-06,120.2,123.07,119.985,121.57,2061380.0
2025-06-09,123.36,123.85,120.0,122.53,1642553.0
2025-06-10,123.0,125.56,122.68,124.68,1881831.0
2025-06-11,120.0,120.4718,116.21,117.13,3617323.0
2025-06-12,116.04,118.59,115.66,118.45,2132598.0
2025-06-13,117.53,122.04,117.21,121.92,3304169.0
2025-06-16,122.9,123.44,120.48,121.67,2517252.0
2025-06-17,121.83,123.45,120.4,122.2,1855774.0
2025-06-18,126.47,129.1,125.31,126.18,4038935.0
2025-06-20,129.16,129.49,123.32,124.3,5239705.0
2025-06-23,123.25,126.39,122.82,125.99,1789907.0
2025-06-24,127.58,129.25,126.5,128.2,2039093.0
2025-06-25,128.07,128.7266,127.75,128.21,1713618.0
2025-06-26,129.45,131.3199,128.78,130.61,1838592.0
2025-06-27,130.67,131.82,129.865,131.43,2860496.0
2025-06-30,130.83,131.88,129.5,129.54,2578642.0
2025-07-01,129.23,134.65,128.46,134.11,2093009.0
2025-07-02,135.0,139.1,134.38,138.86,1970577.0
2025-07-03,138.09,139.27,137.475,137.87,1029087.0
2025-07-07,136.5,139.11,135.94,136.95,1546861.0
2025-07-08,137.86,141.255,137.38,139.73,1975166.0
2025-07-09,139.6,140.34,137.975,139.7,1458993.0
2025-07-10,142.55,145.04,141.545,143.31,1967876.0
2025-07-11,142.55,143.75,141.03,142.4,1243176.0
2025-07-14,140.86,142.91,140.6725,141.57,1419916.0
2025-07-15,142.0,142.225,138.26,138.38,1486234.0
2025-07-16,138.31,139.16,135.595,137.79,1535914.0
2025-07-17,137.85,141.04,137.51,140.75,1109933.0
2025-07-18,140.85,141.195,139.26,140.63,1492271.0
2025-07-21,143.08,144.115,141.745,142.15,1362104.0
2025-07-22,142.13,144.44,141.3081,143.77,1473494.0
2025-07-23,144.47,146.1478,144.16,145.0,1685220.0
2025-07-24,143.68,144.42,140.63,141.43,2069762.0
2025-07-25,141.81,146.0,140.3,145.83,1983687.0
2025-07-28,145.83,147.15,144.06,144.52,2404202.0
2025-07-29,134.75,141.04,134.0331,140.64,4232670.0
2025-07-30,140.67,143.68,139.1,142.95,2675237.0
2025-07-31,142.56,144.67,141.45,143.07,2753314.0
2025-08-01,139.38,140.29,137.31,138.67,1721233.0
2025-08-04,138.71,139.89,136.9,136.98,1190932.0
2025-08-05,137.05,139.94,136.6833,139.45,1035332.0
2025-08-06,138.73,139.5,137.7401,138.52,851970.0
2025-08-07,140.49,141.65,136.36,137.79,1226002.0
2025-08-08,138.76,139.785,137.83,138.98,1066787.0
2025-08-11,138.58,138.65,135.8,137.72,1474306.0
2025-08-12,139.0,142.39,138.4501,141.43,1011360.0
2025-08-13,142.0,146.1,141.71,145.84,1342692.0
2025-08-14,143.33,144.56,141.61,144.35,1155067.0
2025-08-15,151.0,151.3199,144.84,145.41,2180300.0
2025-08-18,145.68,147.65,144.29,144.65,1118470.0
2025-08-19,145.21,147.45,144.23,145.91,1383684.0
2025-08-20,146.22,146.22,143.15,143.47,1190858.0
2025-08-21,142.74,143.97,142.4,143.25,986532.0
2025-08-22,143.33,148.9883,143.33,147.93,1410287.0
2025-08-25,148.33,150.305,148.305,149.55,1083741.0
2025-08-26,149.2,151.05,147.44,147.95,1469438.0
2025-08-27,147.45,150.66,147.2,150.33,943354.0
2025-08-28,151.06,151.16,148.04,149.8,1083528.0
2025-08-29,149.89,150.75,148.2875,148.73,911785.0
2025-09-02,145.96,147.0,144.0499,146.4,1202548.0
2025-09-03,146.19,146.19,142.73,145.21,1125013.0
2025-09-04,144.9,145.16,142.3,144.94,1141327.0
2025-09-05,146.53,150.24,145.28,147.26,1374922.0
2025-09-08,147.58,147.58,143.53,144.02,2331288.0
2025-09-09,144.72,146.115,140.98,141.02,1689721.0
2025-09-10,141.42,143.75,141.17,141.88,1439174.0
2025-09-11,141.78,145.665,141.58,143.75,1515286.0
2025-09-12,143.28,143.58,141.26,141.35,930141.0
2025-09-15,141.1,142.17,139.22,141.57,1548027.0
2025-09-16,142.64,144.92,141.99,142.93,2037451.0
2025-09-17,141.99,146.42,141.0,142.8,1485554.0
2025-09-18,136.0,138.1,133.79,134.3,3676088.0
2025-09-19,134.59,134.75,132.65,133.3,4919337.0
2025-09-22,133.05,135.63,131.925,134.68,2225394.0
2025-09-23,135.28,138.1,134.58,135.26,1828453.0
2025-09-24,134.58,136.57,134.58,136.4,1669407.0
2025-09-25,135.81,136.66,134.7,134.76,1701436.0
2025-09-26,135.06,138.56,135.06,138.13,1215095.0
2025-09-29,138.59,138.69,134.91,136.08,2047744.0
2025-09-30,135.39,135.805,134.27,135.43,1793592.0
2025-10-01,135.23,136.85,134.98,135.39,1552656.0
2025-10-02,135.5,139.29,135.14,139.02,1473093.0
2025-10-03,139.4,139.83,137.8,138.04,889476.0
2025-10-06,137.99,138.5279,135.56,135.59,1158593.0
2025-10-07,136.48,137.6,134.6,135.8,1729156.0
2025-10-08,136.56,138.71,135.81,137.84,1223414.0
2025-10-09,139.25,141.61,137.59,138.17,1376060.0
2025-10-10,138.37,139.0,133.61,133.65,1146779.0
2025-10-13,136.51,138.65,135.975,136.97,1051359.0
2025-10-14,135.35,139.78,134.35,138.51,1327125.0
2025-10-15,139.24,139.67,135.76,136.76,1091642.0
2025-10-16,137.01,137.68,131.5495,132.66,1365433.0
2025-10-17,131.85,133.615,131.32,131.78,1836581.0
2025-10-20,134.55,136.775,133.78,136.61,1291816.0
2025-10-21,135.16,141.37,135.16,140.52,1609474.0
2025-10-22,139.2,140.49,136.29,136.65,1406597.0
2025-10-23,136.65,139.045,135.59,138.45,1182912.0
2025-10-24,138.9,140.77,138.34,138.7,1360304.0
2025-10-27,140.22,144.825,139.21,144.16,2765598.0
2025-10-28,146.22,154.78,145.685,151.99,3402696.0
2025-10-29,152.2,155.83,151.15,154.43,2290511.0
2025-10-30,151.29,153.45,149.43,149.74,1766040.0
2025-10-31,149.5,152.0,147.85,150.05,1992842.0
2025-11-03,149.51,150.0,144.78,148.12,1642550.0
2025-11-04,145.4,146.71,143.85,144.29,1748948.0
2025-11-05,144.0,146.635,142.531,145.25,1466348.0
2025-11-06,145.77,147.35,144.5,144.66,1191393.0
2025-11-07,144.3,144.74,142.05,144.31,1134375.0
2025-11-10,144.78,144.98,140.933,142.66,1508387.0
2025-11-11,143.0,144.715,141.33,144.04,908810.0
2025-11-12,145.0,150.33,145.0,148.38,1580894.0
2025-11-13,149.01,149.9599,144.13,145.81,1492634.0
2025-11-14,145.13,150.62,143.41,147.78,1160588.0
2025-11-17,147.01,151.19,146.1,148.67,1655012.0
2025-11-18,147.61,150.62,146.52,148.51,1334338.0
2025-11-19,149.17,150.2599,147.02,148.58,981667.0
2025-11-20,149.84,153.6,147.16,147.2,1392163.0
2025-11-21,147.0,152.67,146.0,152.35,1523173.0
2025-11-24,151.72,153.925,150.86,153.65,1640373.0
2025-11-25,154.5,157.84,153.63,156.25,1365044.0
2025-11-26,156.25,159.42,155.98,159.13,1077998.0
2025-11-28,159.45,159.95,158.63,159.49,604602.0
2025-12-01,158.73,162.22,158.65,160.7,1096633.0
2025-12-02,161.62,161.94,160.18,161.09,959842.0
2025-12-03,161.14,166.265,160.72,164.71,2198272.0
2025-12-04,164.0,164.71,160.54,162.54,1475410.0
2025-12-05,162.59,162.775,159.14,159.45,1974085.0
2025-12-08,159.75,160.5,158.0,159.3,1292512.0
2025-12-09,158.0,159.39,157.22,158.14,1296432.0
2025-12-10,159.81,165.155,159.08,164.33,1907358.0
2025-12-11,163.96,168.065,163.255,166.57,1259981.0
2025-12-12,167.22,167.42,163.72,165.11,1200182.0
2025-12-15,165.73,165.73,160.59,162.02,1695906.0
2025-12-16,162.73,163.82,161.5,162.26,1349679.0
2025-12-17,156.99,161.68,156.5821,160.69,2032584.0
2025-12-18,159.64,160.87,157.15,157.83,2031656.0
2025-12-19,156.51,159.21,155.0,159.15,3430947.0
2025-12-22,160.07,164.36,159.13,164.26,1702079.0
2025-12-23,165.08,165.82,163.29,163.69,1241023.0
2025-12-24,164.14,166.34,163.41,165.49,777085.0
2025-12-26,165.23,166.45,164.9,166.35,735400.0
2025-12-29,165.03,166.5,164.715,165.48,1229591.0
2025-12-30,165.85,167.35,164.7,164.8,1414277.0
2025-12-31,164.46,164.82,162.23,163.11,1133199.0
2026-01-02,165.18,169.65,164.3367,169.4,1524311.0
2026-01-05,170.0,171.94,166.31,168.13,2145393.0
2026-01-06,167.47,170.2099,166.385,169.35,1834780.0
2026-01-07,168.26,169.7,164.15,164.81,1866708.0
2026-01-08,163.74,169.51,163.02,167.88,1423441.0
2026-01-09,166.74,168.5,161.44,163.77,1919519.0
2026-01-12,164.63,166.87,163.0,165.97,1563841.0
2026-01-13,166.5,169.8599,165.87,169.48,1434981.0
2026-01-14,169.51,173.59,169.355,172.29,1892226.0
2026-01-15,173.02,175.94,173.02,174.79,1429625.0
