date,open,high,low,close,volume
2025-07-10,7632.2,7800.0,7632.2,7689.72,16104.0
2025-07-11,7610.3,7675.595,7550.0,7632.24,13988.0
2025-07-14,7581.02,7609.75,7491.75,7592.2,18716.0
2025-07-15,7609.99,7622.99,7301.0,7301.0,29356.0
2025-07-16,7336.27,7407.94,7274.19,7376.09,18099.0
2025-07-17,7368.21,7475.86,7368.21,7438.25,14102.0
2025-07-18,7488.97,7488.97,7371.85,7422.83,19945.0
2025-07-21,7461.88,7511.45,7371.39,7376.2,16711.0
2025-07-22,7506.89,7945.065,7506.89,7909.52,28702.0
2025-07-23,8000.0,8042.5,7856.34,7899.84,26290.0
2025-07-24,7871.78,7930.0,7741.13,7789.39,20482.0
2025-07-25,7800.0,7800.0,7655.0,7792.93,12659.0
2025-07-28,7762.56,7907.26,7697.415,7845.3,15486.0
2025-07-29,7824.02,7856.79,7769.3,7821.05,11890.0
2025-07-30,7800.0,7845.33,7595.9085,7633.4,17405.0
2025-07-31,7570.0,7656.785,7515.01,7549.49,20537.0
2025-08-01,7619.21,7799.03,7605.0,7760.68,15030.0
2025-08-04,7771.02,7883.24,7752.995,7871.02,14272.0
2025-08-05,7851.51,8000.0,7851.51,7906.91,13229.0
2025-08-06,7949.8,7995.0,7862.08,7870.2,11785.0
2025-08-07,7935.34,8000.0,7815.34,7830.44,18288.0
2025-08-08,7877.98,7897.6699,7790.975,7858.68,13301.0
2025-08-11,7868.18,7916.2,7695.32,7793.29,12117.0
2025-08-12,7817.59,8005.12,7785.865,7962.3,14682.0
2025-08-13,8019.37,8337.9,8017.62,8296.64,21145.0
2025-08-14,8212.81,8228.0,8150.19,8198.55,14344.0
2025-08-15,8265.66,8292.9163,8180.725,8235.0,14918.0
2025-08-18,8236.39,8264.16,8141.16,8151.74,20686.0
2025-08-19,8199.32,8341.41,8141.78,8246.89,22951.0
2025-08-20,8273.31,8319.9999,8011.755,8031.97,17843.0
2025-08-21,7980.62,7980.62,7836.85,7953.9,12507.0
2025-08-22,7980.2,8303.3,7909.12,8212.81,17365.0
2025-08-25,8193.0,8229.27,8110.99,8126.71,10540.0
2025-08-26,8083.0,8167.75,8042.48,8068.25,35433.0
2025-08-27,8049.31,8079.0,7985.5,8033.82,11193.0
2025-08-28,8040.0,8076.48,7968.39,8074.8,12405.0
2025-08-29,8066.5,8146.99,8027.79,8117.65,13392.0
2025-09-02,8027.53,8194.9999,8027.53,8169.85,18450.0
2025-09-03,8148.88,8287.785,8148.88,8190.23,15793.0
2025-09-04,8300.0,8409.34,8204.9,8407.77,17721.0
2025-09-05,8499.76,8618.28,8442.11,8502.0,13290.0
2025-09-08,8509.4,8562.5,8420.895,8543.0,15203.0
2025-09-09,8459.98,8475.0,8217.49,8276.25,22241.0
2025-09-10,8245.66,8335.89,8225.46,8335.89,21854.0
2025-09-11,8384.31,8563.7872,8344.045,8532.98,22439.0
2025-09-12,8506.35,8544.39,8377.63,8414.82,15875.0
2025-09-15,8422.0,8489.8478,8207.57,8277.95,17446.0
2025-09-16,8277.1,8282.91,8127.85,8209.98,17104.0
2025-09-17,8240.01,8429.99,8090.0,8137.31,19493.0
2025-09-18,8190.0,8192.555,8055.0,8178.48,21636.0
2025-09-19,8135.44,8200.01,8077.72,8094.7,45305.0
2025-09-22,8067.0,8067.0,7907.32,7925.23,19903.0
2025-09-23,7950.0,8016.087,7900.3434,7980.11,12009.0
2025-09-24,7915.02,8098.0,7915.02,8036.63,22171.0
2025-09-25,7993.86,8025.315,7906.52,7906.69,14205.0
2025-09-26,7953.87,8069.705,7921.69,8032.78,12107.0
2025-09-29,8100.0,8113.155,7981.07,8095.14,14217.0
2025-09-30,8040.75,8074.995,7998.945,8034.66,20415.0
2025-10-01,8066.56,8129.73,7973.0,8036.48,15978.0
2025-10-02,8041.93,8130.365,7985.49,8071.61,11933.0
2025-10-03,8080.76,8188.57,8080.76,8178.0,17720.0
2025-10-06,8199.0,8199.0,8033.305,8068.75,12956.0
2025-10-07,7987.1,7996.58,7814.9424,7840.11,25342.0
2025-10-08,7805.0,7805.0,7700.0,7756.83,25564.0
2025-10-09,7690.0,7717.81,7515.24,7619.24,25155.0
2025-10-10,7640.0,7655.5991,7446.54,7450.9,23459.0
2025-10-13,7443.91,7626.37,7443.91,7584.9,24491.0
2025-10-14,7535.55,7779.98,7532.665,7737.01,22069.0
2025-10-15,7758.09,7780.0,7640.0,7645.22,21962.0
2025-10-16,7643.0,7657.45,7535.83,7605.88,26591.0
2025-10-17,7609.02,7686.6,7599.305,7639.06,54302.0
2025-10-20,7673.25,7746.81,7605.365,7681.08,21528.0
2025-10-21,7640.91,7827.92,7600.22,7792.13,23963.0
2025-10-22,7728.17,7790.0,7615.0,7697.16,15314.0
2025-10-23,7648.06,7723.76,7629.0,7679.41,17453.0
2025-10-24,7718.0,7718.0,7425.44,7430.92,22002.0
2025-10-27,7460.0,7479.39,7399.68,7438.33,18976.0
2025-10-28,7301.52,7469.02,7275.43,7461.33,16821.0
2025-10-29,7381.2,7500.0,7278.89,7333.31,28747.0
2025-10-30,7335.0,7390.115,7184.0,7245.71,19616.0
2025-10-31,7178.96,7267.07,7178.96,7210.82,14204.0
2025-11-03,7146.42,7150.0,7040.0,7072.32,18586.0
2025-11-04,7070.0,7160.04,7003.47,7146.03,14590.0
2025-11-05,7143.97,7250.515,7110.55,7181.87,19591.0
2025-11-06,7164.98,7237.095,7134.86,7195.05,15741.0
2025-11-07,7179.9,7258.67,7159.41,7251.24,17101.0
2025-11-10,7232.59,7366.005,7213.175,7336.81,22998.0
2025-11-11,7370.0,7370.0,7263.22,7301.21,45040.0
2025-11-12,7334.0,7378.98,7251.99,7287.38,23931.0
2025-11-13,7256.69,7365.065,7249.5701,7255.57,27434.0
2025-11-14,7300.0,7315.0,7215.0,7271.89,16911.0
2025-11-17,7259.17,7285.89,7145.26,7156.64,17364.0
2025-11-18,7105.49,7157.93,7030.0,7147.13,19923.0
2025-11-19,7116.81,7207.735,7093.64,7119.9,15213.0
2025-11-20,7189.81,7203.6899,7082.07,7163.33,17074.0
2025-11-21,7230.76,7461.22,7230.76,7388.82,18119.0
2025-11-24,7224.3,7354.985,7224.3,7263.52,36240.0
2025-11-25,7340.0,7478.5,7335.22,7453.38,18821.0
2025-11-26,7435.94,7593.8,7435.94,7566.67,15020.0
2025-11-28,7607.46,7607.46,7487.675,7507.29,6546.0
2025-12-01,7450.0,7614.53,7450.0,7517.09,17324.0
2025-12-02,7563.28,7655.0,7517.09,7601.1,23077.0
2025-12-03,7648.01,7746.79,7628.04,7679.42,23115.0
2025-12-04,7644.95,7666.1575,7483.62,7519.67,20401.0
2025-12-05,7473.42,7578.675,7473.42,7538.08,16798.0
2025-12-08,7501.19,7540.515,7435.88,7438.36,20472.0
2025-12-09,7415.5,7458.415,7294.8,7318.29,17538.0
2025-12-10,7345.0,7525.0,7345.0,7504.37,17057.0
2025-12-11,7541.68,7609.99,7480.18,7511.16,17421.0
2025-12-12,7510.0,7589.84,7471.39,7517.81,22331.0
2025-12-15,7569.32,7632.35,7532.02,7632.35,18292.0
2025-12-16,7628.42,7655.02,7519.66,7530.24,18790.0
2025-12-17,7444.98,7605.0,7418.655,7472.55,21085.0
2025-12-18,7581.68,7611.6925,7496.02,7561.62,30328.0
2025-12-19,7531.34,7596.455,7369.0,7399.71,66254.0
2025-12-22,7450.0,7495.0,7369.61,7397.07,24475.0
2025-12-23,7439.98,7439.98,7266.78,7338.05,19588.0
2025-12-24,7309.24,7435.0,7301.0,7385.29,10678.0
2025-12-26,7399.02,7426.24,7342.41,7382.16,12361.0
2025-12-29,7380.0,7420.0,7329.8,7355.26,17168.0
2025-12-30,7352.56,7365.0,7283.96,7327.2,11692.0
2025-12-31,7331.43,7391.64,7280.0,7292.77,14767.0
2026-01-02,7287.27,7388.0,7240.0,7278.87,21573.0
2026-01-05,7251.1,7425.5299,7251.1,7321.21,22239.0
2026-01-06,7250.0,7252.86,7022.0,7239.73,56584.0
2026-01-07,7280.6,7331.99,7130.51,7146.45,28812.0
2026-01-08,7113.0,7390.0,7113.0,7385.58,31010.0
2026-01-09,7499.99,7625.15,7340.0,7581.67,46526.0
2026-01-12,7608.97,7713.31,7483.34,7591.75,33270.0
2026-01-13,7610.25,7678.35,7500.0,7673.32,22121.0
2026-01-14,7617.97,7690.82,7558.7,7580.76,23533.0
2026-01-15,7620.25,7656.2734,7494.17,7623.01,21765.0
2026-01-16,7608.34,7622.6925,7420.54,7561.54,79475.0
