date,open,high,low,close,volume
2025-04-24,187.21,194.43,184.7743,193.57,4247192.0
2025-04-25,189.39,194.59,188.41,193.55,2486056.0
2025-04-28,192.87,198.15,190.59,196.24,4337483.0
2025-04-29,181.515,185.535,177.19,182.62,6950778.0
2025-04-30,179.29,184.938,176.26,184.31,3210600.0
2025-05-01,186.11,186.82,181.51,181.84,3354873.0
2025-05-02,184.48,191.61,184.28,188.14,3434708.0
2025-05-05,186.02,186.8555,184.15,184.95,2324002.0
2025-05-06,182.25,184.635,180.6337,182.41,1579820.0
2025-05-07,183.635,187.815,182.42,186.87,2137553.0
2025-05-08,189.64,193.04,186.9,188.57,2412350.0
2025-05-09,191.28,194.05,189.4412,191.88,2683263.0
2025-05-12,204.88,208.93,204.32,207.03,4998163.0
2025-05-13,206.2,213.01,206.2,212.4,3910105.0
2025-05-14,212.58,213.42,209.07,211.33,2386944.0
2025-05-15,209.71,211.67,208.67,210.73,1999604.0
2025-05-16,210.95,212.99,209.12,212.56,2094117.0
2025-05-19,206.68,211.435,205.515,210.36,2108884.0
2025-05-20,207.68,210.95,207.68,210.08,1672113.0
2025-05-21,207.36,213.36,204.38,205.35,3018041.0
2025-05-22,209.695,211.0,196.26,196.51,5012589.0
2025-05-23,189.915,194.1,189.32,192.15,3674264.0
2025-05-27,195.3,200.45,193.78,198.9,3935348.0
2025-05-28,199.05,200.273,195.78,196.21,2240446.0
2025-05-29,200.0,200.32,194.6,195.89,1851499.0
2025-05-30,194.66,195.045,188.18,191.13,4292684.0
2025-06-02,190.36,193.66,189.8,192.81,1734298.0
2025-06-03,192.21,199.72,190.33,198.96,2866905.0
2025-06-04,202.26,211.085,201.28,210.02,3857209.0
2025-06-05,210.93,213.5,205.69,206.9,2362819.0
2025-06-06,210.6,211.0,207.39,207.68,1901196.0
2025-06-09,209.61,215.23,208.94,213.08,2727108.0
2025-06-10,214.44,220.73,213.5,218.72,2588887.0
2025-06-11,219.8,222.22,215.12,217.41,2222175.0
2025-06-12,217.305,220.015,216.205,217.4,1711302.0
2025-06-13,212.875,215.18,210.42,210.9,1840224.0
2025-06-16,213.94,218.01,213.2238,217.53,1739346.0
2025-06-17,213.045,217.27,212.58,212.83,2202423.0
2025-06-18,213.57,214.45,210.73,211.45,1939002.0
2025-06-20,213.42,215.365,207.71,209.0,4244826.0
2025-06-23,209.57,211.58,205.865,210.86,1847628.0
2025-06-24,215.0,220.68,214.1,218.51,2833336.0
2025-06-25,217.52,217.93,213.81,216.28,1781820.0
2025-06-26,217.9,219.36,216.58,218.3,2709907.0
2025-06-27,218.15,220.89,215.11,217.04,2060479.0
2025-06-30,219.71,219.71,216.65,218.49,2165374.0
2025-07-01,216.59,225.57,215.45,221.21,4451122.0
2025-07-02,224.1,232.2,223.86,231.15,2730755.0
2025-07-03,231.15,233.175,230.2472,232.1,1299390.0
2025-07-07,228.85,231.63,225.45,226.0,2165787.0
2025-07-08,228.76,234.32,227.13,232.34,2287990.0
2025-07-09,231.78,234.53,227.44,230.42,1819193.0
2025-07-10,233.065,236.46,230.43,233.19,1948182.0
2025-07-11,230.28,232.07,228.0,228.92,1870717.0
2025-07-14,227.06,227.06,222.5,224.61,2706798.0
2025-07-15,226.89,227.0,220.9,221.06,2397896.0
2025-07-16,221.07,222.17,215.9,220.58,2140493.0
2025-07-17,219.85,225.11,218.96,224.5,1981385.0
2025-07-18,229.03,229.71,222.57,225.9,2501082.0
2025-07-21,227.34,232.29,227.25,228.27,6030169.0
2025-07-22,222.13,229.83,220.78,228.0,6032379.0
2025-07-23,225.69,226.6699,218.47,224.71,3655454.0
2025-07-24,222.42,224.72,217.9,224.43,2413748.0
2025-07-25,222.89,223.8,221.0,223.29,2160857.0
2025-07-28,225.85,228.67,224.75,228.49,2925074.0
2025-07-29,229.32,233.11,226.425,226.74,1915755.0
2025-07-30,228.06,228.06,219.8,220.94,2092687.0
2025-07-31,219.475,219.475,212.19,213.77,2727233.0
2025-08-01,211.215,212.0,206.27,209.92,2554507.0
2025-08-04,210.64,212.12,209.345,211.99,2184003.0
2025-08-05,213.58,215.085,207.8,208.47,2756928.0
2025-08-06,207.45,207.45,203.24,205.92,2769588.0
2025-08-07,208.76,210.54,204.52,205.91,2196062.0
2025-08-08,206.47,209.81,204.59,207.16,1659771.0
2025-08-11,207.1,210.58,204.73,205.16,3902614.0
2025-08-12,207.72,220.78,206.92,220.05,4210460.0
2025-08-13,220.77,231.01,220.07,230.52,3582882.0
2025-08-14,226.29,232.52,224.08,231.54,2810223.0
2025-08-15,233.52,233.52,226.215,228.78,3336715.0
2025-08-18,228.99,233.95,227.725,232.01,2470377.0
2025-08-19,232.6,233.99,228.52,229.27,2217625.0
2025-08-20,231.49,233.4924,223.0,228.77,3986764.0
2025-08-21,226.88,227.81,223.21,223.93,2003168.0
2025-08-22,225.66,238.32,224.09,234.83,2994052.0
2025-08-25,233.63,237.81,233.5264,236.67,1261974.0
2025-08-26,235.84,239.5,235.28,237.82,2356758.0
2025-08-27,235.98,238.1,234.7,237.67,1054215.0
2025-08-28,239.76,241.42,238.5401,239.07,1616316.0
2025-08-29,238.17,239.1,233.5,234.85,2250771.0
2025-09-02,227.94,233.02,226.16,232.66,2211647.0
2025-09-03,232.5,234.11,223.9,228.2,2826272.0
2025-09-04,224.77,225.98,218.945,225.39,3309048.0
2025-09-05,227.21,230.88,224.6,226.74,2006571.0
2025-09-08,227.4,229.4195,224.62,225.5,1876695.0
2025-09-09,224.32,225.01,221.77,223.69,1569200.0
2025-09-10,224.12,224.6,219.13,219.28,3210360.0
2025-09-11,221.525,224.38,218.4,223.21,2999388.0
2025-09-12,222.66,223.09,218.6,218.82,2061856.0
2025-09-15,216.21,223.535,215.6501,219.27,1828567.0
2025-09-16,220.31,223.33,217.9327,220.99,2208925.0
2025-09-17,220.68,226.65,218.54,221.89,2337218.0
2025-09-18,225.78,228.33,223.69,226.51,3553228.0
2025-09-19,228.68,229.1085,222.15,224.05,3420099.0
2025-09-22,224.1,227.51,222.37,225.73,1715586.0
2025-09-23,226.73,229.9,224.51,225.62,2096390.0
2025-09-24,225.93,228.82,224.96,227.66,1680073.0
2025-09-25,224.99,227.425,222.0,226.81,2116711.0
2025-09-26,223.48,227.195,223.1,226.04,1235188.0
2025-09-29,227.87,227.955,224.63,226.11,1352177.0
2025-09-30,225.56,227.95,222.875,227.73,1723558.0
2025-10-01,225.85,227.85,221.0,224.91,2079847.0
2025-10-02,226.0,230.86,225.01,227.705,1831499.0
2025-10-03,228.4,232.065,227.99,228.89,1537435.0
2025-10-06,232.06,233.9999,227.095,231.42,1949575.0
2025-10-07,232.55,232.99,219.16,219.58,2492875.0
2025-10-08,219.89,227.19,219.5,225.64,2631196.0
2025-10-09,223.31,225.76,218.9775,221.42,2615953.0
2025-10-10,221.07,222.67,205.14,205.37,3980761.0
2025-10-13,211.61,217.4,210.74,216.7,2806592.0
2025-10-14,211.68,219.69,210.8,216.11,2341774.0
2025-10-15,219.76,220.0,214.02,217.23,1939707.0
2025-10-16,219.37,220.17,213.105,217.41,2477662.0
2025-10-17,216.715,218.05,212.88,214.35,1950502.0
2025-10-20,216.72,222.225,215.6,219.82,2374840.0
2025-10-21,219.34,224.27,218.51,222.34,1935550.0
2025-10-22,217.07,223.28,215.0,217.16,3607824.0
2025-10-23,213.0,221.4,212.725,220.73,2517902.0
2025-10-24,223.96,223.96,218.12,219.16,2500773.0
2025-10-27,221.39,221.89,218.885,221.56,4076069.0
2025-10-28,218.16,220.4325,207.99,212.96,4414713.0
2025-10-29,212.28,213.02,202.475,204.71,5104821.0
2025-10-30,204.65,209.7,203.38,206.38,3417113.0
2025-10-31,206.38,212.2195,205.195,209.12,2506419.0
2025-11-03,211.07,212.78,207.94,210.39,1982860.0
2025-11-04,208.47,209.96,203.93,204.42,2904757.0
2025-11-05,205.17,213.09,205.04,210.44,2307041.0
2025-11-06,209.13,210.37,204.69,206.45,2037842.0
2025-11-07,204.42,204.75,198.5,204.56,2586456.0
2025-11-10,207.94,208.5,202.16,205.13,2160621.0
2025-11-11,204.05,206.05,202.09,202.86,1735408.0
2025-11-12,204.97,206.95,203.45,204.08,2046299.0
2025-11-13,202.92,204.74,199.02,201.22,2528613.0
2025-11-14,198.83,199.81,196.18,197.1,2111051.0
2025-11-17,195.18,196.65,188.49,190.51,2498886.0
2025-11-18,189.845,190.85,187.74,188.59,2777217.0
2025-11-19,189.44,191.37,188.3601,190.06,2969245.0
2025-11-20,192.17,194.17,183.0,184.19,3426844.0
2025-11-21,184.65,193.83,183.2,191.35,3403063.0
2025-11-24,192.25,193.68,190.23,191.56,4513741.0
2025-11-25,190.47,193.95,188.425,191.02,3214026.0
2025-11-26,191.79,195.72,191.24,193.76,2836051.0
2025-11-28,193.9,195.3,193.37,194.94,1654132.0
2025-12-01,191.67,200.19,191.29,199.49,3394003.0
2025-12-02,200.53,217.49,199.49,215.35,6160036.0
2025-12-03,217.84,228.8,215.1601,227.56,4594132.0
2025-12-04,226.78,228.28,224.07,226.16,3614786.0
2025-12-05,228.86,231.0,227.83,227.95,2208907.0
2025-12-08,229.63,232.66,227.26,229.01,2839972.0
2025-12-09,227.27,230.61,227.04,228.05,1845927.0
2025-12-10,227.56,232.59,225.46,230.78,2155296.0
2025-12-11,229.29,232.91,227.98,231.83,2350008.0
2025-12-12,232.17,234.93,227.41,228.16,3590950.0
2025-12-15,230.78,233.79,228.285,231.83,3077145.0
2025-12-16,232.17,233.0,227.96,229.75,2467157.0
2025-12-17,230.32,231.83,223.03,223.23,2685389.0
2025-12-18,227.27,228.6,222.03,222.08,2665352.0
2025-12-19,224.28,229.12,224.01,226.27,10501679.0
2025-12-22,229.74,231.95,227.53,228.94,1801157.0
2025-12-23,226.67,227.9,224.5,225.98,1871560.0
2025-12-24,226.47,228.43,224.58,225.26,1030963.0
2025-12-26,225.64,225.64,222.75,222.87,1439742.0
2025-12-29,222.46,224.105,219.135,220.46,2498446.0
2025-12-30,221.17,223.39,219.78,219.98,1746342.0
2025-12-31,219.62,220.34,216.88,217.06,1413047.0
2026-01-02,220.605,223.605,219.44,221.28,2896439.0
2026-01-05,221.85,230.42,221.85,223.88,2856273.0
2026-01-06,228.3,246.89,228.3,245.95,4418017.0
2026-01-07,241.61,244.3,236.17,239.34,2798289.0
2026-01-08,236.31,239.43,231.84,237.89,2168202.0
2026-01-09,237.36,242.88,236.4,241.15,2732475.0
2026-01-12,238.23,240.3999,235.69,238.33,2333244.0
2026-01-13,238.33,240.31,237.2,239.09,1748868.0
2026-01-14,236.615,240.91,235.33,240.81,1986848.0
2026-01-15,242.39,243.46,236.55,238.6,2314378.0
2026-01-16,241.55,242.105,236.89,237.11,2676721.0
2026-01-20,231.0,234.82,228.76,230.7,2425486.0
2026-01-21,234.66,237.0,229.66,233.72,3497413.0
2026-01-22,238.13,241.1,235.22,236.75,2012386.0
2026-01-23,236.62,236.62,229.065,232.475,3257988.0
2026-01-26,232.34,234.275,229.89,231.05,2045068.0
2026-01-27,231.83,234.205,229.24,229.42,3202512.0
2026-01-28,233.705,242.93,233.01,240.03,2943702.0
2026-01-29,239.83,240.0,226.3901,233.5,2872832.0
2026-01-30,229.0,231.6761,224.87,226.14,3542719.0
2026-02-02,224.55,234.09,224.45,231.08,3698406.0
2026-02-03,219.765,221.51,207.01,220.66,8724530.0
2026-02-04,219.45,228.47,217.66,226.86,5830699.0
2026-02-05,224.59,229.02,219.61,222.13,2760230.0
2026-02-06,224.77,226.43,220.1,224.32,4588362.0
2026-02-09,221.41,229.265,221.3,228.91,2606848.0
2026-02-10,227.61,239.495,227.29,236.62,3013390.0
2026-02-11,240.83,250.855,239.24,249.75,4863389.0
2026-02-12,252.17,256.36,239.52,242.19,3628617.0
2026-02-13,239.95,244.61,237.695,244.43,2012775.0
2026-02-17,244.06,246.535,237.92,245.09,1727925.0
2026-02-18,248.08,249.225,235.46,237.33,2885466.0
2026-02-19,235.27,238.65,229.7328,232.11,2451950.0
2026-02-20,229.9,235.33,229.03,232.27,2120205.0
2026-02-23,231.83,233.49,225.3,231.16,1703616.13734
2026-02-24,232.11,239.3,232.105,234.63,1976129.823167
2026-02-25,236.53,237.275,232.775,235.07,1597901.255217
2026-02-26,235.77,236.8,228.07,232.23,3069000.714482
2026-02-27,229.06,229.93,223.85,227.01,2951903.096302
2026-03-02,221.83,225.3,218.21,224.76,1667586.381248
2026-03-03,218.48,219.57,213.19,215.25,3168756.425241
2026-03-04,217.89,218.98,215.145,216.37,2372355.652959
2026-03-05,214.79,215.76,207.79,210.58,3310185.961469
2026-03-06,202.56,205.67,201.11,201.74,3105279.154971
2026-03-09,200.15,206.25,193.02,205.25,3696843.139779
2026-03-10,204.21,208.36,201.86,203.03,2525924.806741
2026-03-11,204.76,207.0,198.0,199.87,2483363.670156
2026-03-12,196.15,198.23,190.17,191.22,3420140.822691
2026-03-13,193.66,195.5,190.16,190.86,2882727.439089
2026-03-16,194.58,195.98,191.25,191.89,2826663.706187
2026-03-17,193.88,197.24,192.93,194.02,1578888.881689
2026-03-18,193.88,196.14,191.95,192.69,2178812.559001
2026-03-19,189.25,193.92,188.68,192.35,2107643.95278
2026-03-20,192.39,194.53,188.83,191.37,4212031.203126
2026-03-23,198.27,198.91,193.3,193.39,2325236.490384
2026-03-24,190.64,198.5,190.36,196.4,1693919.013563
2026-03-25,199.2,202.0,195.98,197.61,1601969.085399
2026-03-26,196.63,199.76,195.0,196.92,3635265.888846
2026-03-27,195.98,196.13,190.35,191.66,2037849.891095
2026-03-30,193.45,194.22,184.68,187.39,3581882.353491
2026-03-31,191.39,198.06,190.34,196.86,4560430.82701
2026-04-01,197.44,199.66,195.13,195.58,3403690.107193
2026-04-02,190.23,195.25,188.75,194.55,2486985.977639
2026-04-06,196.41,200.68,194.505,197.08,2152482.014803
2026-04-07,196.12,196.88,191.955,195.12,2352937.132784
2026-04-08,205.95,208.67,201.4831,204.27,3851965.350024
2026-04-09,204.035,206.71,202.735,205.67,2706657.592182
2026-04-10,207.31,209.97,203.4,204.37,2420626.232573
2026-04-13,201.28,208.13,199.01,208.0,2372841.342626
2026-04-14,210.0,210.51,207.09,209.89,2547814.024389
2026-04-15,210.26,210.76,206.54,209.39,1542642.520595
2026-04-16,209.48,215.56,209.48,213.73,2715724.688611
2026-04-17,215.77,218.96,210.27,216.03,4289740.715217
2026-04-20,215.01,221.4,213.595,221.34,2568244.442216
2026-04-21,222.47,226.61,221.695,224.5,3362573.826188
2026-04-22,228.5,228.94,224.79,225.75,2567324.459317
2026-04-23,234.03,244.72,231.0,241.16,4580376.228908
2026-04-24,244.34,245.2,240.66,244.04,3579369.141608
2026-04-27,242.325,243.55,232.41,236.87,4010614.472092
2026-04-28,232.89,237.94,228.4101,230.39,4731163.368583
2026-04-29,281.41,292.85,278.07,289.25,10710628.405313
2026-04-30,289.44,294.34,279.77,293.59,5079934.248773
2026-05-01,291.6,296.0,285.51,295.24,2830159.540608
2026-05-04,297.75,299.8,288.285,290.76,2675225.730046
2026-05-05,292.0,296.39,289.76,292.35,4332865.605966
2026-05-06,291.555,303.91,291.205,303.55,4488515.849075
2026-05-07,300.99,302.99,288.48,290.22,4957326.725442
2026-05-08,295.4,297.0,290.24,294.75,6908850.690011
2026-05-11,295.92,306.62,291.16,305.99,4975633.566114
2026-05-12,300.68,302.0,291.0101,294.23,4790602.347504
2026-05-13,300.02,302.41,293.24,298.41,3250433.822948
2026-05-14,298.02,300.0,291.265,294.17,2172470.724872
2026-05-15,287.605,295.27,284.78,291.5,3390617.207132
2026-05-18,298.005,298.86,287.355,291.68,3457054.102564
2026-05-19,285.68,298.63,285.68,294.28,2904757.60101
2026-05-20,298.0,311.04,294.61,310.15,4261861.515211
2026-05-21,308.5,309.37,297.48,299.38,3492789.821593
2026-05-22,300.8,316.81,300.6201,316.47,2948747.548095
2026-05-26,320.29,334.9,318.0,332.67,4619648.673415
2026-05-27,337.08,339.95,326.6,329.24,3806814.773786
2026-05-28,330.46,338.29,324.85,330.28,3216642.804311
2026-05-29,333.58,335.0,320.3,321.35,3773450.972677
2026-06-01,315.0,318.545,305.63,311.38,2880979.394342
2026-06-02,320.09,325.585,317.0,323.62,3871333.53454
2026-06-03,322.3,327.48,318.71,321.88,2844708.952944
2026-06-04,321.715,328.21,315.01,322.22,3249416.972858
2026-06-05,312.51,314.235,295.89,295.96,8438112.849512
2026-06-08,307.79,309.6002,298.05,301.14,5607111.026966
2026-06-09,308.69,310.22,279.36,297.41,5081840.024526
2026-06-10,291.53,299.42,284.18,285.56,4335701.134896
2026-06-11,291.54,303.299,288.39,302.55,5124040.225151
2026-06-12,302.25,307.22,298.12,304.86,2127104.978831
2026-06-15,315.57,320.97,313.51,315.88,3544105.333968
2026-06-16,311.9,319.29,302.75,302.89,4491062.331455
2026-06-17,309.03,310.8,297.76,298.2,2918178.999302
2026-06-18,309.44,319.7,306.0598,313.27,7969279.736524
2026-06-22,320.36,327.5,316.0,323.24,4074005.954225
2026-06-23,307.555,310.36,296.04,299.94,6167763.419892
2026-06-24,299.06,299.9,288.64,294.06,3849945.892049
2026-06-25,302.89,307.38,291.69,298.64,3459752.509756
2026-06-26,289.17,291.34,275.18,277.02,7173695.903188
2026-06-29,277.0,280.03,268.85,278.37,3670746.941177
2026-06-30,277.19,283.37,275.8,281.03,4560854.469924
2026-07-01,275.83,283.32,273.31,279.18,5001301.075266
2026-07-02,281.53,285.94,267.55,273.36,5660833.646526
2026-07-06,282.58,286.89,278.285,280.51,2886155.485731
