date,open,high,low,close,volume
2025-04-10,161.96,161.96,152.23,156.75,2180919.0
2025-04-11,154.82,154.82,146.14,152.23,2640983.0
2025-04-14,154.28,155.85,151.95,155.11,1189184.0
2025-04-15,155.3,156.48,151.465,152.85,1001757.0
2025-04-16,151.07,151.89,145.9,147.85,1927977.0
2025-04-17,149.39,154.825,149.05,153.75,1456548.0
2025-04-21,151.47,152.74,147.05,149.87,1791328.0
2025-04-22,150.275,153.17,148.64,152.07,1840270.0
2025-04-23,159.12,167.89,151.6,153.23,3069909.0
2025-04-24,151.66,159.18,150.9,158.9,1834905.0
2025-04-25,149.28,151.52,144.9,146.74,4094902.0
2025-04-28,147.01,149.53,145.7874,149.0,2699025.0
2025-04-29,147.96,150.04,146.57,149.65,2026262.0
2025-04-30,149.15,153.66,146.37,153.28,2958826.0
2025-05-01,152.86,154.1881,149.61,150.56,2153662.0
2025-05-02,153.0,160.82,152.25,158.01,2628116.0
2025-05-05,156.89,158.73,156.06,156.23,1272152.0
2025-05-06,154.0,155.64,152.52,153.35,1012344.0
2025-05-07,153.96,156.5,153.96,155.59,1173939.0
2025-05-08,156.1,161.425,155.54,160.12,1733883.0
2025-05-09,159.75,160.29,157.34,158.28,1058013.0
2025-05-12,169.855,176.85,168.0,176.07,3596790.0
2025-05-13,175.96,176.365,171.24,171.34,1841039.0
2025-05-14,170.47,172.0,168.37,171.65,1470379.0
2025-05-15,170.55,171.3299,168.8,169.93,1652468.0
2025-05-16,171.19,171.54,168.95,171.28,1098425.0
2025-05-19,168.99,172.39,167.84,171.61,2107141.0
2025-05-20,170.4,171.72,168.81,169.6,1886569.0
2025-05-21,166.94,168.65,164.1624,164.19,2048843.0
2025-05-22,164.135,164.56,162.34,163.6,1264386.0
2025-05-23,159.67,162.65,158.5701,161.56,896068.0
2025-05-27,164.71,164.71,161.07,164.21,2223405.0
2025-05-28,165.0,165.13,162.155,162.43,1015774.0
2025-05-29,163.92,164.08,160.905,162.01,1301848.0
2025-05-30,161.85,162.45,158.96,160.17,2898004.0
2025-06-02,161.95,161.955,157.26,160.0,1563520.0
2025-06-03,159.61,163.525,158.28,163.03,1367691.0
2025-06-04,162.37,163.19,160.01,161.49,1318195.0
2025-06-05,160.14,161.53,157.935,159.68,1320105.0
2025-06-06,162.545,163.32,159.74,160.33,1232649.0
2025-06-09,161.11,163.89,159.42,162.21,1199035.0
2025-06-10,163.87,168.14,162.93,167.89,1916581.0
2025-06-11,168.53,170.255,161.57,162.11,1710526.0
2025-06-12,161.48,163.05,159.415,162.41,1306115.0
