date,open,high,low,close,volume
2025-05-08,39.3,40.39,38.69,39.77,9997392.0
2025-05-09,40.4,42.09,40.32,40.98,11721791.0
2025-05-12,43.45,45.31,43.36,44.62,17347518.0
2025-05-13,44.77,46.59,44.74,45.77,12019209.0
2025-05-14,45.95,46.2,44.8231,45.2,7065766.0
2025-05-15,44.695,44.95,43.78,44.52,6833605.0
2025-05-16,44.51,44.96,43.93,44.92,5477992.0
2025-05-19,43.55,44.19,43.51,43.84,5974021.0
2025-05-20,43.47,44.29,43.4,44.26,5360862.0
2025-05-21,44.26,45.475,43.321,43.66,8596185.0
2025-05-22,44.5,44.58,42.03,42.29,12463234.0
2025-05-23,40.66,41.52,40.62,41.27,9857318.0
2025-05-27,42.36,43.87,41.765,43.4,9662998.0
2025-05-28,43.52,43.78,42.655,42.845,5674472.0
2025-05-29,43.73,44.11,42.61,42.94,4847474.0
2025-05-30,42.67,42.83,41.63,42.02,10185177.0
2025-06-02,41.82,42.825,41.49,42.54,6894314.0
2025-06-03,42.51,47.56,41.875,47.37,24131360.0
2025-06-04,48.34,51.095,47.72,50.28,28183458.0
2025-06-05,50.52,51.0493,48.94,49.54,11938122.0
2025-06-06,50.34,51.295,50.05,50.17,8142455.0
2025-06-09,50.67,52.89,50.67,52.38,12125243.0
2025-06-10,52.46,54.385,52.27,53.8,11524248.0
2025-06-11,54.29,54.44,51.125,51.78,10484641.0
2025-06-12,51.16,53.19,51.0,52.98,9889277.0
2025-06-13,51.51,52.16,50.935,51.02,9657702.0
2025-06-16,52.39,53.98,52.2101,53.88,8441270.0
2025-06-17,53.276,55.01,52.645,52.94,8776259.0
2025-06-18,53.135,53.65,51.69,52.26,7176333.0
2025-06-20,53.64,53.84,52.28,52.82,12894117.0
2025-06-23,52.65,53.76,51.98,53.17,5670680.0
2025-06-24,54.06,54.88,53.79,54.21,7440656.0
2025-06-25,54.16,54.21,52.6,53.74,8291667.0
2025-06-26,54.005,54.08,53.44,53.65,6880557.0
2025-06-27,53.92,54.14,52.2,52.93,7896111.0
2025-06-30,53.27,53.27,52.32,52.41,7095360.0
2025-07-01,51.81,54.87,51.5301,53.6,8777288.0
2025-07-02,54.71,56.28,53.91,55.95,10429750.0
2025-07-03,56.39,57.13,55.63,56.6,5572172.0
2025-07-07,55.39,56.2344,54.16,54.61,7829252.0
2025-07-08,55.83,57.95,55.39,57.615,8976210.0
2025-07-09,56.98,58.38,56.69,57.77,7053893.0
2025-07-10,58.23,60.09,57.72,59.52,8444697.0
2025-07-11,58.8,59.93,58.36,59.73,6356425.0
2025-07-14,59.13,59.635,57.91,59.07,6519322.0
2025-07-15,60.25,60.58,58.655,58.93,7833930.0
2025-07-16,59.08,59.615,57.52,59.52,6597828.0
2025-07-17,59.31,59.67,58.61,59.41,5071932.0
2025-07-18,59.735,60.925,59.21,60.72,5753164.0
2025-07-21,61.27,63.03,60.52,60.55,7977453.0
2025-07-22,59.785,63.63,59.75,62.45,11719253.0
2025-07-23,60.41,60.57,57.01,59.61,16353590.0
2025-07-24,56.06,56.28,54.54,55.44,16152221.0
