date,open,high,low,close,volume
2025-05-07,92.418,93.0547,91.637,91.8727,5075655.0
2025-05-08,92.0,92.3653,90.547,90.6767,4462080.0
2025-05-09,90.681,91.0013,89.84,90.6227,4079430.0
2025-05-12,91.5653,91.5653,87.2273,89.3073,8606730.0
2025-05-13,89.5813,89.6513,87.694,88.0533,10436760.0
2025-05-14,87.4667,88.7753,87.4667,88.382,6348945.0
2025-05-15,88.59,91.342,88.59,91.342,6699375.0
2025-05-16,91.5453,92.1627,91.0027,92.1107,4837350.0
2025-05-19,91.9333,93.1193,91.9187,92.9267,4653180.0
2025-05-20,92.3327,93.2387,92.3133,92.4147,3810015.0
2025-05-21,91.7067,92.6147,90.9913,91.366,3601635.0
2025-05-22,91.966,92.1767,90.4327,90.986,4583745.0
2025-05-23,90.7247,92.104,90.5747,91.6247,4310865.0
2025-05-27,91.6667,92.606,90.4013,90.7587,6570690.0
2025-05-28,90.7333,91.5853,90.4267,90.504,4372290.0
2025-05-29,90.412,90.7153,89.5983,90.1373,4503135.0
2025-05-30,90.344,91.529,90.1937,91.1667,10789350.0
2025-06-02,90.4767,91.5673,90.1167,91.3787,8763990.0
2025-06-03,90.9667,91.8727,90.1667,91.4713,6961275.0
2025-06-04,91.4713,91.9051,89.834,91.106,4594515.0
2025-06-05,90.8627,91.6707,90.5907,91.4533,3990360.0
2025-06-06,91.9187,92.9607,91.1583,91.848,5006655.0
2025-06-09,91.6667,91.7477,88.82,89.8733,5586165.0
2025-06-10,90.0,92.12,89.61,91.71,5204007.0
2025-06-11,91.71,91.8716,89.53,90.01,5804062.0
2025-06-12,90.05,91.34,90.0,91.05,4604028.0
2025-06-13,90.695,91.64,89.4,89.91,4020387.0
2025-06-16,89.91,90.2799,87.655,88.12,6005537.0
2025-06-17,87.91,89.58,87.7,88.8,5671857.0
2025-06-18,89.18,89.41,88.09,88.32,3862688.0
2025-06-20,88.92,89.83,88.37,89.69,9218846.0
2025-06-23,90.01,91.34,89.93,91.26,5008718.0
2025-06-24,90.92,91.3199,88.94,89.18,4188305.0
2025-06-25,89.18,89.36,87.46,87.84,4525350.0
2025-06-26,87.93,88.56,86.94,88.23,5528240.0
2025-06-27,88.18,89.76,87.82,89.16,5843825.0
2025-06-30,89.52,90.35,88.98,90.13,5368222.0
2025-07-01,90.26,91.77,90.17,90.5,4547105.0
2025-07-02,90.07,90.35,88.91,89.32,3868557.0
2025-07-03,89.35,91.49,89.15,91.33,3187218.0
2025-07-07,91.1,92.86,90.77,92.67,4637930.0
2025-07-08,92.15,92.82,90.94,91.64,4045944.0
2025-07-09,91.69,92.74,90.77,92.58,4129192.0
2025-07-10,92.21,93.5,92.21,92.38,4635470.0
2025-07-11,92.04,92.19,90.75,91.62,3870989.0
2025-07-14,91.91,93.52,91.67,93.12,4598481.0
2025-07-15,92.55,93.05,91.16,91.19,3825690.0
2025-07-16,91.795,92.04,90.38,91.24,4018574.0
2025-07-17,91.03,92.62,91.03,91.59,3826387.0
2025-07-18,92.195,93.13,91.965,92.34,4003391.0
2025-07-21,92.26,94.64,92.185,94.15,5306847.0
2025-07-22,93.935,95.58,93.76,95.35,5070320.0
2025-07-23,95.09,95.52,94.43,95.42,5144720.0
2025-07-24,95.78,100.1,95.33,98.16,8587195.0
2025-07-25,99.24,99.65,97.43,97.66,5514115.0
2025-07-28,97.65,98.44,97.08,97.33,3657812.0
2025-07-29,97.65,99.59,97.455,98.9,4922472.0
2025-07-30,99.01,100.6,98.81,99.38,5164975.0
2025-07-31,98.76,99.97,98.1,98.32,5581758.0
2025-08-01,99.1,99.795,97.88,99.12,4719271.0
2025-08-04,99.41,101.74,99.12,101.37,4339358.0
2025-08-05,101.39,102.48,101.16,102.23,4039066.0
2025-08-06,102.66,104.67,102.56,104.44,6061792.0
2025-08-07,104.83,104.86,102.92,103.47,5632707.0
2025-08-08,103.38,104.18,103.19,103.33,3677004.0
2025-08-11,103.36,103.7081,102.8,103.6,4004921.0
2025-08-12,103.25,103.49,101.415,101.89,4259072.0
2025-08-13,101.95,103.24,101.91,102.64,4102007.0
2025-08-14,102.94,103.3354,101.4,101.5,7244503.0
2025-08-15,101.86,101.91,100.84,101.54,4281308.0
2025-08-18,101.91,102.12,100.99,101.39,4170676.0
2025-08-19,101.56,103.1,101.41,103.06,4250099.0
2025-08-20,103.89,104.53,103.135,104.0,5341050.0
2025-08-21,103.71,104.5,102.84,102.87,4173782.0
2025-08-22,103.37,104.0,102.03,102.31,3483902.0
2025-08-25,102.32,102.8714,101.8075,102.47,3102470.0
