date,open,high,low,close,volume
2025-04-24,169.345,176.45,169.07,176.04,4023389.0
2025-04-25,176.49,179.5,175.33,178.98,3536822.0
2025-04-28,178.62,182.2,178.09,181.54,3551869.0
2025-04-29,182.96,187.31,182.095,186.65,5112323.0
2025-04-30,184.98,187.63,182.3696,186.93,6163155.0
2025-05-01,188.64,189.1623,186.03,186.27,4627143.0
2025-05-02,190.0,191.6999,187.27,187.7,3842206.0
2025-05-05,186.0,190.98,185.47,188.13,3804317.0
2025-05-06,186.8,190.27,186.02,188.69,3031903.0
2025-05-07,188.8,189.31,186.35,188.14,3713849.0
2025-05-08,187.69,188.98,184.35,188.53,3677239.0
2025-05-09,188.755,189.79,184.64,186.93,3211041.0
2025-05-12,191.615,193.665,189.515,193.5,4580843.0
2025-05-13,192.725,195.42,191.875,192.0,5556527.0
2025-05-14,191.83,192.2007,189.425,190.9,5445821.0
2025-05-15,189.79,194.19,189.59,192.9,5460097.0
2025-05-16,191.045,193.7906,190.91,192.98,4210924.0
2025-05-19,190.49,194.4,190.17,194.3,4419514.0
2025-05-20,194.635,194.93,192.66,194.48,9533438.0
2025-05-21,184.76,185.3,178.64,181.26,19049689.0
2025-05-22,183.01,187.65,182.46,186.14,7613395.0
2025-05-23,183.605,187.65,183.2201,186.75,4902866.0
2025-05-27,188.67,189.1,186.529,187.46,5331677.0
2025-05-28,187.76,189.84,187.47,187.8,3869008.0
2025-05-29,189.0,189.1475,182.89,185.82,4499556.0
2025-05-30,187.02,192.73,186.725,192.42,11419740.0
2025-06-02,192.14,195.29,191.48,194.86,4411538.0
2025-06-03,195.0,198.4534,194.88,197.12,4820893.0
2025-06-04,195.22,197.25,193.47,194.07,3360595.0
2025-06-05,194.11,199.5,194.11,197.11,3549790.0
2025-06-06,199.0,200.88,198.2,199.6,3306209.0
2025-06-09,199.04,199.1956,196.19,196.33,2566463.0
2025-06-10,195.65,197.0422,193.6,195.95,2971944.0
2025-06-11,195.71,197.44,194.06,194.39,3462978.0
2025-06-12,194.57,199.3985,194.31,197.67,4159496.0
2025-06-13,196.37,199.95,195.07,196.27,3818451.0
2025-06-16,196.85,199.74,196.85,198.11,4137994.0
2025-06-17,197.99,202.7488,197.5,202.05,4132887.0
2025-06-18,202.29,202.885,198.8801,199.78,3324502.0
2025-06-20,201.05,201.05,197.71,199.24,8289229.0
2025-06-23,199.56,203.87,196.0001,203.32,4478798.0
2025-06-24,204.0,204.8,201.42,201.69,4951793.0
2025-06-25,202.8,204.81,202.4772,204.3,3242332.0
2025-06-26,204.59,206.7399,201.54,202.34,5264863.0
2025-06-27,202.34,203.26,198.7497,200.57,5346395.0
2025-06-30,201.24,204.91,201.02,204.64,4350789.0
2025-07-01,203.97,204.35,195.081,197.58,6840597.0
2025-07-02,196.44,197.92,194.91,196.97,3367163.0
2025-07-03,197.855,202.98,197.855,201.82,2561725.0
2025-07-07,200.89,202.1879,199.67,201.42,3483128.0
2025-07-08,202.0,204.51,200.69,203.99,3411426.0
