date,open,high,low,close,volume
2025-05-08,17.21,17.47,17.17,17.18,8685769.0
2025-05-09,17.21,17.38,17.08,17.13,17180228.0
2025-05-12,17.31,17.35,17.04,17.22,11605077.0
2025-05-13,17.22,17.28,16.94,16.96,12050350.0
2025-05-14,16.97,17.09,16.7,17.03,13340743.0
2025-05-15,17.05,17.42,17.04,17.34,9169665.0
2025-05-16,17.45,17.95,17.42,17.87,15628109.0
2025-05-19,17.73,17.795,17.64,17.74,9053459.0
2025-05-20,17.71,17.855,17.69,17.74,10313359.0
2025-05-21,17.735,17.79,17.38,17.4,11431634.0
2025-05-22,17.165,17.27,17.01,17.02,16313208.0
2025-05-23,17.13,17.14,16.885,17.05,14757619.0
2025-05-27,17.25,17.28,16.97,17.05,17583932.0
2025-05-28,17.16,17.175,16.85,16.9,11123291.0
2025-05-29,16.89,17.095,16.75,17.07,8968718.0
2025-05-30,16.99,17.065,16.785,16.88,23651488.0
2025-06-02,16.75,16.8,16.335,16.65,15855666.0
2025-06-03,16.73,16.75,16.505,16.54,27352162.0
2025-06-04,16.5,16.57,16.03,16.06,31867891.0
2025-06-05,16.0,16.05,15.73,15.93,28392474.0
2025-06-06,16.03,16.03,15.52,15.64,47957519.0
2025-06-09,15.6,15.6473,14.56,14.58,60997406.0
2025-06-10,14.65,14.8598,14.37,14.79,43588068.0
2025-06-11,14.78,14.82,14.01,14.39,48608187.0
2025-06-12,14.3,14.5298,14.17,14.3,31104902.0
2025-06-13,14.15,14.2285,13.515,13.64,51008250.0
2025-06-16,13.7,13.89,13.49,13.6,35376684.0
2025-06-17,13.59,13.625,13.34,13.55,28335276.0
2025-06-18,13.59,14.15,13.515,14.07,49723379.0
2025-06-20,14.24,14.335,13.78,13.87,42954618.0
2025-06-23,13.81,13.93,13.6,13.81,25462703.0
2025-06-24,13.86,14.225,13.86,14.16,24008257.0
2025-06-25,14.105,14.17,13.77,13.79,32923369.0
2025-06-26,13.83,14.17,13.74,14.08,42437034.0
2025-06-27,14.08,14.18,13.93,13.99,31195622.0
2025-06-30,13.96,14.07,13.84,13.94,31908371.0
2025-07-01,13.91,14.26,13.8,14.13,32516605.0
2025-07-02,14.13,14.15,13.9,13.99,22591952.0
2025-07-03,14.01,14.05,13.78,13.91,15953592.0
2025-07-07,13.83,13.88,13.555,13.64,20212458.0
2025-07-08,13.51,13.72,13.42,13.67,25291167.0
2025-07-09,13.68,13.69,13.385,13.52,28105373.0
2025-07-10,13.42,13.59,13.35,13.54,21717796.0
2025-07-11,13.44,13.6,13.335,13.42,18770613.0
2025-07-14,13.36,13.54,13.2,13.39,30016376.0
2025-07-15,13.47,13.477,12.97,13.0,28417062.0
2025-07-16,13.01,13.28,13.0,13.16,22289661.0
2025-07-17,13.14,13.3057,13.09,13.26,18497102.0
2025-07-18,13.295,13.57,13.295,13.45,24510668.0
2025-07-21,13.48,13.53,13.37,13.38,15416426.0
2025-07-22,13.5,13.7,13.475,13.66,17082166.0
2025-07-23,13.71,13.8,13.6,13.73,26664270.0
2025-07-24,13.78,13.98,13.72,13.85,25063253.0
2025-07-25,13.91,14.265,13.86,14.08,30892649.0
2025-07-28,14.0,14.08,13.8545,13.98,17727226.0
2025-07-29,14.0,14.0352,13.88,13.99,22409011.0
2025-07-30,14.0,14.2,13.94,14.02,27477206.0
2025-07-31,13.88,14.075,13.315,14.02,37497647.0
2025-08-01,14.0,14.255,13.79,14.12,27508011.0
2025-08-04,14.15,15.16,14.14,15.04,52268212.0
2025-08-05,15.04,15.32,14.92,15.17,46174447.0
2025-08-06,15.2,15.32,15.1,15.13,26739347.0
2025-08-07,15.16,15.21,14.92,15.05,20545948.0
2025-08-08,15.04,15.105,14.77,15.0,23293298.0
2025-08-11,14.95,15.29,14.95,15.11,21768044.0
2025-08-12,15.24,15.495,15.155,15.46,26126487.0
2025-08-13,15.48,15.51,15.15,15.25,18828786.0
2025-08-14,15.13,15.44,15.0625,15.31,17524954.0
2025-08-15,15.37,15.39,15.0,15.02,29243888.0
2025-08-18,15.1,15.188,14.98,15.1,27823590.0
2025-08-19,15.1,15.62,15.08,15.6,33726871.0
2025-08-20,15.63,15.765,15.36,15.36,24841593.0
2025-08-21,15.35,15.43,14.295,14.67,36918367.0
2025-08-22,14.81,15.24,14.73,15.19,27073204.0
2025-08-25,15.12,15.14,14.86,14.91,16122488.0
2025-08-26,14.89,15.15,14.89,15.05,22676767.0
2025-08-27,15.09,15.18,15.0245,15.08,14623187.0
2025-08-28,15.1,15.11,14.92,14.99,16228653.0
2025-08-29,15.0,15.585,15.0,15.28,19336655.0
2025-09-02,15.13,15.53,15.1,15.32,15222922.0
2025-09-03,15.25,15.399,15.125,15.35,11555277.0
2025-09-04,15.47,15.49,14.97,15.23,17620511.0
2025-09-05,15.29,15.305,15.02,15.09,20071759.0
2025-09-08,15.04,15.06,14.45,14.56,31415903.0
2025-09-09,14.56,15.07,14.46,14.97,31274430.0
2025-09-10,14.87,16.09,14.755,15.26,67286476.0
2025-09-11,15.3,15.78,15.06,15.73,48239301.0
2025-09-12,15.75,15.86,15.37,15.45,26879441.0
2025-09-15,15.5,15.73,15.07,15.34,28078333.0
