date,open,high,low,close,volume
2025-04-24,73.9,75.445,73.4,75.0,1987183.0
2025-04-25,74.29,74.45,71.54,73.46,2703785.0
2025-04-28,73.33,74.36,72.79,73.87,1811640.0
2025-04-29,73.38,74.905,73.38,74.59,1626040.0
2025-04-30,73.55,74.45,72.21,74.15,1807489.0
2025-05-01,74.3,74.77,73.57,74.07,1665664.0
2025-05-02,75.32,76.88,74.835,76.83,1817870.0
2025-05-05,76.26,77.44,75.79,76.56,988468.0
2025-05-06,76.12,76.86,75.8,76.34,1203483.0
2025-05-07,76.95,77.85,76.8139,77.55,1816666.0
2025-05-08,78.23,79.455,77.74,78.84,1318203.0
2025-05-09,78.89,79.25,78.52,78.9,933060.0
2025-05-12,81.45,82.29,81.25,81.7,1539941.0
2025-05-13,81.76,82.36,81.465,81.7,978919.0
2025-05-14,81.7,82.21,80.8,81.04,1155143.0
2025-05-15,80.96,81.49,80.67,81.42,885674.0
2025-05-16,81.53,81.73,81.08,81.55,1036927.0
2025-05-19,81.01,81.84,80.665,81.3,864183.0
2025-05-20,80.96,81.48,80.41,80.53,764398.0
2025-05-21,80.01,80.33,77.35,77.36,1040349.0
2025-05-22,77.31,77.9,76.825,77.35,826046.0
2025-05-23,76.06,77.49,76.06,77.01,846029.0
2025-05-27,78.2,78.905,77.58,78.89,903995.0
2025-05-28,78.94,79.22,77.57,77.67,1069117.0
2025-05-29,78.18,78.79,77.72,78.55,1014715.0
2025-05-30,78.29,78.55,77.54,77.89,1960660.0
2025-06-02,76.97,77.0,75.88,76.97,874516.0
2025-06-03,76.77,77.71,75.93,77.34,1073180.0
2025-06-04,77.38,77.7,76.34,76.34,734267.0
2025-06-05,76.4,76.7227,75.525,75.94,1208822.0
2025-06-06,76.78,77.5,76.34,76.97,1164346.0
2025-06-09,77.0,77.39,76.275,76.84,1052895.0
2025-06-10,76.84,77.41,76.44,76.76,1143230.0
2025-06-11,76.78,77.13,76.23,76.49,1383270.0
2025-06-12,76.04,77.05,75.455,77.02,971719.0
2025-06-13,76.91,76.91,75.77,75.9,1263320.0
2025-06-16,76.59,77.47,76.29,76.73,1152379.0
2025-06-17,76.55,76.81,75.31,75.8,1098132.0
2025-06-18,75.73,76.805,75.73,75.97,939594.0
2025-06-20,76.64,77.18,75.91,76.61,2262650.0
2025-06-23,76.47,77.415,75.53,77.33,804848.0
2025-06-24,77.67,78.36,77.665,77.93,790428.0
2025-06-25,78.02,78.02,76.93,77.06,1006268.0
2025-06-26,77.48,78.48,76.9481,78.4,855839.0
2025-06-27,78.7,79.52,78.44,79.19,2230718.0
2025-06-30,79.2,79.575,79.005,79.43,845727.0
2025-07-01,79.35,81.41,78.7047,80.83,1185867.0
2025-07-02,80.85,80.85,79.6455,80.51,1200586.0
2025-07-03,80.87,81.66,80.53,81.0,605866.0
2025-07-07,80.8,81.5,79.79,80.19,1190191.0
2025-07-08,80.55,82.015,80.35,81.48,1173721.0
2025-07-09,81.71,82.025,80.44,80.86,1014524.0
2025-07-10,81.06,82.16,80.57,81.6,897914.0
2025-07-11,81.03,81.21,80.3,80.37,822235.0
2025-07-14,80.17,81.025,79.8,80.95,781981.0
2025-07-15,80.95,81.24,79.34,79.38,1111597.0
2025-07-16,79.77,80.29,78.81,79.82,1265046.0
2025-07-17,79.74,81.02,79.3,80.97,1037464.0
2025-07-18,81.26,81.37,80.7073,81.06,867523.0
2025-07-21,80.98,81.365,78.67,78.74,1446521.0
2025-07-22,78.74,80.33,78.74,80.2,981087.0
2025-07-23,80.94,81.05,80.32,80.88,832271.0
2025-07-24,80.73,81.06,80.17,80.33,766531.0
2025-07-25,80.5,81.14,80.16,81.05,737934.0
2025-07-28,80.93,81.14,79.97,80.39,1677401.0
2025-07-29,83.16,83.64,79.78,80.19,2014121.0
2025-07-30,80.15,80.15,75.88,76.59,3111290.0
2025-07-31,76.29,78.39,75.975,77.83,2971832.0
2025-08-01,76.88,76.88,75.0,75.53,1753473.0
2025-08-04,75.92,76.13,75.43,75.88,1049114.0
2025-08-05,76.27,77.0467,75.55,76.12,1314797.0
2025-08-06,76.36,77.2319,76.14,76.81,1438489.0
2025-08-07,77.06,77.25,75.33,75.6,1087147.0
2025-08-08,75.94,76.765,75.51,76.59,819924.0
2025-08-11,76.72,77.3,76.15,76.48,921985.0
2025-08-12,76.83,77.74,76.64,77.24,1757589.0
2025-08-13,77.01,78.44,77.01,78.34,2068148.0
2025-08-14,77.91,78.185,77.2,78.09,1047840.0
2025-08-15,78.53,78.53,77.55,77.64,962443.0
2025-08-18,77.44,77.845,77.15,77.7,1136890.0
2025-08-19,77.83,79.19,77.62,78.6,948396.0
2025-08-20,78.49,79.06,78.27,78.72,983593.0
2025-08-21,78.46,78.92,77.34,78.67,1077943.0
2025-08-22,78.83,81.445,78.59,80.72,1250491.0
2025-08-25,80.5,80.89,79.83,80.28,619118.0
2025-08-26,79.97,80.59,79.38,80.55,974526.0
2025-08-27,80.37,81.37,79.85,80.84,775445.0
2025-08-28,81.08,81.155,79.84,80.22,1248579.0
2025-08-29,80.3,80.97,80.2,80.51,974707.0
2025-09-02,79.56,79.98,78.63,79.94,1670496.0
2025-09-03,79.51,80.19,79.38,80.18,1431224.0
2025-09-04,79.74,81.34,79.59,81.3,1001406.0
2025-09-05,81.36,82.0,79.0301,79.98,1125412.0
2025-09-08,79.91,79.95,78.115,79.71,908299.0
2025-09-09,79.8,80.86,79.7259,80.07,1025443.0
2025-09-10,79.71,80.595,79.07,80.07,1136993.0
2025-09-11,80.4,82.26,80.135,82.08,1699391.0
2025-09-12,81.98,82.93,81.82,82.7,985981.0
2025-09-15,82.84,83.64,82.45,82.95,1493547.0
2025-09-16,82.92,83.085,79.74,80.09,1766424.0
2025-09-17,80.23,82.21,80.23,80.86,1249391.0
2025-09-18,80.83,82.03,80.465,81.78,801645.0
2025-09-19,82.49,82.6,81.23,81.71,3057345.0
2025-09-22,81.23,82.39,80.7145,82.21,1036419.0
2025-09-23,82.21,83.4,82.21,82.4,1005903.0
2025-09-24,82.27,82.68,81.4,81.84,902531.0
2025-09-25,81.69,82.22,81.07,81.5,891162.0
2025-09-26,81.86,83.23,81.86,82.62,952194.0
2025-09-29,82.84,82.84,81.85,82.47,1041346.0
2025-09-30,82.3,83.01,81.18,82.91,1318292.0
2025-10-01,82.72,83.5325,82.27,83.04,1693717.0
2025-10-02,83.04,84.4,82.48,84.26,1092899.0
2025-10-03,83.62,85.0,83.54,84.24,1000634.0
2025-10-06,84.25,85.0,83.34,84.18,841090.0
2025-10-07,84.52,85.135,83.36,83.57,734942.0
2025-10-08,83.64,83.81,81.42,81.77,1214927.0
2025-10-09,82.17,82.83,81.36,82.69,886143.0
2025-10-10,83.28,83.72,79.36,79.42,1036898.0
2025-10-13,79.85,80.54,79.22,79.67,809093.0
2025-10-14,78.89,81.905,78.5,81.29,837907.0
2025-10-15,81.53,82.07,80.025,80.9,1552731.0
2025-10-16,80.56,80.58,78.28,78.39,1724829.0
2025-10-17,78.51,79.15,77.9,78.63,1145365.0
2025-10-20,78.78,79.315,78.49,78.97,922431.0
2025-10-21,79.01,79.974,78.935,79.39,1171282.0
2025-10-22,79.56,80.3,78.555,79.14,921597.0
2025-10-23,79.74,80.13,78.92,79.44,909677.0
2025-10-24,79.91,80.46,79.45,79.62,862789.0
2025-10-27,79.74,80.79,79.48,79.57,1799366.0
2025-10-28,81.42,82.7354,80.01,82.2,1781426.0
2025-10-29,81.7,83.24,80.935,82.43,1194389.0
2025-10-30,82.43,83.97,82.35,82.74,935105.0
2025-10-31,82.66,84.379,82.22,84.04,1034893.0
2025-11-03,83.47,83.9893,82.1,83.02,1094149.0
2025-11-04,82.65,82.705,81.65,82.06,1406704.0
2025-11-05,82.04,82.51,81.1,81.16,2061467.0
2025-11-06,81.67,83.295,80.8,82.44,2028611.0
2025-11-07,82.5,82.935,81.57,82.86,1368125.0
2025-11-10,83.05,84.08,82.86,83.58,1485935.0
2025-11-11,83.82,84.62,83.64,84.38,1573301.0
2025-11-12,84.2,85.48,84.2,85.26,1163011.0
2025-11-13,85.36,86.05,84.5025,84.62,1336087.0
2025-11-14,84.21,84.98,83.295,84.47,1077718.0
2025-11-17,84.27,84.27,80.44,81.01,1428359.0
2025-11-18,80.41,82.83,80.0,82.19,1041520.0
2025-11-19,82.26,83.33,81.715,83.11,1417589.0
2025-11-20,84.2,85.24,82.3,82.36,1125848.0
2025-11-21,82.64,85.21,82.4,84.29,1512929.0
2025-11-24,84.22,84.93,83.635,84.56,2668289.0
2025-11-25,84.75,85.76,84.67,84.69,1124130.0
2025-11-26,84.82,85.47,84.41,84.6,1003637.0
2025-11-28,84.95,85.51,84.525,84.82,521266.0
2025-12-01,84.52,85.46,84.37,84.45,974209.0
2025-12-02,84.9,84.9,83.74,84.32,944846.0
2025-12-03,83.75,86.02,83.5,85.94,1228640.0
2025-12-04,86.12,86.57,85.62,85.93,935339.0
2025-12-05,85.78,87.75,85.73,87.52,1324833.0
2025-12-08,87.34,87.34,86.25,86.88,1014050.0
2025-12-09,87.0,88.73,85.71,88.21,1353132.0
2025-12-10,88.03,90.63,88.005,90.23,1397960.0
2025-12-11,90.02,92.03,88.985,91.54,958534.0
2025-12-12,91.74,92.0,89.76,89.94,1780234.0
2025-12-15,90.75,92.1,89.8,90.63,1706038.0
2025-12-16,90.91,91.195,88.935,89.54,1506097.0
2025-12-17,89.78,90.3,89.03,89.37,1162031.0
2025-12-18,89.63,90.25,88.78,89.34,1199807.0
2025-12-19,89.47,90.04,88.4,88.95,3584476.0
