date,open,high,low,close,volume
2025-05-08,102.45,104.415,102.1231,103.36,1525920.0
2025-05-09,103.67,103.67,102.04,102.47,1157192.0
2025-05-12,107.29,108.81,104.535,106.54,1967403.0
2025-05-13,107.58,108.0,106.35,106.45,1951696.0
2025-05-14,105.71,106.21,101.84,102.06,2237454.0
2025-05-15,102.25,102.845,100.05,102.77,1795554.0
2025-05-16,102.75,104.71,102.26,104.41,1402080.0
2025-05-19,101.83,103.61,101.6,103.07,1580002.0
2025-05-20,102.41,103.24,101.0,101.31,1283328.0
2025-05-21,100.55,101.53,98.64,99.1,2730363.0
2025-05-22,98.54,98.83,97.26,98.58,2317750.0
2025-05-23,97.36,98.6,97.01,98.21,1389747.0
2025-05-27,99.41,100.72,98.37,100.57,1975155.0
2025-05-28,100.03,100.315,97.42,97.71,1815724.0
2025-05-29,98.82,98.89,97.39,98.54,1520342.0
2025-05-30,98.29,98.79,97.44,98.03,3156072.0
2025-06-02,96.99,97.91,95.2,97.55,1548070.0
2025-06-03,97.38,98.812,96.46,98.67,1651098.0
2025-06-04,98.82,102.31,98.65,101.87,2063722.0
2025-06-05,101.38,102.49,100.75,101.64,1201636.0
2025-06-06,102.11,102.25,100.09,100.23,1396286.0
2025-06-09,100.96,102.22,99.8832,101.47,1098042.0
2025-06-10,102.75,105.24,101.76,105.03,2169691.0
2025-06-11,106.53,107.9,103.175,103.42,1765176.0
2025-06-12,102.91,104.6,101.84,104.15,1367894.0
2025-06-13,102.7,104.255,100.715,101.61,1599663.0
2025-06-16,102.92,102.92,100.94,102.42,1752780.0
2025-06-17,102.54,104.05,98.32,98.72,1953327.0
2025-06-18,98.28,100.28,98.27,99.14,1915667.0
2025-06-20,99.6,101.99,99.45,101.47,3054741.0
2025-06-23,100.7,105.04,100.7,104.85,2007064.0
2025-06-24,104.85,106.4194,103.99,105.49,2578353.0
2025-06-25,104.73,105.48,103.09,103.56,1667930.0
2025-06-26,104.07,104.54,102.17,104.44,1731304.0
2025-06-27,104.82,106.56,104.34,105.52,2995982.0
2025-06-30,105.96,106.36,104.26,105.46,1635100.0
2025-07-01,104.87,112.24,104.0419,109.94,3341479.0
2025-07-02,110.14,112.117,109.33,111.34,2498838.0
2025-07-03,111.97,112.18,108.8,109.36,1616063.0
2025-07-07,109.1,109.835,107.07,108.14,1710343.0
2025-07-08,107.85,109.85,107.38,108.88,1947807.0
2025-07-09,109.56,114.34,109.05,113.77,3865072.0
2025-07-10,113.38,116.42,113.12,115.18,2533788.0
2025-07-11,113.66,115.1925,113.0,114.27,2650773.0
2025-07-14,113.59,114.57,111.0,112.84,2961100.0
2025-07-15,113.26,114.0,107.92,108.0,2496276.0
2025-07-16,108.48,110.225,107.16,109.29,2301500.0
2025-07-17,108.9,110.06,108.64,109.28,2120215.0
2025-07-18,110.08,110.68,107.91,108.66,1941234.0
2025-07-21,109.52,110.34,108.32,108.65,2210999.0
2025-07-22,117.73,121.63,115.67,121.17,5151133.0
2025-07-23,122.12,122.49,118.62,119.28,2785507.0
2025-07-24,118.39,119.14,115.78,116.03,2154714.0
2025-07-25,116.06,116.91,114.59,116.35,1414993.0
2025-07-28,116.14,117.605,114.93,116.82,1569084.0
2025-07-29,116.87,117.81,115.94,117.06,1630628.0
2025-07-30,116.76,117.6,112.41,113.36,1932706.0
2025-07-31,111.86,113.79,111.5,112.92,1932412.0
2025-08-01,115.06,117.38,114.43,116.75,2028972.0
2025-08-04,117.0,119.86,116.8501,119.36,1965721.0
2025-08-05,119.13,122.15,119.13,121.02,1856612.0
2025-08-06,121.42,122.44,120.14,120.23,1655526.0
2025-08-07,121.5,123.53,120.365,120.67,1611110.0
2025-08-08,120.98,122.4,120.645,121.64,1494984.0
2025-08-11,122.16,122.98,118.36,120.2,1651401.0
2025-08-12,121.18,123.72,119.4,123.33,2446128.0
2025-08-13,124.35,131.0799,123.96,129.96,3062215.0
2025-08-14,126.77,128.79,126.1001,128.55,2495898.0
2025-08-15,131.39,131.5,127.785,128.69,1920359.0
2025-08-18,128.78,129.48,128.05,128.21,1557010.0
2025-08-19,129.35,131.41,128.88,130.37,1818652.0
2025-08-20,130.0,131.03,126.15,126.54,2065125.0
2025-08-21,125.56,125.74,123.235,125.37,1450109.0
2025-08-22,126.36,133.67,124.925,132.33,2943873.0
2025-08-25,131.16,132.89,130.54,132.28,3012373.0
2025-08-26,132.36,132.5,130.92,131.13,2520300.0
2025-08-27,130.7,131.81,130.0,131.03,1369967.0
2025-08-28,131.89,131.985,129.59,131.47,1133810.0
2025-08-29,131.48,132.17,130.35,132.02,1344286.0
2025-09-02,129.9,132.46,129.3251,132.09,1443340.0
2025-09-03,131.61,135.02,131.235,133.3,2042349.0
2025-09-04,134.81,138.14,134.4,137.61,2280910.0
2025-09-05,140.44,142.11,139.12,140.57,2190451.0
2025-09-08,139.75,141.73,138.6002,141.42,1905190.0
2025-09-09,140.46,141.79,134.21,136.72,3122924.0
2025-09-10,137.2,137.3,134.26,135.41,2184766.0
2025-09-11,136.55,139.69,135.92,138.66,1735956.0
2025-09-12,137.38,138.87,136.41,137.1,1266417.0
2025-09-15,137.83,137.83,133.61,134.84,2008388.0
2025-09-16,134.86,135.3266,131.38,133.87,2257803.0
2025-09-17,134.98,139.05,132.1763,134.1,2323794.0
2025-09-18,134.31,135.14,132.845,134.1,1831101.0
2025-09-19,132.42,133.94,130.46,131.9,5783745.0
2025-09-22,131.27,132.28,128.36,129.24,2172983.0
2025-09-23,129.8,130.67,128.645,130.05,1316669.0
2025-09-24,128.84,132.66,128.8,130.9,1720281.0
2025-09-25,128.54,131.51,128.18,128.74,2148075.0
2025-09-26,129.43,132.06,128.91,131.15,1099489.0
2025-09-29,131.88,133.625,130.59,133.14,1361605.0
2025-09-30,132.18,133.5532,130.15,132.13,1719215.0
2025-10-01,133.17,134.9571,132.13,134.44,1585164.0
2025-10-02,134.02,135.2,132.65,134.88,1449401.0
2025-10-03,135.24,138.33,135.1,137.61,1619169.0
2025-10-06,137.72,138.1,134.1505,135.48,1419916.0
2025-10-07,132.53,132.73,128.5,129.6,2809796.0
2025-10-08,130.2,130.4,126.33,127.66,2667733.0
2025-10-09,126.25,126.6,120.62,121.41,4278243.0
2025-10-10,121.41,122.21,119.7,120.04,2866868.0
2025-10-13,120.04,120.49,118.61,120.49,2605112.0
